Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRB,STRN,T10,RTIBA,RWRA
All Timesteps RMSE,0.0232106,0,0,0,0,0.0485593,0,0,0,0,0,0,0.0342299,0,0.0188252,0.0703434,0,0,0.0246338,0,0,0.0376532,0.0687308,0.0205113,0.00698227,0.0188966,0.0340405,0.0405198,0.0451161,0.0573689,0.0373154,0.0113943,0.0130232,0.0270639,0.0276778,0.0173732,0.0133455,0.0296473,0.0227694,0.0346813,0,0.0154046,0.0643973,0.0311464,0,0,0.0213516,0,0,0.048085,0.0591198,0.0308746,0.021773,0.0116727,0.0477732,0.0430596,0.0455494,0.0784442,0.0738498,0.0294793,0.06162,0.0473743,0.0794064,0.0251405,0.0187199,0.0204047,0.0277175,0.0301878,0.0383562,0.0224777
0,0.0197063,0,0,0,0,0.0475292,0,0,0,0,0,0,0.0357104,0,0.0209385,0.0725983,0,0,0.0126486,0,0,0.0372915,0.0715632,0.0257151,0.0115105,0.0174093,0.0239443,0.0367652,0.0434188,0.0531706,0.0371956,0.0121495,0.0128313,0.0238521,0.0258714,0.0153136,0.0139714,0.00886276,0.0190828,0.0359148,0,0.0205845,0.0658338,0.0305427,0,0,0.0154643,0,0,0.0376591,0.0601527,0.0236502,0.0203974,0.0169776,0.0416657,0.036137,0.0439158,0.0748649,0.0685073,0.0258156,0.0658973,0.0516019,0.0844021,0.0137221,0.0160412,0.0245415,0.0274276,0.0288448,0,0
1,0.019725,0,0,0,0,0.0474131,0,0,0,0,0,0,0.0357263,0,0.0209223,0.0725639,0,0,0.0128043,0,0,0.0371558,0.0715016,0.0256069,0.0114921,0.0173059,0.0241293,0.036755,0.0432103,0.0532375,0.0372484,0.0121395,0.0128137,0.0239519,0.0259763,0.0150461,0.0140029,0.0088493,0.0191075,0.036083,0,0.0205753,0.0658859,0.0305175,0,0,0.0151355,0,0,0.037635,0.0601458,0.0236595,0.0203212,0.0169579,0.0417588,0.036094,0.0438746,0.074817,0.0685599,0.0258995,0.0658491,0.051588,0.0843738,0.0136342,0.0163361,0.0246934,0.0273334,0.0289051,0,0
2,0.0195532,0,0,0,0,0.0473346,0,0,0,0,0,0,0.0356122,0,0.020914,0.0721534,0,0,0.012891,0,0,0.0371571,0.0714596,0.025778,0.0111413,0.0172329,0.0241114,0.0370164,0.0434437,0.0531649,0.0369865,0.0121027,0.0128693,0.0238205,0.0258714,0.0155037,0.0139044,0.0088229,0.0192699,0.0407453,0,0.0192614,0.0656689,0.0303934,0,0,0.0151033,0,0,0.0376719,0.0597105,0.0235014,0.0196471,0.0123887,0.0416422,0.0361962,0.0433677,0.07572,0.0697471,0.026363,0.0656709,0.0513106,0.0836611,0.0120172,0.0163188,0.0248194,0.0272114,0.0291135,0,0
3,0.0195668,0,0,0,0,0.0473338,0,0,0,0,0,0,0.0354791,0,0.0209119,0.0721437,0,0,0.0128654,0,0,0.0371571,0.0713797,0.0256481,0.0110635,0.0172332,0.0240688,0.0370052,0.0436354,0.0531629,0.036858,0.0120808,0.0128725,0.0238053,0.0258797,0.0157273,0.0139113,0.00881246,0.0192429,0.0415218,0,0.0186934,0.0653739,0.0303773,0,0,0.015059,0,0,0.0376731,0.05968,0.0234672,0.0195479,0.0116401,0.0416877,0.0361099,0.0432711,0.0758613,0.0698697,0.0264158,0.0657074,0.0513219,0.0836213,0.0120657,0.0163528,0.024874,0.0272008,0.0291228,0,0
4,0.0195536,0,0,0,0,0.047365,0,0,0,0,0,0,0.0355126,0,0.0208926,0.0722466,0,0,0.0128493,0,0,0.0371595,0.0713323,0.0255408,0.0110638,0.0172261,0.0240717,0.0370003,0.0436563,0.0531685,0.0368193,0.0120754,0.0128477,0.0237694,0.0258559,0.0158027,0.013934,0.0088144,0.0191949,0.0413293,0,0.0185298,0.0653265,0.0303667,0,0,0.0150325,0,0,0.0376891,0.0597339,0.0234577,0.0195201,0.0115849,0.0417319,0.0360957,0.0431639,0.075814,0.0698767,0.0264791,0.0657436,0.0513665,0.0836745,0.0120786,0.0163521,0.0248991,0.027224,0.0291402,0,0
5,0.019514,0,0,0,0,0.0473964,0,0,0,0,0,0,0.035654,0,0.0208523,0.0723468,0,0,0.0128454,0,0,0.0371719,0.07132,0.0258208,0.0111305,0.0172222,0.0240598,0.0370019,0.0436489,0.0531812,0.0367843,0.0120802,0.0128789,0.0237106,0.025799,0.0158169,0.0139354,0.00884427,0.0191445,0.0409264,0,0.0184915,0.0653286,0.0303579,0,0,0.0150535,0,0,0.0377272,0.0598274,0.02343,0.0195354,0.0116736,0.0417638,0.036078,0.0431579,0.0757419,0.0698523,0.0265164,0.0657711,0.0514199,0.0837569,0.0120703,0.0163382,0.0249274,0.0272507,0.0291576,0,0
6,0.0195009,0,0,0,0,0.0474658,0,0,0,0,0,0,0.0357661,0,0.0208172,0.0724029,0,0,0.0128684,0,0,0.0371813,0.0713007,0.0260671,0.0111966,0.0172204,0.0240243,0.0370067,0.0436646,0.0531948,0.03678,0.0120625,0.0129166,0.0236483,0.0257387,0.0158694,0.0139391,0.00885862,0.0190969,0.0406504,0,0.0184746,0.0652953,0.0303914,0,0,0.0150413,0,0,0.0377471,0.0598852,0.0233759,0.0196351,0.0117032,0.0417814,0.0362292,0.0431756,0.0756754,0.0698333,0.0265493,0.0657797,0.051455,0.0838227,0.0120944,0.0163038,0.0249105,0.0272805,0.0291396,0,0
7,0.0195042,0,0,0,0,0.0474904,0,0,0,0,0,0,0.0358627,0,0.0207955,0.0724353,0,0,0.0128639,0,0,0.0371773,0.0712728,0.0261073,0.0112361,0.01723,0.0239941,0.0370094,0.0436783,0.053195,0.0367983,0.0120587,0.0129351,0.0235779,0.0257056,0.0159381,0.0139442,0.00885575,0.0190589,0.0404909,0,0.0184578,0.0652443,0.0303988,0,0,0.0149957,0,0,0.0376398,0.0598786,0.023342,0.0197203,0.0117255,0.0418004,0.0361959,0.0431308,0.0756056,0.0698229,0.0265733,0.0657954,0.0514682,0.0838609,0.0121239,0.0162499,0.0247412,0.0272961,0.0291281,0,0
8,0.0195059,0,0,0,0,0.0475087,0,0,0,0,0,0,0.0359901,0,0.020788,0.0724979,0,0,0.0128483,0,0,0.0371611,0.0712281,0.0259773,0.011249,0.0172151,0.0240289,0.0370172,0.0435588,0.053197,0.0368215,0.0120474,0.012926,0.0235454,0.025702,0.0159127,0.0139617,0.00885452,0.019033,0.0404078,0,0.0184407,0.0652429,0.0304034,0,0,0.0149794,0,0,0.0376974,0.0598941,0.0233329,0.0196876,0.0117566,0.041809,0.03609,0.0430425,0.0755618,0.0698138,0.0265948,0.0658224,0.0515161,0.0838935,0.0121371,0.0162068,0.0247846,0.0272976,0.0291427,0,0
