Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTHI,RTHIA
All Timesteps RMSE,0.0244486,0,0,0,0,0.0483894,0,0,0,0,0,0,0.0273517,0,0.0205264,0.069975,0,0,0.0183424,0,0,0.0370692,0.0701563,0.0210773,0.00763242,0.0189191,0.0351893,0.0352884,0.0461773,0.0559613,0.0374097,0.0120024,0.014294,0.0268168,0.0277669,0.0210512,0.0136333,0.0240185,0.021112,0.0401146,0,0.0152901,0.0632868,0.0306172,0,0,0.024769,0,0,0.0466587,0.0570956,0.0302352,0.0247621,0.0140741,0.0508547,0.0423105,0.0747075,0.0303381,0.060908,0.0368498,0.0470602,0.0795518,0.0197422,0.0163462,0.017752,0.0241938,0.0279705,0.0278218,0.0472361,0.0788371
0,0.0272656,0,0,0,0,0.0479858,0,0,0,0,0,0,0.0255297,0,0.0193209,0.069596,0,0,0.0212074,0,0,0.0397234,0.0681933,0.0194889,0.00855808,0.0205192,0.0388508,0.0335542,0.0478115,0.0587877,0.0402032,0.0116132,0.0137115,0.0258784,0.0270479,0.0207991,0.00833601,0.0321785,0.0234128,0.0510994,0,0.0131249,0.0647699,0.0346344,0,0,0.0295359,0,0,0.0498772,0.0501236,0.0369018,0.0341254,0.0147619,0.0580925,0.0504409,0.0767607,0.0306164,0.0557316,0.0329743,0.0421639,0.0747911,0.023245,0.0152463,0.0206993,0.0238681,0.028218,0.0255301,0,0
1,0.0271671,0,0,0,0,0.0479458,0,0,0,0,0,0,0.0254501,0,0.0193768,0.06965,0,0,0.0214229,0,0,0.0396575,0.068205,0.0194804,0.00856882,0.0205096,0.0387737,0.0335274,0.0478417,0.0588101,0.0401511,0.0116336,0.0137087,0.0258606,0.0270518,0.020869,0.00829067,0.0320866,0.0234902,0.0509791,0,0.0130706,0.0647844,0.0345829,0,0,0.0299084,0,0,0.0499048,0.0501557,0.0369033,0.0341355,0.0147607,0.0580152,0.050329,0.0767287,0.0305622,0.0557637,0.0329965,0.0422034,0.074863,0.0231197,0.0150162,0.0206169,0.0237494,0.0281095,0.0256622,0,0
2,0.0282382,0,0,0,0,0.0481752,0,0,0,0,0,0,0.030394,0,0,0.0713361,0,0,0.0212227,0,0,0.0395489,0.0666348,0.0174207,0.00737111,0.0212128,0.0390713,0.0329048,0,0.0611687,0.0403629,0.00907672,0.0102971,0.0265191,0.0270032,0.0135915,0.00853679,0.0321556,0.0234105,0.0505665,0,0.0132197,0.0638512,0.0349612,0,0,0.0294405,0,0,0.0496713,0.0500401,0.0368814,0.0337832,0.0146337,0.057725,0.0492381,0.0764668,0.0301239,0.0557721,0.0330248,0.0422461,0.0748225,0.0224934,0.0142627,0.0206926,0.0235464,0.0285079,0.024765,0,0
3,0.0270399,0,0,0,0,0.048027,0,0,0,0,0,0,0.025341,0,0.0194042,0.0696586,0,0,0.021448,0,0,0.0397175,0.0681845,0.0194762,0.00849278,0.0204669,0.0387693,0.0334835,0.0479555,0.0588067,0.0401609,0.0116374,0.0137117,0.025881,0.0270789,0.0210832,0.00825789,0.0322353,0.0235198,0.0508694,0,0.0130607,0.0648923,0.0343895,0,0,0.0299915,0,0,0.0499461,0.0500804,0.0368985,0.0341276,0.0147923,0.0579302,0.0502177,0.0767042,0.0305914,0.055736,0.0330935,0.0422305,0.0748397,0.0228898,0.0148594,0.0207006,0.0237317,0.0280001,0.0258128,0,0
4,0.0269782,0,0,0,0,0.0472578,0,0,0,0,0,0,0.0252752,0,0.0194155,0.0696445,0,0,0.0142471,0,0,0.0227982,0.0681207,0.0194311,0.00854301,0.0204587,0.0389393,0.0329585,0.0479918,0.0588249,0.0401638,0.0116007,0.0136013,0.0258976,0.0271016,0.0212518,0.0128325,0,0.0224781,0.0507775,0,0.013075,0.0647972,0.0350662,0,0,0.0298925,0,0,0.0498516,0.0499775,0.0369326,0.034341,0.0149377,0.0581739,0.0503655,0.0767559,0.0306665,0.0556605,0.0330291,0.0421488,0.0748003,0.0228614,0.0146099,0.0206783,0.0237436,0.0273154,0.0257849,0,0
5,0.0269498,0,0,0,0,0.0480825,0,0,0,0,0,0,0.0253422,0,0.0194268,0.0695222,0,0,0.0218303,0,0,0.0397159,0.0681351,0.0194102,0.00838854,0.0204857,0.03888,0.033531,0.0479962,0.0588598,0.0402428,0.0115841,0.0134225,0.0258727,0.027112,0.0213003,0.00804148,0.0319576,0.0235593,0.0508005,0,0.012991,0.0649234,0.034202,0,0,0.0301643,0,0,0.0499889,0.0499954,0.0368398,0.0341995,0.0149293,0.0578368,0.0503106,0.0767355,0.0306524,0.0557468,0.0331117,0.0422529,0.0748876,0.0228862,0.0150154,0.020746,0.0237649,0.0279979,0.0258886,0,0
6,0.0269211,0,0,0,0,0.0481051,0,0,0,0,0,0,0.0252912,0,0.0194448,0.0694875,0,0,0.02149,0,0,0.0397914,0.0681066,0.0194015,0.00833819,0.0204698,0.0390086,0.0334304,0.0480342,0.0588602,0.0402621,0.0115527,0.013372,0.0258614,0.0271356,0.0213858,0.00814857,0.0322744,0.023511,0.0508122,0,0.0129986,0.0649636,0.0341261,0,0,0.0302839,0,0,0.0500722,0.0499491,0.0368437,0.0342662,0.0150241,0.0578501,0.0503698,0.0767611,0.0306949,0.05578,0.0330768,0.0422611,0.0748794,0.0228948,0.0151837,0.0207521,0.0237617,0.0280049,0.0259119,0,0
7,0.026878,0,0,0,0,0.0481397,0,0,0,0,0,0,0.0253133,0,0.01946,0.0694696,0,0,0.0215447,0,0,0.0396826,0.0680877,0.0193908,0.00825442,0.0204789,0.0391169,0.0333951,0.0480488,0.0588855,0.0402405,0.0115522,0.0134143,0.0258751,0.027143,0.0214088,0.00810651,0.0321093,0.023717,0.050793,0,0.0129888,0.0650411,0.0340649,0,0,0.0304554,0,0,0.0501632,0.0499004,0.0368424,0.0342655,0.0151112,0.057826,0.0503843,0.0767668,0.0307359,0.0558199,0.033046,0.0422723,0.0748792,0.0228612,0.0153273,0.0207286,0.0237791,0.028043,0.0259425,0,0
8,0.0268359,0,0,0,0,0.0481675,0,0,0,0,0,0,0.0253605,0,0.0194597,0.069437,0,0,0.0216046,0,0,0.0394822,0.068075,0.0193745,0.00819384,0.0205054,0.0391934,0.0333673,0.0480433,0.0589306,0.0401967,0.0115447,0.0134874,0.0259123,0.0271609,0.0213772,0.00807701,0.0318536,0.0240333,0.0508074,0,0.0129976,0.0651364,0.0340326,0,0,0.0306123,0,0,0.0502318,0.0498532,0.0368112,0.0342383,0.0151863,0.0577866,0.0503756,0.0767614,0.0307693,0.0558539,0.0330377,0.042284,0.0749034,0.0228139,0.0154453,0.0207509,0.0238406,0.0280746,0.0259815,0,0
