Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,LWRA,RTIBA,
All Timesteps RMSE,0.023616,0,0,0,0,0.0481166,0,0,0,0,0,0,0.0292057,0,0.0197311,0.0696625,0,0,0.0228213,0,0,0.0382288,0.0696054,0.0208736,0.00781905,0.0176038,0.0367088,0.0391896,0.046831,0.0576092,0.0371347,0.0110411,0.012991,0.027123,0.0278241,0.0228259,0.0120036,0.0230561,0.0340376,0,0.0151924,0.0628264,0.0338504,0,0,0.0155739,0,0,0.0495738,0.0585367,0.0305738,0.0201434,0.0118653,0.0473892,0.0408936,0.0461851,0.0793988,0.0745702,0.0295604,0.0621841,0.0478669,0.0797664,0.0250795,0.0205355,0.0250159,0.0285761,0.0281622,0.0282373,0.0275269,0.0390016,0
0,0.0225629,0,0,0,0,0.0474717,0,0,0,0,0,0,0.0283763,0,0.0207377,0.0687288,0,0,0.0141458,0,0,0.0299523,0.0730708,0.0195121,0.00800881,0.0180876,0.0322325,0.037749,0.0453753,0.0551239,0.0374894,0.011348,0.0145085,0.0275069,0.0276347,0.0174593,0.0125213,0.0205906,0.0397089,0,0.0212067,0.064552,0.0301458,0,0,0.0216841,0,0,0.0454211,0.0587092,0.0225372,0.0176987,0.0178425,0.0425107,0.0458637,0.0458959,0.0770672,0.0695591,0.0266942,0.0658982,0.0516431,0.0843555,0.01193,0.0187542,0.00758486,0.0294793,0.0278884,0.0265655,0,0,0
1,0.0224843,0,0,0,0,0.047837,0,0,0,0,0,0,0.0280941,0,0.0210296,0.0687502,0,0,0.0182378,0,0,0.034573,0.0726103,0.0192853,0.00802075,0.0182449,0.0331833,0.0394528,0.0455126,0.0554527,0.037832,0.011494,0.0145501,0.0273348,0.0274951,0.0177701,0.0103664,0.018277,0.0395508,0,0.0210856,0.0645302,0.0310148,0,0,0.0118,0,0,0.0482553,0.0587102,0.0226167,0.0178409,0.0175028,0.0428738,0.0441352,0.0457364,0.0770634,0.0695404,0.0265623,0.0659399,0.0516961,0.0843443,0.0120313,0.0217053,0.00852601,0.0296867,0.0285192,0.0264161,0.00695072,0,0
2,0.0220846,0,0,0,0,0.0467894,0,0,0,0,0,0,0.0281483,0,0.0213561,0.0689856,0,0,0.0153645,0,0,0.0296605,0.0724236,0.0190828,0.00799613,0.0182559,0.0328461,0.0384399,0.0453314,0.0553471,0.037817,0.0115824,0.0143712,0.0271616,0.0273643,0.0178557,0.011179,0.0206087,0.0393278,0,0.0210522,0.0645157,0.0314025,0,0,0.01179,0,0,0.0483111,0.0588876,0.0226036,0.0179072,0.017456,0.0429586,0.0435678,0.0457007,0.0769473,0.0694844,0.0265041,0.0660694,0.0517711,0.0844183,0.0121352,0.0212301,0.00830357,0.0296768,0.0275183,0.0265472,0,0,0
3,0.021758,0,0,0,0,0.0471981,0,0,0,0,0,0,0.0281685,0,0.0216777,0.0693822,0,0,0.0187994,0,0,0.0344785,0.0723856,0.0188851,0.00794615,0.0181612,0.0322497,0.0403729,0.0450099,0.0550836,0.0374727,0.0115259,0.0141243,0.0269652,0.0272513,0.0178253,0.00997877,0.0182722,0.0391473,0,0.0210157,0.0644978,0.0314909,0,0,0.0110893,0,0,0.0480453,0.0590744,0.0224727,0.0179446,0.0174514,0.0428776,0.0428516,0.0456489,0.0768546,0.0694251,0.0265073,0.0661426,0.0517878,0.084492,0.0121809,0.0214163,0.00817041,0.029124,0.027858,0.0267615,0.00701145,0,0
4,0.0210513,0,0,0,0,0.0470891,0,0,0,0,0,0,0.0283373,0,0.0219681,0.069588,0,0,0.0295228,0,0,0.0255189,0.0726261,0.0187085,0.00836495,0.017921,0.0316139,0.0412873,0.0444951,0.0546218,0.0370297,0.0114819,0.013842,0.0266538,0.027094,0.0175427,0.00660238,0.0190554,0.0391377,0,0.0211139,0.0647638,0.032021,0,0,0.0104419,0,0,0.0478137,0.059459,0.022213,0.0175733,0.0175452,0.0421365,0.042146,0.0452498,0.0765681,0.0691987,0.02639,0.0664262,0.0521055,0.0847969,0.012181,0.0216163,0.00802234,0.0286957,0.0276386,0.0270731,0,0,0
5,0.0205201,0,0,0,0,0.0459229,0,0,0,0,0,0,0.0279007,0,0.0220068,0.0688112,0,0,0.0168513,0,0,0.0297592,0.0725366,0.0185227,0.00702611,0.0174113,0.0326158,0.04059,0.0445002,0.0542263,0.0360058,0.0113519,0.013681,0.0264703,0.0269806,0.0180809,0.0105661,0.0214881,0.0358523,0,0.0222543,0.0638777,0.0309526,0,0,0.0111267,0,0,0.047809,0.0618217,0.0196939,0.0148221,0.0204468,0.0420327,0.0419518,0.0437006,0.0739088,0.0665102,0.0246739,0.0690231,0,0.0877678,0.0137335,0.020369,0.0079337,0.0288529,0.0261422,0.0282312,0,0,0
6,0.0215292,0,0,0,0,0.0462588,0,0,0,0,0,0,0.0282102,0,0.0218787,0.0698801,0,0,0.0156238,0,0,0.0296807,0.0726739,0.0184734,0.00879853,0.0175626,0.0311764,0.0389558,0.0443706,0.0542884,0.0361544,0.0114264,0.0136159,0.0265342,0.0271203,0.017653,0.0110558,0.0207198,0.0431234,0,0.0203292,0.0650682,0.0317292,0,0,0.0109737,0,0,0.0476647,0.0584488,0.022029,0.0192122,0.027837,0.0431062,0.0413978,0,0.0771563,0.065305,0.0241424,0.0670987,0,0.0860727,0.0111368,0.0201059,0.00786544,0.0285166,0.0267754,0.0269542,0,0.0419131,0
7,0.0210795,0,0,0,0,0.0460115,0,0,0,0,0,0,0.0284306,0,0.0218229,0.0695425,0,0,0.0158836,0,0,0.0297353,0.0729326,0.018404,0.0084352,0.0174066,0.0314218,0.0396506,0.0441125,0.0539938,0.035692,0.0115068,0.013724,0.0265626,0.0271422,0.0173178,0.0111445,0.0213541,0.032698,0,0.0208857,0.0646017,0.0313668,0,0,0.0112371,0,0,0.0477177,0.0604547,0.0205604,0.0175908,0.0210353,0.042542,0.0412259,0.0448999,0.0752435,0.067848,0.0260028,0.0674036,0,0.0865371,0.0164404,0.0196385,0.0078766,0.0282478,0.0263183,0.0276369,0,0.0393408,0
8,0.021227,0,0,0,0,0.0460185,0,0,0,0,0,0,0.0286793,0,0.0216658,0.0695552,0,0,0.0157673,0,0,0.029759,0.0729714,0.0184515,0.00858648,0.0174528,0.0311085,0.0395238,0.0440429,0.0538924,0.0354722,0.0116615,0.0141237,0.0267494,0.0272862,0.0170068,0.0113109,0.0214341,0.0309704,0,0.0209765,0.0647187,0.0315179,0,0,0.0114606,0,0,0.0477356,0.0604026,0.0204473,0.0178776,0.020245,0.042604,0.0411222,0.0446826,0.0753439,0.0683759,0.0264242,0.0672327,0,0.0864719,0.0179625,0.019393,0.00786017,0.0281321,0.0263308,0.0275685,0,0.0444079,0
