Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTHI
All Timesteps RMSE,0.0217152,0,0,0,0,0.0490254,0,0,0,0,0,0,0.0262873,0,0.0199111,0.0665583,0,0,0.0221521,0,0,0.0366607,0.0678625,0.0218442,0.00813429,0.0209087,0.0380598,0.0340993,0.048106,0.0599433,0.0419928,0.0122012,0.0126616,0.0277968,0.0289819,0.0226625,0.0133268,0.0321505,0.0229554,0.0389498,0,0.0142683,0.0658327,0.0316186,0,0,0.0208885,0,0,0.0471506,0.0575316,0.030789,0.0245691,0.0138498,0.0514929,0.041424,0.0822557,0.075986,0.0317865,0.0609619,0.0369722,0.0466474,0.0791241,0.0215158,0.0191521,0.0202677,0.0208202,0.0294931,0.0298074,0.0492712
0,0.0226343,0,0,0,0,0.0508795,0,0,0,0,0,0,0.0242594,0,0.0217835,0.0661458,0,0,0.023092,0,0,0.0430351,0.0700911,0.0262085,0.00693295,0.0197327,0.0339066,0.0247302,0.0483211,0.0575701,0.0423322,0.0141723,0.0146121,0.0287551,0.0302308,0.0239654,0.0111909,0.0430115,0.0294519,0.0381339,0,0.013749,0.0674589,0.0340469,0,0,0.0200628,0,0,0.0479314,0.05599,0.028182,0.0266032,0.0191185,0.0534366,0.0417629,0.0842615,0.0762536,0.0325907,0.0615232,0.0366987,0.0479556,0.0800183,0.014424,0.021571,0.0200477,0.0194905,0.0331113,0.0261169,0
1,0.022589,0,0,0,0,0.0509692,0,0,0,0,0,0,0.0241011,0,0.021751,0.0662098,0,0,0.0221975,0,0,0.044008,0.070095,0.0263315,0.00703983,0.0197882,0.0339526,0.0247233,0.0488205,0.0574206,0.0422783,0.0146536,0.0147731,0.0288189,0.0301921,0.0241785,0.0113436,0.043062,0.0285842,0.0373869,0,0.0138359,0.0672954,0.0340204,0,0,0.0202548,0,0,0.0480535,0.0559933,0.0282535,0.0266429,0.0190247,0.0533893,0.0420644,0.0842235,0.076216,0.0324599,0.0613921,0.0367071,0.04786,0.0798611,0.0147468,0.0215759,0.0200125,0.0195695,0.0330654,0.0261801,0
2,0.0225439,0,0,0,0,0.0509985,0,0,0,0,0,0,0.0239788,0,0.0216571,0.0662291,0,0,0.0222651,0,0,0.0439897,0.0701061,0.0263174,0.00702387,0.019871,0.0339401,0.024749,0.048906,0.0573217,0.0422406,0.0146984,0.0149846,0.028869,0.0302038,0.0242196,0.0113798,0.0428224,0.0282634,0.0366955,0,0.0140118,0.0671229,0.0340803,0,0,0.020281,0,0,0.0480429,0.0560195,0.0285255,0.0266059,0.0190096,0.0533247,0.0422975,0.0841675,0.0760736,0.0322964,0.0612392,0.0366918,0.0477313,0.0797131,0.0150491,0.0216171,0.0199769,0.0196369,0.0330834,0.0262568,0
3,0.0222805,0,0,0,0,0.050009,0,0,0,0,0,0,0.0239757,0,0.0216023,0.0663405,0,0,0.0181162,0,0,0.0251406,0.0701408,0.0262172,0.00702344,0.0200934,0.0338719,0.0261511,0.0487258,0.0573099,0.0422484,0.0146501,0.0151951,0.0288975,0.0301872,0.0242288,0.0120105,0,0.0211835,0.0361661,0,0.0142445,0.0670283,0.0351737,0,0,0.0202896,0,0,0.047929,0.0560872,0.0287765,0.0264426,0.0189769,0.0531777,0.0422977,0.0841019,0.07582,0.032074,0.0611983,0.0366909,0.0476138,0.0796591,0.0153015,0.0213115,0.0198722,0.0197016,0.0321716,0.0264262,0
4,0.0222681,0,0,0,0,0.0500253,0,0,0,0,0,0,0.0241371,0,0.0215718,0.0664365,0,0,0.0182101,0,0,0.0251385,0.0701257,0.0260805,0.00702594,0.020337,0.0339116,0.0262552,0.0486754,0.0572972,0.0422791,0.0145887,0.0153244,0.0289113,0.0301376,0.0242309,0.0119206,0,0.0212571,0.0357091,0,0.014469,0.0669776,0.0352311,0,0,0.0203494,0,0,0.0478953,0.0560459,0.0289705,0.0264625,0.0189739,0.0532056,0.0425101,0.0841137,0.0756389,0.0318988,0.0611142,0.0366547,0.0475466,0.0795187,0.0155255,0.021484,0.0197759,0.019699,0.0321993,0.026532,0
5,0.0224674,0,0,0,0,0.0510026,0,0,0,0,0,0,0.0239706,0,0.0215829,0.0665286,0,0,0.0227877,0,0,0.0435946,0.0700864,0.0260503,0.00701574,0.0205858,0.0339987,0.0250449,0.0486284,0.057455,0.0422859,0.0144397,0.0153985,0.0289003,0.030019,0.0245278,0.0108524,0.0415331,0.02757,0.0356196,0,0.0146593,0.0669271,0.0342538,0,0,0.0204439,0,0,0.0478869,0.0558693,0.0291547,0.0266382,0.0189732,0.0533467,0.0430513,0.0842636,0.075651,0.0318342,0.0609449,0.0365854,0.0478969,0.0792122,0.0155846,0.0220877,0.0196409,0.0196845,0.0330895,0.0266066,0
6,0.0242672,0,0,0,0,0.0535097,0,0,0,0,0,0,0.0286562,0,0,0.0673118,0,0,0.0226353,0,0,0.0435591,0.0676528,0.0234239,0.00274922,0.0223175,0.0370097,0.0252914,0,0.0610424,0.0435075,0.0117377,0.0124513,0.0298334,0.0300158,0.0153143,0.0102976,0.041874,0.0279964,0.0363515,0,0.0143615,0.065892,0.0371602,0,0,0.0164014,0,0,0.0506262,0.0552817,0.0299417,0.0256236,0.017389,0.0539622,0.0375445,0.0850991,0.0761003,0.031679,0.0604215,0.0364577,0.0482464,0.0784482,0.0153264,0.0296049,0.0271069,0.0197599,0.035261,0.0245208,0
7,0.0223628,0,0,0,0,0.0509694,0,0,0,0,0,0,0.0239521,0,0.0213788,0.0666547,0,0,0.0226694,0,0,0.0435748,0.0699744,0.025756,0.00686137,0.0209487,0.0343467,0.0254694,0.0485054,0.0575041,0.0422441,0.0144084,0.0156567,0.0288227,0.0298131,0.0244677,0.0108189,0.0418966,0.028021,0.0367786,0,0.0143276,0.0666711,0.0343613,0,0,0.020619,0,0,0.0478085,0.0556597,0.0295091,0.0264891,0.0171883,0.0535093,0.0437038,0.0846734,0.0760164,0.0318015,0.0607554,0.0368615,0.0478811,0.0787989,0.0151884,0.0218069,0.0194587,0.0197475,0.0328713,0.0269474,0
8,0.0223442,0,0,0,0,0.0509285,0,0,0,0,0,0,0.0241293,0,0.0212468,0.0665851,0,0,0.0226517,0,0,0.0435396,0.069899,0.0255967,0.00681189,0.0211271,0.0346507,0.0255809,0.0483782,0.057511,0.0422904,0.0145109,0.0157396,0.0288067,0.0297814,0.0241843,0.0107113,0.0418064,0.0279555,0.0364408,0,0.0144398,0.0666286,0.0344778,0,0,0.0207392,0,0,0.0477346,0.0556234,0.029419,0.0264906,0.0171233,0.0536664,0.0439941,0.084695,0.075996,0.0317482,0.0608432,0.0369134,0.0473678,0.0788437,0.0153148,0.0212817,0.0193928,0.0198023,0.0328015,0.0270982,0
