Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTHI,
All Timesteps RMSE,0.0276565,0,0,0,0,0.0429074,0,0,0,0,0,0,0.0305537,0,0.0189729,0.0789972,0,0,0.0205358,0,0,0.0359283,0.0703683,0.0196774,0.0128361,0.0148738,0.0289359,0.0362423,0.0440185,0.0415296,0.0506538,0.0303069,0.0111383,0.0128365,0.0274749,0.0287981,0.0197561,0.010997,0.027177,0.0209372,0.0451881,0,0.0150374,0.0624959,0.0343525,0,0,0.0207576,0,0,0.0472008,0.0572315,0.0385938,0.027338,0.0201306,0.0492095,0.041151,0.0477636,0.0558743,0.0279224,0.0545005,0.034887,0.0399822,0.0724783,0.0295763,0.0168566,0.0258136,0.0219531,0.022841,0.0259843,0.0262998,0
0,0.0235105,0,0,0,0,0.0464043,0,0,0,0,0,0,0.0310982,0,0.0213252,0.0813384,0,0,0.018143,0,0,0.0350581,0.0723398,0.0182581,0.0177829,0.014573,0.0196122,0.0338347,0.0280077,0.0381416,0.0467351,0.0316641,0.0117049,0.0115297,0.0274023,0.0285749,0.0146468,0.0122916,0.00950517,0.0136614,0.0483257,0,0.014584,0.0670599,0.0325485,0,0,0.0231065,0,0,0.0422722,0.0571414,0.0304856,0.029715,0.0237192,0.0453542,0.0416238,0.0489236,0.0524431,0.0286792,0.0570175,0.0380031,0.0423006,0.0759122,0.0190146,0.0175027,0.00745755,0.0227757,0.0275335,0.0233086,0,0
1,0.0235551,0,0,0,0,0.0463727,0,0,0,0,0,0,0.030709,0,0.0213767,0.0812918,0,0,0.0188851,0,0,0.034044,0.0723497,0.01826,0.0177418,0.0147742,0.0196773,0.0338252,0.0281533,0.0381557,0.0467852,0.0316637,0.0115706,0.0115457,0.0273938,0.0284285,0.0150742,0.012447,0.00924691,0.0137672,0.0479875,0,0.0146509,0.0670218,0.0326318,0,0,0.0236663,0,0,0.0417172,0.057105,0.0303663,0.0297188,0.0238064,0.0454098,0.0414562,0.0488915,0.0523407,0.0284962,0.0570521,0.0379257,0.0423441,0.0759225,0.0187658,0.0179094,0.00720368,0.023371,0.0274862,0.0232629,0,0
2,0.0236467,0,0,0,0,0.0462849,0,0,0,0,0,0,0.0307782,0,0.021299,0.0812624,0,0,0.0189131,0,0,0.0341701,0.0722561,0.0181913,0.0176856,0.014738,0.0197253,0.0336324,0.0282077,0.0382071,0.0468462,0.031688,0.0115906,0.0115006,0.0274083,0.0284896,0.0150156,0.012323,0.0092582,0.0138452,0.0479182,0,0.0146353,0.0670273,0.0327385,0,0,0.0236132,0,0,0.041666,0.0570274,0.030305,0.0297057,0.02376,0.0454177,0.04151,0.0488729,0.0523381,0.028356,0.0570303,0.0379118,0.0423382,0.0759152,0.0187041,0.0183521,0.00732854,0.0233193,0.0275199,0.0232172,0,0
3,0.0235698,0,0,0,0,0.0462208,0,0,0,0,0,0,0.0307715,0,0.0212891,0.0812552,0,0,0.018965,0,0,0.0343614,0.0723493,0.0179406,0.0177512,0.0147353,0.0196033,0.0337457,0.0281325,0.0381061,0.0468087,0.0316302,0.011529,0.0114981,0.0273153,0.0284032,0.0150628,0.0124159,0.00927285,0.0138814,0.0479819,0,0.0146482,0.0670877,0.0326362,0,0,0.0235594,0,0,0.0417524,0.0570658,0.0303177,0.0296799,0.0237662,0.0454098,0.0416197,0.0488537,0.0523221,0.028497,0.0570512,0.0379449,0.0423503,0.0759615,0.0187397,0.0181975,0.00732254,0.0234053,0.0274321,0.0232943,0,0
4,0.0235461,0,0,0,0,0.0461138,0,0,0,0,0,0,0.0308107,0,0.0212655,0.081226,0,0,0.0189974,0,0,0.0343906,0.0724024,0.0178043,0.0177849,0.0147564,0.0195561,0.0337692,0.0279973,0.0380567,0.0468074,0.0316399,0.011541,0.0115689,0.0273075,0.0283972,0.0150173,0.012398,0.00927805,0.0139027,0.0479459,0,0.0146645,0.0671667,0.0325879,0,0,0.0235158,0,0,0.0417433,0.0570155,0.0303231,0.0296736,0.0237955,0.0453854,0.0417764,0.0488923,0.0522662,0.0290773,0.0570224,0.0379169,0.0423401,0.0759526,0.018726,0.0183249,0.00734603,0.0232456,0.0273659,0.0233599,0,0
5,0.0235277,0,0,0,0,0.0459942,0,0,0,0,0,0,0.0309044,0,0.0213102,0.0812056,0,0,0.0189809,0,0,0.0342621,0.0724437,0.0178158,0.0177959,0.014811,0.0195358,0.0338263,0.0279121,0.0380145,0.0467739,0.0316546,0.0115918,0.011608,0.0273156,0.028392,0.0148857,0.0123754,0.00924131,0.0139112,0.0479147,0,0.0146739,0.0671935,0.0324959,0,0,0.0234833,0,0,0.0416575,0.0569815,0.0303584,0.0296244,0.0238193,0.0453622,0.0419392,0.0489009,0.0522379,0.0293232,0.0570439,0.0379396,0.0423598,0.0759447,0.0187146,0.0184236,0.00735104,0.0228868,0.027265,0.0234444,0,0
6,0.0234862,0,0,0,0,0.0458549,0,0,0,0,0,0,0.0310257,0,0.0213989,0.081193,0,0,0.0189787,0,0,0.0342343,0.0725151,0.0179554,0.0178251,0.0147874,0.0195562,0.0338965,0.0279192,0.0379285,0.0467171,0.0316682,0.0115405,0.0115025,0.0273005,0.0283569,0.0147327,0.0123425,0.00920968,0.0139382,0.0479378,0,0.0146618,0.0671318,0.0323955,0,0,0.0234532,0,0,0.0416367,0.0569984,0.0302914,0.0295816,0.0238379,0.0453372,0.0421414,0.0488734,0.052234,0.0293638,0.0570765,0.0379685,0.0423799,0.075944,0.0187178,0.0185126,0.00740098,0.0227566,0.0271623,0.0235741,0,0
7,0.0233412,0,0,0,0,0.0457846,0,0,0,0,0,0,0.0311827,0,0.0215007,0.0812098,0,0,0.0190048,0,0,0.0342378,0.072635,0.0180879,0.017927,0.0146688,0.0195585,0.034119,0.0279719,0.0378255,0.0465967,0.031675,0.0114902,0.01143,0.027241,0.0283176,0.0145302,0.0124064,0.00925588,0.0137585,0.048011,0,0.0146607,0.0670133,0.0322893,0,0,0.0234261,0,0,0.0416804,0.057099,0.0302596,0.0296284,0.0238544,0.0452952,0.0422484,0.0487952,0.0522432,0.0294315,0.0571184,0.0380233,0.0424225,0.0759668,0.0187779,0.0182815,0.00739574,0.0228777,0.0270272,0.0237223,0,0
8,0.023204,0,0,0,0,0.0457312,0,0,0,0,0,0,0.0313048,0,0.0215151,0.0811627,0,0,0.0189998,0,0,0.0341819,0.072735,0.0178704,0.0179643,0.0146098,0.0195887,0.0344024,0.0279789,0.0377254,0.0465103,0.0316946,0.011518,0.0114611,0.0271967,0.0282893,0.0144007,0.0124787,0.00930895,0.0136352,0.0480784,0,0.0146343,0.0669689,0.032244,0,0,0.0234348,0,0,0.0416924,0.05717,0.0301538,0.0296605,0.0238648,0.0452174,0.0421558,0.0487279,0.0522478,0.0294707,0.0571741,0.0380816,0.0424394,0.0759963,0.0188009,0.0179887,0.0073121,0.0229882,0.0268538,0.0238122,0,0
