Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,RTHIA,RWRB,L5FT,LTOE,
All Timesteps RMSE,0.034554,0,0,0,0,0.0433974,0,0,0,0,0,0,0,0.018348,0.0693249,0,0,0.0179569,0,0,0.0374775,0.0699652,0.0197386,0.00570725,0.0189888,0.038355,0.0323187,0.0453901,0.0534829,0.0337324,0.0108535,0.0145966,0.0281051,0.0280558,0.014311,0.025457,0.0192863,0.0362141,0,0.0192973,0.066792,0.0380064,0,0,0.0196427,0,0,0.0443424,0.0516475,0.042688,0.0304281,0.0162458,0.0529435,0.0393944,0.0333525,0.0574294,0.0208927,0.0520956,0.0294358,0.0382591,0.0710655,0.029437,0.0151142,0.0214993,0.0252128,0.0209974,0.0597586,0.0208478,0.0297053,0.0180022,0
0,0.0408786,0,0,0,0,0.0426028,0,0,0,0,0,0,0,0.0158327,0.0690142,0,0,0.0202034,0,0,0.0398889,0.0714287,0.0228167,0.0024095,0.0148793,0.0377893,0.0227217,0.0442066,0.052519,0.0343274,0.0101978,0.012797,0.0229621,0.0254786,0.0174286,0.0318555,0.0185069,0.0408137,0,0.0202853,0.0698978,0.0423234,0,0,0.0262274,0,0,0.0465481,0.0466245,0.0430151,0.0310803,0.0153246,0.0489619,0.0381521,0.0353409,0.0575696,0.0214888,0.0487323,0.0305427,0.0352057,0.0690162,0.0192613,0.00890312,0.0237605,0.0251861,0.0136974,0,0,0,0,0
1,0.0409276,0,0,0,0,0.0426313,0,0,0,0,0,0,0,0.0158434,0.0690236,0,0,0.0202599,0,0,0.0399141,0.0714529,0.0229318,0.00241226,0.0149455,0.0379515,0.0227289,0.0440896,0.0526373,0.0344019,0.0102049,0.0127714,0.0229937,0.0254856,0.017365,0.0318038,0.0184515,0.0409134,0,0.0202245,0.0700334,0.0423086,0,0,0.0262604,0,0,0.0465078,0.0466247,0.0429422,0.0310815,0.0153266,0.0491084,0.0381566,0.0353209,0.0575514,0.0214403,0.0487116,0.030511,0.0352084,0.0691812,0.0192258,0.00926109,0.0236975,0.0255762,0.0136098,0,0,0,0,0
2,0.0409776,0,0,0,0,0.0426723,0,0,0,0,0,0,0,0.0158331,0.0690091,0,0,0.0202848,0,0,0.0399344,0.0714013,0.0230155,0.00230565,0.015155,0.0379255,0.0228492,0.0441684,0.0527244,0.0344964,0.0102015,0.0128736,0.023075,0.0255441,0.0172389,0.0317867,0.018561,0.0410163,0,0.0201932,0.0701714,0.0423082,0,0,0.0263622,0,0,0.0464577,0.0465925,0.042902,0.0310719,0.015297,0.0489286,0.0383074,0.0351461,0.0575649,0.0213993,0.0487231,0.0305153,0.035227,0.0691076,0.0192459,0.00972656,0.0236449,0.0256369,0.0134595,0,0,0,0,0
3,0.0410466,0,0,0,0,0.0427331,0,0,0,0,0,0,0,0.0158795,0.068943,0,0,0.020295,0,0,0.0399278,0.0713587,0.0230308,0.00222801,0.0151821,0.0381488,0.0228568,0.0442641,0.0527981,0.0344352,0.0102349,0.0130188,0.0231011,0.0255649,0.0171868,0.0317362,0.0185952,0.0411042,0,0.0201999,0.070211,0.042327,0,0,0.0264245,0,0,0.0464545,0.0465582,0.0428517,0.0311173,0.0152821,0.0490417,0.0384494,0.0349992,0.0575903,0.0214226,0.0487517,0.0305112,0.0351927,0.0690807,0.0192806,0.00995029,0.0236173,0.0256703,0.0134554,0,0,0,0,0
4,0.0410968,0,0,0,0,0.0426993,0,0,0,0,0,0,0,0.0159221,0.0688694,0,0,0.0202983,0,0,0.0398944,0.0713089,0.0230536,0.00211415,0.015132,0.0383841,0.0228459,0.0443753,0.0528752,0.0344432,0.0102511,0.0130805,0.0231399,0.0256069,0.0171009,0.0316037,0.018554,0.0411658,0,0.0201728,0.0701062,0.0423503,0,0,0.0264192,0,0,0.046427,0.0465109,0.0428348,0.0311216,0.0152892,0.049129,0.0385831,0.0350428,0.0575987,0.0214248,0.0487842,0.0304999,0.0351507,0.0691537,0.0192634,0.00981849,0.0235716,0.025849,0.013576,0,0,0,0,0
5,0.0411064,0,0,0,0,0.0425898,0,0,0,0,0,0,0,0.0158691,0.0687733,0,0,0.0202757,0,0,0.0398277,0.0712911,0.0229108,0.00203022,0.0150615,0.0385565,0.0228624,0.0444509,0.0529072,0.0344798,0.0102371,0.0131271,0.0231411,0.0256184,0.0169932,0.0314644,0.0185238,0.0412101,0,0.0201223,0.0698411,0.0424035,0,0,0.0263598,0,0,0.0464012,0.0464484,0.0428217,0.0311362,0.0153063,0.0491892,0.0386518,0.0351307,0.0575923,0.0213884,0.0488002,0.0304363,0.0350837,0.069289,0.0192162,0.00963872,0.0235293,0.0258612,0.0137619,0,0,0,0,0
6,0.0410941,0,0,0,0,0.0424956,0,0,0,0,0,0,0,0.0158018,0.0686893,0,0,0.020312,0,0,0.0397645,0.0712578,0.0228649,0.00193377,0.0149643,0.038709,0.0229445,0.0445265,0.0529741,0.0345258,0.010118,0.0131131,0.023115,0.025594,0.0168522,0.0313571,0.0184984,0.0413347,0,0.0201174,0.0695769,0.0424712,0,0,0.0263261,0,0,0.0463573,0.0464061,0.0428027,0.0311164,0.0152882,0.0492486,0.038635,0.0352318,0.0575837,0.0212918,0.0488121,0.0303493,0.0351057,0.0693003,0.0191859,0.010108,0.0234888,0.0256681,0.0139713,0,0,0,0,0
7,0.0410594,0,0,0,0,0.0424145,0,0,0,0,0,0,0,0.0157871,0.0686581,0,0,0.0204135,0,0,0.0397063,0.071257,0.0229387,0.00189671,0.0152098,0.0388821,0.0230793,0.0445211,0.0529642,0.0345304,0.00995781,0.0131751,0.0231234,0.0256221,0.0166691,0.0312861,0.0185091,0.0415276,0,0.0200756,0.0696366,0.0425397,0,0,0.0262734,0,0,0.046408,0.0463897,0.0427761,0.0310774,0.0152633,0.0493569,0.0385864,0.0353348,0.0575445,0.0212217,0.0488514,0.0302435,0.0350356,0.0692145,0.0191644,0.0105872,0.0235066,0.0255145,0.0141927,0,0,0,0,0
8,0.0410354,0,0,0,0,0.042361,0,0,0,0,0,0,0,0.0157702,0.0685729,0,0,0.020477,0,0,0.0396609,0.0712676,0.0231026,0.00189036,0.0154501,0.0390773,0.0232166,0.0445002,0.052909,0.0344925,0.00993638,0.0131458,0.02311,0.0256609,0.0165696,0.0311708,0.0184979,0.0417816,0,0.020033,0.069654,0.0426269,0,0,0.0261804,0,0,0.0464182,0.0463422,0.0427751,0.031032,0.015246,0.0494841,0.0386015,0.0353992,0.0574709,0.0211828,0.0488739,0.0301876,0.0351226,0.0691664,0.0191538,0.0109756,0.0234734,0.0254035,0.014391,0,0,0,0,0
