Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,LWRA,
All Timesteps RMSE,0.0319923,0,0,0,0,0.043484,0,0,0,0,0,0,0.0250581,0,0.0226851,0.0703132,0,0,0.0176945,0,0,0.0369434,0.0723335,0.021716,0.0133265,0.0137789,0.0340865,0.031678,0.0356004,0.0456096,0.0501617,0.0271787,0.0122797,0.0149551,0.0292254,0.0300474,0.0268144,0.0133416,0.0191999,0.0331592,0,0.0176025,0.0713453,0.0367876,0,0,0.0157152,0,0,0.0468895,0.0524651,0.0426676,0.0398135,0.0180376,0.0574872,0.0382394,0.0358052,0.0529408,0.0522325,0.0194464,0.053454,0.0325477,0.0389713,0.0702813,0.0331589,0.0170929,0.0261314,0.0212666,0.0246112,0.0234899,0.0274062,0
0,0.0248253,0,0,0,0,0.0465617,0,0,0,0,0,0,0.0214923,0,0.0244694,0.0713775,0,0,0.0116504,0,0,0.028847,0.0752204,0.0237351,0.0138864,0.01481,0.0263835,0.0292242,0.0369266,0.0440316,0.0469581,0.02838,0.0135628,0.0147805,0.0281076,0.0289422,0.0282239,0.0129582,0.0180951,0.0405457,0,0.0137827,0.0723831,0.0324212,0,0,0.0178077,0,0,0.042214,0.0518158,0.0381772,0.0373936,0.020392,0.0499858,0.0395603,0.0321394,0.0523228,0.050273,0.0223504,0.0553689,0.0324726,0.0410169,0.0727683,0.0151653,0.0174075,0.00713565,0.0238128,0.0280126,0.0235975,0,0
1,0.0248636,0,0,0,0,0.0466387,0,0,0,0,0,0,0.0215338,0,0.0247724,0.0715375,0,0,0.0114912,0,0,0.0286937,0.0751492,0.0235224,0.0136822,0.0145461,0.0264622,0.0294772,0.0371518,0.0440716,0.0467968,0.0281807,0.0135449,0.0148992,0.0281484,0.0289646,0.0285528,0.0130204,0.0181227,0.0388569,0,0.0141732,0.071946,0.0323826,0,0,0.0179559,0,0,0.0422427,0.0524532,0.0394576,0.0369869,0.0205954,0.0502273,0.0395086,0.0322068,0.0523406,0.0503215,0.0222289,0.0549237,0.0322844,0.040792,0.0723208,0.0157836,0.0171414,0.00724046,0.0238922,0.0279472,0.0236131,0,0
2,0.0244098,0,0,0,0,0.0465584,0,0,0,0,0,0,0.0213531,0,0.0249818,0.0709263,0,0,0.0115365,0,0,0.0288475,0.0748689,0.0231677,0.0124666,0.0140988,0.0272975,0.0303095,0.036964,0.044242,0.046559,0.0272699,0.0135644,0.0150577,0.0281174,0.0289386,0.0291931,0.0126776,0.0186898,0.0403036,0,0.0145957,0.0705929,0.0319948,0,0,0.0182063,0,0,0.0422007,0.0544165,0.0387571,0.0347605,0.0219853,0.0498659,0.0393887,0.031948,0.0518802,0.0500188,0.0226707,0.0556939,0,0.0411895,0.0723861,0.0155195,0.0169436,0.00737141,0.0238545,0.027546,0.0242942,0,0
3,0.02483,0,0,0,0,0.0466365,0,0,0,0,0,0,0.0214285,0,0.0252588,0.0708924,0,0,0.011081,0,0,0.0290565,0.0747537,0.0232672,0.012982,0.0143621,0.0270866,0.0298994,0.037238,0.0442648,0.046607,0.0271644,0.0137507,0.0151881,0.0281125,0.0290055,0.0291424,0.0130037,0.0186335,0.0348822,0,0.0148263,0.0708203,0.0324023,0,0,0.0183368,0,0,0.0422089,0.053854,0.0410636,0.0359837,0.0205279,0.0507533,0.0392757,0.0315824,0.0525112,0.0508672,0.0218966,0.0543611,0.0316876,0.0400632,0.0712872,0.0179599,0.0170335,0.0073511,0.0239837,0.0278018,0.0237685,0,0
4,0.0247499,0,0,0,0,0.0465608,0,0,0,0,0,0,0.0212701,0,0.0255233,0.0708572,0,0,0.0107906,0,0,0.0290932,0.074569,0.0235713,0.0124737,0.0144859,0.0275999,0.0300699,0.0372035,0.0443205,0.0465276,0.0266286,0.0139936,0.0151876,0.0280604,0.0290078,0.0294628,0.013055,0.0188011,0.0326112,0,0.0151146,0.0704741,0.0323641,0,0,0.0186044,0,0,0.0421223,0.0545356,0.0417303,0.0354573,0.0205785,0.0509868,0.0391335,0.0313712,0.0523872,0.0512463,0.0219806,0.0540231,0.0313724,0.039749,0.0707547,0.0197568,0.0168683,0.00743385,0.0240788,0.0277328,0.0239224,0,0
5,0.0246213,0,0,0,0,0.0464231,0,0,0,0,0,0,0.0211464,0,0.0257235,0.0708886,0,0,0.010493,0,0,0.0291064,0.0744515,0.0239398,0.0119192,0.0145326,0.0281875,0.0302021,0.0371533,0.0444066,0.0463486,0.026119,0.0142619,0.0151854,0.028033,0.0289963,0.0298107,0.0131819,0.0189649,0.0302311,0,0.0153788,0.0701698,0.0323251,0,0,0.0188808,0,0,0.0419761,0.0552044,0.0423062,0.0349922,0.020737,0.0512286,0.0390032,0.0311254,0.052164,0.051639,0.0218368,0.053738,0.031071,0.0394471,0.0702505,0.0219085,0.0166311,0.0074599,0.0239676,0.0276772,0.0241141,0,0
6,0.0248456,0,0,0,0,0.0464186,0,0,0,0,0,0,0.0207276,0,0.0258779,0.0705951,0,0,0.00996038,0,0,0.0291395,0.0745279,0.0244527,0.0117135,0.0144556,0.0289684,0.0296073,0.0374012,0.0448953,0.0461674,0.0255168,0.0143884,0.0155194,0.028152,0.0291279,0.0307417,0.0136491,0.0187279,0.0282099,0,0.0156401,0.0711192,0.0326436,0,0,0.0190727,0,0,0.0419088,0.055284,0.0421386,0.0368848,0.0206824,0.0528952,0.0389129,0,0.0539811,0.0502553,0.0192815,0.0535452,0.0307943,0.0392757,0.0702846,0.0237765,0.0166895,0.00740789,0.0238773,0.0279744,0.0238407,0,0
7,0.0245723,0,0,0,0,0.0462309,0,0,0,0,0,0,0.0205207,0,0.0260667,0.0704931,0,0,0.00959061,0,0,0.0291082,0.0745492,0.0248081,0.0113548,0.0144563,0.0293919,0.0296483,0.0373255,0.0450458,0.0460953,0.025223,0.0145227,0.0157797,0.0281834,0.0291788,0.0311833,0.0137815,0.0188231,0.0260301,0,0.016107,0.0709175,0.0326013,0,0,0.0193622,0,0,0.0418834,0.0559502,0.0430099,0.0364826,0.0209727,0.0529886,0.0389498,0,0.0542876,0.0506614,0.0189273,0.05338,0.0305887,0.0390525,0.069912,0.0269399,0.0168035,0.00732035,0.0237729,0.0278554,0.0241581,0,0
8,0.0242564,0,0,0,0,0.0459793,0,0,0,0,0,0,0.0202518,0,0.0262085,0.0703244,0,0,0.00922344,0,0,0.0291297,0.0746101,0.02515,0.011042,0.0144861,0.0297095,0.029631,0.0372652,0.0451648,0.0460366,0.0250609,0.0146732,0.0160453,0.0282777,0.029303,0.0317671,0.0139579,0.0189282,0.0239302,0,0.0165479,0.0707777,0.032537,0,0,0.019643,0,0,0.0418723,0.0566966,0.0438747,0.0362147,0.0212624,0.0530214,0.0389453,0,0.0544219,0.0509189,0.0187418,0.0530769,0.0304012,0.038784,0.0695169,0.030145,0.0167105,0.00715786,0.0235725,0.0276072,0.0245139,0,0
9,0.0239324,0,0,0,0,0.0456831,0,0,0,0,0,0,0.0200162,0,0.0262909,0.070222,0,0,0.00889822,0,0,0.0291926,0.0746576,0.0254237,0.0107787,0.014723,0.0298953,0.0296254,0.0372897,0.0452496,0.0460247,0.0250425,0.0148594,0.0162583,0.0283845,0.0294244,0.0323095,0.0141329,0.0190599,0.0221657,0,0.0170642,0.0706146,0.0324544,0,0,0.0198932,0,0,0.0418381,0.0573548,0.04465,0.0358699,0.0214483,0.0529103,0.0389162,0,0.0544397,0.0509707,0.0188805,0.0527787,0.0301122,0.0385155,0.0691523,0.0332006,0.0163573,0.00704578,0.0235124,0.0273439,0.0248987,0,0
10,0.0231866,0,0,0,0,0.0452565,0,0,0,0,0,0,0.0197127,0,0.0263112,0.0702078,0,0,0.00879327,0,0,0.029165,0.0745161,0.0255474,0.0102463,0.0147942,0.0301104,0.0301804,0.0370738,0.0452145,0.045939,0.0248475,0.0149443,0.0164092,0.0284561,0.0294488,0.0328938,0.0140141,0.0195044,0.022511,0,0.0176887,0.0696568,0.0319835,0,0,0.0201552,0,0,0.0418618,0.0587267,0.0436197,0.0339171,0.023369,0.0518299,0.0391409,0,0.0541848,0.0500447,0.0189775,0.0538127,0,0.0394065,0.0698536,0.0315201,0.0158034,0.00696925,0.0236731,0.0268121,0.0258137,0,0
11,0.0227453,0,0,0,0,0.0458157,0,0,0,0,0,0,0.0195923,0,0.0264498,0.0701489,0,0,0.0142915,0,0,0.0364374,0.0745682,0.0257431,0.010279,0.014828,0.0299411,0.0321555,0.0369683,0.045149,0.0458169,0.0248141,0.0152426,0.0165304,0.0285091,0.0294553,0.0332385,0.0125904,0.0155515,0.0212143,0,0.018408,0.0695475,0.0320047,0,0,0.0202138,0,0,0.0418088,0.0592319,0.0444934,0.0335855,0.023318,0.0515191,0.0390563,0,0.0541254,0.0498809,0.0187342,0.0534857,0,0.039306,0.0696266,0.0338652,0.0163438,0.00715371,0.0236254,0.0275359,0.0260215,0.00907834,0
12,0.0225599,0,0,0,0,0.0457446,0,0,0,0,0,0,0.0195086,0,0.0265133,0.0700632,0,0,0.0141029,0,0,0.0364165,0.074539,0.02589,0.010318,0.0148723,0.0299628,0.0321825,0.0367136,0.0451195,0.0457067,0.0247935,0.0154589,0.0166763,0.0285317,0.0294532,0.0334256,0.0126368,0.0155765,0.0202533,0,0.0190348,0.0694077,0.03198,0,0,0.0203971,0,0,0.041852,0.0595976,0.0451605,0.0332695,0.0232438,0.0513742,0.0390762,0,0.0542011,0.0497586,0.0184766,0.0532898,0,0.0392293,0.0694631,0.0359066,0.016265,0.00719158,0.0236989,0.0274956,0.0261843,0.00906978,0
13,0.0224733,0,0,0,0,0.0457683,0,0,0,0,0,0,0.0194607,0,0.0265398,0.0702194,0,0,0.0140096,0,0,0.0363437,0.0744846,0.0259246,0.0103532,0.0149325,0.0299427,0.0322304,0.036292,0.0450282,0.045611,0.0248034,0.0153538,0.0168319,0.0285188,0.0293931,0.033438,0.0126443,0.0154765,0.0194397,0,0.0193945,0.0692456,0.0319873,0,0,0.0205878,0,0,0.0418839,0.0599408,0.045677,0.0331306,0.0232612,0.0513052,0.0390577,0,0.0543073,0.0497085,0.0183441,0.0532864,0,0.0392312,0.0693964,0.0377283,0.0161319,0.00723068,0.0236195,0.0273294,0.026252,0.00906638,0
14,0.022486,0,0,0,0,0.0457958,0,0,0,0,0,0,0.0194955,0,0.0266269,0.0703453,0,0,0.0139609,0,0,0.0362741,0.0744392,0.0258775,0.0104405,0.0150205,0.0298395,0.0322867,0.036125,0.0448394,0.0455018,0.0248075,0.0153063,0.0169598,0.0284735,0.0292648,0.0333549,0.0126506,0.0154088,0.0185347,0,0.0195048,0.0690942,0.0319977,0,0,0.0207573,0,0,0.0419241,0.0602389,0.0460606,0.0330667,0.0233156,0.0512917,0.0390287,0,0.0544123,0.0496975,0.0181726,0.0534337,0,0.039292,0.0693771,0.0394607,0.0160117,0.00714292,0.0234287,0.0270158,0.0262337,0.00905346,0
