Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTHIA,LTHI,
All Timesteps RMSE,0.0291609,0,0,0,0,0.0477735,0,0,0,0,0,0,0.0341924,0,0.0181774,0.0702757,0,0,0.0206417,0,0,0.0372877,0.0705382,0.0207472,0.00873045,0.0172431,0.0331636,0.0331343,0.0411472,0.0525118,0.0345388,0.0117703,0.0132089,0.0275909,0.0292236,0.0159508,0.0102849,0.0292253,0.0215319,0.0348135,0,0.0165014,0.0687727,0.0367681,0,0,0.0174108,0,0,0.0469373,0.0539814,0.0384129,0.029356,0.0155108,0.0492287,0.0372611,0.0320035,0.0592077,0.0227581,0.0549592,0.0340814,0.0404088,0.0726366,0.0301066,0.0201615,0.0280445,0.0213215,0.0279222,0.0227614,0.0608843,0.0315298,0
0,0.028162,0,0,0,0,0.0489045,0,0,0,0,0,0,0.0408864,0,0.0188654,0.0718813,0,0,0.0166399,0,0,0.0351419,0.0732236,0.0267868,0.0130414,0.0208557,0.025012,0.0322972,0.0403021,0.0505448,0.0357157,0.0141456,0.0138602,0.0245135,0.0272481,0.00936777,0.0124135,0.00777137,0.0155245,0.0438684,0,0.0155202,0.074352,0.0356516,0,0,0.0163613,0,0,0.0429399,0.0482464,0.0379283,0.0359692,0.0147556,0.045973,0.038603,0.0329257,0.059256,0.0216795,0.0525712,0.0344324,0.0385074,0.0719256,0.0174023,0.0215774,0.0070069,0.0229671,0.0305384,0.0203767,0,0,0
1,0.0282945,0,0,0,0,0.0489858,0,0,0,0,0,0,0.035042,0,0.0193249,0.0722209,0,0,0.0168788,0,0,0.0351537,0.0732911,0.020237,0.013517,0.0200903,0.0248222,0.0320322,0.0392391,0.050156,0.0359663,0.0159968,0.0159863,0.0289635,0.0311301,0.00981003,0.0125816,0.00729903,0.0154815,0.0393856,0,0.014277,0.0743894,0.035592,0,0,0.0165163,0,0,0.0428465,0.0489705,0.0386758,0.0356335,0.0142008,0.0452609,0.0383958,0.0321134,0.0595014,0.022637,0.0530039,0.0330364,0.0393793,0.0728563,0.0161365,0.021682,0.00693994,0.0228273,0.0306405,0.0202195,0,0,0
2,0.0284106,0,0,0,0,0.0489473,0,0,0,0,0,0,0.0351145,0,0.0193821,0.0722367,0,0,0.016935,0,0,0.034945,0.0733207,0.0203825,0.013547,0.0200035,0.0248004,0.0318854,0.039132,0.0500955,0.0360273,0.0160056,0.0159356,0.028986,0.0311652,0.00982458,0.0124772,0.00719485,0.0153213,0.0393177,0,0.0142568,0.0744832,0.0357158,0,0,0.0165403,0,0,0.0428706,0.0490167,0.0386539,0.0354978,0.0142426,0.0451144,0.0382247,0.0320956,0.0594778,0.0226002,0.0530214,0.0331068,0.0393811,0.0729053,0.0161391,0.0217073,0.00692173,0.0228145,0.0306824,0.0200596,0,0,0
3,0.0285451,0,0,0,0,0.0489168,0,0,0,0,0,0,0.0351452,0,0.0193842,0.0722168,0,0,0.0169757,0,0,0.0347628,0.0733427,0.0204692,0.0135402,0.0199686,0.0247697,0.031742,0.0390284,0.0500514,0.0360688,0.0160284,0.0159011,0.0289997,0.0311787,0.0098493,0.0123927,0.00717616,0.0150863,0.0392646,0,0.014322,0.0745978,0.0358456,0,0,0.016572,0,0,0.0429452,0.0490011,0.0386362,0.0353064,0.0142644,0.0449842,0.0382171,0.0320458,0.0594658,0.0225454,0.0530337,0.0331596,0.0393327,0.0729349,0.0161423,0.0217267,0.00691851,0.0226705,0.0306933,0.0198856,0,0,0
4,0.0286438,0,0,0,0,0.0488981,0,0,0,0,0,0,0.0351432,0,0.0193669,0.0722268,0,0,0.0170001,0,0,0.034701,0.073382,0.0204727,0.0135578,0.0199328,0.024837,0.031622,0.0389401,0.0499815,0.0360788,0.0160115,0.0158971,0.029005,0.0311886,0.00983342,0.0123444,0.00715414,0.015052,0.0392349,0,0.0143804,0.0746111,0.0359506,0,0,0.0166202,0,0,0.0430291,0.0489688,0.0386209,0.035256,0.0142701,0.044873,0.0382344,0.0318603,0.0594433,0.0225374,0.0530396,0.0332201,0.039327,0.0729559,0.0161452,0.0217611,0.00692901,0.0225161,0.0307013,0.0197625,0,0,0
5,0.0287272,0,0,0,0,0.0488749,0,0,0,0,0,0,0.0351938,0,0.0194171,0.072221,0,0,0.0170804,0,0,0.0347975,0.073428,0.0204569,0.0135723,0.019881,0.0249794,0.0315683,0.0389099,0.0499435,0.0360738,0.0159477,0.0159429,0.0289602,0.0311467,0.00974381,0.012277,0.0071067,0.0152033,0.0392532,0,0.0143604,0.0745886,0.036041,0,0,0.016597,0,0,0.042925,0.04894,0.0386127,0.0352678,0.0142719,0.0447928,0.0382202,0.0316434,0.0594179,0.0225377,0.0530461,0.0332497,0.0393201,0.0729702,0.0161289,0.0217081,0.00683467,0.022705,0.0307157,0.0196728,0,0,0
6,0.0287907,0,0,0,0,0.0488287,0,0,0,0,0,0,0.0352062,0,0.0194345,0.0722114,0,0,0.0171513,0,0,0.0346853,0.0734874,0.020401,0.0135908,0.0198641,0.025133,0.0315089,0.0388876,0.0499369,0.0360352,0.0159105,0.0158525,0.0288821,0.0310976,0.00970844,0.0121888,0.00708909,0.0151806,0.0392886,0,0.0142944,0.0745738,0.0361257,0,0,0.0166137,0,0,0.0429558,0.0489339,0.0385863,0.0352483,0.0142644,0.0447209,0.0382101,0.0315389,0.0593962,0.0225852,0.0530755,0.0332659,0.0392768,0.0730231,0.0161161,0.0216365,0.00682912,0.0227444,0.0306762,0.0195869,0,0,0
7,0.0288394,0,0,0,0,0.0487851,0,0,0,0,0,0,0.0352482,0,0.019387,0.0722288,0,0,0.017217,0,0,0.0345406,0.0735097,0.0203229,0.0135739,0.0198477,0.025108,0.0314444,0.0388592,0.0499367,0.035953,0.0158887,0.015798,0.0288957,0.0310708,0.00963299,0.012112,0.00715151,0.0149991,0.0392505,0,0.0143031,0.0744982,0.0361759,0,0,0.0167144,0,0,0.0431088,0.0490055,0.0385379,0.035177,0.0142601,0.0446678,0.0381708,0.0319579,0.0593722,0.0227032,0.0531073,0.0332943,0.0392119,0.0730685,0.0160992,0.0216325,0.00685915,0.0226826,0.0306283,0.0195141,0,0,0
8,0.028893,0,0,0,0,0.0487415,0,0,0,0,0,0,0.0353245,0,0.0193089,0.0722154,0,0,0.0172655,0,0,0.0344804,0.0735306,0.020234,0.0135533,0.019846,0.0248801,0.0314701,0.0388288,0.0499073,0.0358336,0.01587,0.0158121,0.0289651,0.0310556,0.00951444,0.0120479,0.00719617,0.0149166,0.0392656,0,0.0143281,0.0744515,0.0362072,0,0,0.0167476,0,0,0.0430178,0.0490662,0.0384983,0.0351171,0.0142358,0.0446327,0.0380877,0.0321861,0.0593628,0.0227205,0.0531461,0.0333585,0.0393333,0.0730681,0.0160623,0.0216343,0.00677235,0.0227509,0.0305749,0.0194594,0,0,0
9,0.028959,0,0,0,0,0.0487064,0,0,0,0,0,0,0.0353729,0,0.0192981,0.0722417,0,0,0.0173124,0,0,0.0344739,0.0735301,0.0201137,0.0135569,0.0198654,0.0250154,0.0315126,0.0388974,0.0498638,0.0356727,0.0158175,0.0158994,0.0289784,0.0310265,0.00941042,0.0119942,0.00721332,0.0149176,0.0393161,0,0.0143813,0.0744464,0.0362546,0,0,0.016747,0,0,0.042992,0.0490926,0.0384709,0.0350682,0.0142255,0.0446146,0.0381429,0.0321406,0.0593172,0.0226902,0.0531756,0.0333885,0.0393421,0.0730981,0.0160249,0.0216161,0.00679566,0.0227785,0.0305613,0.0193837,0,0,0
10,0.0290253,0,0,0,0,0.0486658,0,0,0,0,0,0,0.0354118,0,0.0193247,0.0723143,0,0,0.0173478,0,0,0.0344889,0.073517,0.0199954,0.0135946,0.0198894,0.0252721,0.0315262,0.0390354,0.0498658,0.0355209,0.0157644,0.0159205,0.0289374,0.0309257,0.0093458,0.0119682,0.00720192,0.014925,0.0393725,0,0.0143885,0.0744547,0.0363003,0,0,0.0167672,0,0,0.0429589,0.0490844,0.0384682,0.0350304,0.0142315,0.0445693,0.0381573,0.0320064,0.0592344,0.0226524,0.0532027,0.0334056,0.0392206,0.073133,0.0159853,0.0215501,0.00684436,0.0227668,0.0305435,0.0193023,0,0,0
11,0.0290802,0,0,0,0,0.0486095,0,0,0,0,0,0,0.035409,0,0.0193771,0.0723664,0,0,0.0173798,0,0,0.0344945,0.0735087,0.0198633,0.0136621,0.0198581,0.0255024,0.0315652,0.0391002,0.0498865,0.0353412,0.0157205,0.0158803,0.0289001,0.0308178,0.00931188,0.0119683,0.00718471,0.0150105,0.0394302,0,0.0143799,0.0744326,0.036346,0,0,0.0167941,0,0,0.0428979,0.0490533,0.0384694,0.0350065,0.0142242,0.0445242,0.038111,0.0317476,0.059178,0.0226142,0.0532084,0.0333978,0.0391755,0.0731439,0.0159616,0.0215586,0.00688157,0.0226861,0.0304846,0.0192269,0,0,0
12,0.0290913,0,0,0,0,0.0485607,0,0,0,0,0,0,0.0354013,0,0.0194284,0.0723536,0,0,0.0174076,0,0,0.0344839,0.0735655,0.0197864,0.0137371,0.019849,0.0252997,0.0315956,0.0390571,0.0498718,0.0352103,0.0156635,0.0158677,0.0288522,0.030711,0.00927948,0.0119528,0.00723472,0.0148912,0.0395498,0,0.0143648,0.0744401,0.0363768,0,0,0.0168337,0,0,0.0429577,0.0490432,0.0384712,0.0349771,0.0142214,0.0444415,0.0380204,0.0313043,0.0591366,0.022589,0.0532126,0.0334097,0.0391643,0.0731542,0.0159437,0.0216305,0.00691033,0.0226135,0.0303894,0.0192028,0,0,0
