Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,
All Timesteps RMSE,0.0285163,0,0,0,0,0.0446774,0,0,0,0,0,0,0.0247541,0,0.0225879,0.0688686,0,0,0.0196814,0,0,0.0375543,0.0716542,0.0222143,0.0103397,0.014209,0.0368192,0.0370938,0.0348657,0.0471374,0.0513427,0.027,0.0121616,0.0150084,0.0296941,0.0302563,0.0281027,0.0124057,0.0265591,0.0203982,0.0287473,0,0.016747,0.0684875,0.0355994,0,0,0.0183725,0,0,0.047763,0.0566248,0.0401749,0.0327926,0.0122639,0.0557267,0.041243,0.0394603,0.0661544,0.0594878,0.0171382,0.0566479,0.0343183,0.0415677,0.0734014,0.0350642,0.0169973,0.0259305,0.0217571,0.0247316,0.0250844,0
0,0.0288878,0,0,0,0,0.0491963,0,0,0,0,0,0,0.0240987,0,0.0252958,0.0709625,0,0,0.0154296,0,0,0.034524,0.074928,0.0206973,0.0144483,0.0144937,0.028384,0.0327028,0.0345033,0.04294,0.0466802,0.024832,0.0137073,0.0163181,0.0291342,0.0293311,0.023976,0.0141406,0.00814201,0.0141683,0.0342783,0,0.0149202,0.0717413,0.0356039,0,0,0.018933,0,0,0.0439352,0.0544302,0.0330564,0.0352109,0.0144112,0.0525223,0.0420549,0.0363287,0.0601485,0.0562391,0.0193028,0.0605764,0.0385879,0.0459095,0.0780788,0.0172084,0.0187092,0.00711624,0.0242432,0.0300963,0.01968,0
1,0.0289143,0,0,0,0,0.0492423,0,0,0,0,0,0,0.0240109,0,0.0253282,0.0708713,0,0,0.015408,0,0,0.0345534,0.0749002,0.0206407,0.0143428,0.0143978,0.0285126,0.0327219,0.0345078,0.0429981,0.0466635,0.0248433,0.0136554,0.0162856,0.0291577,0.0293512,0.0242081,0.0141947,0.00823115,0.0141001,0.0339558,0,0.0150833,0.0717964,0.0356035,0,0,0.0188992,0,0,0.0440946,0.0545669,0.0326651,0.0352414,0.0146583,0.0526124,0.0418631,0.0365354,0.0612325,0.055785,0.0190769,0.0607264,0.0388617,0.0461669,0.0783276,0.0174078,0.0187888,0.00720165,0.0241506,0.0301197,0.0196783,0
2,0.0283041,0,0,0,0,0.048993,0,0,0,0,0,0,0.0237863,0,0.025366,0.0703133,0,0,0.0155376,0,0,0.0345429,0.0749023,0.020693,0.0134544,0.014197,0.0289108,0.0337706,0.0343488,0.0430409,0.0465044,0.024523,0.0136272,0.0162878,0.0291392,0.0293445,0.0245557,0.0137674,0.00797843,0.0147311,0.0312219,0,0.0161206,0.0713157,0.0350297,0,0,0.0190435,0,0,0.0441525,0.0566858,0.0291743,0.0329898,0.0170164,0.0513372,0.0418093,0.0358568,0.0588828,0.053704,0.0196462,0.0631099,0.0402115,0,0.0811544,0.0189342,0.0185537,0.00723628,0.0241734,0.0295674,0.0204516,0
3,0.0282925,0,0,0,0,0.0489919,0,0,0,0,0,0,0.0236616,0,0.0254159,0.0702994,0,0,0.0155479,0,0,0.0347129,0.0749643,0.0209922,0.0134753,0.0142019,0.0288444,0.033733,0.034335,0.0430415,0.046495,0.0245212,0.0136625,0.016283,0.0291095,0.0293767,0.0245851,0.0137619,0.00802745,0.014737,0.0311445,0,0.0161659,0.0713148,0.0350465,0,0,0.0190645,0,0,0.0441001,0.056695,0.0291696,0.0329875,0.0170364,0.0512896,0.0417773,0.0358445,0.0588253,0.0537499,0.019693,0.0631224,0.0402111,0,0.0811323,0.0189603,0.018554,0.00722438,0.0241288,0.0295509,0.0204256,0
4,0.0282976,0,0,0,0,0.0489676,0,0,0,0,0,0,0.0236404,0,0.0254373,0.0702899,0,0,0.0155326,0,0,0.0347246,0.0749763,0.0210247,0.0134667,0.0141661,0.0288154,0.0336914,0.0343316,0.0430401,0.0464853,0.0244925,0.0136871,0.0162912,0.0291103,0.0293709,0.0246062,0.0137846,0.00804546,0.014723,0.031095,0,0.0162227,0.0713264,0.0350398,0,0,0.0190642,0,0,0.0441212,0.0567243,0.0290928,0.0329716,0.0170858,0.051256,0.0416885,0.035878,0.0590707,0.0537355,0.0197626,0.0631447,0.0402353,0,0.0811554,0.0189964,0.0185787,0.00724594,0.0240627,0.0295406,0.0203947,0
5,0.0283164,0,0,0,0,0.0489449,0,0,0,0,0,0,0.0236542,0,0.0254548,0.0702566,0,0,0.0154824,0,0,0.0345922,0.0749862,0.0210184,0.0134661,0.0141297,0.0288094,0.033711,0.0343028,0.0430343,0.0464573,0.0245085,0.0137015,0.0163197,0.0290958,0.0293623,0.0245992,0.0137969,0.00804345,0.0146728,0.0311904,0,0.0161929,0.0713328,0.0350345,0,0,0.0190626,0,0,0.0440696,0.0567127,0.0290729,0.0329807,0.0170634,0.0512297,0.0416296,0.0358321,0.058799,0.0537962,0.0198482,0.0631067,0.0402677,0,0.0811316,0.0189364,0.0185832,0.00717669,0.0241115,0.0295754,0.0203511,0
6,0.0283549,0,0,0,0,0.0489681,0,0,0,0,0,0,0.0236855,0,0.0254797,0.0702362,0,0,0.0154331,0,0,0.0345207,0.0749976,0.0209545,0.0134616,0.0140986,0.0288112,0.0337254,0.0342656,0.0430426,0.0464368,0.0245143,0.0136744,0.0162525,0.0290577,0.0293589,0.0246167,0.0138006,0.00804489,0.0146306,0.0313062,0,0.0161443,0.0713249,0.0350546,0,0,0.0190547,0,0,0.0440364,0.0566658,0.0291506,0.0329764,0.016996,0.0511951,0.0417459,0.0357415,0.058173,0.0539718,0.0199715,0.0630368,0.0402763,0,0.0810439,0.0188521,0.0185401,0.00713133,0.0241753,0.029625,0.0202711,0
7,0.0277123,0,0,0,0,0.0487434,0,0,0,0,0,0,0.0234932,0,0.0254319,0.0699288,0,0,0.0155923,0,0,0.0343854,0.0748551,0.0208523,0.0126109,0.0137942,0.029125,0.0347807,0.0339782,0.043098,0.0463894,0.0240625,0.0136139,0.0161006,0.0289885,0.0293038,0.0249588,0.0133927,0.00776922,0.0152733,0.0351206,0,0.0169379,0.0707131,0.0344897,0,0,0.0191748,0,0,0.0441174,0.0582841,0.0274992,0.0307054,0.018525,0.049981,0.0421048,0.0349398,0.0563797,0.0534016,0.0207051,0.0644132,0,0,0.0818274,0.0153802,0.0183231,0.00707089,0.0243331,0.0291485,0.0210077,0
8,0.0284006,0,0,0,0,0.0490427,0,0,0,0,0,0,0.0236746,0,0.0255342,0.0702733,0,0,0.015378,0,0,0.0344984,0.075017,0.0209535,0.0134782,0.0138913,0.0286905,0.0337672,0.0343956,0.0430038,0.0464892,0.0245173,0.0136449,0.0160959,0.0290086,0.0293235,0.02463,0.0138355,0.00807387,0.0145658,0.0314096,0,0.0160537,0.0713273,0.0350573,0,0,0.0190437,0,0,0.0441036,0.0565775,0.0292937,0.0329273,0.0168598,0.051078,0.0419889,0.0355355,0.05715,0.0543616,0.0202194,0.0629324,0.0402946,0,0.0808721,0.0187805,0.0185607,0.00713972,0.0241948,0.0297278,0.0201415,0
