Timestep,,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTHI,RTHIA
All Timesteps RMSE,0,0.0280866,0,0,0,0,0.0456123,0,0,0,0,0,0,0.0323883,0,0.0198546,0.0699981,0,0,0.017432,0,0,0.0341953,0.0704621,0.0211627,0.00989686,0.0183181,0.0334162,0.0334932,0.0301932,0.0427549,0.0537577,0.0342182,0.011548,0.0137866,0.0277636,0.0283315,0.0169523,0.0147353,0.0263336,0.0200668,0.0325966,0,0.0153998,0.0650221,0.031938,0,0,0.0168667,0,0,0.0491017,0.0556926,0.036686,0.0299225,0.0121835,0.0516216,0.0409909,0.0677645,0.0248293,0.0561348,0.0349595,0.0418271,0.0738159,0.0296838,0.0187904,0.0280042,0.0297636,0.0258808,0.0272122,0.0390554,0.0699596
0,0,0.0238698,0,0,0,0,0.0496548,0,0,0,0,0,0,0.0335918,0,0.0223277,0.076508,0,0,0.0125033,0,0,0.0364782,0.0731271,0.0233798,0.0167596,0.0163389,0.0218951,0.0314571,0.029744,0.0383152,0.0480918,0.0315753,0.0150578,0.0162289,0.0291395,0.0307513,0.0139593,0.0191784,0.00850117,0.0132755,0.0414084,0,0.0109861,0.069409,0.0276466,0,0,0.0195789,0,0,0.0452614,0.0524185,0.0368307,0.0340871,0.00948095,0.048255,0.0411959,0.0664589,0.0248396,0.055519,0.0336544,0.042053,0.0750662,0.0155442,0.016422,0.00735918,0.0245623,0.0305453,0.0277495,0,0
1,0,0.0240808,0,0,0,0,0.0498131,0,0,0,0,0,0,0.0332112,0,0.0220256,0.0756695,0,0,0.0132045,0,0,0.0359945,0.0726543,0.0230192,0.0154124,0.01681,0.0235086,0.0299566,0.030118,0.0390443,0.0487289,0.0318848,0.0148964,0.0164051,0.0292232,0.0309152,0.0140249,0.0178336,0.00820922,0.0133037,0.0412195,0,0.0110525,0.068953,0.0295419,0,0,0.00625216,0,0,0.0463138,0.0520781,0.0366604,0.0335429,0.00948283,0.0484717,0.0387966,0.0663148,0.0244412,0.0555511,0.0337192,0.0420853,0.0750744,0.0155121,0.0212962,0.00813777,0.02529,0.0311149,0.0269844,0,0
2,0,0.0241486,0,0,0,0,0.0498846,0,0,0,0,0,0,0.0334316,0,0.0218756,0.0756325,0,0,0.01312,0,0,0.036319,0.0727033,0.0230414,0.0154321,0.0169007,0.0230363,0.0295417,0.0299715,0.0391389,0.0487887,0.0318699,0.0146955,0.0163057,0.0289725,0.0306531,0.0138662,0.0178787,0.00827223,0.0131308,0.0413361,0,0.0109954,0.0692027,0.0297724,0,0,0.00608027,0,0,0.0464932,0.0518393,0.0365932,0.0334772,0.00959893,0.0481542,0.0387774,0.0662713,0.0243311,0.0555334,0.0338268,0.0420052,0.0750301,0.0152191,0.0212406,0.00782989,0.025037,0.0312235,0.0267923,0,0
3,0,0.0241219,0,0,0,0,0.0498247,0,0,0,0,0,0,0.0334465,0,0.0218247,0.0755637,0,0,0.0132136,0,0,0.0364975,0.0727735,0.0229849,0.0153552,0.0169046,0.0229069,0.0290899,0.0299124,0.039035,0.0487772,0.0318753,0.0145631,0.0162071,0.0289409,0.0306016,0.0138255,0.0179222,0.00842076,0.0130025,0.0413423,0,0.0109997,0.0692971,0.0300319,0,0,0.00603529,0,0,0.0466634,0.0516702,0.0363715,0.0333324,0.00962864,0.047923,0.0388912,0.0662559,0.0243621,0.0555813,0.033935,0.0420361,0.0751071,0.0151706,0.0213824,0.00773975,0.0248504,0.031233,0.0266817,0,0
4,0,0.0240928,0,0,0,0,0.049721,0,0,0,0,0,0,0.0333753,0,0.0217698,0.0754854,0,0,0.0133548,0,0,0.036547,0.0728346,0.0228317,0.0153075,0.0169095,0.0230046,0.0286896,0.029748,0.0389599,0.0487506,0.0318975,0.0145008,0.0161674,0.028906,0.0305925,0.0137908,0.0179369,0.00856381,0.0129209,0.0413082,0,0.0110738,0.0693566,0.0302543,0,0,0.00612692,0,0,0.0468144,0.0514438,0.0361085,0.0332194,0.00962409,0.0476839,0.0390162,0.0662584,0.0243882,0.0556284,0.0340691,0.0421168,0.0751847,0.0151489,0.0215107,0.00777635,0.0246448,0.0311508,0.0265207,0,0
5,0,0.024085,0,0,0,0,0.04963,0,0,0,0,0,0,0.0334072,0,0.0217589,0.0755109,0,0,0.0134995,0,0,0.0365692,0.0728524,0.0227096,0.0153075,0.016855,0.0231398,0.0282988,0.0295824,0.0389942,0.048788,0.0319161,0.0144572,0.0160766,0.0288483,0.030525,0.0136426,0.017878,0.00874125,0.0126858,0.0412062,0,0.0111306,0.0694074,0.0304672,0,0,0.00623981,0,0,0.0468173,0.0511575,0.0359256,0.0331437,0.00967186,0.0474582,0.0391365,0.0662463,0.0243854,0.0556713,0.0342015,0.0421796,0.0752504,0.0151313,0.0216479,0.00762938,0.0249245,0.0310681,0.0263119,0,0
6,0,0.0239726,0,0,0,0,0.048485,0,0,0,0,0,0,0.0334292,0,0.0219618,0.0757646,0,0,0.0138199,0,0,0.0363838,0.0730881,0.0224158,0.0156664,0.016502,0.0225872,0.0279788,0.0288098,0.0385762,0.048554,0.031855,0.0145542,0.016041,0.0289832,0.0306344,0.013362,0.0177704,0.00887593,0.0126838,0.0409823,0,0.0113006,0.0694408,0.0299543,0,0,0.00469459,0,0,0.0378492,0.0509718,0.0356962,0.0331432,0.00953829,0.047353,0.0398958,0.0663378,0.024698,0.0557368,0.0342164,0.0423064,0.0754272,0.0154541,0.0235105,0,0.0257818,0.0301554,0.0268242,0,0
7,0,0.0239984,0,0,0,0,0.0493776,0,0,0,0,0,0,0.0332629,0,0.0218689,0.0753936,0,0,0.0139335,0,0,0.0363233,0.0729645,0.0224421,0.0152079,0.0166275,0.0232409,0.0276769,0.0291226,0.0388098,0.0488405,0.032016,0.0143945,0.0158776,0.0290103,0.0306299,0.0135158,0.0176629,0.00895074,0.0124718,0.0408705,0,0.0113069,0.0694203,0.0309386,0,0,0.00702848,0,0,0.0468947,0.0506198,0.0354604,0.0328104,0.00963238,0.0472548,0.0394401,0.0663186,0.0245978,0.0558552,0.0343558,0.0423816,0.0755019,0.0154004,0.0218184,0.00803626,0.0247399,0.0308225,0.0260646,0,0
8,0,0.0240428,0,0,0,0,0.0492365,0,0,0,0,0,0,0.0331446,0,0.0219112,0.0752153,0,0,0.0140292,0,0,0.0361808,0.0730399,0.0225263,0.0152652,0.0166254,0.02336,0.0272898,0.0293125,0.0388296,0.0488663,0.0320063,0.014318,0.0155954,0.0289901,0.0305716,0.0136151,0.0177287,0.00901159,0.0123619,0.0409552,0,0.0113406,0.0696086,0.0311842,0,0,0.00701295,0,0,0.046973,0.0509885,0.0353666,0.0327924,0.00962496,0.0471881,0.0395905,0.0663275,0.024571,0.0559312,0.0344763,0.0423939,0.0755763,0.0154292,0.0217848,0.00775669,0.0250127,0.0307273,0.0258987,0,0
