Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10
All Timesteps RMSE,0.0239895,0,0,0,0,0.0468091,0,0,0,0,0,0,0.0298543,0,0.0223521,0.0689579,0,0,0.0175539,0,0,0.033209,0.0741559,0.0189603,0.00867058,0.0180966,0.0309631,0.0353568,0.0419905,0.0495239,0.0316294,0.0125733,0.013585,0.0263369,0.0267396,0.0161113,0.0143076,0.00839355,0.0166252,0.0392055,0,0.014633,0.0667581,0.0338052,0,0,0.0123096,0,0,0.0356397,0.0564056,0.0251585,0.0245928,0.0129092,0.0461974,0.034262,0.0380906,0.120918,0.0472757,0.0224284,0.0625463,0.0414016,0.0477743,0.0814066,0.0145575,0.0218418,0.00716127,0.0248784,0.0269864,0.0263646
0,0.0249392,0,0,0,0,0.0477738,0,0,0,0,0,0,0.0268633,0,0.0229414,0.0677739,0,0,0.0177034,0,0,0.0331377,0.074042,0.0187412,0.00746676,0.0178006,0.0318335,0.0375504,0.0426464,0.049883,0.0325485,0.0116321,0.0125299,0.0263989,0.0264353,0.0192016,0.0134955,0.0083437,0.0172148,0.0417988,0,0.01341,0.0666561,0.0334944,0,0,0.0164539,0,0,0.0421062,0.0569716,0.0256572,0.0249331,0.00926886,0.0470536,0.0376274,0.0370247,0.123414,0.0497093,0.0244144,0.0619871,0.0404566,0.0478114,0.0802704,0.0138261,0.0196929,0.00716244,0.0252814,0.0282535,0.024484
1,0.0248406,0,0,0,0,0.047559,0,0,0,0,0,0,0.027004,0,0.0231097,0.0679271,0,0,0.0175397,0,0,0.0333233,0.0739691,0.0186613,0.00754843,0.017578,0.0317331,0.037374,0.0426693,0.0497108,0.032318,0.0116633,0.0126975,0.0262747,0.0264063,0.0191518,0.0136971,0.00850371,0.0170545,0.041576,0,0.0133379,0.0666532,0.0334519,0,0,0.0164836,0,0,0.0420554,0.0570668,0.0256797,0.0249296,0.00930483,0.0471524,0.0370646,0.0368581,0.123447,0.0496281,0.0244456,0.0619935,0.0405713,0.0478802,0.0803188,0.0138055,0.0196632,0.00705927,0.0250363,0.0280246,0.0246012
2,0.0247281,0,0,0,0,0.0473375,0,0,0,0,0,0,0.0270474,0,0.0230822,0.0680627,0,0,0.0173355,0,0,0.0334397,0.0740435,0.0185912,0.00773827,0.0174384,0.0315247,0.0372016,0.0425924,0.0495955,0.0319905,0.0117581,0.0127442,0.0261725,0.0263733,0.0191379,0.0138185,0.00873459,0.0168426,0.0413479,0,0.0132761,0.066639,0.0333713,0,0,0.0164949,0,0,0.0419412,0.0571867,0.0257739,0.0249173,0.00935896,0.0471499,0.0363006,0.0367495,0.123451,0.0495385,0.0244874,0.0620534,0.0406272,0.0479324,0.0803239,0.013821,0.0196728,0.00697328,0.0248446,0.0278059,0.0247951
3,0.0246098,0,0,0,0,0.0471584,0,0,0,0,0,0,0.0270246,0,0.0229313,0.0681635,0,0,0.0171972,0,0,0.0333874,0.0741599,0.0185588,0.00796589,0.0174472,0.031255,0.0370802,0.0424582,0.0494328,0.0316883,0.0119047,0.0126697,0.0261843,0.0263621,0.0191329,0.0139554,0.00880502,0.0168026,0.0410714,0,0.0132212,0.0666033,0.0333191,0,0,0.0165081,0,0,0.0416804,0.0572947,0.0259143,0.0248576,0.00945401,0.047073,0.0356636,0.036655,0.123415,0.0495258,0.0244851,0.0620952,0.0406261,0.0479552,0.0803162,0.0138493,0.0196399,0.0069283,0.0246793,0.0276366,0.0250142
4,0.0244929,0,0,0,0,0.0470745,0,0,0,0,0,0,0.0271745,0,0.0227981,0.0682505,0,0,0.0172123,0,0,0.0332633,0.074204,0.0186162,0.00816228,0.0174661,0.0309966,0.036963,0.0424648,0.0493386,0.0314908,0.012041,0.0127498,0.0262946,0.0264489,0.0189733,0.0140689,0.00867048,0.0169134,0.0407838,0,0.0132076,0.0665329,0.0333258,0,0,0.0165414,0,0,0.0416335,0.0573655,0.0260437,0.0247836,0.00955926,0.0469588,0.0353878,0.0366622,0.123352,0.0496246,0.0245705,0.0621239,0.0406353,0.0479388,0.0803241,0.0138876,0.0195341,0.0069487,0.0246805,0.0275242,0.0252237
5,0.0243897,0,0,0,0,0.0470706,0,0,0,0,0,0,0.0273673,0,0.0226796,0.0683943,0,0,0.0172801,0,0,0.0332407,0.0741802,0.0186749,0.00830545,0.0175251,0.0308659,0.0369483,0.0425551,0.0493778,0.0314136,0.0121657,0.0130411,0.0263751,0.0265828,0.0187515,0.0140479,0.00859366,0.0169683,0.0405284,0,0.0132296,0.0664847,0.0333951,0,0,0.0165877,0,0,0.0416963,0.0573655,0.0261077,0.0246923,0.00967536,0.0468833,0.0353246,0.0367592,0.123294,0.0496999,0.0246451,0.0620969,0.0406653,0.047923,0.0803307,0.0139347,0.0194094,0.00702131,0.0245451,0.0274486,0.0254314
6,0.0244218,0,0,0,0,0.0465881,0,0,0,0,0,0,0.0275666,0,0.0225278,0.0686119,0,0,0.0178566,0,0,0.0330363,0.0740764,0.0187305,0.00835967,0.0177068,0.0310103,0.0364163,0.0426751,0.0495402,0.0314654,0.0123209,0.0133996,0.0264719,0.0267014,0.0185024,0.0134689,0.00864192,0.0168508,0.0402889,0,0.0132913,0.0664537,0.0333134,0,0,0.010726,0,0,0.0341755,0.0572913,0.0261643,0.0246282,0.00980205,0.0469654,0.0343392,0.0368149,0.123252,0.0497814,0.0246733,0.0620278,0.0406542,0.0479167,0.080369,0.0139945,0.0211442,0,0.0244709,0.0271396,0.0259588
7,0.0243702,0,0,0,0,0.0465551,0,0,0,0,0,0,0.0277285,0,0.0224017,0.0687374,0,0,0.0178825,0,0,0.0329806,0.0739739,0.0187737,0.00835313,0.0178557,0.0311428,0.0363532,0.0427468,0.0496306,0.0315105,0.0124712,0.0136562,0.0266093,0.0268837,0.0183167,0.0134253,0.00847271,0.0170807,0.0400784,0,0.0133267,0.0664229,0.0334454,0,0,0.0108522,0,0,0.0344544,0.0571819,0.0262308,0.0246723,0.00985375,0.0470576,0.0343734,0.0367748,0.123189,0.0498722,0.0245464,0.0620555,0.0407094,0.0479,0.0804228,0.0140365,0.0210029,0,0.0247076,0.0270553,0.0261378
8,0.0243412,0,0,0,0,0.0465243,0,0,0,0,0,0,0.0278987,0,0.022327,0.0687689,0,0,0.017868,0,0,0.0329082,0.0738492,0.0187838,0.00826253,0.0180199,0.031314,0.036272,0.0428317,0.0497498,0.031565,0.0125015,0.0137429,0.0266778,0.0269871,0.0180967,0.0133461,0.00840024,0.0172565,0.0398722,0,0.0132994,0.0663159,0.0336199,0,0,0.010927,0,0,0.0345935,0.0570299,0.0262587,0.0247742,0.00985458,0.0471992,0.0346026,0.0365483,0.123118,0.0500672,0.0243517,0.0621285,0.0407619,0.0478695,0.0804654,0.0140416,0.020885,0,0.0250162,0.0270362,0.026232
