Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,,LWRA
All Timesteps RMSE,0.0276681,0,0,0,0,0.0495512,0,0,0,0,0,0,0.0237476,0,0.0209813,0.0671645,0,0,0.0239827,0,0,0.0389969,0.0707088,0.0213033,0.0075147,0.0179977,0.0384699,0.0368717,0.0482635,0.0542356,0.0348913,0.0122516,0.0135051,0.0273551,0.0280741,0.0273324,0.0106994,0.0241705,0.0400986,0,0.0137532,0.0651642,0.0325539,0,0,0.0224837,0,0,0.0496954,0.0542241,0.0318829,0.024333,0.0138258,0.0523977,0.044685,0.0432718,0.125879,0.0547303,0.0245162,0.0592672,0.0359341,0.0452624,0.0777861,0.0212937,0.0176798,0.0231839,0.0216484,0.0283921,0.0263071,0,0.031379
0,0.0263415,0,0,0,0,0.0508796,0,0,0,0,0,0,0.0206185,0,0.0188034,0.0615562,0,0,0.0243437,0,0,0.0289796,0.0704565,0.0212865,0.00747495,0.0194636,0.0462453,0.0402072,0.0499808,0.059357,0.0410755,0.0098548,0.0126121,0.0284902,0.0288791,0.0292277,0.0132709,0.021528,0.0517186,0,0.0136572,0.0687594,0.0346814,0,0,0.031072,0,0,0.0547888,0.0490896,0.0306654,0.0225643,0.0131105,0.0516722,0.0497843,0.0439128,0.122721,0.0574775,0.0233541,0.0604478,0.0340339,0.0468908,0.0795902,0.0175219,0.0260155,0.0334906,0.0183439,0.0296546,0.0314322,0,0
1,0.0264037,0,0,0,0,0.0509227,0,0,0,0,0,0,0.0204554,0,0.0188593,0.0617156,0,0,0.0244324,0,0,0.0290097,0.0704025,0.0213619,0.00824319,0.0196952,0.0462004,0.0402596,0.05022,0.0593045,0.0410195,0.00995016,0.0127727,0.028462,0.0288111,0.0293161,0.0133125,0.0214855,0.0519074,0,0.0136857,0.0686498,0.034586,0,0,0.0309698,0,0,0.0547337,0.0490507,0.030739,0.022538,0.0133175,0.0515606,0.0496231,0.0438986,0.12267,0.0575086,0.0233659,0.0604446,0.0340124,0.0469074,0.0795918,0.017608,0.0257436,0.0335869,0.0181863,0.0296525,0.0314316,0,0
2,0.0264155,0,0,0,0,0.0509708,0,0,0,0,0,0,0.0204472,0,0.0189154,0.0617059,0,0,0.0244427,0,0,0.0290029,0.0703912,0.0213591,0.00841717,0.0196964,0.046214,0.0403355,0.05064,0.059263,0.0408831,0.0098583,0.0127845,0.0284543,0.0287993,0.029383,0.0132959,0.0214801,0.0521428,0,0.013673,0.0686406,0.0345199,0,0,0.0309349,0,0,0.0546892,0.0490212,0.0308105,0.0225366,0.0134466,0.0514951,0.049523,0.0439603,0.122642,0.0574862,0.0233713,0.0604247,0.0339577,0.0469266,0.0796723,0.0177564,0.0259039,0.0336317,0.0181303,0.0296525,0.0314467,0,0
3,0.026424,0,0,0,0,0.0510137,0,0,0,0,0,0,0.020562,0,0.0189033,0.0616192,0,0,0.0244085,0,0,0.028953,0.0704578,0.0212512,0.00802377,0.0196513,0.0462554,0.0404405,0.0504521,0.059142,0.0407347,0.00925596,0.0127456,0.0284413,0.0288167,0.0291912,0.0132067,0.0214789,0.0522839,0,0.0136828,0.0687758,0.0344771,0,0,0.0308796,0,0,0.0546618,0.0489863,0.0309467,0.0225412,0.0135787,0.0514953,0.0494769,0.0440219,0.122609,0.0575125,0.023353,0.0604303,0.0339058,0.0469413,0.0798918,0.017908,0.025958,0.0336579,0.0181896,0.0296012,0.0314879,0,0
4,0.0264245,0,0,0,0,0.051058,0,0,0,0,0,0,0.0207168,0,0.018881,0.061703,0,0,0.0243971,0,0,0.0289044,0.0705568,0.0211921,0.00814477,0.0196678,0.0462919,0.0405169,0.0506482,0.0590424,0.0407655,0.00941055,0.0127195,0.0284242,0.0287546,0.0288437,0.0132445,0.0214401,0.0525052,0,0.0136975,0.0690433,0.0344377,0,0,0.0308235,0,0,0.0546652,0.0489662,0.0310905,0.0224935,0.0137201,0.0515372,0.0493492,0.0440228,0.122603,0.0575537,0.0233663,0.0604414,0.0338706,0.0469681,0.0800505,0.0181114,0.0257798,0.0337282,0.0182085,0.0296091,0.031567,0,0
5,0.0264239,0,0,0,0,0.0511463,0,0,0,0,0,0,0.020913,0,0.018812,0.0620668,0,0,0.0243818,0,0,0.0289181,0.0706364,0.021106,0.0088138,0.0196729,0.0463748,0.0405915,0.0506091,0.0588988,0.0410269,0.00986639,0.0125862,0.0283514,0.0286764,0.0283007,0.0133774,0.0214402,0.0527825,0,0.0136611,0.0691741,0.0343764,0,0,0.0307531,0,0,0.0546668,0.0489736,0.0310581,0.0224421,0.0138284,0.0516012,0.049193,0.0440205,0.12262,0.0575536,0.0234126,0.0604408,0.0338221,0.0470299,0.0800285,0.0182392,0.0256073,0.0337876,0.0181632,0.0296605,0.0316713,0,0
6,0.0264442,0,0,0,0,0.0512129,0,0,0,0,0,0,0.0210971,0,0.0187523,0.0619927,0,0,0.0243923,0,0,0.0289258,0.0706837,0.021069,0.00874219,0.0196655,0.046452,0.0406861,0.0505185,0.0586555,0.0410293,0.010147,0.0125283,0.0282966,0.0286859,0.0279711,0.0134383,0.0214499,0.0529753,0,0.0135682,0.0691764,0.0343295,0,0,0.0307068,0,0,0.0546803,0.0489327,0.0309545,0.0224494,0.0138858,0.051544,0.0491443,0.0439514,0.122639,0.0575484,0.0234434,0.0604213,0.0337686,0.047067,0.079841,0.0182924,0.0254805,0.0338381,0.018159,0.0296416,0.0317145,0,0
7,0.0264465,0,0,0,0,0.051256,0,0,0,0,0,0,0.021272,0,0.018706,0.0615451,0,0,0.0244391,0,0,0.0288849,0.0707631,0.0210242,0.00799423,0.0196352,0.0463867,0.0407486,0.0504381,0.0584542,0.0408945,0.0100746,0.0125137,0.028283,0.0287236,0.0276645,0.0135384,0.0215176,0.0530413,0,0.013518,0.0691433,0.0343075,0,0,0.0307082,0,0,0.0547092,0.0488663,0.0309941,0.0224675,0.0139652,0.0514635,0.0491511,0.0439262,0.122635,0.0575786,0.0234278,0.0604305,0.0337291,0.0470835,0.0797517,0.0183873,0.02552,0.0339127,0.0181434,0.0296025,0.0317385,0,0
8,0.0264218,0,0,0,0,0.0512954,0,0,0,0,0,0,0.0216005,0,0.0186508,0.0614471,0,0,0.0244707,0,0,0.0288472,0.0708938,0.0209052,0.00786845,0.0196913,0.0463062,0.0407828,0.0503105,0.0589242,0.0408161,0.0100187,0.0123901,0.0282506,0.0286914,0.0269128,0.0136007,0.0215389,0.0531501,0,0.0134116,0.0689998,0.0342939,0,0,0.0307184,0,0,0.0547566,0.0488369,0.0309497,0.0224336,0.0140183,0.051498,0.0491191,0.0439046,0.122645,0.0576266,0.0233867,0.0604543,0.0337308,0.0471216,0.0798107,0.0185047,0.0255192,0.0340201,0.0180861,0.0296102,0.0318141,0,0
