Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RANK,,RTIBA
All Timesteps RMSE,0.0372766,0,0,0,0,0.0677788,0,0,0,0,0,0,0.028841,0,0.0165142,0.0697452,0,0,0.0203565,0,0,0.0371351,0.0644756,0.0211074,0.0105224,0.0229594,0.0441397,0.0351684,0.051049,0.0612031,0.0397238,0.0116301,0.0151865,0.0292984,0.0298357,0.0194684,0.012456,0.0310965,0.0219862,0.0332016,0,0.0642312,0.0561985,0,0,0.0942977,0,0,0.0646233,0.0539842,0.0370942,0.023374,0.0127003,0.0515239,0.094073,0.043285,0.071685,0.0735831,0.0274244,0.0568855,0.042225,0.0740712,0.0266765,0.0564848,0.159121,0.082182,0.0443593,0.0226477,0.014522,0,0.0355207
0,0.0246455,0,0,0,0,0.0513551,0,0,0,0,0,0,0.0315913,0,0.0189334,0.0714825,0,0,0.0188701,0,0,0.0341787,0.0707147,0.0240201,0.00790525,0.0202649,0.0333476,0.0371629,0.0450005,0.0533965,0.0351214,0.0129104,0.0152679,0.0260867,0.0277475,0.0176686,0.00939812,0.00690088,0.0168283,0.0326879,0,0.0635939,0.0386918,0,0,0.0195397,0,0,0.0374439,0.058578,0.0237037,0.0197437,0.0198242,0.0439414,0.0274327,0.0394249,0.0645692,0.0628003,0.021144,0.0649126,0.05043,0.0834851,0.0164853,0.0275024,0.01399,0.0303131,0.0301882,0.0227162,0,0,0
1,0.024673,0,0,0,0,0.0514795,0,0,0,0,0,0,0.0312079,0,0.0190406,0.0715104,0,0,0.0191425,0,0,0.0341251,0.0706305,0.0236762,0.00769064,0.02025,0.0334962,0.0370824,0.0451264,0.0534726,0.0351246,0.0128816,0.0153085,0.0263006,0.0278808,0.0177488,0.00927614,0.00686351,0.016724,0.0328021,0,0.0635744,0.0387532,0,0,0.0203276,0,0,0.03754,0.058482,0.0237222,0.0197922,0.0197218,0.0439703,0.0270579,0.0395535,0.0646425,0.0629061,0.0211677,0.0648856,0.0504776,0.0834191,0.0164102,0.028365,0.0151167,0.0301462,0.0303251,0.022721,0,0,0
2,0.0246663,0,0,0,0,0.0515382,0,0,0,0,0,0,0.0309966,0,0.0191316,0.0715434,0,0,0.0192292,0,0,0.0341782,0.0706225,0.0235717,0.00757714,0.0202288,0.0335378,0.0370412,0.0451892,0.0534981,0.0351468,0.0128863,0.0151497,0.0263458,0.0279111,0.0179047,0.00923155,0.00700843,0.0165698,0.0330463,0,0.0635939,0.0386949,0,0,0.0204614,0,0,0.0377328,0.0583849,0.0237075,0.0198228,0.0195978,0.0438914,0.0269326,0.0395347,0.0646738,0.0629975,0.0211999,0.0648279,0.0504204,0.0833689,0.0163269,0.0285512,0.0157734,0.0304145,0.0303749,0.0227636,0,0,0
3,0.023652,0,0,0,0,0.051153,0,0,0,0,0,0,0.038748,0,0,0.0740755,0,0,0.019782,0,0,0.0339148,0.0678947,0.0266589,0.00920756,0.0212582,0.0352975,0.0389349,0,0.0557212,0.0348102,0.0104233,0.0111503,0.0240463,0.0258049,0.00987442,0.0086896,0.00651025,0.0181032,0.0290698,0,0.0589573,0.0375573,0,0,0.0207252,0,0,0.0376606,0,0.0212364,0.0132182,0,0.0423152,0.0267059,0.0367837,0.0584866,0.0573346,0.0196859,0.070089,0.0555718,0.0890481,0.0192151,0.0282386,0.0158281,0.0300903,0.0295743,0.0242013,0.0252141,0,0
4,0.024425,0,0,0,0,0.0514979,0,0,0,0,0,0,0.0308998,0,0.0191253,0.0712945,0,0,0.0193877,0,0,0.0340031,0.0706017,0.0239011,0.00698794,0.0203,0.0336711,0.0374288,0.0452718,0.0534593,0.0352422,0.01286,0.0150553,0.02624,0.0278475,0.0182859,0.00901067,0.00684634,0.0170248,0.0357227,0,0.0635521,0.0383892,0,0,0.0206758,0,0,0.0376601,0.0584375,0.0228246,0.018953,0.0183598,0.0433343,0.0270039,0.0391626,0.0645034,0.0628141,0.0214789,0.0652842,0.0509046,0.0838275,0.0140826,0.028638,0.0160813,0.0300504,0.0302421,0.0230941,0.0208265,0,0
5,0.0246073,0,0,0,0,0.051869,0,0,0,0,0,0,0.0297891,0,0.0210184,0.0713261,0,0,0.0198227,0,0,0.0341685,0.0698379,0.0204267,0.00646923,0.0189544,0.0341073,0.0374706,0.0459783,0.0536562,0.0348375,0.0126628,0.0148429,0.0287862,0.0300833,0.0161475,0.00829132,0.00672373,0.0170719,0.042067,0,0.0629837,0.039225,0,0,0.0235578,0,0,0.038927,0.057861,0.0229117,0.0177726,0.0131277,0.0435111,0.0255964,0.0387367,0.0658153,0.0645939,0.0226384,0.0649181,0.0503776,0.0827667,0.0123911,0.031943,0.0172489,0.0271147,0.0306012,0.0228901,0.0187107,0,0
6,0.0243543,0,0,0,0,0.0516366,0,0,0,0,0,0,0.0298114,0,0.0210005,0.0715326,0,0,0.019427,0,0,0.0339544,0.0699335,0.0203158,0.00638512,0.0187785,0.0338111,0.0373375,0.0459533,0.0534565,0.0346375,0.0126864,0.0147052,0.0286824,0.0300058,0.0161564,0.0089505,0.00658432,0.0171149,0.0432122,0,0.0628409,0.0381156,0,0,0.0216026,0,0,0.0378931,0.0580508,0.0228464,0.017325,0.0124064,0.0433086,0.026582,0.0385336,0.0658484,0.0647683,0.0228756,0.0650122,0.050428,0.0827644,0.0125981,0.0296985,0.0192852,0.0289304,0.0303506,0.0232399,0.0180246,0,0
7,0.0243387,0,0,0,0,0.0515557,0,0,0,0,0,0,0.0298163,0,0.020979,0.0717771,0,0,0.01933,0,0,0.0338508,0.0699288,0.0202421,0.00624228,0.018774,0.0337331,0.037414,0.0459263,0.0534191,0.0346142,0.0127122,0.0148524,0.0286653,0.0299852,0.0161575,0.00902015,0.00659928,0.0172359,0.0431086,0,0.0627676,0.0380638,0,0,0.0210195,0,0,0.0376701,0.0581504,0.0228504,0.0172689,0.0122255,0.0433082,0.0267764,0.0384443,0.0658076,0.064804,0.0230155,0.0650082,0.0503857,0.0828111,0.0125887,0.0289885,0.0175374,0.029556,0.0302625,0.0232404,0.0177493,0,0
8,0.0246942,0,0,0,0,0.0519161,0,0,0,0,0,0,0.0296893,0,0.0208304,0.0715958,0,0,0.0195754,0,0,0.0338584,0.069716,0.0202757,0.00620231,0.0189909,0.0343181,0.0373001,0.0461287,0.0536758,0.034808,0.012797,0.0149815,0.0287649,0.0300975,0.016327,0.00844732,0.00647679,0.0174092,0.0425539,0,0.0627359,0.0389588,0,0,0.0249945,0,0,0.0390392,0.0580998,0.0229309,0.0174214,0.0121987,0.0435802,0.025081,0.0384282,0.0658367,0.0647953,0.0229821,0.0649464,0.0502667,0.0828327,0.0125371,0.0329749,0.0210071,0.0254247,0.0306535,0.0228708,0.0176261,0,0
