Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,LWRA,
All Timesteps RMSE,0.0246298,0,0,0,0,0.0393374,0,0,0,0,0,0,0.0283785,0,0.0203817,0.0658869,0,0,0.0185698,0,0,0.0319909,0.0761612,0.0199462,0.012667,0.0116267,0.0374936,0.0409163,0.0780373,0.048633,0.0988076,0.015026,0.0157877,0.027866,0.0301286,0.0213409,0.0164486,0.0216177,0.0429392,0,0.0150244,0.062633,0.0394627,0,0,0.023624,0,0,0.0470652,0.0581373,0.0292791,0.0205866,0.0129796,0.0486998,0.0527216,0.0425229,0.0734987,0.0676821,0.0231447,0.0631119,0.037321,0.0518033,0.0816406,0.0177804,0.0155808,0.0184758,0.0233655,0.0221135,0.0333762,0.0338268,0
0,0.0211848,0,0,0,0,0.0391573,0,0,0,0,0,0,0.0337937,0,0.0195689,0.0659856,0,0,0.0135686,0,0,0.024724,0.076902,0.0199326,0.0141946,0.0123346,0.0349918,0.0388299,0.0856335,0.0457228,0.101282,0.0151055,0.0158342,0.0282486,0.0294409,0.00984855,0.0150472,0.0181676,0.0442487,0,0.016669,0.0655175,0.0333453,0,0,0.0253491,0,0,0.0507662,0.0555349,0.0281248,0.0238309,0.0138686,0.0446197,0.041231,0.0428491,0.0745889,0.0660109,0.023408,0.0625779,0.0367296,0.0491739,0.082769,0.0133364,0.0130028,0.0326124,0.0228398,0.0178584,0.0304427,0,0
1,0.021087,0,0,0,0,0.0391057,0,0,0,0,0,0,0.0355111,0,0.0188788,0.0663644,0,0,0.0136386,0,0,0.0250921,0.0769533,0.0199019,0.014498,0.011312,0.0348225,0.0390261,0.0855309,0.0459488,0.100771,0.0149356,0.0153813,0.02848,0.0300763,0.00804159,0.0151877,0.0185051,0.0443648,0,0.0167297,0.0653826,0.0333304,0,0,0.0249933,0,0,0.0503446,0.0555823,0.0280542,0.0240224,0.013929,0.0447362,0.040923,0.0428455,0.0745292,0.0659384,0.0234083,0.0626721,0.0367079,0.0491458,0.0828326,0.0133342,0.0127103,0.0326133,0.0228202,0.0175224,0.0305401,0,0
2,0.0219072,0,0,0,0,0.0392086,0,0,0,0,0,0,0.0355448,0,0.018793,0.0665356,0,0,0.0129961,0,0,0.0249702,0.0769422,0.019938,0.015263,0.0116257,0.0339704,0.0375522,0.0856668,0.0461846,0.101038,0.0148079,0.0153802,0.0284644,0.0300769,0.00818617,0.0148163,0.018124,0.0457251,0,0.0166772,0.0665329,0.0339286,0,0,0.0247697,0,0,0.0500791,0.0532712,0.0282557,0.0273223,0.0159654,0.0460172,0.0406578,0,0.0766399,0.0657497,0.0228435,0.0611497,0.0352529,0.0476729,0.0818036,0.0153763,0.0126028,0.0325009,0.0228447,0.0178642,0.0295688,0,0
3,0.0210045,0,0,0,0,0.0389381,0,0,0,0,0,0,0.0357303,0,0.0190022,0.0662062,0,0,0.0135185,0,0,0.0250073,0.0771323,0.0199207,0.014741,0.0112377,0.0346054,0.0392702,0.0854233,0.0457448,0.100457,0.0151044,0.0155593,0.0283843,0.0300718,0.00802316,0.0153306,0.0183749,0.044003,0,0.0168386,0.0653401,0.0332941,0,0,0.0247824,0,0,0.050195,0.0556338,0.0281844,0.0242473,0.0141137,0.0448231,0.0404688,0.0427659,0.0744446,0.0659481,0.0233556,0.0626673,0.036665,0.0492158,0.082747,0.0135165,0.0123182,0.0325787,0.0228097,0.0173879,0.0306598,0,0
4,0.0218363,0,0,0,0,0.0390292,0,0,0,0,0,0,0.0352852,0,0.0188073,0.0664772,0,0,0.012891,0,0,0.0248505,0.0770307,0.0197872,0.0153813,0.01164,0.0338238,0.0378184,0.0856249,0.0459508,0.1008,0.0150452,0.015541,0.0283613,0.0300504,0.00854662,0.0146831,0.0180515,0.0457722,0,0.0166187,0.0665052,0.0338413,0,0,0.0247091,0,0,0.0501922,0.053346,0.0283348,0.0273332,0.0160638,0.0460473,0.0402411,0,0.076573,0.0657812,0.0227946,0.061143,0.0352249,0.0478053,0.0817369,0.0156523,0.0121821,0.0325967,0.0227223,0.0178639,0.0297254,0,0
5,0.0209215,0,0,0,0,0.0387736,0,0,0,0,0,0,0.0354913,0,0.0189322,0.0662525,0,0,0.0134126,0,0,0.0250236,0.0772363,0.0197159,0.0149117,0.0112202,0.034423,0.0395654,0.0853483,0.045558,0.100282,0.0152668,0.0155669,0.0283188,0.0300377,0.00837085,0.0150578,0.0185099,0.0441834,0,0.0168537,0.0653864,0.0331734,0,0,0.0246766,0,0,0.0501541,0.055681,0.0282105,0.0242409,0.0140612,0.044784,0.0401228,0.0427258,0.0744112,0.0659529,0.0233148,0.0626325,0.0365651,0.049287,0.0827014,0.0136831,0.012033,0.032693,0.0226972,0.0170841,0.0308165,0,0
6,0.0208983,0,0,0,0,0.0387125,0,0,0,0,0,0,0.0354549,0,0.0188946,0.0663162,0,0,0.0133814,0,0,0.0250012,0.0772669,0.0196171,0.0148813,0.0112188,0.034326,0.0397949,0.0852877,0.0454872,0.100214,0.015286,0.0154817,0.0283117,0.0300281,0.00843372,0.0149505,0.0185253,0.0445182,0,0.0167678,0.0653154,0.0331119,0,0,0.0245145,0,0,0.0501256,0.0557189,0.0281454,0.0241795,0.0139312,0.0447308,0.0399281,0.0429575,0.0743858,0.0659786,0.0233487,0.0626843,0.0365798,0.0492809,0.0826751,0.0137894,0.011867,0.0328353,0.0228213,0.0168146,0.0308815,0,0
7,0.0208791,0,0,0,0,0.0386572,0,0,0,0,0,0,0.0354593,0,0.0188334,0.0663721,0,0,0.0133554,0,0,0.0249328,0.0773435,0.0195426,0.0149636,0.011282,0.0342127,0.0399537,0.0852384,0.0454664,0.100164,0.015364,0.0152569,0.0283438,0.0300782,0.00841184,0.014944,0.0184282,0.0445833,0,0.0167703,0.0651875,0.0330555,0,0,0.0243806,0,0,0.0501471,0.0557616,0.0281107,0.0241677,0.0138905,0.0447322,0.0397523,0.0433549,0.0743467,0.066005,0.0233817,0.0626954,0.0365707,0.049304,0.0826585,0.0138068,0.011699,0.0329538,0.023065,0.0167281,0.0309466,0,0
8,0.0208471,0,0,0,0,0.0385883,0,0,0,0,0,0,0.0354212,0,0.0187353,0.0664986,0,0,0.0133479,0,0,0.0249241,0.0774628,0.0194871,0.0151159,0.0113307,0.0340868,0.0400629,0.0851796,0.0453477,0.100098,0.0154754,0.0148394,0.0283973,0.0301705,0.0084035,0.0149018,0.0183996,0.0446079,0,0.0167866,0.0652092,0.0330057,0,0,0.0242771,0,0,0.0501602,0.0557528,0.0280787,0.0242814,0.0138967,0.0447642,0.039608,0.0429038,0.0743126,0.0660109,0.0233225,0.0626654,0.0365359,0.0493201,0.0826328,0.0139377,0.0115379,0.0329671,0.0230761,0.0166381,0.0310174,0,0
