Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,,RTIBA
All Timesteps RMSE,0.0246921,0,0,0,0,0.047196,0,0,0,0,0,0,0.0285951,0,0.0209482,0.0682983,0,0,0.0213961,0,0,0.0359934,0.0755783,0.020482,0.0134943,0.0133384,0.0374655,0.0365382,0.0789604,0.048519,0.100086,0.0142008,0.0155419,0.0279809,0.0288842,0.0221261,0.0125998,0.0259426,0.020333,0.0325911,0,0.0149817,0.0683365,0.0355519,0,0,0.0242085,0,0,0.0487878,0.0572598,0.0385267,0.0328918,0.00968359,0.0562241,0.0474231,0.0470618,0.0779309,0.0703801,0.0198722,0.0581076,0.0434797,0.0745024,0.0315696,0.0193236,0.0225917,0.0228141,0.027699,0.0304004,0,0.0362735
0,0.0187567,0,0,0,0,0.0462786,0,0,0,0,0,0,0.0287705,0,0.0248774,0.0703227,0,0,0.0293595,0,0,0.0273054,0.0804176,0.0196649,0.0188122,0.0106282,0.0261783,0.0481373,0.0762635,0.0440461,0.0947849,0.0157175,0.0167922,0.0279279,0.028192,0.016763,0.0140078,0.0051582,0.0173227,0.0410679,0,0.0175091,0.0693134,0.0283754,0,0,0.0235196,0,0,0.0455459,0.058152,0.0265932,0.033236,0.0151348,0.0519275,0.041762,0.0466808,0.0724907,0.0617974,0.0150835,0.0674615,0.0535858,0.0854225,0.0106218,0.0138295,0.0071204,0.0269307,0.0280438,0.0302457,0,0
1,0.0215078,0,0,0,0,0.0466407,0,0,0,0,0,0,0.030719,0,0,0.0716003,0,0,0.0139932,0,0,0.0351827,0.0807863,0.0162485,0.0204205,0.013215,0.0292212,0.0410325,0.0740498,0,0.0989064,0.0130497,0.0129405,0.0271013,0.0265484,0.0123044,0.0210755,0.0093406,0.02129,0.0560985,0,0.012369,0.07175,0.0294725,0,0,0.0211667,0,0,0.0455262,0.0564949,0.0306632,0.0414775,0.00604022,0.0587948,0.0406798,0,0,0.0663154,0.0153207,0.0604085,0.0461602,0.0781108,0.0217935,0.0144986,0.00783919,0.026647,0.0289043,0.0272775,0,0
2,0.0210539,0,0,0,0,0.0467153,0,0,0,0,0,0,0.0249755,0,0,0.0703777,0,0,0.0139261,0,0,0.0353341,0.0807558,0.0188883,0.0208747,0.0112582,0.0285566,0.0420833,0.0758657,0.0447744,0.0953456,0.0150339,0.0161551,0.0291694,0.0290324,0.0201488,0.0207741,0.00936387,0.02179,0.0554026,0,0.0121961,0.0721416,0.0287443,0,0,0.0213509,0,0,0.0454681,0.0560481,0.0307766,0.0419734,0.00618569,0.0590054,0.0416159,0,0,0.0665595,0.0155767,0.0603989,0.0460865,0.0780724,0.0212785,0.0147843,0.00772563,0.0269927,0.028999,0.0278727,0,0
3,0.0213875,0,0,0,0,0.0468514,0,0,0,0,0,0,0.0247842,0,0,0.0705871,0,0,0.0138359,0,0,0.0354136,0.0806116,0.0187531,0.0208245,0.0112802,0.0287546,0.0425372,0.075983,0.0447389,0.095319,0.0148856,0.0158791,0.0289853,0.0288675,0.0203347,0.0207079,0.00910153,0.0220168,0.0544535,0,0.0120926,0.0719648,0.02851,0,0,0.0212815,0,0,0.0452362,0.0560501,0.0308889,0.0419999,0.00621216,0.0592001,0.041977,0,0,0.0666185,0.0156299,0.0603276,0.0461,0.0780261,0.0204763,0.0152253,0.00761054,0.027026,0.0295023,0.0276831,0,0
4,0.0216435,0,0,0,0,0.0468338,0,0,0,0,0,0,0.0246875,0,0,0.0706869,0,0,0.0136607,0,0,0.0356151,0.0804461,0.0186267,0.0207147,0.0112315,0.02898,0.0428862,0.0761203,0.04474,0.0954337,0.0147382,0.0156709,0.0289554,0.0288128,0.0205411,0.0204622,0.00911703,0.0220564,0.0536382,0,0.0120053,0.0718749,0.0283429,0,0,0.021173,0,0,0.0452432,0.0560154,0.0309515,0.041992,0.00626001,0.0594183,0.0425318,0,0,0.0666919,0.0157169,0.0602714,0.0460959,0.0780221,0.0197799,0.0157494,0.00776564,0.0269523,0.0298054,0.0275328,0,0
5,0.0218306,0,0,0,0,0.046786,0,0,0,0,0,0,0.0245834,0,0,0.0707443,0,0,0.0134917,0,0,0.0357898,0.0802823,0.0185489,0.0206157,0.0111704,0.0291567,0.0431539,0.0762181,0.0448313,0.0955655,0.0146302,0.0155283,0.0290138,0.0288269,0.0208936,0.0201768,0.0092341,0.0220064,0.0530608,0,0.011979,0.0718645,0.0282789,0,0,0.021135,0,0,0.0451561,0.0559647,0.0310493,0.0420055,0.00634625,0.0595863,0.0431249,0,0,0.066771,0.0158127,0.0602934,0.0460879,0.0780222,0.0193064,0.016473,0.00778575,0.0267976,0.0299582,0.027384,0,0
6,0.0218644,0,0,0,0,0.0475019,0,0,0,0,0,0,0.0244571,0,0,0.0708625,0,0,0.0133137,0,0,0.0358472,0.0802138,0.0185577,0.0207008,0.011061,0.0291161,0.0438211,0.0761996,0.0448638,0.0956098,0.0146904,0.0155676,0.0290248,0.0288466,0.0212164,0.0199903,0.00906866,0.0220315,0.0526618,0,0.0119809,0.0718067,0.0288241,0,0,0.0212851,0,0,0.0450233,0.0559411,0.0311615,0.0421799,0.00637447,0.0597198,0.0423936,0,0,0.0668512,0.0158813,0.0603422,0.0460715,0.0780165,0.0189996,0.0159785,0.00761097,0.0268876,0.0307788,0.026931,0,0
7,0.0220197,0,0,0,0,0.0477448,0,0,0,0,0,0,0.0242431,0,0,0.0708186,0,0,0.0131766,0,0,0.0359171,0.0801232,0.0185678,0.0205994,0.010916,0.0291999,0.044141,0.076209,0.0449513,0.0957057,0.0147114,0.0156507,0.0289852,0.0288316,0.021506,0.0199025,0.00884862,0.0220494,0.0521725,0,0.0119469,0.0717901,0.028996,0,0,0.0213889,0,0,0.0448724,0.0559651,0.0312104,0.0421624,0.00626204,0.0597164,0.0425038,0,0,0.0669145,0.0158805,0.0602851,0.0461109,0.0780487,0.0186641,0.0158394,0.00758885,0.0269795,0.0312631,0.0266765,0,0
8,0.0221641,0,0,0,0,0.0479668,0,0,0,0,0,0,0.0239517,0,0,0.0707925,0,0,0.0130616,0,0,0.0360812,0.0800504,0.0186329,0.020488,0.0108107,0.0292733,0.0443399,0.0761922,0.0450571,0.0957689,0.0147201,0.0157156,0.0289301,0.0287795,0.0218664,0.0197687,0.0087113,0.0220134,0.0515563,0,0.0119247,0.0718104,0.0291802,0,0,0.0215119,0,0,0.0448061,0.0559909,0.0312527,0.0420834,0.00616861,0.0596698,0.0425303,0,0,0.0669924,0.015902,0.0601988,0.046128,0.0780701,0.0182849,0.0155032,0.0076297,0.0271634,0.0317005,0.0264137,0,0
9,0.0223651,0,0,0,0,0.0480793,0,0,0,0,0,0,0.0236803,0,0,0.070745,0,0,0.0129446,0,0,0.0363753,0.0799653,0.0186997,0.0203021,0.0109678,0.0293692,0.0444216,0.0762132,0.0452092,0.0957214,0.0146615,0.0158038,0.0289027,0.0287344,0.0222275,0.0195884,0.00858621,0.0218111,0.0508386,0,0.0119742,0.0717986,0.0292416,0,0,0.0216174,0,0,0.0447874,0.0559963,0.0312706,0.0419567,0.00611031,0.0595206,0.0426432,0,0,0.0670522,0.0159198,0.0601691,0.0461747,0.0780945,0.0178185,0.0151971,0.00772642,0.0271577,0.0320367,0.0261726,0,0
10,0.0224959,0,0,0,0,0.0482669,0,0,0,0,0,0,0.0237976,0,0,0.0707095,0,0,0.0128902,0,0,0.0364313,0.0799485,0.0187706,0.0202778,0.0111672,0.0293235,0.0444029,0.0761954,0.0452739,0.0954582,0.0146694,0.0159288,0.0289015,0.0286889,0.0220595,0.0192091,0.0087866,0.0212574,0.0497127,0,0.0122512,0.0717791,0.0296602,0,0,0.0215735,0,0,0.0446806,0.0558684,0.0313118,0.0420552,0.0062995,0.0594711,0.0425867,0,0,0.0670638,0.0160182,0.0601304,0.046187,0.078066,0.0170613,0.0154701,0.00759292,0.0269913,0.0323532,0.0258272,0,0
11,0.0230864,0,0,0,0,0.0486317,0,0,0,0,0,0,0.0241357,0,0,0.0709359,0,0,0.0125145,0,0,0.0363328,0.0800886,0.0188901,0.0211512,0.0114615,0.0291462,0.0432967,0.0763238,0.0453238,0.095341,0.0146981,0.0159364,0.0288878,0.028689,0.02156,0.0190755,0.00855573,0.0203687,0.0452969,0,0.0120469,0.072306,0.0303026,0,0,0.0214894,0,0,0.0445588,0.0541836,0.0330675,0.0442217,0.00717697,0.0606683,0.0426672,0,0,0.0682179,0.0174565,0.0588022,0.0450816,0.0770761,0.0148712,0.0158749,0.00746945,0.0268545,0.0328298,0.0249119,0,0.035414
