Timestep,,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,LANK,LWRA,RTHI
All Timesteps RMSE,0,0.0223805,0,0,0,0,0.050294,0,0,0,0,0,0,0.0424442,0,0.067377,0,0,0.0239799,0,0,0.0355553,0.0715687,0.0184757,0.00814774,0.0162151,0.040766,0.0396337,0.0858541,0.0447986,0.0997941,0.0148695,0.0149611,0.0285525,0.0302011,0.011727,0.0138741,0.0224735,0.0286282,0,0.0156178,0.0610955,0.0350728,0,0,0.0230367,0,0,0.0483432,0.0568126,0.0335272,0.0210397,0.00967162,0.0517696,0.0454854,0.0797788,0.0717769,0.0256621,0.0603645,0.037708,0.0459602,0.0779632,0.0280832,0.0181053,0.0197131,0.0232856,0.0315231,0.0316706,0.0170542,0.0248018,0.0467041
0,0,0.0248756,0,0,0,0,0.0542091,0,0,0,0,0,0,0.0550635,0,0.0680814,0,0,0.0133292,0,0,0.0233701,0.0726875,0.0190842,0.00729066,0.0173645,0.0419305,0.0237833,0.0852759,0.0394543,0.0964848,0.0156977,0.0178643,0.0294182,0.0295369,0.018485,0.0138749,0.0177744,0.0228314,0,0.0146039,0.0580054,0.043968,0,0,0.0158147,0,0,0.04452,0.060398,0.0375879,0.0137109,0.0115699,0.0507133,0.0466783,0.0818809,0.0696579,0.0229633,0.0598524,0.0360135,0.0456032,0.0766876,0.0313839,0.0201932,0.0110479,0.0231724,0.0420976,0.0349113,0,0,0
1,0,0.0249143,0,0,0,0,0.0541298,0,0,0,0,0,0,0.0549931,0,0.0680426,0,0,0.0127467,0,0,0.023326,0.0726777,0.0191039,0.00735444,0.0173878,0.0418824,0.0236592,0.0852468,0.0395109,0.0964384,0.0157978,0.0177868,0.029444,0.0295182,0.0183967,0.0138745,0.0177352,0.0227915,0,0.01458,0.058001,0.0439745,0,0,0.0160589,0,0,0.044593,0.0603995,0.0375329,0.0137497,0.0114784,0.0507366,0.0467143,0.081862,0.0697022,0.0230081,0.0597782,0.0359517,0.0454892,0.0766287,0.031045,0.020178,0.0107221,0.0231289,0.0420502,0.03495,0,0,0
2,0,0.0249123,0,0,0,0,0.0540551,0,0,0,0,0,0,0.0549803,0,0.0679935,0,0,0.0127966,0,0,0.0232795,0.0726462,0.0191158,0.00736347,0.0173576,0.0418439,0.0236735,0.0852074,0.0395476,0.0964765,0.015843,0.0177908,0.0294629,0.0295226,0.0183538,0.0137918,0.0177458,0.022928,0,0.0144852,0.058129,0.0439851,0,0,0.0160777,0,0,0.0445936,0.0604053,0.0374801,0.0137368,0.0114419,0.050709,0.0467291,0.081889,0.0697081,0.0230564,0.0597829,0.0359649,0.0454369,0.0765992,0.0310557,0.0201456,0.0106269,0.0231704,0.0420308,0.0349813,0,0,0
3,0,0.0249108,0,0,0,0,0.0539924,0,0,0,0,0,0,0.0550083,0,0.0679836,0,0,0.0128435,0,0,0.0232702,0.0726319,0.0190984,0.00736341,0.0172825,0.0418223,0.0237282,0.0851729,0.0395347,0.0964974,0.0158415,0.0177976,0.0294718,0.0295501,0.0183047,0.0137489,0.0177554,0.0233354,0,0.0143736,0.0581633,0.0439919,0,0,0.0160914,0,0,0.0445846,0.0604002,0.0373881,0.0137287,0.0114357,0.0507029,0.0467334,0.0818438,0.0697032,0.0230945,0.0598017,0.0360993,0.0455379,0.0765545,0.0312394,0.0200062,0.0106018,0.0231772,0.0419889,0.0350099,0,0,0
4,0,0.0249166,0,0,0,0,0.0539525,0,0,0,0,0,0,0.0551127,0,0.0679696,0,0,0.0128702,0,0,0.02327,0.0726314,0.0190794,0.0073821,0.0172557,0.0417775,0.0237873,0.0851511,0.0395898,0.0964505,0.0158363,0.0177824,0.0294859,0.0295877,0.0182272,0.0137195,0.0177527,0.0234403,0,0.0144361,0.0582471,0.0439942,0,0,0.0161279,0,0,0.0445735,0.0603882,0.0373322,0.0137685,0.0112483,0.0506972,0.0467166,0.081739,0.0696881,0.0231474,0.0597962,0.036375,0.0458639,0.076525,0.03069,0.0198427,0.0106356,0.0231723,0.0420084,0.0350037,0,0,0
5,0,0.024938,0,0,0,0,0.0539448,0,0,0,0,0,0,0.0553284,0,0.0678962,0,0,0.0128828,0,0,0.0232892,0.0726147,0.0190526,0.00739833,0.0172733,0.0417225,0.0238458,0.0851455,0.0396391,0.0963954,0.0159304,0.0177375,0.0295134,0.0296123,0.0181407,0.0137139,0.0177577,0.0237477,0,0.0145209,0.0583067,0.0439862,0,0,0.0161524,0,0,0.044568,0.0603978,0.0372532,0.0138093,0.0110329,0.050723,0.046668,0.0817095,0.0697261,0.023227,0.0597727,0.036483,0.0460085,0.0765334,0.0302007,0.0197706,0.0107039,0.0231079,0.0420785,0.0349735,0,0,0
6,0,0.0249543,0,0,0,0,0.0539894,0,0,0,0,0,0,0.0554286,0,0.0677379,0,0,0.0129091,0,0,0.0232821,0.072606,0.0190301,0.00741014,0.0173104,0.0417114,0.0239293,0.0851415,0.0396681,0.0964664,0.0161472,0.0177099,0.0295529,0.0296402,0.018089,0.0136933,0.0177335,0.023949,0,0.0145263,0.0581853,0.0439684,0,0,0.0161725,0,0,0.0445623,0.0604247,0.0371843,0.0138049,0.0111282,0.050762,0.0465989,0.0816779,0.069759,0.0233112,0.0597895,0.0364843,0.0458813,0.0765479,0.029978,0.0198473,0.0107703,0.0230171,0.0421286,0.0349587,0,0,0
7,0,0.0249456,0,0,0,0,0.0540279,0,0,0,0,0,0,0.0553976,0,0.067597,0,0,0.0129261,0,0,0.023259,0.0726089,0.0190788,0.00742093,0.017325,0.0417036,0.023966,0.0851045,0.0396922,0.0965948,0.0162935,0.0177281,0.0295739,0.0296556,0.0180429,0.0136834,0.0176675,0.0239896,0,0.0144824,0.0581148,0.0439393,0,0,0.0161328,0,0,0.0445645,0.0604623,0.037147,0.0137911,0.0111271,0.050763,0.0465558,0.0815639,0.0697792,0.0233713,0.0597616,0.036473,0.0455235,0.0765733,0.0299373,0.0199107,0.0108009,0.0229843,0.0421837,0.0349467,0,0,0
8,0,0.0249668,0,0,0,0,0.0540729,0,0,0,0,0,0,0.0552421,0,0.0677386,0,0,0.0129231,0,0,0.0232442,0.0726178,0.0191583,0.00741084,0.0173239,0.0417373,0.0239649,0.0850777,0.0396924,0.0965152,0.0161913,0.0177979,0.0295745,0.0296447,0.0180288,0.0136805,0.0176426,0.0240096,0,0.0144298,0.0581141,0.0439104,0,0,0.0160694,0,0,0.0445681,0.060488,0.0371628,0.0137704,0.0110364,0.0507517,0.0465238,0.0814737,0.0698029,0.0234116,0.0597154,0.036452,0.0453352,0.0765618,0.0298676,0.0199053,0.0107508,0.0230716,0.0422816,0.0349144,0,0,0
