Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,RTIBA,x75
All Timesteps RMSE,0.055008,0.0610861,0,0,0,0,0,0,0.0309938,0,0.0188424,0.0709354,0,0,0.0240895,0,0,0.0381479,0.0715868,0.0243022,0.0110503,0.0123024,0.0311295,0.0412389,0.0246271,0.0397809,0.0501867,0.031681,0.0151705,0.0152568,0.0249212,0.026766,0.0195803,0.0204132,0.0110164,0.0214505,0.0408228,0,0.0103747,0.0587787,0.0406911,0,0,0.017747,0,0,0.0426738,0.0613008,0.0319144,0.0278982,0.0120218,0.0511258,0.0459749,0.0368108,0.123106,0.042616,0.0315574,0.0680783,0.050935,0.0838003,0.0201692,0.0245041,0.0119885,0.0211068,0.0387933,0.0216377,0,0,0,0,0,0,0,0,0.0448712,0
0,0.0528924,0.0678134,0,0,0,0,0,0,0.0348313,0,0.0172933,0.0694343,0,0,0.0201295,0,0,0.0408825,0.0718625,0.0277164,0.00859322,0.013134,0.0333815,0.0492053,0.0230862,0.0380044,0.0490304,0.0296582,0.0156367,0.0153156,0.0208096,0.0228489,0.0155857,0.0216061,0.0105123,0.019953,0.0457213,0,0.0119882,0.0557237,0.030377,0,0,0.0125713,0,0,0.0428185,0.0614833,0.0295426,0.0257283,0.01297,0.0514084,0.0476164,0.0365469,0.121979,0.0427191,0.0298463,0.0692153,0.0516376,0.0844276,0.0160668,0.0271013,0.0123399,0.0196637,0.043979,0.0189993,0,0,0,0,0,0,0,0,0,0
1,0.052813,0.0676684,0,0,0,0,0,0,0.0351159,0,0.0173799,0.0698821,0,0,0.0195895,0,0,0.0407262,0.071955,0.0278646,0.00788772,0.0131432,0.0325688,0.0489148,0.023042,0.0378337,0.0488697,0.0295186,0.0153231,0.0153621,0.0206218,0.0226939,0.0154569,0.021465,0.0104321,0.0196193,0.0459635,0,0.0120107,0.0556801,0.0305303,0,0,0.0121387,0,0,0.0426865,0.0616328,0.029486,0.0256886,0.0129963,0.0509302,0.0470376,0.0363803,0.121822,0.0428013,0.029755,0.0692635,0.0517012,0.0845278,0.0161759,0.027542,0.0125275,0.0191805,0.0437853,0.0185936,0,0,0,0,0,0,0,0,0,0
2,0.0527038,0.0674618,0,0,0,0,0,0,0.0355733,0,0.0175116,0.0702032,0,0,0.0189552,0,0,0.0404701,0.0720946,0.0281878,0.00773605,0.0131562,0.0318216,0.0485572,0.0232568,0.0375249,0.0486676,0.0294313,0.0154173,0.0154146,0.0203434,0.0224594,0.0152684,0.0210933,0.0101951,0.0196512,0.0461774,0,0.0121391,0.0558077,0.0306735,0,0,0.0116323,0,0,0.0424632,0.0616813,0.0293843,0.0256907,0.0130228,0.0504977,0.046485,0.0363389,0.121712,0.0427468,0.0297378,0.0694594,0.0518403,0.084623,0.0161836,0.0273863,0.0125358,0.0189006,0.0435633,0.0182844,0,0,0,0,0,0,0,0,0,0
3,0.0525856,0.0673949,0,0,0,0,0,0,0.0315831,0,0.0179898,0.0708662,0,0,0.0186405,0,0,0.0412668,0.07212,0.0219453,0.00781636,0.0114051,0.030539,0.0479943,0.0230737,0.0370905,0.0485042,0.0295467,0.0163956,0.0154785,0.0246485,0.0262806,0.0147258,0.020557,0.00964774,0.0188168,0.0418538,0,0.0100013,0.0560957,0.0307083,0,0,0.0113082,0,0,0.0424787,0.0620311,0.0302736,0.025362,0.0119176,0.0491341,0.0460846,0.0356962,0.121685,0.0415384,0.0302876,0.070195,0.0526186,0.0854666,0.0153282,0.0268373,0.0122099,0.0184415,0.0435295,0.0179846,0,0,0,0,0,0,0,0,0,0
4,0.0525005,0.0673591,0,0,0,0,0,0,0.0319047,0,0.0180375,0.0711148,0,0,0.0178958,0,0,0.0412564,0.0722908,0.0219416,0.00798126,0.0113824,0.0298399,0.0476012,0.0228691,0.0368103,0.048312,0.029537,0.016293,0.0156335,0.0245885,0.0262427,0.0144385,0.0201393,0.00968526,0.0185325,0.0420342,0,0.0101115,0.0562308,0.0309311,0,0,0.0108995,0,0,0.0423834,0.0620429,0.0301804,0.0253854,0.0120072,0.0487349,0.0456211,0.0354988,0.12159,0.0415169,0.0301831,0.0705599,0.0527131,0.0855515,0.0151629,0.0269352,0.0123563,0.018307,0.0433931,0.0178273,0,0,0,0,0,0,0,0,0,0
5,0.0523788,0.0673015,0,0,0,0,0,0,0.0320621,0,0.0181902,0.0714263,0,0,0.0172293,0,0,0.0410335,0.0724785,0.0217283,0.00818036,0.0112839,0.0291716,0.0472892,0.0225258,0.0365534,0.0480881,0.0294991,0.0157507,0.015654,0.0246649,0.0263371,0.0141321,0.0196335,0.00985761,0.0182317,0.0418256,0,0.0101146,0.0562457,0.0312011,0,0,0.0105536,0,0,0.0422208,0.0622117,0.0299803,0.0253701,0.0119917,0.0484546,0.04519,0.0352747,0.12154,0.0413477,0.0301934,0.0703311,0.0528259,0.0857629,0.0152,0.0272771,0.0126538,0.0181819,0.0431223,0.017699,0,0,0,0,0,0,0,0,0,0
6,0.0523032,0.0673696,0,0,0,0,0,0,0.032172,0,0.0182033,0.0716244,0,0,0.0166078,0,0,0.0407286,0.0725974,0.021687,0.00832923,0.0113751,0.0284899,0.046925,0.0223526,0.0363433,0.048004,0.0294454,0.015565,0.015686,0.0245307,0.0262676,0.0139485,0.0193569,0.0096826,0.0179532,0.0417217,0,0.0101606,0.0563952,0.0314236,0,0,0.0104631,0,0,0.0422388,0.0623085,0.0298604,0.0253382,0.012147,0.0480581,0.0448282,0.0352039,0.121441,0.0412933,0.0301578,0.0698881,0.0528373,0.0858667,0.0152611,0.0273535,0.0129863,0.0178673,0.0429279,0.0175437,0,0,0,0,0,0,0,0,0,0
7,0.052256,0.0674854,0,0,0,0,0,0,0.0323274,0,0.0182487,0.0718202,0,0,0.0160505,0,0,0.0404589,0.0728529,0.0215646,0.00848551,0.0112652,0.0278841,0.0466456,0.02218,0.0361179,0.0479229,0.0293864,0.0156556,0.015758,0.0244686,0.0262584,0.0137247,0.0191931,0.00959422,0.0179287,0.0415862,0,0.0101963,0.05651,0.03164,0,0,0.0103995,0,0,0.0421506,0.0623743,0.0297343,0.0253116,0.012301,0.047725,0.0445998,0.0351723,0.121351,0.0412132,0.0303014,0.0698083,0.0528917,0.0859238,0.0153696,0.0274493,0.0131841,0.0176955,0.042738,0.0173599,0,0,0,0,0,0,0,0,0,0
8,0.0522609,0.0676561,0,0,0,0,0,0,0.0326349,0,0.0182212,0.0720397,0,0,0.0156088,0,0,0.0403605,0.0729479,0.0216711,0.00864057,0.0112268,0.0272314,0.0463338,0.0220994,0.0359849,0.0477896,0.0293,0.0158782,0.0158935,0.0242539,0.0260468,0.013473,0.0189768,0.00942819,0.017755,0.041726,0,0.0102052,0.0567595,0.0318339,0,0,0.0103804,0,0,0.0421271,0.0623344,0.0297444,0.0253539,0.0125486,0.0473315,0.0443716,0.0351722,0.121194,0.0413866,0.030329,0.0698713,0.0529104,0.0859237,0.0152544,0.0273369,0.0132818,0.0173445,0.042593,0.0171044,0,0,0,0,0,0,0,0,0,0
