Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,x75
All Timesteps RMSE,0.0527137,0.0612419,0,0,0,0,0,0,0.0306155,0,0.0191291,0.0682718,0,0,0.0254309,0,0,0.0382293,0.0703576,0.0236788,0.00966949,0.0121007,0.0365507,0.0417614,0.0254524,0.0405125,0.0513024,0.0320681,0.0147689,0.0143144,0.024044,0.0263168,0.0209604,0.0182286,0.0108106,0.0228949,0.0471777,0,0.00953486,0.0600553,0.0401143,0,0,0.0223297,0,0,0.0428884,0.0605345,0.0305952,0.0299939,0.0122255,0.0538334,0.0512695,0.037982,0.12585,0.0420194,0.0340705,0.0690512,0.0452056,0.0519884,0.0846704,0.0222068,0.0248168,0.0115684,0.0231984,0.0388198,0.0235307,0,0,0,0,0,0,0,0,0
0,0.0503604,0.0700511,0,0,0,0,0,0,0.0331354,0,0.0175142,0.0706804,0,0,0.0185612,0,0,0.039247,0.0707833,0.0211504,0.00814131,0.0121107,0.0306027,0.039291,0.0242145,0.0382896,0.0497089,0.0309217,0.0157101,0.0157938,0.0244741,0.0261562,0.0136573,0.00646532,0.0106896,0.020858,0.0451185,0,0.00795357,0.060107,0.0311979,0,0,0.0130565,0,0,0.0421658,0.0605466,0.0287946,0.0302137,0.010012,0.0495571,0.0486937,0.0369357,0.124944,0.040691,0.0333411,0.0702799,0.0451179,0.0538127,0.0871245,0.0157098,0.0257411,0.012065,0.0214226,0.0437486,0.0191939,0,0,0,0,0,0,0,0,0
1,0.0504726,0.0700265,0,0,0,0,0,0,0.0331234,0,0.0175466,0.0706077,0,0,0.0188941,0,0,0.0391422,0.0708328,0.0211852,0.00815552,0.0120879,0.0304225,0.0392225,0.0242103,0.0382971,0.0496409,0.0308756,0.0157493,0.015799,0.0244381,0.0261658,0.0136471,0.00638961,0.0106777,0.0208462,0.0452305,0,0.00791021,0.0603149,0.0311938,0,0,0.0132491,0,0,0.0421105,0.0604452,0.0288123,0.0300883,0.0100073,0.0494612,0.0482985,0.0369308,0.124935,0.0406857,0.0333305,0.0703366,0.0451365,0.0538823,0.0871434,0.0157261,0.0255041,0.0121705,0.0213711,0.0438479,0.0191418,0,0,0,0,0,0,0,0,0
2,0.050581,0.0699637,0,0,0,0,0,0,0.0372102,0,0.0175526,0.0704278,0,0,0.0194486,0,0,0.0381114,0.0708112,0.0267663,0.00763068,0.0132465,0.0305865,0.0392136,0.024106,0.0385379,0.0496723,0.030664,0.0148583,0.0151464,0.020711,0.0228053,0.0123068,0.00647307,0.0110807,0.0216906,0.0506116,0,0.0104954,0.0601653,0.0315118,0,0,0.0130885,0,0,0.0418763,0.0599044,0.0273768,0.030584,0.0111712,0.0504974,0.0478605,0.0374508,0.124789,0.0417547,0.0327383,0.0698207,0.0458909,0.053073,0.0862784,0.0193948,0.025472,0.0123517,0.021815,0.0439582,0.0191314,0,0,0,0,0,0,0,0,0
3,0.0506476,0.0699263,0,0,0,0,0,0,0.0372148,0,0.0175936,0.0704637,0,0,0.0199279,0,0,0.0379858,0.0708489,0.0268147,0.00779571,0.013237,0.0304326,0.0390514,0.0240705,0.038521,0.0496446,0.030665,0.0148844,0.0151561,0.0206472,0.0227422,0.0123567,0.00634117,0.0112573,0.0217134,0.0506935,0,0.0106513,0.0602285,0.0315306,0,0,0.0133016,0,0,0.0417217,0.0599042,0.027392,0.030642,0.0111756,0.0504791,0.0475138,0.0374442,0.124802,0.0417253,0.0327948,0.0698541,0.0458678,0.0530885,0.0863108,0.0194751,0.0252379,0.012403,0.0218648,0.0439914,0.0190733,0,0,0,0,0,0,0,0,0
4,0.0507177,0.0698666,0,0,0,0,0,0,0.0372164,0,0.0176296,0.070465,0,0,0.0204366,0,0,0.0378111,0.0709026,0.026832,0.0079582,0.0132046,0.030303,0.0388542,0.024049,0.03851,0.0496232,0.0306758,0.0149051,0.0152026,0.0206156,0.0227139,0.0123865,0.00623063,0.0114175,0.0217488,0.0507719,0,0.0106943,0.0602617,0.0315678,0,0,0.0135387,0,0,0.0415596,0.0598998,0.0273042,0.0306914,0.0111767,0.0504507,0.0471718,0.0374387,0.12481,0.0417156,0.0328184,0.069873,0.0458558,0.0530734,0.0863317,0.0195285,0.0249757,0.0124514,0.0219488,0.0440036,0.0190068,0,0,0,0,0,0,0,0,0
5,0.05081,0.0697969,0,0,0,0,0,0,0.037165,0,0.0176719,0.0704134,0,0,0.0209648,0,0,0.0376972,0.0709484,0.0267952,0.00812923,0.0131681,0.0302172,0.0386775,0.0240476,0.0385255,0.0496044,0.0306855,0.0149192,0.0152713,0.0206442,0.0227274,0.0124185,0.00596726,0.0115781,0.0218127,0.0508589,0,0.0106244,0.0602796,0.0316394,0,0,0.0138539,0,0,0.0415116,0.0598969,0.0271693,0.0307027,0.0111585,0.0504347,0.0468111,0.037426,0.124814,0.0417209,0.0328257,0.0698771,0.0458414,0.0530694,0.0863366,0.0195606,0.0247064,0.0125662,0.0219189,0.0439984,0.0189455,0,0,0,0,0,0,0,0,0
6,0.0508867,0.0697416,0,0,0,0,0,0,0.0329864,0,0.017787,0.0705385,0,0,0.0211188,0,0,0.0385725,0.071038,0.0211935,0.00883973,0.0119416,0.0297927,0.0384321,0.0241292,0.0383763,0.0495122,0.0309234,0.0158415,0.0158418,0.0243807,0.0260851,0.0137582,0.00529943,0.0111322,0.0212943,0.0454334,0,0.00810196,0.060612,0.0314265,0,0,0.0144913,0,0,0.0417091,0.0603879,0.0286759,0.0302193,0.0100357,0.0493109,0.0465532,0.0368812,0.124969,0.0406371,0.0334468,0.0704422,0.0450838,0.0539556,0.087245,0.0157916,0.0243298,0.0124116,0.0215786,0.043907,0.0188279,0,0,0,0,0,0,0,0,0
7,0.0509845,0.0696724,0,0,0,0,0,0,0.032913,0,0.0178345,0.0705543,0,0,0.0215416,0,0,0.0384431,0.0710539,0.0211943,0.00873742,0.0119537,0.0297404,0.0382856,0.0241296,0.0384254,0.04948,0.0309181,0.0158316,0.0157665,0.0243579,0.0260554,0.0138279,0.00499824,0.0111744,0.0214528,0.0454822,0,0.00810846,0.060596,0.0315515,0,0,0.0148012,0,0,0.041786,0.0604058,0.0287711,0.0302155,0.0100007,0.0493084,0.0462461,0.0368777,0.124992,0.0406322,0.0334119,0.07043,0.0451075,0.0539879,0.0872677,0.0158625,0.0241767,0.012562,0.0214557,0.0438788,0.0187262,0,0,0,0,0,0,0,0,0
8,0.0510819,0.06959,0,0,0,0,0,0,0.0328274,0,0.0178707,0.0705928,0,0,0.0219954,0,0,0.0383263,0.071066,0.0211546,0.00848023,0.0119311,0.0297103,0.0381071,0.0241187,0.0384487,0.0494665,0.0308756,0.0158074,0.015732,0.0243207,0.0260297,0.0139077,0.00467891,0.0112139,0.0216825,0.0455399,0,0.0080992,0.0605527,0.0316921,0,0,0.015059,0,0,0.0418319,0.0604417,0.0287898,0.030217,0.010057,0.049321,0.0459109,0.0368928,0.125017,0.0406078,0.0334254,0.0704433,0.0451055,0.0540073,0.0872869,0.0158804,0.0240324,0.0126926,0.0214574,0.0438191,0.0186434,0,0,0,0,0,0,0,0,0
