Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,x79
All Timesteps RMSE,0.0554506,0.0489631,0,0,0,0,0,0,0.0281441,0,0.0223544,0.066309,0,0,0.023006,0,0,0.0318463,0.0753883,0.0184268,0.00876858,0.0138123,0.0267796,0.0376026,0.0378078,0.0484162,0.0325122,0.0161764,0.0136577,0.0212235,0.023914,0.017716,0.00485769,0.00936428,0.0194715,0.0393816,0,0.0118443,0.0646782,0.0539496,0,0.0170653,0,0,0.0392047,0.0592621,0.0250438,0.0267184,0.015485,0.0415432,0.043029,0.0363027,0.124835,0.0426602,0.0329027,0.0732872,0.0507417,0.0557422,0.0878199,0.017435,0.0262472,0.012589,0.0187215,0.0304936,0.0320708,0,0,0,0,0,0,0,0,0
0,0.0515517,0.0518806,0,0,0,0,0,0,0.0293591,0,0.0221046,0.0670224,0,0,0.024234,0,0,0.0350687,0.075015,0.0184148,0.00870877,0.0131231,0.0254405,0.0377736,0.038631,0.0481598,0.0318737,0.0166578,0.0141975,0.0223828,0.0250578,0.0163095,0.00720884,0.0120284,0.02239,0.0407558,0,0.0105534,0.0640618,0.0448461,0,0.0138939,0,0,0.0386355,0.0595888,0.0257977,0.0269563,0.0152572,0.0421396,0.04288,0.0357197,0.125173,0.0417704,0.0331383,0.0726718,0.0498359,0.0549677,0.0869705,0.016547,0.0282235,0.0149899,0.0192396,0.0315872,0.0244257,0,0,0,0,0,0,0,0,0
1,0.0516773,0.0517981,0,0,0,0,0,0,0.0295384,0,0.0222372,0.0669737,0,0,0.0242585,0,0,0.0350176,0.0750061,0.0191122,0.00868846,0.0131984,0.0254823,0.0373122,0.0386839,0.048136,0.0318637,0.0166772,0.0142178,0.0225174,0.0250771,0.0164958,0.00703022,0.0119137,0.0224562,0.0409477,0,0.0103925,0.0640995,0.045221,0,0.014036,0,0,0.0389032,0.0595695,0.0256759,0.0268463,0.0152962,0.0422003,0.0427353,0.0357273,0.125182,0.0417613,0.0331201,0.072678,0.0498497,0.0546948,0.0870604,0.0166929,0.0281595,0.0148524,0.0193145,0.0315718,0.0246372,0,0,0,0,0,0,0,0,0
2,0.0517818,0.0517434,0,0,0,0,0,0,0.0299331,0,0.0223049,0.0669267,0,0,0.0243113,0,0,0.0349643,0.0748973,0.019432,0.00866199,0.0132168,0.0256304,0.0368343,0.0387063,0.0481554,0.0319114,0.0166945,0.0141965,0.0225683,0.0250858,0.0166027,0.00690919,0.0118306,0.0224336,0.0410291,0,0.0104541,0.0640857,0.0455682,0,0.0141417,0,0,0.0389728,0.0595594,0.0262097,0.0268968,0.0153921,0.0421783,0.0425941,0.035759,0.125142,0.0418172,0.0330498,0.0726947,0.0498446,0.0547501,0.0873339,0.0170355,0.0281833,0.0146635,0.0193426,0.0315943,0.0248349,0,0,0,0,0,0,0,0,0
3,0.0519088,0.0516964,0,0,0,0,0,0,0.029975,0,0.022282,0.0668697,0,0,0.0243293,0,0,0.0347756,0.0748506,0.0194094,0.00863267,0.0131829,0.0257585,0.0363276,0.0387192,0.0481899,0.0319747,0.0167107,0.014184,0.0225626,0.0250958,0.0165497,0.00678933,0.0117106,0.0223144,0.0411441,0,0.0105653,0.0640864,0.0459359,0,0.0142697,0,0,0.0388668,0.0595561,0.0269146,0.0268934,0.0154963,0.0421275,0.0424948,0.0357977,0.125043,0.0418986,0.03306,0.0727088,0.0498074,0.0548823,0.0875697,0.0174878,0.0280711,0.0144681,0.0192576,0.031633,0.0249999,0,0,0,0,0,0,0,0,0
4,0.0521065,0.0516648,0,0,0,0,0,0,0.0300677,0,0.0221932,0.0668213,0,0,0.0242504,0,0,0.0346162,0.0748759,0.0192295,0.00862243,0.0130785,0.0258257,0.0357782,0.038757,0.0482217,0.0320288,0.0167078,0.0141525,0.0225167,0.025142,0.016462,0.00658828,0.0115603,0.0222331,0.0414519,0,0.0106631,0.064151,0.0462883,0,0.0144169,0,0,0.0387453,0.059513,0.026135,0.0268932,0.0154472,0.0421133,0.0424088,0.0358477,0.125072,0.0418917,0.0333475,0.0727767,0.0499109,0.054841,0.0874425,0.0170771,0.0278433,0.0142699,0.0192422,0.0316813,0.0251071,0,0,0,0,0,0,0,0,0
5,0.0523342,0.0516183,0,0,0,0,0,0,0.0299771,0,0.0221837,0.0668057,0,0,0.0241289,0,0,0.0345677,0.074979,0.0191966,0.00861964,0.0130781,0.0259054,0.0352472,0.0387681,0.0482486,0.0320459,0.0166755,0.0141032,0.0224901,0.0251508,0.0164687,0.00632591,0.0114308,0.0222375,0.0413752,0,0.0107966,0.0641751,0.0466689,0,0.0145907,0,0,0.0386986,0.0594714,0.0256015,0.0268825,0.0154136,0.0420935,0.0423487,0.0358626,0.125114,0.0418566,0.033487,0.0728567,0.0500532,0.0547839,0.0873636,0.0167745,0.0276429,0.0141487,0.019284,0.0317262,0.0251832,0,0,0,0,0,0,0,0,0
6,0.0525215,0.0515818,0,0,0,0,0,0,0.0293406,0,0.0222181,0.0668028,0,0,0.0239811,0,0,0.0344657,0.0750246,0.0193545,0.0086313,0.0131504,0.0259693,0.0347705,0.0387212,0.0482416,0.0320591,0.0166533,0.0140718,0.022427,0.025084,0.0165255,0.00606778,0.0113044,0.022218,0.041176,0,0.010756,0.0641736,0.0470742,0,0.0148081,0,0,0.0386164,0.0594681,0.0254351,0.0268675,0.0153735,0.0420372,0.0422935,0.0358625,0.125108,0.0418573,0.0334648,0.0729059,0.0501213,0.0547884,0.0874067,0.0168044,0.0275147,0.0141228,0.0192527,0.031778,0.0254006,0,0,0,0,0,0,0,0,0
7,0.0526877,0.0515365,0,0,0,0,0,0,0.0292024,0,0.0222421,0.0667524,0,0,0.0238036,0,0,0.034232,0.0750308,0.0192789,0.00862531,0.0131832,0.0260393,0.0343309,0.0387063,0.0482405,0.0320754,0.016594,0.0140637,0.0223472,0.0249716,0.0165387,0.00585279,0.0111016,0.022118,0.041103,0,0.0106121,0.0641379,0.0475269,0,0.0149231,0,0,0.0385618,0.0594945,0.0253269,0.0268208,0.0153573,0.0420091,0.0422082,0.0358453,0.125064,0.0418627,0.0334326,0.0729516,0.0501598,0.0548363,0.0875162,0.0169375,0.0274591,0.0139493,0.0192372,0.0318088,0.0253549,0,0,0,0,0,0,0,0,0
8,0.0528316,0.0514868,0,0,0,0,0,0,0.0290556,0,0.0222381,0.0666621,0,0,0.0236428,0,0,0.0340121,0.0750428,0.019246,0.00863422,0.0131672,0.0261212,0.0338815,0.0386983,0.0482731,0.0321177,0.0164237,0.0140741,0.022317,0.0248845,0.0165232,0.0056211,0.0109528,0.0220327,0.0410305,0,0.0105504,0.0640861,0.0479599,0,0.0150574,0,0,0.0385998,0.0595154,0.025267,0.0267469,0.0154578,0.0419522,0.0421612,0.0358216,0.125064,0.0418519,0.033428,0.072972,0.0502219,0.0548922,0.0875729,0.0169556,0.0274088,0.0138477,0.0192408,0.0318252,0.025384,0,0,0,0,0,0,0,0,0
9,0.0529361,0.051441,0,0,0,0,0,0,0.0290348,0,0.0222498,0.0666345,0,0,0.0234869,0,0,0.0338767,0.0750678,0.0192871,0.00870572,0.0132115,0.026162,0.0334137,0.03868,0.0482937,0.0321716,0.0161436,0.0140603,0.0223033,0.024851,0.0165285,0.00534428,0.010838,0.0219861,0.0409749,0,0.0105061,0.0641173,0.0483699,0,0.0152108,0,0,0.038774,0.0595152,0.0252392,0.0266404,0.0156498,0.0418352,0.042124,0.0358006,0.125124,0.0418452,0.033411,0.072927,0.0502548,0.0549302,0.0876106,0.016954,0.0273156,0.0137773,0.0193016,0.0318613,0.0256131,0,0,0,0,0,0,0,0,0
10,0.0530415,0.0513936,0,0,0,0,0,0,0.0290644,0,0.0223007,0.0666329,0,0,0.0233733,0,0,0.0338089,0.0750718,0.019301,0.00883535,0.013337,0.0261508,0.0329503,0.038589,0.0482869,0.0322062,0.0159797,0.0140745,0.0222194,0.0247996,0.0165732,0.00507528,0.0107194,0.0219376,0.0409455,0,0.0106407,0.0642189,0.0487728,0,0.015315,0,0,0.0388767,0.0595097,0.0252667,0.0265949,0.0156698,0.0417587,0.0420379,0.035791,0.125136,0.0418417,0.0332719,0.0729406,0.0503018,0.0549242,0.087646,0.0169473,0.0271647,0.0137146,0.0193677,0.0318927,0.0260552,0,0,0,0,0,0,0,0,0
11,0.053147,0.0513394,0,0,0,0,0,0,0.0290145,0,0.0223512,0.0665645,0,0,0.0232174,0,0,0.033752,0.0750311,0.0191544,0.00895859,0.0135093,0.0260855,0.0325121,0.038478,0.0482678,0.0322224,0.0160118,0.0141414,0.0220484,0.024682,0.016651,0.00480843,0.010649,0.0218353,0.0408519,0,0.0107392,0.0643426,0.0491848,0,0.0153299,0,0,0.0388595,0.0595248,0.0252487,0.0266279,0.015764,0.0416947,0.0419981,0.0357778,0.125089,0.0418451,0.0332329,0.0729909,0.0503594,0.0549629,0.0876837,0.0169492,0.0270265,0.0136331,0.0193909,0.0318938,0.0266302,0,0,0,0,0,0,0,0,0
12,0.0532099,0.0512471,0,0,0,0,0,0,0.028998,0,0.0223877,0.0665412,0,0,0.0229517,0,0,0.0336991,0.0750675,0.0190839,0.00908113,0.0136361,0.0260637,0.0321339,0.0384055,0.0483044,0.0322574,0.0160581,0.0141624,0.0220297,0.0246043,0.0166215,0.00457215,0.0105994,0.021724,0.0408379,0,0.0108616,0.0644811,0.0495162,0,0.0152687,0,0,0.0387053,0.0595487,0.025124,0.0266035,0.0156218,0.0415645,0.041982,0.0357852,0.125055,0.0418637,0.0331721,0.0730547,0.0504452,0.055152,0.0877532,0.0169459,0.0269571,0.0135762,0.0193475,0.0318699,0.0269161,0,0,0,0,0,0,0,0,0
13,0.0533069,0.0511388,0,0,0,0,0,0,0.0290122,0,0.0223966,0.0666048,0,0,0.0227538,0,0,0.0335964,0.075192,0.0190908,0.00918427,0.0137177,0.0260535,0.0317487,0.0383232,0.0483352,0.0323416,0.0160754,0.0141538,0.0220314,0.024507,0.016552,0.00430741,0.0105083,0.0216459,0.0409478,0,0.0110294,0.0645824,0.0498767,0,0.0152073,0,0,0.0387749,0.059556,0.0249792,0.0265447,0.0155605,0.0414342,0.0419395,0.0358435,0.125017,0.0419497,0.0333211,0.0730894,0.0504763,0.0554724,0.0878274,0.0168771,0.0269317,0.0134714,0.0193558,0.0318679,0.0270758,0,0,0,0,0,0,0,0,0
14,0.0533743,0.0510611,0,0,0,0,0,0,0.029099,0,0.0224033,0.0666832,0,0,0.0225752,0,0,0.0335217,0.0752841,0.0191259,0.00916907,0.0137577,0.0259952,0.0313636,0.0382134,0.0483197,0.0324002,0.0160687,0.014133,0.0219649,0.0244128,0.0165609,0.00403122,0.0103751,0.0216087,0.0409629,0,0.0111297,0.06465,0.0501627,0,0.0152098,0,0,0.0389541,0.0595707,0.0248232,0.026476,0.0155712,0.0413202,0.0418718,0.0359663,0.125005,0.0420172,0.0333685,0.0731191,0.0504693,0.0555717,0.0878997,0.0166962,0.0269255,0.0134124,0.0193641,0.0318766,0.0274801,0,0,0,0,0,0,0,0,0
