Devices
1000
,,Impulse - Electric Potential,
Frame,Sub Frame,1
,,V
1,0,0.0421143
1,1,0.00484467
1,2,-0.0157928
1,3,-0.0767899
1,4,-0.068512
1,5,-0.0682068
1,6,-0.0329208
1,7,-0.00202179
1,8,0.0151062
1,9,0.0419617
2,0,0.0850677
2,1,0.0925064
2,2,0.0934601
2,3,0.0864029
2,4,0.1054
2,5,0.0896835
2,6,0.0789642
2,7,0.098877
2,8,0.0761795
2,9,0.0171661
3,0,-0.0242615
3,1,-0.0164413
3,2,-0.011673
3,3,0.00202179
3,4,0.0348282
3,5,0.0775909
3,6,0.0644302
3,7,0.124207
3,8,0.1548
3,9,0.13443
4,0,0.137215
4,1,0.11673
4,2,0.0972366
4,3,0.0955963
4,4,0.0818634
4,5,0.0494385
4,6,0.0125504
4,7,0.0159454
4,8,-0.0176239
4,9,0.0183868
5,0,0.0122833
5,1,0.0265121
5,2,0.0770187
5,3,0.112686
5,4,0.128326
5,5,0.130997
5,6,0.149231
5,7,0.158348
5,8,0.122833
5,9,0.0979996
6,0,0.119286
6,1,0.0738144
6,2,-0.0221252
6,3,-0.00751495
6,4,-0.0300217
6,5,-0.0330734
6,6,-0.0283432
6,7,0.0144958
6,8,0.0287628
6,9,0.0653839
7,0,0.0428391
7,1,0.128098
7,2,0.116043
7,3,0.0779724
7,4,0.0939941
7,5,0.0648117
7,6,0.0605392
7,7,0.0814438
7,8,0.0225067
7,9,-0.0197601
8,0,-0.0643158
8,1,-0.0873947
8,2,-0.0718689
8,3,-0.0564194
8,4,-0.0368118
8,5,-0.0228119
8,6,0.0172806
8,7,0.0440216
8,8,0.0682831
8,9,0.0442886
9,0,0.0312042
9,1,0.0168228
9,2,0.0346756
9,3,-0.0250626
9,4,-0.00751495
9,5,-0.0786591
9,6,-0.102425
9,7,-0.114365
9,8,-0.108948
9,9,-0.135918
10,0,-0.10952
10,1,-0.0923538
10,2,-0.0508881
10,3,-0.0445175
10,4,-0.00873566
10,5,0.00621796
10,6,-0.0209045
10,7,-0.021286
10,8,-0.0442886
10,9,-0.03479
11,0,0.0031662
11,1,-0.0617981
11,2,-0.0794601
11,3,-0.159454
11,4,-0.15789
11,5,-0.185776
11,6,-0.162201
11,7,-0.119705
11,8,-0.0868607
11,9,-0.0854492
12,0,-0.0419617
12,1,-0.0279999
12,2,-0.0241852
12,3,-0.0297165
12,4,-0.0284576
12,5,-0.0337601
12,6,-0.00946045
12,7,-0.0433731
12,8,-0.0892258
12,9,-0.108032
13,0,-0.15686
13,1,-0.148201
13,2,-0.160713
13,3,-0.12989
13,4,-0.0803375
13,5,-0.0559235
13,6,-0.04673
13,7,-0.044136
13,8,0.0168228
13,9,0.0203705
14,0,0.0233078
14,1,-0.00370026
14,2,-0.014534
14,3,0.00225067
14,4,0.0144577
14,5,-0.0273132
14,6,-0.0607681
14,7,-0.104866
14,8,-0.118523
14,9,-0.118523
15,0,-0.0708771
15,1,-0.032196
15,2,-0.00297546
15,3,0.033226
15,4,0.0440216
15,5,0.0669098
15,6,0.0670624
15,7,0.0902557
15,8,0.0521469
15,9,0.064888
16,0,0.0621033
16,1,0.0451279
16,2,-0.0200653
16,3,-0.0699615
16,4,-0.0660324
16,5,-0.0688553
16,6,-0.0145721
16,7,0.0120926
16,8,0.0513077
16,9,0.0715637
17,0,0.0749207
17,1,0.11364
17,2,0.107155
17,3,0.105133
17,4,0.0819016
17,5,0.103607
17,6,0.0861359
17,7,0.0836563
17,8,0.0546646
17,9,0.0345612
18,0,-0.0121307
18,1,-0.0399017
18,2,-0.00530243
18,3,0.0156021
18,4,0.0511551
18,5,0.0601578
18,6,0.0957489
18,7,0.112801
18,8,0.144043
18,9,0.122948
19,0,0.122185
19,1,0.103683
19,2,0.134315
19,3,0.0872421
19,4,0.0780487
19,5,0.047226
19,6,0.0160599
19,7,-0.0455093
19,8,-0.0106049
19,9,-0.0325012
20,0,0.00797272
20,1,0.0302887
20,2,0.0827026
20,3,0.0839615
20,4,0.126305
20,5,0.115051
20,6,0.129356
20,7,0.0963211
20,8,0.0997543
20,9,0.103035
21,0,0.0874329
21,1,0.0447083
21,2,0.0117111
21,3,-0.0471115
21,4,-0.062294
21,5,-0.0658035
21,6,-0.0361252
21,7,-0.00953674
21,8,0.0144958
21,9,0.0164413
22,0,0.0476074
22,1,0.0789642
22,2,0.0733948
22,3,0.0667191
22,4,0.0481415
22,5,0.0285339
22,6,0.0255585
22,7,0.0342941
22,8,-0.044899
22,9,-0.0733185
23,0,-0.0837708
23,1,-0.0918961
23,2,-0.126839
23,3,-0.0970078
23,4,-0.0605392
23,5,-0.0311661
23,6,-0.00717163
23,7,0.00247955
23,8,0.00995636
23,9,0.00335693
24,0,0.0159073
24,1,-0.0160217
24,2,0.00473022
24,3,-0.0296783
24,4,-0.0119781
24,5,-0.102768
24,6,-0.111618
