Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,RTIB,,x77
All Timesteps RMSE,0.0684614,0.0482485,0,0,0,0,0,0,0.119696,0,0.0582656,0.075339,0,0,0.0177451,0,0,0.0324125,0.0748144,0.264345,0.0470941,0.0299282,0.0942943,0.0536414,0.0383586,0.062692,0.0599811,0.0467648,0.036848,0.0398938,0.0653864,0.0738124,0.179062,0.0201337,0.0121653,0.0137185,0.0438555,0,0.0328855,0.0568217,0.0300908,0,0,0.0209912,0,0,0.0351795,0.0682798,0.0420423,0.0494842,0.0224746,0.0947885,0.0548428,0.0454783,0.0726028,0.0684297,0.0270018,0.0393236,0.0477108,0.083637,0.045013,0.0213445,0.0106216,0.0114817,0.0348357,0.037238,0,0,0,0,0,0,0,0,0,0.0723963,0,0
0,0.0695394,0.0512895,0,0,0,0,0,0,0.116511,0,0.0525526,0.0667222,0,0,0.0188144,0,0,0.0305469,0.0669308,0.25818,0.0447344,0.0194498,0.102198,0.0520088,0.0313912,0.0443282,0.0570656,0.0371622,0.0361429,0.0374831,0.0640994,0.067269,0.211487,0.0212393,0.00994857,0.0144002,0.0405776,0,0.0313862,0.0412615,0.0298669,0,0,0.0217551,0,0,0.0338168,0.0726044,0.0386644,0.0427532,0.0199003,0.100786,0.0507248,0.0447973,0.0725175,0.069649,0.0264769,0.0363664,0.0461014,0.080563,0.0326465,0.0220859,0.0110814,0.0101305,0.0433816,0.0402936,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0694643,0.0510665,0,0,0,0,0,0,0.114878,0,0.0531643,0.0670139,0,0,0.018744,0,0,0.0305602,0.0665277,0.258308,0.0452796,0.0179911,0.102043,0.0522119,0.0316747,0.0443767,0.0572683,0.0376239,0.0353293,0.036992,0.0634164,0.066422,0.212531,0.021286,0.00998001,0.0144915,0.041325,0,0.0309128,0.0415526,0.0297019,0,0,0.0215924,0,0,0.0339096,0.0725712,0.0381955,0.0427835,0.0197661,0.100546,0.0509876,0.0450399,0.0726967,0.0696378,0.0266812,0.0365646,0.0463979,0.0809919,0.0316508,0.022155,0.0110057,0.0102568,0.0431037,0.0399741,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0692614,0.0509613,0,0,0,0,0,0,0.113197,0,0.0537782,0.0672272,0,0,0.0186423,0,0,0.0306206,0.0662057,0.258456,0.0457594,0.0166561,0.101891,0.0523648,0.0321794,0.0443447,0.057474,0.0379885,0.0344454,0.0364775,0.0627651,0.0655305,0.213584,0.0213095,0.00994507,0.0145305,0.0421385,0,0.0306215,0.0418822,0.0295194,0,0,0.0214605,0,0,0.033952,0.0724719,0.0378734,0.042937,0.0197168,0.100376,0.0512338,0.0452157,0.0728148,0.0696569,0.0267361,0.0367173,0.0466681,0.0813467,0.0306289,0.022152,0.0109421,0.0103552,0.0429163,0.0395942,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0690166,0.0508802,0,0,0,0,0,0,0.111413,0,0.0545472,0.0674645,0,0,0.0185613,0,0,0.0306976,0.0658671,0.258596,0.046296,0.0153194,0.101787,0.0525129,0.0327492,0.0443003,0.0577102,0.0383692,0.0333717,0.0359353,0.0621746,0.064594,0.214597,0.021325,0.0098958,0.0145509,0.042938,0,0.0302327,0.0422375,0.0292904,0,0,0.0213215,0,0,0.0339334,0.0723794,0.0375704,0.0431029,0.0197122,0.100215,0.0514979,0.0454221,0.072979,0.0696518,0.0267045,0.0369717,0.0469651,0.0816867,0.0296642,0.0221337,0.0108593,0.0104402,0.0427497,0.0391706,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0685606,0.0508485,0,0,0,0,0,0,0.109363,0,0.0554619,0.0677815,0,0,0.0184484,0,0,0.0307369,0.0653982,0.258611,0.0478248,0.0135926,0.101849,0.0526037,0.0329935,0.044267,0.0580383,0.0391763,0.0318525,0.0350929,0.0613084,0.0633281,0.21593,0.0214537,0.00989388,0.0145815,0.0438385,0,0.0298505,0.0434795,0.0287986,0,0,0.0213242,0,0,0.0339486,0.0722285,0.0370531,0.0432662,0.0197883,0.0999582,0.0515873,0.0453958,0.0730557,0.0697425,0.0269518,0.0373314,0.0472964,0.0820564,0.0285007,0.0220654,0.0108879,0.0103947,0.0427438,0.0384393,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0682883,0.0507851,0,0,0,0,0,0,0.107224,0,0.056697,0.0681816,0,0,0.0183443,0,0,0.030746,0.0651201,0.258623,0.0484453,0.0126637,0.101825,0.0527021,0.033237,0.0446,0.0583242,0.0395837,0.0305436,0.034519,0.060655,0.0623709,0.216771,0.0215221,0.00982871,0.0146408,0.044816,0,0.0295105,0.0436698,0.0286162,0,0,0.0212208,0,0,0.0339733,0.0721803,0.0366864,0.0434063,0.0197164,0.0998187,0.0518576,0.0455704,0.0731363,0.0696676,0.0269179,0.0375648,0.0475613,0.0823739,0.0275342,0.0220515,0.0108056,0.0104791,0.0425944,0.0379972,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0679317,0.050722,0,0,0,0,0,0,0.104962,0,0.0581826,0.0686398,0,0,0.0182393,0,0,0.0307328,0.0649069,0.258567,0.0491139,0.0123607,0.101818,0.0528089,0.0336932,0.0448558,0.0586752,0.0400248,0.0290824,0.0339136,0.0600084,0.0613988,0.21754,0.0215646,0.0097438,0.0147012,0.0459048,0,0.0291651,0.0438808,0.0284391,0,0,0.0211211,0,0,0.0339924,0.0721462,0.0363212,0.0434985,0.0196728,0.0996782,0.0520836,0.0457963,0.0731239,0.0695931,0.0269222,0.0378036,0.047798,0.0826381,0.0265825,0.022047,0.0107426,0.0105526,0.0424342,0.037537,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0675082,0.0506363,0,0,0,0,0,0,0.102538,0,0.0599795,0.0691122,0,0,0.0181211,0,0,0.0307357,0.0647821,0.258403,0.0498509,0.0125801,0.101867,0.0528997,0.034313,0.045181,0.0590939,0.0404913,0.0276737,0.0333647,0.0594269,0.0604254,0.218114,0.0216043,0.0097487,0.014692,0.0470467,0,0.0288454,0.0440928,0.0282837,0,0,0.0210216,0,0,0.0340217,0.072169,0.0359419,0.0435577,0.0196345,0.0995334,0.0522957,0.0459662,0.0731669,0.0695154,0.0269171,0.038046,0.0480582,0.0830551,0.025715,0.0220694,0.010682,0.0106059,0.0422837,0.0370611,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0670916,0.0505579,0,0,0,0,0,0,0.0999624,0,0.062022,0.0695775,0,0,0.0179675,0,0,0.0307913,0.0648562,0.258086,0.0506284,0.0133329,0.101932,0.0529029,0.0349542,0.0458546,0.0595296,0.0409443,0.026392,0.0328129,0.0588523,0.0594723,0.218533,0.0216383,0.0097412,0.0146439,0.0482371,0,0.0285545,0.0443587,0.0281672,0,0,0.0209164,0,0,0.0340718,0.0722427,0.035519,0.0435994,0.0196356,0.0993598,0.0525344,0.0461007,0.0732897,0.0694261,0.026901,0.0382725,0.0483659,0.0835248,0.0249588,0.0221202,0.010609,0.0106671,0.0421315,0.0365647,0,0,0,0,0,0,0,0,0,0,0,0
