Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,RTIB,
All Timesteps RMSE,0.0688585,0.0486068,0,0,0,0,0,0,0.0425259,0,0.027414,0.0662402,0,0,0.0195697,0,0,0.0309922,0.0738303,0.0304411,0.0413571,0.0229108,0.0919815,0.0561579,0.034848,0.0495732,0.057327,0.0365175,0.0255545,0.0211791,0.0423875,0.0479486,0.057651,0.0208131,0.0102435,0.015884,0.0469429,0,0.0323148,0.0628787,0.03099,0,0,0.0216146,0,0,0.034335,0.0666379,0.041207,0.0533775,0.0284873,0.0975415,0.05837,0.0431418,0.0717923,0.0698071,0.0299766,0.0669715,0.0481451,0.0846588,0.0473952,0.0216226,0.00937477,0.014814,0.0339032,0.0360745,0,0,0,0,0,0,0,0,0,0.0716591,0
0,0.0739896,0.0483805,0,0,0,0,0,0,0.0438626,0,0.0269079,0.0590718,0,0,0.0206882,0,0,0.0291227,0.0749856,0.0252109,0.044253,0.0276093,0.10575,0.055703,0.0313404,0.0486569,0.0574157,0.0312539,0.0319959,0.026552,0.0485431,0.0562817,0.0801456,0.0212118,0.00924471,0.014387,0.0334387,0,0.0366426,0.0540856,0.0325071,0,0,0.0232602,0,0,0.0334199,0.0742139,0.0480602,0.0491043,0.0258188,0.108416,0.0540752,0.0369045,0.0648965,0.066985,0.0289086,0.033125,0.0424483,0.0761861,0.068144,0.0196203,0.0115694,0.00990273,0.0392706,0.0426424,0,0,0,0,0,0,0,0,0,0,0
1,0.0741217,0.0482355,0,0,0,0,0,0,0.0433254,0,0.0270586,0.0591118,0,0,0.0207168,0,0,0.0291189,0.074886,0.0240276,0.0443165,0.02699,0.105195,0.0558424,0.0311493,0.0484594,0.0574898,0.0312457,0.031465,0.0261721,0.0480663,0.0557895,0.0790023,0.0211967,0.00926916,0.0144143,0.0334272,0,0.0365024,0.0543218,0.0325987,0,0,0.0232143,0,0,0.0334034,0.0742522,0.0477492,0.0488161,0.025457,0.107805,0.054245,0.0369962,0.0650148,0.067159,0.0289841,0.0333421,0.0426641,0.0765142,0.067767,0.0196428,0.0114219,0.00994867,0.0388279,0.0427219,0,0,0,0,0,0,0,0,0,0,0
2,0.0741623,0.0481694,0,0,0,0,0,0,0.0428062,0,0.027112,0.0592202,0,0,0.0207063,0,0,0.029086,0.0748002,0.0229017,0.0444305,0.0263377,0.104636,0.0559197,0.0310727,0.0485475,0.0575037,0.0313432,0.0310345,0.0257666,0.0477222,0.0552591,0.0778133,0.0211596,0.00927825,0.0143512,0.0334343,0,0.0363077,0.0546449,0.032676,0,0,0.0232194,0,0,0.0334287,0.0742661,0.0474312,0.048644,0.0253969,0.107222,0.0543673,0.0371304,0.0650916,0.067386,0.0291118,0.0334633,0.042916,0.0767922,0.0673128,0.0196679,0.0113174,0.00996419,0.0385975,0.0427448,0,0,0,0,0,0,0,0,0,0,0
3,0.0741771,0.0481322,0,0,0,0,0,0,0.0422594,0,0.0271745,0.0593619,0,0,0.0206832,0,0,0.0290452,0.0747243,0.0218555,0.0445469,0.0257365,0.104046,0.0560034,0.0310731,0.0486707,0.0575147,0.0314551,0.0305933,0.0253888,0.0474019,0.0547478,0.0765639,0.021101,0.00925029,0.014316,0.0334967,0,0.03614,0.0549448,0.0327539,0,0,0.0232162,0,0,0.0334516,0.0742953,0.047086,0.0485014,0.0253842,0.106631,0.0544775,0.0372771,0.0653124,0.0676596,0.0292773,0.0335255,0.0431719,0.0770598,0.0667762,0.0197167,0.0112288,0.0100879,0.0384257,0.0427799,0,0,0,0,0,0,0,0,0,0,0
4,0.0742133,0.0480482,0,0,0,0,0,0,0.0417286,0,0.0272213,0.0595272,0,0,0.0206823,0,0,0.0290199,0.0746428,0.0208355,0.0446729,0.0251311,0.103472,0.0560978,0.0310691,0.0487679,0.0575675,0.0315306,0.0301203,0.0249981,0.0470485,0.0542311,0.0752925,0.0210302,0.00922377,0.0143161,0.0335579,0,0.0360445,0.0552507,0.0328124,0,0,0.0231865,0,0,0.0333975,0.0743351,0.0467259,0.0483563,0.0253067,0.106051,0.0545942,0.0374237,0.0655401,0.0679653,0.0294449,0.0336736,0.0434094,0.0773571,0.0661403,0.0197885,0.0111263,0.0102617,0.0382522,0.0427945,0,0,0,0,0,0,0,0,0,0,0
5,0.0742242,0.047948,0,0,0,0,0,0,0.041247,0,0.027251,0.0597044,0,0,0.0206792,0,0,0.029016,0.0745375,0.0198067,0.0448067,0.0244907,0.102909,0.056167,0.0310062,0.048798,0.0576024,0.0316177,0.029629,0.0245468,0.0466716,0.0536979,0.0740428,0.0209699,0.00921793,0.0143136,0.0335476,0,0.0357653,0.0555321,0.0328477,0,0,0.0231195,0,0,0.0333111,0.074342,0.046461,0.0481896,0.0251409,0.105475,0.0547286,0.0375165,0.0657712,0.0683204,0.0296284,0.034204,0.0436033,0.0776584,0.0653222,0.01984,0.0110148,0.0103468,0.0381347,0.0427975,0,0,0,0,0,0,0,0,0,0,0
6,0.0742079,0.0479072,0,0,0,0,0,0,0.040839,0,0.0273424,0.059873,0,0,0.0206692,0,0,0.0290305,0.0744299,0.0188366,0.0449174,0.0237953,0.102348,0.0562042,0.0310292,0.0487645,0.0576412,0.0316978,0.0291508,0.0240795,0.0462149,0.0531227,0.0728387,0.0209185,0.00918789,0.0143008,0.0334936,0,0.0352917,0.0557968,0.0328822,0,0,0.0230553,0,0,0.0332632,0.0743367,0.0461704,0.0480398,0.0250022,0.104895,0.0548585,0.0375975,0.0659744,0.0686668,0.0297773,0.0346742,0.0438387,0.0779971,0.064473,0.0198503,0.010952,0.0103666,0.0380598,0.042805,0,0,0,0,0,0,0,0,0,0,0
7,0.0741947,0.0479735,0,0,0,0,0,0,0.0405277,0,0.0274893,0.0600104,0,0,0.0206529,0,0,0.0289902,0.0743246,0.0182707,0.0449924,0.0230956,0.101784,0.056245,0.0309908,0.048797,0.057691,0.0318147,0.0286439,0.0235378,0.0457534,0.0525362,0.0718582,0.0208796,0.00913266,0.0142791,0.0334869,0,0.0349379,0.05607,0.0329336,0,0,0.0230369,0,0,0.0332666,0.0743207,0.045811,0.047906,0.0250306,0.104349,0.0549673,0.0376972,0.0661724,0.0689652,0.0298744,0.0350163,0.0441023,0.0783177,0.0636883,0.0198665,0.0109006,0.0104603,0.0378795,0.0428129,0,0,0,0,0,0,0,0,0,0,0
8,0.0742063,0.0479399,0,0,0,0,0,0,0.040247,0,0.0276569,0.0601661,0,0,0.0206106,0,0,0.0288568,0.0742128,0.0178407,0.0450902,0.0224657,0.101215,0.0563032,0.0308908,0.04899,0.0577152,0.0319771,0.0281136,0.0228848,0.0453747,0.0519471,0.0709,0.020862,0.00905136,0.0142611,0.0334586,0,0.0347265,0.0563145,0.0329984,0,0,0.0230321,0,0,0.0332927,0.074316,0.0454335,0.0477469,0.0250556,0.1038,0.055073,0.0377515,0.0663413,0.0692078,0.0299111,0.0353063,0.0443667,0.0785622,0.0627883,0.01992,0.0108198,0.010609,0.0377591,0.0428328,0,0,0,0,0,0,0,0,0,0,0
