Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,RTIBA,RTIB
All Timesteps RMSE,0.0701403,0.0472828,0,0,0,0,0,0,0.0428599,0,0.026722,0.0672906,0,0,0.0193589,0,0,0.0309241,0.0740152,0.0297137,0.0416314,0.022447,0.0907493,0.0563491,0.0348171,0.0488816,0.0573181,0.0370016,0.0254259,0.0214172,0.0415612,0.0469287,0.0541382,0.0208838,0.010372,0.0153193,0.0483481,0,0.0319291,0.0642003,0.0318547,0,0,0.0214202,0,0,0.0343853,0.0671428,0.0397886,0.0526895,0.025554,0.0957576,0.0588149,0.0426149,0.0714673,0.0698574,0.0294432,0.0495192,0.0859308,0.0505225,0.0216441,0.00941765,0.0149908,0.032759,0.0359537,0,0,0,0,0,0,0,0,0,0.040924,0.0724555
0,0.0705973,0.0483841,0,0,0,0,0,0,0.0390034,0,0.0270238,0.0657657,0,0,0.0200551,0,0,0.0302105,0.0743606,0.0251772,0.0395369,0.010334,0.0819497,0.0589603,0.0339658,0.0483727,0.0554868,0.0375363,0.01647,0.0132696,0.0349183,0.0373893,0.0343231,0.0212107,0.00832498,0.0170017,0.0532339,0,0.0256547,0.0633121,0.0338162,0,0,0.0219356,0,0,0.0339832,0.0679142,0.0251596,0.047882,0.0285996,0.0870008,0.0620389,0.0426274,0.0709399,0.0678527,0.0273467,0.0560976,0.0937317,0.0215563,0.0225281,0.00789465,0.0155983,0.0339058,0.038683,0,0,0,0,0,0,0,0,0,0,0
1,0.0704931,0.0484374,0,0,0,0,0,0,0.039245,0,0.0270704,0.0659367,0,0,0.0200031,0,0,0.0303465,0.0745144,0.0255067,0.0392184,0.0104839,0.0814621,0.058862,0.033929,0.0481338,0.0551671,0.0374016,0.0167225,0.0135398,0.0349485,0.0374258,0.0341936,0.0210877,0.00840073,0.0169102,0.0540708,0,0.0254783,0.0636636,0.033706,0,0,0.0219242,0,0,0.0340091,0.0677884,0.0249065,0.0480896,0.0286025,0.086664,0.0620087,0.0426097,0.0707918,0.0676376,0.0272118,0.0563516,0.0940921,0.0216901,0.0224658,0.00785028,0.0156085,0.0336599,0.0384861,0,0,0,0,0,0,0,0,0,0,0
2,0.0703584,0.0485649,0,0,0,0,0,0,0.0394699,0,0.0271231,0.0661442,0,0,0.0199461,0,0,0.0303745,0.0746525,0.0258922,0.0389299,0.0106446,0.0809786,0.0587758,0.0339148,0.04791,0.0548853,0.0372592,0.0169642,0.0139012,0.0349982,0.0375131,0.0340363,0.0209681,0.00843015,0.0168306,0.0548344,0,0.025367,0.0640402,0.0335768,0,0,0.0219391,0,0,0.0339303,0.0677175,0.0246835,0.0483061,0.0285964,0.0862953,0.0619956,0.0425712,0.0706717,0.0674082,0.0271152,0.0565612,0.0944657,0.0218932,0.0223208,0.00776626,0.0156448,0.033259,0.0382567,0,0,0,0,0,0,0,0,0,0,0
3,0.0702149,0.0486849,0,0,0,0,0,0,0.0396435,0,0.0271865,0.066384,0,0,0.0199075,0,0,0.0303817,0.0747791,0.0263107,0.0387047,0.0110749,0.0804781,0.0586953,0.0339157,0.0477143,0.0546607,0.0371556,0.0171571,0.0141562,0.0350484,0.0375786,0.0339033,0.020899,0.00842406,0.0167825,0.0554753,0,0.0253116,0.0644376,0.0334247,0,0,0.0219824,0,0,0.0339687,0.0676803,0.0245313,0.0485479,0.0286061,0.0859071,0.0620024,0.0425119,0.0705429,0.0671796,0.0270058,0.0567457,0.0947693,0.0220834,0.0222763,0.00776847,0.0156532,0.0327325,0.0379835,0,0,0,0,0,0,0,0,0,0,0
4,0.0695095,0.0486506,0,0,0,0,0,0,0.0397308,0,0.027281,0.066899,0,0,0.0195372,0,0,0.030495,0.0747647,0.0270831,0.0382394,0.0114687,0.080139,0.0572123,0.0345255,0.0479059,0.0549408,0.0375572,0.0173149,0.0145036,0.0352843,0.037812,0.0339343,0.0199809,0.00879706,0.0159065,0.0526932,0,0.0257144,0.0660979,0.0333066,0,0,0.0218064,0,0,0.0339529,0.0664286,0.0258776,0.0508553,0.0267112,0.0867132,0.0616276,0.0432831,0.0715962,0.0684228,0.0282244,0.0558656,0.0941414,0.0209761,0.022465,0.00792557,0.0153803,0.0326882,0.0365988,0,0,0,0,0,0,0,0,0,0.0467252,0
5,0.0698912,0.0488766,0,0,0,0,0,0,0.0398917,0,0.0273714,0.0669151,0,0,0.0198549,0,0,0.0304664,0.0749904,0.0270856,0.0384776,0.012,0.0795182,0.0585501,0.0338316,0.0473007,0.0542789,0.0370505,0.0176529,0.0145515,0.0351351,0.0377879,0.033808,0.020735,0.00850165,0.01668,0.0566981,0,0.0251849,0.0651899,0.0331492,0,0,0.0219723,0,0,0.0340333,0.0675078,0.0242387,0.0490047,0.0286642,0.0852084,0.0620281,0.0423441,0.0702139,0.066726,0.0268421,0.0570545,0.0952513,0.022596,0.0223616,0.00786918,0.0156133,0.0320693,0.0374844,0,0,0,0,0,0,0,0,0,0,0
6,0.0691573,0.0488449,0,0,0,0,0,0,0.0400627,0,0.0275131,0.0675615,0,0,0.0195062,0,0,0.0305713,0.0749418,0.0278133,0.0380168,0.0123344,0.0792192,0.0570074,0.0344198,0.0474573,0.0545664,0.0376056,0.0178993,0.0148303,0.0353585,0.0380969,0.0338392,0.0198522,0.00888828,0.0158819,0.0538039,0,0.0257375,0.0668651,0.0330652,0,0,0.0217536,0,0,0.0339445,0.0661082,0.0256567,0.0513826,0.0270937,0.0861292,0.0616067,0.0431978,0.0712757,0.0678882,0.0280174,0.0561854,0.0946694,0.0211212,0.022421,0.00790377,0.0154129,0.0321575,0.0361533,0,0,0,0,0,0,0,0,0,0.0470858,0
7,0.0690129,0.0489235,0,0,0,0,0,0,0.040178,0,0.0275878,0.0679298,0,0,0.0194935,0,0,0.0306368,0.0750445,0.0281574,0.0379095,0.0127444,0.0787394,0.0569366,0.0345104,0.0472554,0.0543939,0.03767,0.0181517,0.0149281,0.0353876,0.0382282,0.0338269,0.0197955,0.00889787,0.0158801,0.0544953,0,0.0258669,0.067255,0.0329327,0,0,0.0217094,0,0,0.0339067,0.0658977,0.0256112,0.051644,0.0272037,0.0858538,0.0616046,0.0430954,0.0712065,0.0676464,0.027916,0.0562897,0.0948238,0.021358,0.022304,0.00777173,0.0155443,0.0319095,0.0359376,0,0,0,0,0,0,0,0,0,0.0474152,0
8,0.068861,0.0489999,0,0,0,0,0,0,0.0402928,0,0.0276882,0.0683232,0,0,0.0194778,0,0,0.0306991,0.0751636,0.0284918,0.0378748,0.0131463,0.0782853,0.0568951,0.0346235,0.047023,0.0542502,0.0377477,0.0184189,0.015152,0.0353879,0.0382497,0.0337569,0.0197255,0.00889268,0.0158563,0.0550891,0,0.0258792,0.0676231,0.0327802,0,0,0.021658,0,0,0.0339128,0.0657076,0.0255807,0.0518677,0.0272544,0.0855171,0.0616019,0.0431104,0.0711098,0.0674144,0.0278617,0.0564001,0.0949581,0.0216047,0.0222453,0.00777783,0.0155567,0.0317073,0.0356967,0,0,0,0,0,0,0,0,0,0.0477097,0
9,0.0687159,0.0490729,0,0,0,0,0,0,0.040442,0,0.0278139,0.0687265,0,0,0.0194914,0,0,0.0307364,0.0753081,0.0288079,0.0378422,0.0135643,0.0778516,0.0568645,0.0346977,0.0467569,0.0540935,0.0378609,0.0186984,0.0154596,0.0354168,0.0382309,0.0336615,0.0196768,0.00888071,0.0158598,0.0555572,0,0.0258749,0.0679615,0.0326227,0,0,0.0216005,0,0,0.0339743,0.0655511,0.0256027,0.0520595,0.0272928,0.0851459,0.0615983,0.0432111,0.0709889,0.0671985,0.0278375,0.056517,0.0951387,0.0217911,0.0222656,0.00789575,0.0154212,0.0315422,0.0354482,0,0,0,0,0,0,0,0,0,0.0478776,0
10,0.0685638,0.0491203,0,0,0,0,0,0,0.0406273,0,0.0279405,0.0691448,0,0,0.0194866,0,0,0.030745,0.0754393,0.0291373,0.0378086,0.0141038,0.0773978,0.0568057,0.0347737,0.0464627,0.0539158,0.0380099,0.0189554,0.0156659,0.0354554,0.0381767,0.0335956,0.0196366,0.00888491,0.0158519,0.055914,0,0.0259048,0.0682867,0.032475,0,0,0.0215679,0,0,0.0339608,0.0654145,0.0256929,0.0522515,0.0273282,0.0848217,0.0615761,0.0433671,0.0708808,0.0669816,0.0278254,0.0566512,0.0953565,0.0219467,0.0223429,0.00785779,0.0153911,0.0314035,0.0351943,0,0,0,0,0,0,0,0,0,0.048117,0
11,0.0684446,0.0491461,0,0,0,0,0,0,0.0408325,0,0.0280551,0.0695533,0,0,0.0194632,0,0,0.030783,0.075546,0.0294676,0.0377814,0.0146866,0.0769358,0.0567054,0.0348256,0.0461014,0.0537322,0.0381433,0.0191816,0.0158267,0.0354785,0.0381946,0.0335522,0.0196069,0.00892297,0.0158389,0.0561988,0,0.0259953,0.0686001,0.0322358,0,0,0.0215846,0,0,0.033919,0.0653336,0.025739,0.0524095,0.027436,0.0845235,0.0615256,0.0435961,0.0707537,0.0667326,0.0277695,0.0568016,0.0955886,0.0221124,0.0223145,0.00783351,0.0153836,0.0312704,0.0349758,0,0,0,0,0,0,0,0,0,0.0479536,0
12,0.0683304,0.0491547,0,0,0,0,0,0,0.0409834,0,0.0281863,0.0699442,0,0,0.0194337,0,0,0.0308511,0.0756331,0.0298074,0.0377713,0.0152729,0.0764773,0.0565982,0.0348458,0.0457463,0.0535441,0.0382418,0.0194206,0.0159853,0.0354858,0.0382257,0.0335419,0.0195839,0.00894392,0.0158711,0.0565097,0,0.0260988,0.0688604,0.0318882,0,0,0.0215929,0,0,0.0339155,0.0652765,0.025785,0.0525416,0.0275926,0.0842123,0.0614779,0.0437239,0.070613,0.0665116,0.0276684,0.0569697,0.0957962,0.0223015,0.0222891,0.00788326,0.0153774,0.031178,0.0347629,0,0,0,0,0,0,0,0,0,0.0474934,0
13,0.0682188,0.0491458,0,0,0,0,0,0,0.0410826,0,0.0282969,0.0703438,0,0,0.0194277,0,0,0.0309068,0.0757311,0.0301315,0.0377854,0.0157671,0.0760267,0.0564954,0.0348005,0.0454387,0.0533489,0.0383209,0.0196911,0.0161822,0.0354997,0.0382807,0.0335575,0.0195594,0.00898469,0.0158395,0.0567497,0,0.0262215,0.0691319,0.0315456,0,0,0.0215713,0,0,0.0339507,0.0652259,0.0259004,0.0526753,0.0276845,0.0838994,0.0614436,0.043703,0.070524,0.0663333,0.0276972,0.0570987,0.0959517,0.0224975,0.022368,0.0079262,0.0153754,0.0311062,0.0345254,0,0,0,0,0,0,0,0,0,0.0473461,0
