Trajectories
100
,,Wheel Barrow:WBR,,,Wheel Barrow:WBL,,,Wheel Barrow:WFL,,,Wheel Barrow:WFM,,,Wheel Barrow:WFR,,,Wheel Barrow:IMUR_T,,,Wheel Barrow:IMUR_M,,,Wheel Barrow:IMUR_B,,,Wheel Barrow:IMUL_R,,,Wheel Barrow:IMUL_M,,,Wheel Barrow:IMUL_L,,,Subject:LFHD,,,Subject:RFHD,,,Subject:LBHD,,,Subject:RBHD,,,Subject:LEAR,,,Subject:REAR,,,Subject:C7,,,Subject:T10,,,Subject:CLAV,,,Subject:STRN,,,Subject:RBAK,,,Subject:LSHO,,,Subject:LUPA,,,Subject:LELB,,,Subject:LELBM,,,Subject:LFRM,,,Subject:LWRA,,,Subject:LWRB,,,Subject:LFIN,,,Subject:L5HD,,,Subject:RSHO,,,Subject:RUPA,,,Subject:RELB,,,Subject:RELBM,,,Subject:RFRM,,,Subject:RWRA,,,Subject:RWRB,,,Subject:RFIN,,,Subject:R5HD,,,Subject:LASI,,,Subject:RASI,,,Subject:LPSI,,,Subject:RPSI,,,Subject:LILC,,,Subject:RILC,,,Subject:LGTR,,,Subject:LTHI,,,Subject:LTHIA,,,Subject:LTHII,,,Subject:LTHIP,,,Subject:LKNE,,,Subject:LKNEM,,,Subject:LTIB,,,Subject:LTIBA,,,Subject:LTIBI,,,Subject:LTIBP,,,Subject:LANK,,,Subject:LANKM,,,Subject:LHEE,,,Subject:LTOE,,,Subject:RGTR,,,Subject:L5FT,,,Subject:RTHI,,,Subject:RTHIA,,,Subject:RTHII,,,Subject:RTHIP,,,Subject:RKNE,,,Subject:RKNEM,,,Subject:RTIB,,,Subject:RTIBA,,,Subject:RTIBI,,,Subject:RTIBP,,,Subject:RANK,,,Subject:RANKM,,,Subject:RHEE,,,Subject:RTOE,,,Subject:R5FT,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
4014,0,932.326721,-112.164070,749.831848,588.789917,-96.954689,753.273376,482.597900,571.039917,690.479065,794.605896,859.123596,655.094421,1108.445801,541.645508,683.353638,1073.646118,-392.984253,657.382446,,,,1053.871094,-428.238068,595.449158,523.019226,-349.695099,734.448181,,,,450.184540,-344.468079,718.849060,674.322815,-400.698303,1639.783203,786.635742,-405.271362,1636.259277,654.506287,-557.065674,1585.969116,786.438110,-564.919983,1584.899902,675.700867,-457.173767,1497.820923,770.007446,-466.422913,1493.327393,716.775696,-649.846191,1438.825195,717.471130,-702.382324,1345.933716,711.894348,-492.249573,1329.591919,710.395508,-491.260468,1247.854492,792.701050,-679.948181,1406.711304,529.144287,-556.220947,1427.242065,472.713043,-565.378906,1195.948242,456.127777,-570.396606,1104.497192,,,,443.177429,-554.931946,969.746338,475.838898,-517.937927,835.325867,448.651672,-587.704346,849.068970,438.056122,-545.287170,719.997498,420.408173,-587.483887,793.742554,915.301208,-554.629395,1409.675537,966.325317,-587.986206,1208.796265,990.043762,-587.577820,1092.731567,,,,1011.880859,-567.890259,956.119507,992.747131,-534.576721,848.252747,1023.747803,-602.665039,850.571899,1034.598633,-571.830017,720.484985,1041.541016,-613.177917,799.649658,654.943542,-512.739746,993.924683,796.144348,-517.163452,1005.387756,674.284363,-713.295654,1012.722961,788.070068,-718.460938,1016.028137,577.689270,-592.879578,1001.814270,890.787903,-613.315308,1014.564636,558.688721,-591.634155,888.196655,574.035889,-590.053040,756.430481,595.265259,-539.835571,692.287964,595.308350,-606.472412,640.851074,585.413330,-661.902649,706.734985,621.096619,-609.069153,470.721313,,,,621.913940,-671.764099,397.546844,632.059204,-633.535828,344.997162,635.627808,-708.201050,295.321259,634.282837,-742.617920,343.857849,685.750732,-750.998596,82.770210,,,,745.103455,-801.514771,43.572857,702.670654,-517.077271,45.608948,907.229553,-620.569214,942.302734,645.198792,-575.840454,39.611938,910.102600,-541.576416,746.102783,901.641113,-453.327301,748.107239,898.410889,-452.325867,662.877625,902.064270,-541.498108,662.009888,894.341553,-413.266418,559.159485,,,,900.575439,-442.453430,480.800812,912.118408,-424.952087,425.418518,894.088013,-502.977661,389.053894,875.371033,-521.520447,442.646545,893.726807,-511.542145,142.415665,,,,841.990051,-573.085266,88.701599,872.991516,-284.467529,76.201340,928.153564,-341.657928,72.612473
4015,0,932.792908,-104.629623,749.358459,589.336731,-89.469643,752.889893,482.873871,578.531372,690.537231,794.803833,866.592773,655.257019,1108.486084,549.034607,683.538757,1074.137451,-385.400146,656.911316,,,,1054.341797,-420.675507,595.058838,,,,,,,450.369415,-336.822754,718.287231,675.533997,-391.953827,1639.291138,787.122192,-396.844452,1635.616089,655.206909,-548.914917,1585.145142,787.174744,-556.414856,1583.845947,676.398315,-448.581665,1497.190796,770.565796,-457.907867,1492.636353,717.612122,-641.433411,1438.333130,718.343689,-694.197205,1345.602783,712.424988,-484.075226,1328.885620,710.842957,-483.308929,1247.083008,793.512634,-671.463928,1406.219727,529.909790,-548.040222,1426.449341,473.547028,-556.843018,1195.025391,456.556824,-562.836487,1103.711426,,,,443.562469,-547.482910,969.204956,475.794434,-511.051422,834.766357,448.958466,-580.704468,848.693359,438.210938,-538.302185,719.940369,421.025238,-579.883545,793.497559,915.950806,-545.942871,1409.059692,967.161377,-579.649536,1208.150757,990.723999,-579.337769,1092.190552,,,,1012.410400,-560.010193,955.396240,993.081604,-527.055176,847.822876,1024.184082,-595.079529,849.815186,1035.167725,-564.136902,719.512634,1042.006104,-605.509399,799.005615,655.419678,-505.602234,992.761414,796.446960,-509.666260,1004.213318,675.049194,-706.343445,1012.539856,788.875122,-711.139893,1016.037598,578.171326,-586.144409,1001.155945,890.913086,-605.052002,1013.699890,559.195618,-585.911743,887.538147,574.488647,-585.377930,755.787354,595.057190,-535.295410,691.663635,595.674866,-602.436462,640.248291,586.052368,-657.291382,706.638306,620.943115,-606.282043,470.204559,,,,622.120361,-669.354370,397.559875,632.017517,-632.091125,345.128296,635.761475,-706.567444,295.090179,634.524536,-740.825256,344.305176,685.971130,-750.319336,82.731361,,,,745.069702,-801.400635,43.632668,702.491760,-517.115234,45.545231,907.767273,-613.264832,941.831482,645.010254,-576.406433,39.742073,910.933228,-535.348145,745.284485,902.714417,-447.383545,747.318970,898.970093,-446.878082,662.093445,902.976807,-535.642578,661.213745,895.345764,-407.495178,558.065979,,,,901.412292,-434.482880,478.616333,912.845459,-414.509186,423.999664,894.959656,-490.715973,384.133087,876.361145,-511.930817,436.882019,894.040222,-487.677094,137.099792,,,,842.027649,-546.976379,80.589432,871.909912,-259.051605,82.684357,927.784424,-314.406616,73.003647
4016,0,933.255188,-97.392830,749.385742,589.733765,-82.135658,752.619263,483.186249,585.849731,690.540710,795.099670,874.047241,655.375854,1109.084473,556.693787,683.450928,1074.609131,-377.819733,656.394226,,,,1054.972412,-413.146729,594.533752,,,,,,,451.042633,-329.702209,717.769653,676.368713,-383.566925,1638.667358,787.947510,-388.500885,1635.042847,656.027588,-540.431763,1584.435303,787.978516,-548.005615,1583.146973,676.973022,-440.408691,1496.283813,771.343445,-449.355469,1491.929443,718.533447,-632.925659,1437.797119,719.306152,-685.931152,1345.249023,713.033936,-475.760620,1327.969849,711.387817,-475.171783,1246.245483,794.506714,-662.941956,1405.832520,530.671570,-539.874329,1425.831543,474.276367,-549.355042,1194.799561,456.967285,-555.282837,1103.316528,,,,444.157959,-539.824463,968.580261,476.453705,-503.781616,834.385254,449.563873,-572.803894,847.941345,438.922089,-530.396484,718.963135,421.563751,-572.540833,792.849548,916.735901,-537.102112,1408.270142,967.766785,-571.165527,1207.364380,991.330627,-571.137756,1091.490601,,,,1013.019470,-552.042053,954.646790,993.725952,-519.311890,846.704346,1024.762451,-587.427185,849.197021,1035.650269,-556.761841,719.207397,1042.663208,-598.096191,798.388916,655.621216,-498.484467,991.691040,796.590942,-502.135864,1003.174805,675.927124,-699.275818,1012.405396,789.750000,-703.638306,1015.917664,578.565735,-579.532532,1000.393250,891.675049,-597.757996,1013.605713,559.722778,-580.315491,886.798279,575.036072,-580.405212,755.040771,595.869202,-530.522705,690.224182,596.123840,-598.229736,639.682983,586.716309,-652.633362,706.484924,621.039185,-603.263489,469.584167,,,,622.284241,-667.263062,397.494690,632.321411,-629.631470,344.744598,636.071899,-704.710205,295.291168,634.941895,-738.739746,344.735840,685.842102,-750.815063,83.401237,,,,745.148315,-801.331726,43.869587,702.031006,-516.913086,46.010658,908.463196,-605.900452,941.458374,644.868469,-575.944702,39.307938,911.951904,-529.147278,744.254761,903.619812,-441.195282,745.819885,900.029724,-441.288269,660.682373,904.090698,-529.987976,660.287476,896.435181,-401.870209,556.589844,,,,902.378784,-426.713593,476.314636,913.714478,-404.284576,422.698883,895.918823,-478.382965,379.135559,877.367371,-502.279572,431.136414,894.566956,-463.931366,132.106262,,,,842.282593,-520.099182,72.516075,871.976562,-232.500778,85.426903,927.115356,-288.562805,75.718750
4017,0,933.689087,-89.830765,748.743225,590.204773,-74.915474,752.342224,483.565277,593.332397,690.485474,795.291199,881.537109,655.646362,1109.278076,564.266968,683.685303,1075.229004,-370.262146,655.900696,,,,1055.545654,-405.563141,594.066833,,,,,,,451.579071,-322.273590,717.300171,676.702271,-375.146912,1638.212158,788.677673,-379.994354,1634.163208,656.941895,-532.035583,1583.597046,788.843262,-539.382507,1582.204224,677.675842,-431.887360,1495.789917,772.146912,-440.797913,1491.173950,719.472656,-624.293945,1437.106934,720.300598,-677.605957,1344.774658,713.683044,-467.425659,1327.068848,711.887939,-466.940308,1245.337280,795.511353,-654.318481,1405.260620,531.497681,-531.689880,1425.232910,475.016235,-541.506836,1194.052368,457.643646,-547.493835,1102.763062,,,,444.758514,-532.250488,967.995239,477.236969,-495.649353,833.424866,450.070862,-565.345337,847.407410,439.344727,-523.529175,718.576233,422.200592,-565.094055,792.302002,917.561890,-528.231750,1407.184814,968.677551,-562.854736,1206.718750,992.049072,-562.954407,1090.604126,,,,1013.647095,-544.255249,953.925293,994.124084,-512.015259,846.278625,1025.462036,-579.748779,848.516907,1036.220703,-549.241943,718.443115,1043.295898,-590.483093,797.694092,655.707642,-491.973877,991.002075,796.960693,-495.036377,1002.190735,676.862976,-692.059570,1012.068176,790.747314,-695.995605,1015.758850,579.138062,-572.825500,999.855835,892.047058,-589.176636,1012.600891,560.454712,-574.226746,886.050903,575.669983,-575.167419,754.562561,595.872864,-525.764465,689.528381,596.619934,-593.896240,639.131775,587.456238,-647.751709,706.403076,621.245605,-600.033264,469.047485,,,,622.628601,-664.759644,397.424713,632.140137,-627.537231,344.383728,636.426514,-702.894104,295.691498,635.328796,-736.518311,345.245483,685.932861,-750.682922,83.801277,,,,745.162415,-801.223694,44.135170,702.114136,-516.773315,45.677086,909.325195,-598.305603,940.950500,644.823364,-575.930359,39.257164,913.047302,-523.154358,743.250732,904.469849,-435.080170,744.180969,901.151672,-435.382965,659.182434,905.317322,-524.404175,659.210022,897.557129,-396.544617,554.931641,,,,903.481812,-419.281311,473.969452,914.669861,-394.408081,421.308655,896.861450,-466.771271,374.884949,878.345581,-492.714996,425.449066,895.130798,-440.838593,127.838745,,,,843.197388,-495.540100,65.945847,871.393677,-207.871826,90.571198,926.588806,-263.161072,78.286934
4018,0,934.317017,-82.398056,748.372681,590.716492,-67.500519,751.848938,483.729553,600.446777,690.517395,795.475098,888.912292,655.988464,1109.653320,571.720886,683.769409,1075.857544,-362.626526,655.369751,,,,1056.121338,-397.867767,593.419434,,,,,,,452.175415,-314.861053,716.696228,677.371643,-366.987183,1637.102905,789.507019,-371.382751,1633.355103,657.846680,-523.451965,1582.631836,789.802307,-530.688232,1581.227539,678.745483,-423.083984,1494.678711,772.885864,-432.015411,1490.260864,720.484924,-615.762695,1436.558594,721.323425,-669.229553,1344.251099,714.428284,-458.964722,1326.158813,712.505798,-458.739716,1244.361816,796.520813,-645.689087,1404.598389,532.338867,-523.280823,1424.791992,475.809448,-533.461792,1193.354980,458.296387,-539.637817,1102.188354,,,,445.365173,-524.577881,967.402649,477.355560,-488.809814,832.844849,450.466034,-558.312744,847.023254,440.141083,-515.995422,717.707458,422.911835,-557.788086,791.596680,918.449097,-519.632629,1406.671509,969.334961,-554.228943,1205.894775,992.887207,-554.557190,1089.888672,,,,1014.168274,-535.542542,952.625610,994.811646,-504.134766,845.311401,1026.130127,-572.025513,847.821350,1036.848145,-541.771606,717.709167,1043.939209,-582.793213,796.955933,656.170837,-484.345886,989.526184,797.221375,-486.729797,1001.129272,677.935730,-684.618225,1011.728027,791.853699,-688.193359,1015.507202,579.861084,-565.609863,998.921509,893.027710,-581.555359,1012.409668,561.112000,-568.148132,885.356689,576.356445,-569.783630,753.793945,596.822083,-520.775818,688.052246,597.186951,-589.445190,638.563110,588.225464,-642.805908,706.315186,621.495117,-596.730286,468.411438,,,,623.625000,-661.999023,396.774109,632.992065,-625.082275,343.596954,636.692688,-700.930847,295.921295,635.652893,-734.258301,345.815216,685.942139,-750.150940,84.068153,,,,745.238342,-801.107117,44.512981,701.942749,-516.649292,45.564892,909.932800,-590.237793,940.265137,644.751587,-575.914673,39.202175,914.176453,-516.939941,741.931213,905.410645,-428.801849,742.131897,902.187744,-429.856140,657.345276,906.560181,-518.805420,657.881165,,,,,,,904.349670,-411.795471,471.310516,915.546387,-384.747437,419.822021,897.945496,-454.725830,370.016602,879.412354,-483.288452,419.753540,895.611694,-418.586334,124.158096,,,,842.533875,-469.008270,58.648350,869.927185,-185.223557,98.180954,926.586426,-238.595505,81.841362
4019,0,934.746155,-75.087265,748.301208,591.341248,-60.126865,751.356079,484.078796,607.843750,690.660645,795.644226,896.408752,656.273743,1109.661011,579.181396,683.959717,1076.444824,-354.997101,654.825439,,,,1056.814697,-390.289612,592.900085,,,,,,,452.893402,-307.593689,716.307800,678.474670,-358.088837,1636.428589,790.361328,-362.794891,1632.517578,658.871704,-514.882812,1581.699707,790.813904,-521.851685,1580.076904,679.436279,-414.532745,1494.116699,773.785339,-423.174133,1489.353882,721.531189,-607.115540,1435.843384,722.383301,-660.729614,1343.688721,715.274963,-450.502350,1325.160034,713.106689,-450.442383,1243.333496,797.584167,-637.066223,1403.886841,533.408997,-514.771790,1423.926025,476.602142,-525.466003,1192.750122,459.159332,-531.707825,1101.510376,,,,446.170471,-516.948059,966.679932,478.493378,-480.924225,832.031006,451.397125,-550.555237,846.161560,441.046722,-508.433167,716.939758,423.646393,-550.559570,790.978516,919.387695,-510.804596,1405.832153,970.240540,-545.823730,1205.203979,993.834351,-546.101257,1088.801025,,,,1015.132080,-527.842773,952.133972,995.581665,-496.370575,844.404541,1026.897583,-564.237244,847.019287,1037.529785,-534.266785,716.935913,1044.662598,-575.279114,796.241699,656.473389,-477.207184,988.325439,797.650269,-479.074860,1000.092651,679.080933,-677.127930,1011.210449,793.151367,-679.368713,1015.126099,580.574341,-558.531433,998.077637,893.771667,-573.135681,1011.677368,561.945374,-562.071472,884.294067,577.155884,-564.519653,752.973877,597.051025,-515.829529,687.343262,597.843933,-584.846130,638.023254,588.719421,-637.590576,705.448792,621.906311,-593.305237,467.616821,,,,624.115234,-659.318542,396.852478,633.241089,-622.926086,343.378387,637.084900,-698.925720,296.228455,636.092163,-731.753540,346.213470,686.056641,-750.378174,84.439308,,,,745.283569,-801.019897,44.994869,701.828491,-517.073730,45.876125,910.826355,-582.235413,939.697937,644.722534,-575.793335,39.103867,915.382385,-510.774445,740.553589,906.324890,-422.501251,739.891296,902.415405,-425.716217,654.539124,907.794434,-513.156982,656.432922,,,,,,,905.225708,-404.763977,468.889313,916.450989,-375.524200,418.757507,898.908264,-443.821320,366.180359,880.336182,-473.979858,414.309692,896.089844,-396.774231,121.407433,,,,843.348877,-445.885162,54.819664,870.112122,-162.627045,103.681557,925.897034,-214.961685,85.315598
4020,0,935.303162,-67.538239,747.662415,591.878662,-53.027012,751.072144,484.220673,615.010742,690.532227,795.766968,903.769653,656.599609,1110.160767,586.768677,684.030701,1077.134399,-347.469116,654.234436,,,,1057.562256,-382.729797,592.248108,,,,,,,453.538116,-300.144928,715.660522,679.225464,-349.672699,1635.143677,791.180847,-353.883545,1631.526489,659.914185,-506.281372,1580.647827,791.855042,-513.074646,1579.149536,680.440796,-405.815063,1493.053833,774.735352,-414.247711,1488.327759,722.609253,-598.448730,1434.980957,723.440796,-652.234192,1343.004150,716.145996,-441.973206,1324.113647,713.872314,-442.143433,1242.326538,798.712097,-628.338257,1403.080811,534.410156,-506.188690,1423.247070,477.552094,-517.323914,1192.078247,459.820587,-523.818481,1100.876343,,,,446.837616,-509.309753,966.076294,479.236786,-473.609802,831.361755,452.218994,-543.044128,845.533997,441.476593,-501.666260,716.406494,424.438751,-543.203430,790.337952,920.369995,-501.869690,1404.893921,971.172119,-537.309631,1204.243408,994.720154,-537.551636,1088.221069,,,,1016.009094,-519.804565,951.337891,996.270264,-488.528809,843.442688,1027.735107,-556.450684,846.377869,1038.239136,-526.767639,716.154358,1045.483887,-567.569641,795.482117,656.959473,-469.655975,987.214233,798.182373,-470.218262,999.079834,680.354614,-669.404419,1010.615234,794.454285,-671.274109,1014.529236,581.411377,-551.370422,997.364746,894.705078,-564.623840,1010.882629,562.974976,-554.980347,883.567261,578.121094,-558.486328,752.425232,598.231567,-510.647949,685.841064,598.589600,-580.172302,637.421936,589.721191,-632.138916,705.520874,622.448364,-589.908325,466.928955,,,,624.619812,-656.509094,396.609192,633.855530,-620.580505,342.763550,637.455872,-696.974182,296.583527,636.545410,-729.507751,346.795685,686.379395,-749.446594,84.601219,,,,745.104004,-800.995178,45.639812,702.288879,-516.343689,44.895737,911.721802,-573.734314,938.847534,644.713379,-576.090454,39.283531,916.594177,-504.397736,738.842712,907.527588,-416.229279,737.748535,904.042480,-418.556122,653.350037,908.946228,-507.467377,654.805603,900.642761,-380.656250,548.101562,,,,905.973083,-397.773804,466.252594,917.309326,-366.716949,417.443115,899.778625,-432.260376,361.643097,881.674683,-465.139771,408.870422,896.711304,-375.851562,119.004471,,,,843.650085,-421.637573,49.625816,870.491699,-140.940033,108.128792,925.838318,-192.898270,89.585350
4021,0,935.934753,-60.058353,747.163513,592.436157,-45.626213,750.529419,484.612549,622.374451,690.664368,795.648743,911.133179,656.779053,1110.451416,594.408142,684.131958,1077.962891,-339.968018,653.665771,,,,1058.343994,-375.060577,591.649048,,,,,,,454.492004,-292.933502,715.039917,680.263184,-340.885559,1634.443359,792.059021,-344.897095,1630.397095,661.027466,-497.622559,1579.554810,792.997803,-504.265015,1578.138794,681.417603,-397.125732,1491.956055,775.767517,-405.525574,1487.263794,723.777283,-589.866333,1434.172607,724.531311,-643.658508,1342.097778,717.094910,-433.390228,1323.089355,714.664795,-433.709839,1241.279419,799.878967,-619.691101,1402.257690,535.488953,-497.621033,1422.508423,478.417053,-509.080170,1191.474609,460.818268,-515.753296,1099.971436,,,,447.732086,-501.660767,965.377563,479.910126,-466.192505,830.509033,453.011749,-535.664551,844.903809,442.458160,-494.227264,715.695129,425.316681,-535.868408,789.613831,921.507385,-493.038910,1404.086792,972.094116,-528.703064,1203.585449,995.576965,-528.979858,1087.302734,,,,1016.884338,-511.596436,950.468872,997.150146,-480.822235,842.566833,1028.647949,-548.570618,845.469421,1039.039551,-519.261658,715.356445,1046.359375,-559.799988,794.745178,657.795654,-461.566284,986.036011,798.822876,-462.510986,998.046204,681.765686,-661.462830,1009.812683,795.884216,-662.831787,1013.735291,582.251404,-544.199036,996.601990,895.672302,-555.841248,1010.047180,564.063721,-547.542908,882.694519,579.065063,-552.884949,751.607544,598.644470,-505.388672,685.046631,599.313965,-575.285583,636.815674,590.621643,-626.654663,705.317017,623.071716,-586.381470,466.332397,,,,624.693298,-653.186096,397.218842,634.175964,-618.234680,342.567474,637.794983,-695.016235,296.748871,637.078552,-727.046753,347.347595,686.485535,-749.238281,84.985199,,,,745.141968,-800.891235,46.137875,702.307190,-516.283997,44.785091,912.686157,-565.138977,938.067688,644.895264,-575.856445,39.046051,917.781189,-497.916901,737.145508,908.755920,-409.429596,735.155823,903.223816,-414.862579,650.180481,910.026123,-501.668335,653.133606,901.579285,-375.460114,545.640808,,,,906.775330,-390.661255,463.502228,917.980408,-357.991302,415.948639,900.374573,-421.569305,357.905304,881.926208,-455.714020,403.945526,897.151917,-356.037201,117.569740,,,,844.051392,-399.937714,46.852795,870.326477,-121.294525,114.920799,925.979248,-172.165573,94.223053
4022,0,936.565430,-52.645622,746.813049,592.977478,-38.325165,750.217590,484.740967,629.472839,690.623657,795.972717,918.629456,657.106567,1110.506348,601.825378,684.226685,1078.699341,-332.327026,652.962891,,,,1059.138672,-367.504425,590.984436,,,,,,,455.640381,-285.553192,714.359192,681.308594,-332.301361,1632.956421,793.376953,-336.249756,1629.307495,662.198059,-488.857483,1578.550293,794.129700,-495.389160,1577.000610,682.478271,-388.365112,1490.966919,776.804016,-396.825134,1486.184326,724.908630,-581.213623,1433.214355,725.724487,-635.025696,1341.269287,718.140320,-424.881378,1322.054321,715.663757,-425.274841,1240.238525,801.116211,-611.015015,1401.375854,536.690491,-488.886627,1421.723877,479.352631,-501.032104,1190.806396,461.793915,-507.730957,1099.669556,,,,448.455261,-494.102081,964.758179,480.719604,-458.807800,829.685242,453.840149,-528.333557,844.224792,443.519104,-486.717010,714.885193,426.221313,-528.626282,788.930420,922.600525,-484.259857,1403.312134,972.976807,-519.878052,1202.529053,996.709717,-520.453918,1086.546387,,,,1017.909912,-503.422394,949.597534,998.123413,-472.723724,841.229614,1029.656006,-540.780334,844.868408,1039.891235,-511.638336,714.494690,1047.222168,-552.195190,794.009705,658.638306,-453.534241,984.759644,799.588440,-453.779877,997.028137,683.254333,-653.426514,1008.857239,797.303772,-655.201416,1012.957214,583.340027,-536.055176,995.263733,896.745117,-546.906677,1009.167297,564.744568,-540.816467,881.849243,580.175598,-546.684082,750.972473,600.115906,-499.700623,683.560425,600.140198,-570.163574,636.262695,591.556335,-620.933716,705.242065,623.506104,-582.973938,465.915497,,,,625.177002,-650.730896,397.110474,634.659424,-615.831970,342.311859,638.331360,-692.838074,297.294708,637.609497,-724.561462,347.995209,686.565186,-748.998840,85.619217,,,,745.291626,-800.620544,46.401558,702.258057,-516.268616,44.686104,913.843018,-556.192627,937.009521,644.649658,-575.410950,38.846416,919.095032,-491.091492,735.353882,909.763733,-403.054108,732.657410,,,,911.140259,-495.560089,651.432007,902.440247,-369.974182,543.169739,,,,907.366028,-383.548828,461.054779,918.517822,-349.351715,414.431122,901.051697,-411.259430,354.760529,882.690125,-446.714386,399.344482,897.747314,-337.691101,116.171677,,,,844.767029,-380.427734,45.253258,870.139099,-102.955719,121.174500,926.099060,-153.082932,98.671082
