Trajectories
100
,,Wheel Barrow:WBR,,,Wheel Barrow:WBL,,,Wheel Barrow:WFL,,,Wheel Barrow:WFM,,,Wheel Barrow:WFR,,,Wheel Barrow:IMUR_T,,,Wheel Barrow:IMUR_M,,,Wheel Barrow:IMUR_B,,,Wheel Barrow:IMUL_R,,,Wheel Barrow:IMUL_M,,,Wheel Barrow:IMUL_L,,,Subject:LFHD,,,Subject:RFHD,,,Subject:LBHD,,,Subject:RBHD,,,Subject:LEAR,,,Subject:REAR,,,Subject:C7,,,Subject:T10,,,Subject:CLAV,,,Subject:STRN,,,Subject:RBAK,,,Subject:LSHO,,,Subject:LUPA,,,Subject:LELB,,,Subject:LELBM,,,Subject:LFRM,,,Subject:LWRA,,,Subject:LWRB,,,Subject:LFIN,,,Subject:L5HD,,,Subject:RSHO,,,Subject:RUPA,,,Subject:RELB,,,Subject:RELBM,,,Subject:RFRM,,,Subject:RWRA,,,Subject:RWRB,,,Subject:RFIN,,,Subject:R5HD,,,Subject:LASI,,,Subject:RASI,,,Subject:LPSI,,,Subject:RPSI,,,Subject:LILC,,,Subject:RILC,,,Subject:LGTR,,,Subject:LTHI,,,Subject:LTHIA,,,Subject:LTHII,,,Subject:LTHIP,,,Subject:LKNE,,,Subject:LKNEM,,,Subject:LTIB,,,Subject:LTIBA,,,Subject:LTIBI,,,Subject:LTIBP,,,Subject:LANK,,,Subject:LANKM,,,Subject:LHEE,,,Subject:LTOE,,,Subject:RGTR,,,Subject:L5FT,,,Subject:RTHI,,,Subject:RTHIA,,,Subject:RTHII,,,Subject:RTHIP,,,Subject:RKNE,,,Subject:RKNEM,,,Subject:RTIB,,,Subject:RTIBA,,,Subject:RTIBI,,,Subject:RTIBP,,,Subject:RANK,,,Subject:RANKM,,,Subject:RHEE,,,Subject:RTOE,,,Subject:R5FT,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
12994,0,990.904724,-69.643295,754.859558,647.330994,-58.340965,761.658936,533.002747,607.989319,693.587708,841.506592,899.173218,652.703003,1158.926392,585.503235,680.648315,1134.441040,-349.684662,663.883362,1136.557129,-369.714661,629.329346,1114.046143,-385.278931,601.472168,583.951111,-311.925629,745.865845,548.617065,-303.326538,748.487793,512.643555,-307.032623,731.257141,743.394775,-254.742294,1612.875366,855.365540,-257.058777,1609.341675,727.982605,-420.331299,1595.908936,860.488525,-424.198517,1595.121460,745.560669,-336.877502,1487.234253,840.194885,-343.689331,1484.275024,794.743164,-533.414673,1430.547974,796.140930,-581.030762,1335.705200,784.538574,-368.485809,1336.420166,783.633728,-364.007355,1254.295776,871.112610,-559.674805,1395.810547,606.324463,-451.672272,1429.531860,544.022278,-486.869507,1205.962280,524.072998,-503.429474,1116.042725,,,,507.407196,-495.627350,979.748718,537.596558,-463.037231,843.161377,511.741577,-532.351685,859.757812,501.968018,-485.576141,728.725952,486.343079,-534.243042,796.733215,991.130127,-435.795319,1409.043823,1035.964355,-498.858032,1217.231567,1057.778564,-511.713196,1101.819824,,,,1077.110352,-510.644318,964.098694,1054.231812,-492.706665,853.990601,1090.080933,-558.758850,860.246216,1098.629272,-520.767883,731.344971,1105.583374,-573.361389,804.131348,726.416077,-397.590515,996.171021,867.035645,-394.308868,1004.915100,753.395020,-594.448059,1006.204834,867.339966,-593.122498,1014.554504,650.175720,-478.613434,998.936157,964.157898,-486.640686,1011.747253,631.541199,-465.172668,886.675720,639.098511,-425.030457,752.686462,655.167969,-361.771942,699.648071,644.367676,-418.665283,634.174744,641.610840,-485.775360,686.633545,649.325623,-396.492798,471.039154,,,,641.350220,-485.350220,455.470459,644.289490,-496.269867,391.053802,638.254761,-583.618042,409.575684,642.477722,-573.272156,468.215546,646.534302,-777.579529,288.579285,,,,693.651062,-847.617065,311.188019,,,,978.062500,-497.016785,938.649841,644.619751,-711.029724,112.638390,968.042786,-473.403595,721.978333,968.814453,-387.687653,698.579834,,,,946.232666,-495.506744,643.446228,,,,,,,936.147339,-428.169983,430.056671,940.067749,-404.007965,376.097198,919.328918,-478.273376,333.803253,906.931396,-503.486877,386.277039,884.807617,-462.397339,92.625160,,,,825.783081,-516.500305,39.168266,867.234741,-227.985016,50.476189,919.247314,-286.179016,42.598927
12995,0,992.440186,-60.515091,755.862366,648.833313,-49.199062,762.539307,533.997986,616.804138,693.943848,842.004578,908.041931,652.348328,1159.701904,594.712585,680.487671,1137.260132,-342.635254,666.548340,1138.292480,-360.437164,630.301514,1115.668091,-375.959442,602.122375,585.621521,-302.988800,747.066711,550.302979,-294.355988,749.848694,514.413147,-298.119843,732.418884,745.337219,-247.105484,1614.147217,857.264099,-249.370117,1610.620605,729.735596,-412.701630,1596.982544,862.390503,-416.454498,1596.370117,747.394043,-329.230225,1488.546997,842.071411,-335.997986,1485.508911,796.276794,-525.594910,1431.597656,797.567261,-573.218384,1336.723755,786.299133,-360.684784,1337.708740,785.438843,-356.113098,1255.579956,872.557617,-551.911133,1396.785400,608.041016,-443.583344,1430.825562,545.714661,-478.827576,1207.284912,525.742859,-495.238068,1117.309448,,,,509.273834,-487.112061,981.102783,539.562256,-454.198975,844.600952,513.853760,-523.489014,860.844910,503.626160,-476.905640,730.317932,487.889801,-526.036438,798.028381,992.913696,-428.364166,1410.371704,1037.469238,-490.766479,1218.272705,1059.471680,-503.434418,1102.894653,,,,1078.907349,-501.820435,965.170227,1055.983765,-484.029816,855.720947,1091.955200,-549.575623,861.272766,1100.612061,-511.472809,732.409180,1107.594482,-564.041504,804.944397,728.710938,-388.904602,997.479248,869.231506,-386.621735,1005.808472,753.828430,-586.163391,1007.455933,867.889709,-585.651062,1015.778320,651.503296,-469.670349,1000.294189,965.470337,-479.798096,1012.470154,631.823792,-454.474731,888.158203,641.058533,-411.769348,754.695007,657.696411,-347.951416,703.038574,646.743225,-403.472229,636.604675,643.201782,-471.893951,687.978882,653.468628,-378.266937,473.874786,,,,644.629761,-466.513519,457.377411,647.812012,-476.721039,393.054474,640.949097,-564.235046,410.472290,645.075195,-554.517944,469.448700,648.595459,-756.246704,288.376923,,,,695.077454,-827.882874,310.553009,717.655396,-656.412354,86.292366,979.345947,-490.638672,939.340942,647.209473,-688.325012,116.374397,968.715332,-469.135956,722.728394,970.224182,-383.943298,698.320618,,,,946.786133,-491.772675,644.224182,,,,,,,936.690857,-427.036713,429.941742,940.836731,-403.343903,375.911133,919.555908,-477.342468,333.777527,906.945801,-502.499329,386.584045,884.831299,-462.418243,92.592079,,,,825.747192,-516.379211,39.115570,866.310486,-228.499146,51.054302,919.245850,-286.446045,42.779991
12996,0,993.952576,-51.015450,756.245056,650.284546,-40.085186,763.445862,534.697876,625.461060,694.231384,842.873291,917.320251,651.995972,1160.897095,604.180054,680.218689,1138.894409,-333.268860,667.428711,1139.899414,-351.085236,631.295776,1117.319336,-366.777252,603.098022,587.295776,-294.037170,748.267151,551.898560,-285.420685,751.269104,516.091248,-289.281219,733.708557,747.100586,-239.520157,1615.238281,859.108215,-241.752914,1611.693115,731.774536,-404.915314,1598.238403,864.130920,-408.638306,1597.501465,749.222412,-321.676758,1489.597900,844.003479,-328.251801,1486.659546,797.803101,-517.833496,1432.507446,798.868164,-565.389709,1337.555786,788.168823,-352.941376,1338.755615,787.303955,-348.363068,1256.642944,874.086731,-544.195740,1397.705933,609.789001,-435.518402,1432.011475,547.670593,-470.458832,1208.435791,527.560303,-487.060150,1118.098755,,,,510.921173,-478.657806,982.239319,541.100525,-445.439606,845.657166,515.377441,-514.786621,862.060486,505.424072,-467.721954,731.295837,489.841248,-516.672424,799.075623,994.618408,-420.876587,1411.508301,1039.205688,-482.908844,1219.382202,1061.217529,-495.227478,1103.880493,,,,1080.724854,-493.273651,966.265015,1057.899658,-475.094177,856.811340,1093.831421,-540.452759,862.205139,1102.403198,-502.193207,733.359192,1109.528687,-554.747559,805.899536,730.519714,-380.733551,998.669495,870.958923,-378.189911,1006.278259,754.240356,-577.990845,1008.564331,868.247681,-578.106628,1016.564636,652.764587,-460.748016,1001.573181,966.693115,-472.997955,1013.064514,632.078003,-442.964264,889.978333,642.541992,-398.527649,757.106506,660.545715,-334.124451,706.552734,649.432678,-387.485748,640.754089,644.401123,-457.709320,688.753845,657.300476,-360.198639,476.303925,,,,647.669739,-447.725647,459.133392,651.415100,-457.348022,394.682159,643.304688,-545.445923,411.172302,647.432068,-536.036255,469.900177,650.428406,-736.536560,287.342163,,,,696.740662,-808.026123,309.116119,719.453796,-634.068420,86.121346,980.373352,-484.269501,939.939636,648.474060,-666.273315,113.229279,969.240417,-464.919556,723.440247,971.297607,-379.894806,697.694885,,,,946.897156,-488.691803,645.414368,,,,,,,937.207336,-425.855011,429.938629,941.423584,-402.388031,375.703186,919.754517,-476.626404,334.035461,907.095764,-501.416199,386.901459,884.913086,-462.412689,92.625214,,,,825.715149,-516.399780,39.234604,864.967529,-229.525879,53.135155,919.334839,-286.431000,42.641979
12997,0,995.426025,-41.657475,756.990784,651.657776,-31.030861,764.385193,535.892578,634.705994,694.326294,843.474365,926.400879,651.472412,1161.687012,613.394714,679.970581,1139.411987,-321.677795,666.538574,1141.542114,-341.837769,632.305481,1119.201904,-357.994690,605.147583,593.833740,-283.273804,746.062561,553.506653,-276.502655,752.416809,517.658081,-280.316345,734.893127,749.258972,-231.605682,1616.404419,860.986938,-234.209778,1612.816406,733.479858,-397.502106,1598.920166,866.110474,-401.157623,1598.462769,751.306763,-313.887207,1490.585083,845.871765,-320.690918,1487.715942,799.348816,-510.148895,1433.360718,800.189026,-557.586975,1338.462769,790.049377,-345.225769,1339.722534,789.050354,-340.729706,1257.486572,875.715698,-536.880493,1398.872559,611.414429,-427.506439,1433.119995,549.063354,-462.415283,1209.508789,529.056519,-478.773407,1119.159424,,,,512.456055,-470.099518,983.219849,542.693909,-436.746979,846.832214,516.975403,-506.079315,862.995483,506.660217,-459.525299,732.746216,491.480713,-507.639038,799.987244,996.298218,-413.550568,1412.563965,1040.814697,-475.472900,1220.381958,1063.046143,-487.366821,1104.882080,,,,1082.546021,-484.787292,967.186218,1059.823364,-466.013153,857.992371,1095.686768,-531.531616,863.069397,1104.217529,-492.823273,734.263916,1111.452759,-545.479187,806.799988,732.053894,-372.913757,999.855957,872.949280,-372.000793,1007.143127,754.674438,-569.942932,1009.367004,868.642273,-570.725281,1017.255554,653.898865,-451.985748,1002.652039,967.792603,-466.167297,1013.534668,632.333618,-431.984772,891.772278,644.285522,-386.139008,759.261902,663.507080,-320.503998,710.016785,651.836670,-372.663696,641.969360,645.328918,-443.585510,689.623047,661.345581,-342.172028,479.067017,,,,650.957031,-429.458466,460.644409,655.143433,-438.015259,396.102631,646.243347,-525.838501,410.741821,649.747559,-517.981628,469.963715,652.157959,-715.542847,285.243652,,,,698.241882,-787.860168,305.308594,721.260559,-610.530334,84.936806,981.232483,-477.965271,940.469971,650.560669,-643.023438,113.710358,969.807190,-460.744873,723.941345,972.337097,-376.280548,697.503357,,,,947.470459,-486.266327,645.648560,,,,,,,937.682373,-424.485016,429.848480,942.013062,-401.345184,375.383698,920.126953,-475.704956,334.162903,907.380310,-500.275421,387.209991,884.927124,-462.272278,92.620049,,,,825.953857,-516.354858,39.773724,867.389221,-228.324173,50.926422,919.801270,-286.339844,42.476410
12998,0,996.845764,-32.268402,757.541809,653.086548,-21.933674,765.188965,536.808716,643.704529,694.388062,844.276123,935.712769,651.180054,1162.597168,622.787598,679.612244,1142.024170,-314.500275,668.858032,1143.104126,-332.506653,633.126404,1120.718140,-348.728424,605.933899,590.382690,-276.049408,750.390320,555.040710,-267.435547,753.347595,519.291016,-271.403229,736.026794,750.548889,-224.378098,1617.435547,862.650269,-226.661819,1613.843140,735.436401,-389.832642,1600.006470,867.913696,-393.577332,1599.279297,753.037476,-306.398224,1491.646729,847.615234,-313.056885,1488.633301,800.891602,-502.443970,1434.231079,801.436401,-549.851807,1339.259399,791.885986,-337.669586,1340.439331,790.766907,-333.243927,1258.333496,877.063232,-529.002747,1399.277832,613.120300,-419.576355,1434.205688,550.531982,-453.965576,1210.385864,530.530334,-470.309998,1120.571533,,,,513.886292,-461.661102,984.290466,544.169678,-427.788330,847.947388,518.532288,-497.235016,864.063232,508.749359,-449.778412,733.401855,492.977661,-498.942902,801.215454,997.986572,-406.072266,1413.524658,1042.566895,-467.657623,1221.281372,1064.868408,-479.447052,1105.775757,,,,1084.230957,-475.980957,967.737366,1061.562988,-457.042297,858.744202,1097.474854,-522.468567,863.732666,1106.057739,-483.503998,735.128357,1113.375610,-536.194397,807.528564,733.959351,-364.472870,1000.827759,874.540771,-364.862671,1007.651184,755.027832,-561.942993,1010.150452,869.098633,-563.356934,1017.990967,654.914795,-443.414520,1003.711365,968.831360,-459.270569,1013.911011,633.310059,-421.894562,893.355408,646.130127,-373.561340,761.360657,666.372131,-307.019012,713.557373,655.289429,-356.135345,644.261597,646.979248,-434.318207,694.534973,665.014404,-324.467621,481.949707,,,,653.669006,-411.833710,462.046570,658.876831,-418.868286,397.159027,648.795593,-507.287506,410.594849,652.081665,-500.204437,469.570984,654.441589,-694.022034,281.719635,,,,700.052002,-767.237183,300.361206,,,,981.876587,-471.622955,940.856506,652.365784,-619.015808,111.579948,970.279419,-456.417175,724.434143,973.286377,-372.211975,696.768677,,,,947.690674,-482.762909,646.555176,,,,,,,938.052246,-423.064911,429.812225,942.403259,-400.138763,375.241333,920.330811,-474.652008,334.349915,907.622620,-498.498444,387.976532,885.007690,-462.025391,92.635559,,,,826.199402,-516.310791,40.664085,867.481689,-228.336182,50.931637,920.140930,-286.075134,42.327591
12999,0,998.229614,-22.943796,757.891418,654.531555,-12.915337,765.729675,537.740112,652.545715,694.538391,844.644043,944.468628,650.519043,1163.685303,632.246765,679.348572,1143.350586,-304.946014,669.883789,1144.634399,-323.208832,633.759949,1122.225464,-339.390350,606.446838,596.902344,-265.291656,747.928406,556.541077,-258.463013,754.201111,520.897339,-262.375183,737.019592,752.247375,-216.990234,1618.373657,864.385925,-219.075378,1614.747192,737.055054,-382.564362,1600.614380,869.559692,-385.889801,1600.119873,754.680481,-298.787537,1492.472900,849.444275,-305.502472,1489.438354,802.393982,-494.834320,1434.851074,802.785767,-542.198120,1339.975952,793.640076,-330.156921,1341.247925,792.432556,-325.882294,1259.138672,878.551208,-521.467712,1399.928101,614.734619,-411.728333,1435.195923,551.948792,-445.762512,1211.507446,531.926941,-462.147583,1121.135620,,,,515.418823,-453.002960,985.332764,545.402344,-419.495270,849.213257,520.000610,-488.207764,864.933044,510.254272,-441.114777,734.309509,494.731262,-489.678314,802.035706,999.604736,-398.687286,1414.350220,1044.238403,-460.121857,1222.184448,1066.617310,-471.553192,1106.547241,,,,1086.104248,-467.761230,968.848389,1063.375366,-447.888702,859.619751,1099.255737,-513.377258,864.473999,1107.796875,-474.182098,735.823242,1115.245483,-526.868774,808.177979,735.593506,-356.285614,1001.631592,876.147400,-357.337433,1007.966614,755.410400,-553.938477,1010.647034,869.467712,-555.983948,1018.514160,655.997314,-434.623840,1004.643311,969.809692,-452.518433,1014.300110,634.615295,-412.093811,894.847290,648.990173,-363.039062,762.393188,669.999146,-295.201080,716.218628,,,,647.782227,-420.693420,695.973877,669.079590,-306.848083,485.034943,,,,657.080566,-393.963104,463.520813,662.443054,-399.709015,398.738464,651.559631,-488.487366,409.866272,654.501099,-482.729736,468.945190,656.564880,-673.086975,277.262756,,,,701.893311,-746.356506,294.210236,725.253174,-560.183777,82.343468,982.131714,-463.669708,940.880920,652.805359,-593.679749,109.303612,970.715759,-452.060394,724.974304,974.171753,-368.029266,696.467529,,,,947.914612,-479.106232,647.367554,,,,,,,938.370361,-421.570679,429.818695,942.867065,-399.000122,375.114990,920.509888,-473.847900,334.899597,907.853577,-497.157227,388.270905,884.880981,-461.560181,93.336327,,,,826.166382,-516.257629,40.806461,865.283447,-229.395920,53.446354,920.165283,-286.095978,42.241734
13000,0,999.471008,-13.910053,758.338745,655.809509,-3.895553,766.289978,538.587708,661.405640,694.729126,845.077942,953.250061,650.366699,1164.386353,641.303284,679.139587,1144.743652,-295.678528,670.142578,1146.100708,-314.033203,634.143311,1123.696899,-330.228333,606.773132,,,,557.968506,-249.466782,754.775208,522.412964,-253.459686,737.410034,754.533081,-209.136948,1619.053101,866.105042,-211.536346,1615.514160,738.832092,-375.042511,1601.398315,871.333130,-378.367737,1600.856201,756.201355,-291.264221,1493.208984,851.103455,-298.067413,1490.153564,803.889526,-487.368378,1435.584106,804.070862,-534.670471,1340.516602,795.322754,-322.616547,1341.892944,794.022461,-318.521576,1259.785278,880.107971,-514.395874,1400.866577,616.362610,-403.888367,1436.049805,553.375916,-437.625305,1212.418579,533.210815,-453.885376,1122.292236,,,,516.684082,-444.468536,986.126465,547.005981,-409.901581,849.876892,521.427002,-479.348877,865.692078,511.736023,-432.354218,735.287476,496.162598,-480.985107,802.826111,1001.135254,-391.747009,1415.261475,1045.897949,-452.348114,1222.808472,1068.306763,-463.687592,1107.108887,,,,1087.812012,-459.194611,969.476868,1065.137451,-438.918457,860.439026,1101.004883,-504.399292,865.008118,1109.403564,-464.944122,736.351074,1116.959106,-517.623413,808.628662,736.958801,-348.184723,1002.462891,877.549255,-350.494263,1008.387451,755.777039,-546.115173,1011.033875,869.837219,-548.688965,1018.984070,656.818298,-426.310547,1005.555481,970.604065,-445.885437,1014.719360,635.946960,-402.699799,895.941711,650.785278,-350.719940,764.674927,672.926819,-281.702393,719.920654,659.336487,-326.952698,651.147217,,,,672.964722,-289.826294,488.606232,,,,660.124329,-376.736145,465.096527,665.864258,-381.062378,400.018036,654.351990,-469.853546,408.572479,656.989990,-465.737610,467.961273,658.656006,-650.248840,271.365082,,,,703.700073,-725.473206,286.900513,727.181396,-532.408997,78.894073,982.709106,-457.204041,941.163513,656.661194,-566.796204,107.522507,971.142029,-447.841003,725.333862,974.682495,-363.933289,695.866455,,,,948.137024,-475.332184,648.252136,,,,,,,938.660828,-420.113098,429.876129,943.152954,-397.748962,374.993286,920.693665,-472.775726,335.135040,907.913574,-495.756653,388.672028,884.855469,-461.394836,93.427513,,,,825.594421,-515.442749,40.032833,865.296082,-229.275467,53.417118,920.148926,-286.080963,42.143890
13001,0,1000.378723,-4.932012,758.374451,657.232971,4.908947,766.361572,539.486633,670.191345,695.112854,845.975647,962.338989,650.533691,1165.229004,650.439392,679.170654,1146.192139,-286.554199,670.179810,1147.515503,-304.895020,634.262024,1125.093262,-321.172760,606.874390,599.845520,-247.559525,748.895142,559.412170,-240.717453,755.315125,523.977173,-244.510086,737.802856,756.157104,-201.717407,1619.768433,867.808228,-204.160217,1616.077881,740.699219,-367.577240,1602.296387,873.082642,-370.864288,1601.452026,758.316223,-283.225952,1493.934570,852.823364,-290.692749,1490.763550,805.285645,-479.862366,1436.072998,805.379456,-527.203796,1341.059082,796.876770,-315.163147,1342.493652,795.629700,-311.103790,1260.294556,881.354614,-506.625519,1400.984497,617.958740,-396.160767,1436.781372,554.731995,-429.476379,1213.158691,534.605225,-445.503632,1122.653564,,,,518.090942,-435.771912,986.853088,548.006714,-401.587524,850.549500,522.799072,-470.485046,866.251404,513.016846,-424.014069,735.950989,497.776520,-472.171844,803.401611,1002.695068,-384.319763,1415.633301,1047.567871,-444.434845,1223.305908,1069.930420,-455.534058,1107.486084,,,,1089.488892,-450.774170,970.070435,1066.540649,-429.969055,860.801697,1102.744751,-495.388275,865.175232,1110.933350,-455.873749,736.562378,1118.615845,-508.675995,808.754578,737.970398,-340.928009,1003.496521,878.865967,-343.478851,1008.543640,756.084229,-538.228394,1011.397583,870.124512,-541.383423,1019.406555,657.745728,-417.929321,1006.396057,971.490417,-438.921356,1014.889954,637.287354,-393.374756,896.709595,652.289124,-338.086182,767.658386,676.267395,-269.334503,723.459167,,,,649.620483,-394.602081,699.430908,676.741455,-273.576477,492.256653,,,,663.454102,-360.329895,466.021576,669.175598,-362.616272,401.264923,657.235718,-451.515381,407.244507,659.549927,-449.168274,466.873383,661.009521,-628.684143,265.744659,,,,705.873108,-703.935608,278.313812,728.604797,-503.640350,75.952797,983.572205,-452.125153,941.694885,659.155151,-538.422363,102.072334,971.467346,-443.343719,725.795654,975.057678,-359.755402,695.823364,,,,948.249878,-471.763916,648.957031,,,,,,,938.785583,-418.456879,429.740387,943.328735,-396.453461,374.909637,920.730103,-471.699921,335.395691,907.948608,-494.409790,389.003540,884.709778,-461.182831,93.609306,,,,825.933655,-516.014099,40.927948,865.276123,-229.228729,53.178547,920.204590,-286.001312,41.985352
13002,0,1002.045044,4.096587,758.276367,658.395813,13.700890,766.614075,540.272278,678.825012,695.471069,846.575684,971.179932,650.621887,1166.074219,659.419617,679.032715,1147.507080,-277.458405,669.897095,1148.824463,-295.799377,634.127808,1126.379883,-312.060638,606.646484,596.062988,-240.506104,752.400085,560.792236,-231.983139,755.379883,525.366394,-235.942032,737.890259,757.337219,-194.742981,1620.323120,869.462585,-196.795273,1616.541626,742.330627,-360.157654,1602.504883,874.815369,-363.357819,1601.976562,759.660645,-276.313263,1494.431274,854.370117,-283.225159,1491.249146,806.643555,-472.404022,1436.577637,806.634460,-519.754761,1341.507935,798.378967,-307.738892,1342.988647,797.064697,-303.781067,1260.819702,882.663757,-499.332642,1401.476685,619.476074,-388.424042,1437.335938,556.101562,-421.359985,1213.647461,536.002075,-437.208405,1123.107178,,,,519.467651,-427.276978,987.259033,549.864746,-392.346069,851.009094,524.236816,-461.759247,866.680115,514.992249,-414.466705,735.972351,499.361359,-463.506470,803.726624,1004.119385,-377.156342,1415.885864,1048.937500,-436.618622,1223.407227,1071.255737,-447.217285,1107.485107,,,,1091.096191,-441.949677,970.003662,1068.138794,-421.088776,860.887939,1104.159058,-486.434204,865.156738,1112.405151,-446.923279,736.543579,1120.066284,-499.603973,808.727234,739.248535,-333.019836,1004.187317,880.123840,-336.139862,1008.702881,756.371338,-530.400024,1011.709229,870.464172,-534.177429,1019.824524,658.570984,-409.976379,1007.364014,972.310730,-432.216492,1015.110352,638.541565,-384.169800,897.114502,654.236145,-326.222107,769.993958,679.397949,-257.491211,726.992371,,,,,,,680.446716,-257.848511,495.524658,,,,666.476990,-344.031647,467.151672,672.300354,-344.673798,402.416656,660.094666,-433.443054,405.813232,662.183777,-432.864502,465.176514,663.308899,-606.222107,258.259918,,,,708.282227,-681.471497,268.257690,731.101013,-475.339874,74.348335,984.202759,-445.761749,941.849487,660.733215,-510.424133,99.441902,971.660522,-438.859436,726.172302,975.584534,-355.655151,695.333130,,,,948.319824,-468.072144,649.624146,,,,,,,938.814087,-416.895782,429.747894,943.438354,-395.144012,374.724030,920.704956,-470.138397,335.203369,907.938538,-493.020752,389.253479,884.508057,-460.953247,93.646820,,,,825.869019,-515.891479,41.056164,865.169312,-229.167755,52.983444,920.334961,-286.023224,42.045456
