Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RPSI,RSHO,RTHI,RTHIA,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x71,x72,x73,x74,x75,RTHIP,IMUL_R,RKNE,LTHII,IMUR_M
All Timesteps RMSE,0.0324048,0.0497575,0,0,0,0,0.0453521,0,0.0259341,0.0539382,0,0,0.0133854,0,0,0.0339125,0.0319281,0.0384931,0.0224164,0.0507235,0.0260251,0.0305978,0.0199989,0.0294833,0.0234941,0.0445685,0.0474167,0.0385438,0.0364293,0.0274102,0.0459407,0.00795546,0.0188216,0.0525457,0,0.0186837,0.062673,0.0185772,0,0,0.0117196,0,0,0.0337413,0.0490332,0.0493732,0.0334435,0.0324328,0.0231121,0.0428139,0.0317392,0.0614937,0.0594351,0.0611297,0.063804,0.0353492,0.0352966,0.0180577,0.0200728,0.0431182,0.0143337,0,0,0,0,0,0,0,0,0,0,0.0640533,0,0.0297739,0.0462914,0
0,0.0320089,0.0503344,0,0,0,0,0.0249256,0,0.0279701,0.0533577,0,0,0.0132137,0,0,0.0333943,0.0372114,0.0437328,0.0229791,0.0594772,0.0225656,0.029314,0.0150349,0.0263379,0.0324106,0.0441628,0.0433869,0.0356783,0.0282488,0.0329333,0.045656,0.0073077,0.0193495,0.0591333,0,0.0193984,0.0643321,0.0189144,0,0,0.0116746,0,0,0.0346543,0.041932,0.0472345,0.0425687,0.0361797,0.0274651,0.0400142,0.0365464,0.0573216,0.0560238,0.0578103,0.0582603,0.018721,0.0346408,0.0181203,0.0210126,0.0451922,0.0137993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0315521,0.0502104,0,0,0,0,0.0246369,0,0.0272441,0.0524104,0,0,0.0135527,0,0,0.0338214,0.0354241,0.0434621,0.0226091,0.0581701,0.0227316,0.0303179,0.0141354,0.0259335,0.0320295,0.0435388,0.0439446,0.0368672,0.0299666,0.0335876,0.0452518,0.00749588,0.0198926,0.0598909,0,0.0169548,0.0624036,0.0184333,0,0,0.0118001,0,0,0.0345133,0.0444332,0.0448068,0.0388604,0.034315,0.0266337,0.0364113,0.0353916,0.0598552,0.0589164,0.0602791,0.0606887,0.0193088,0.0347121,0.0183351,0.020742,0.0448416,0.0143108,0,0,0,0,0,0,0,0,0,0,0.0591427,0,0,0,0
2,0.031683,0.0504687,0,0,0,0,0.0244682,0,0.0269368,0.0538471,0,0,0.0130252,0,0,0.0328516,0.0368923,0.0431271,0.0236883,0.0586449,0.0215703,0.0289667,0.0152596,0.0264532,0.033643,0.0438181,0.0443739,0.0373121,0.0306811,0.0336751,0.0463795,0.0073785,0.0182403,0.0602586,0,0.0196291,0.0647114,0.0188792,0,0,0.011431,0,0,0.034364,0.0416585,0.0468756,0.0424584,0.0344027,0.0266012,0.0397917,0.0361852,0.0572605,0.0557875,0.0578254,0.0582461,0.0199589,0.0350496,0.0182831,0.0204917,0.0453311,0.0135161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0313788,0.0503887,0,0,0,0,0.0225688,0,0.0233898,0.0519151,0,0,0.0133693,0,0,0.0333179,0.0357833,0.0368015,0.0223721,0.0555352,0.0218517,0.0297808,0.0144263,0.0253788,0.0309169,0,0.0497579,0.0423745,0.0350662,0.034225,0.045761,0.00748776,0.0187945,0.0623963,0,0.0170151,0.0629618,0.0184417,0,0,0.0115911,0,0,0.0343162,0.0445644,0.0447797,0.0388287,0.0331703,0.0263116,0.0361277,0.0342533,0.0601231,0.0590074,0.0604679,0.0608663,0.0216708,0.0349106,0.0181477,0.0206248,0.0448837,0.0143351,0,0,0,0,0,0,0,0,0,0,0.0585394,0,0,0,0
4,0.031135,0.0507787,0,0,0,0,0.0243748,0,0.0270727,0.0522037,0,0,0.0129069,0,0,0.0339515,0.0359756,0.0424216,0.0240182,0.0588116,0.0216983,0.0296045,0.0143349,0.0269446,0.0334015,0.0440252,0.0447466,0.0379902,0.0315057,0.0337138,0.0457358,0.0074354,0.0184893,0.0556725,0,0.0144761,0.0629735,0.0175951,0,0,0.0121005,0,0,0.0339857,0.0458147,0.0472258,0.0374979,0.0317264,0.025698,0.0365076,0.0306773,0.0608647,0.0599977,0.062342,0.0619765,0.0145942,0.0352855,0.0181553,0.0203545,0.04516,0.0141164,0,0,0,0,0,0,0,0,0,0,0.0580516,0,0,0,0
5,0.0313725,0.0506913,0,0,0,0,0.0229034,0,0.0260793,0.051648,0,0,0.013191,0,0,0.0332343,0.0365871,0.0424203,0.022824,0.0581968,0.0216336,0.0291302,0.0150966,0.0263018,0.0337559,0.0429948,0.0452273,0.0381677,0.0316744,0.0367296,0.0462651,0.00771292,0.0181434,0.0651366,0,0.0172008,0.0634251,0.0183971,0,0,0.0114688,0,0,0.03451,0.0445927,0.0448142,0.0384084,0.0325409,0.0256869,0.0357309,0.0332589,0.0602655,0.059037,0.0606111,0.0608564,0.0243791,0.0353811,0.0183555,0.0203358,0.0451152,0.0140789,0,0,0,0,0,0,0,0,0,0,0.0582708,0,0,0,0
6,0.0309214,0.0510844,0,0,0,0,0,0,0.0252843,0.0520774,0,0,0.0125787,0,0,0.0347792,0.0373695,0.043446,0.0246906,0.059731,0.0216319,0.0290022,0.0154253,0.0272693,0.0342579,0.041705,0.0447056,0.0356056,0.0289697,0.034748,0.046004,0.00729046,0.0181108,0.0576097,0,0.0141935,0.0633193,0.0172482,0,0,0.0122031,0,0,0.0344687,0.0453628,0.0460674,0.0369283,0.0311358,0.0254163,0.0364187,0.0294364,0.061241,0.0602691,0.0626774,0.0621912,0.0154827,0.0350632,0.0186471,0.0206412,0.0452859,0.0139679,0,0,0,0,0,0,0,0,0,0,0.058219,0,0,0,0
7,0.0310638,0.0510191,0,0,0,0,0,0,0.0258343,0.0517794,0,0,0.0126586,0,0,0.0348354,0.0377339,0.0434484,0.0245818,0.0601463,0.0217954,0.0287701,0.0156093,0.0273209,0.0347825,0.0418246,0.0447314,0.0354375,0.0287686,0.035239,0.0458912,0.00730151,0.0182139,0.0581257,0,0.0140537,0.0635394,0.0174616,0,0,0.0120887,0,0,0.0343896,0.0452695,0.0450937,0.03696,0.0312596,0.0254917,0.0365915,0.0289127,0.0613312,0.0602601,0.0627805,0.0622599,0.0155944,0.0350086,0.0186113,0.0208338,0.0451653,0.013949,0,0,0,0,0,0,0,0,0,0,0.0589185,0,0,0,0
8,0.0312148,0.0510156,0,0,0,0,0.0230323,0,0.0287958,0.0506285,0,0,0.0125887,0,0,0.0347459,0.038844,0.0443372,0.0229439,0.0607167,0.0223775,0.0286434,0.0162921,0.027262,0,0.0413707,0.0434936,0.0361367,0.0299748,0.0364966,0.0458179,0.0073449,0.0183343,0.0584936,0,0.0144809,0.0660998,0.0174868,0,0,0.0118608,0,0,0.0344451,0.044782,0.0450242,0.0372713,0.0309072,0.0248853,0.0375541,0.0289032,0.0609838,0.0595546,0.062215,0.0617704,0.0163257,0.0351797,0.0182654,0.0206404,0.0451813,0.0137457,0,0,0,0,0,0,0,0,0,0,0.0596351,0,0,0,0
