Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x71,x72,x73,x74,x75,IMUR_M
All Timesteps RMSE,0.0317061,0.0502684,0,0,0,0,0,0.0407532,0,0.0259032,0.0544289,0,0,0.0161496,0,0,0.0334014,0.0313477,0.0392226,0.024429,0.0498715,0.0265172,0.0358938,0.0212037,0.0372203,0.0214547,0.0435487,0.0471235,0.0376551,0.0349802,0.0263894,0.0439828,0.00801285,0.018362,0.050901,0,0.0159707,0.0599719,0.0165438,0,0,0.0119224,0,0,0.0343712,0.0527986,0.0499457,0.0312427,0.0305788,0.0306372,0.0213623,0.040588,0.0331708,0.0614108,0.0639802,0.0621297,0.0630728,0.0662184,0.0373975,0.0344101,0.0182159,0.0200411,0.0431905,0.0156202,0,0,0,0,0,0,0,0,0,0,0
0,0.0357207,0.0514306,0,0,0,0,0,0.0277905,0,0.0225826,0.0529021,0,0,0.0145429,0,0,0.0329963,0.0369382,0.0420382,0.0233165,0.055546,0.027958,0.0356221,0.0177035,0.0399856,0.0261476,0.0486428,0.0515051,0.0416374,0.0376028,0.0338072,0.0445971,0.00772077,0.0184253,0.0627773,0,0.0155715,0.0647083,0.016345,0,0,0.0128898,0,0,0.0319899,0.0494167,0.046667,0.0303296,0.0182592,0.0299653,0.019977,0.0378253,0.026644,0.057846,0.0628799,0.0623985,0.0627227,0.0628537,0.0236,0.0353205,0.018152,0.0185356,0.0442807,0.0164942,0,0,0,0,0,0,0,0,0,0,0
1,0.0355255,0.0515187,0,0,0,0,0,0.0310792,0,0.0219941,0.0530536,0,0,0.014744,0,0,0.0329891,0.0368869,0.0419169,0.0234581,0.0542398,0.028062,0.0357019,0.0190276,0.0390037,0.0271167,0.0478635,0.0517201,0.0407929,0.0375611,0.0280324,0.0447297,0.00778548,0.0183718,0.0630792,0,0.0155209,0.0643879,0.0165408,0,0,0.0127219,0,0,0.0320852,0.0494651,0.0463836,0.0312082,0.0179265,0.030294,0.019715,0.0375219,0.0266255,0.0579911,0.0629539,0.0626799,0.062881,0.0630698,0.0238885,0.0349922,0.0183206,0.018812,0.0444028,0.0160113,0,0,0,0,0,0,0,0,0,0,0
2,0.0353439,0.0517671,0,0,0,0,0,0.0355689,0,0.0215093,0.0523001,0,0,0.0148565,0,0,0.033274,0.0378243,0.0434441,0.0229547,0.0533481,0.0281881,0.0362945,0.0192581,0.0389213,0,0.0468452,0.0511583,0.0400998,0.0375885,0.0218112,0.0447484,0.00757748,0.01848,0.0630014,0,0.0157075,0.0657824,0.0162841,0,0,0.0127557,0,0,0.032237,0.0488138,0.0465987,0.0320303,0.0181445,0.0299368,0.0191631,0.0373689,0.0268789,0.0583477,0.0623881,0.0624751,0.0626659,0.0628034,0.0241495,0.0348159,0.01821,0.0185815,0.0446009,0.015895,0,0,0,0,0,0,0,0,0,0,0
3,0.035426,0.0516053,0,0,0,0,0,0.0389308,0,0.0213507,0.0535329,0,0,0.0151884,0,0,0.0329833,0.0363174,0.0428661,0.0221162,0.0524771,0.027893,0.0360618,0.0191485,0.0389999,0.0286738,0.0470244,0.0514453,0.0407411,0.0381477,0.0184404,0.0444885,0.00779007,0.0185255,0.0630226,0,0.0155027,0.0636872,0.0168048,0,0,0.0125481,0,0,0.0323403,0.0497515,0.0463205,0.0316711,0.0172345,0.0310445,0.0199262,0.0377017,0.0259771,0.0579717,0.0625454,0.0628766,0.0632971,0.0632838,0.0248768,0.0344406,0.0187967,0.0191656,0.0443079,0.0160773,0,0,0,0,0,0,0,0,0,0,0
4,0.0355153,0.0519434,0,0,0,0,0,0.0454697,0,0.022325,0.0556952,0,0,0.0148217,0,0,0.0330179,0.035807,0.0455753,0.0250676,0,0.0282251,0.0362598,0.0210203,0.0419895,0.0290307,0.0441077,0.0488019,0.0382087,0.0361167,0.0156299,0.044769,0.00746842,0.0181588,0.0639711,0,0.0158147,0.0634474,0.016596,0,0,0.0125324,0,0,0.0327023,0.0496671,0.0464059,0.0316005,0.0172542,0.0305101,0.0189187,0.0375794,0.0262705,0.0576211,0.0634265,0.0628353,0.062897,0.0629167,0.025489,0.0347671,0.018222,0.0184267,0.0449452,0.0155611,0,0,0,0,0,0,0,0,0,0,0
5,0.0351475,0.0520122,0,0,0,0,0,0.0470664,0,0.0220221,0.0549305,0,0,0.0152447,0,0,0.0336529,0.035525,0.0445952,0.0253463,0,0.0288492,0.0374184,0.0219769,0.0416917,0.0288,0.044218,0.0487646,0.0384859,0.0366199,0.0147446,0.0441375,0.00745212,0.0188401,0.0643131,0,0.0132365,0.0623981,0.015987,0,0,0.0125783,0,0,0.0328186,0.0511313,0.0429867,0.0302275,0,0.0300674,0.0185852,0.0351149,0.025124,0.055026,0,0.0653756,0.0647924,0.0650344,0.0260456,0.0345266,0.0183639,0.018353,0.0447523,0.0160613,0,0,0,0,0,0,0,0,0,0,0
6,0.0349037,0.0517499,0,0,0,0,0,0.0447846,0,0.0209215,0.0532678,0,0,0.0159405,0,0,0.0337229,0.0346704,0.0407329,0.0227245,0.0492126,0.0288739,0.0378173,0.0212443,0.0388289,0.0283459,0.0469029,0.0510589,0.0411511,0.0389944,0.0145179,0.0435039,0.00773887,0.0193248,0.0627978,0,0.0124463,0.0614658,0.0162527,0,0,0.0123186,0,0,0.0328363,0.051891,0.0429037,0.0298066,0.0142616,0.0310191,0.019351,0.0352962,0.0240937,0.0545247,0,0.0661888,0.0656428,0.0657181,0.0245235,0.0341238,0.0188545,0.0189337,0.044091,0.0167667,0,0,0,0,0,0,0,0,0,0,0
7,0.0354694,0.0519968,0,0,0,0,0,0.0474334,0,0.0229439,0.0570158,0,0,0.0151949,0,0,0.0329271,0.0341822,0.0446683,0.0264656,0,0.0285784,0.0370572,0.0221182,0.0417582,0.0286468,0.0443127,0.0485068,0.0383662,0.0367087,0.0137393,0.0445087,0.00761205,0.018261,0.0622617,0,0.0163797,0.0626962,0.0164909,0,0,0.0121432,0,0,0.0329948,0.0494762,0.0472677,0.0314059,0.0170062,0.0306325,0.0183756,0.038027,0.0262524,0.0573201,0.0634713,0.0630336,0.0625488,0.0624024,0.0216039,0.0350411,0.0175818,0.0176939,0.0448578,0.0157298,0,0,0,0,0,0,0,0,0,0,0
8,0.0351039,0.0518021,0,0,0,0,0,0.0429946,0,0.0211147,0.0556721,0,0,0.0154289,0,0,0.033175,0.0336234,0.0407737,0.0237254,0.0479337,0.0281515,0.0371743,0.0219282,0.0385345,0.02836,0.0475362,0.0513538,0.0414176,0.0389326,0.0152968,0.0442025,0.00772191,0.0184947,0.0635386,0,0.0157485,0.0625033,0.0164527,0,0,0.0120516,0,0,0.0326866,0.048423,0.0481111,0.0307945,0.0175766,0.0313097,0.0188896,0.0377578,0.027417,0.0574951,0.063199,0.0629246,0.0624836,0.062256,0.02399,0.0348318,0.0181899,0.0183439,0.044327,0.016465,0,0,0,0,0,0,0,0,0,0,0
