Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x70,x71,x72,x73,,x74
All Timesteps RMSE,0.0349982,0.0480407,0,0,0,0,0,0,0.0452723,0,0.0242172,0.0556988,0,0,0.0126908,0,0,0.0331454,0.0322472,0.0364516,0.0214217,0.0506303,0.026541,0.0304252,0.0180978,0.0381079,0.0236289,0.0446815,0.0480231,0.0386805,0.0354282,0.0301023,0.0477775,0.00800299,0.0178106,0.0476087,0,0.0206648,0.0617116,0.0224385,0,0,0.0135058,0,0,0.034067,0.0464625,0.0501845,0.0382397,0.0320559,0.0364076,0.0261658,0.0471466,0.0379245,0.0595372,0.0576209,0.0597604,0.0628208,0.0359108,0.0314523,0.019003,0.0222006,0.0427048,0.0136908,0,0,0,0,0,0,0,0,0,0,0
0,0.0342917,0.0476327,0,0,0,0,0,0,0.0479394,0,0.0212804,0.0530536,0,0,0.015307,0,0,0.0352709,0.0241354,0.0316359,0.0193657,0.0471483,0.0291042,0.0315863,0.0220537,0.0344972,0.0190681,0.0435168,0.0472004,0.0390605,0.0374172,0.0119711,0.0438041,0.00812957,0.0226494,0.0263697,0,0.027416,0.0543556,0.0216184,0,0,0.0141987,0,0,0.0343944,0.0563677,0.0569192,0.0336216,0.0527218,0.0380257,0.0260852,0.0627275,0.0421053,0.0615824,0.0536557,0.0615726,0.0724118,0.0740386,0.0283998,0.0205791,0.0240794,0.0427695,0.0143892,0,0,0,0,0,0,0,0,0,0,0
1,0.0341925,0.047915,0,0,0,0,0,0,0.048388,0,0.0214181,0.0530169,0,0,0.0152285,0,0,0.0347877,0.0239745,0.0316864,0.0197557,0.0471737,0.0290684,0.0311213,0.0218031,0.0346888,0.0188626,0.0436675,0.0472071,0.0391861,0.0375399,0.0122429,0.0443332,0.00811199,0.0223623,0.0277189,0,0.030201,0.0547268,0.0217022,0,0,0.0142674,0,0,0.0342595,0.0531425,0.0628948,0.033993,0,0.038031,0.0259833,0.0634398,0.0463818,0.0593851,0.0499686,0.0591601,0.0709389,0.0707619,0.0283217,0.0207234,0.0242639,0.0431162,0.0141233,0,0,0,0,0,0,0,0,0,0,0
2,0.0343798,0.0479401,0,0,0,0,0,0,0.0485543,0,0.0216088,0.0525702,0,0,0.015035,0,0,0.0344824,0.0242378,0.0317202,0.0198265,0.0469942,0.0291078,0.0306427,0.0223613,0.034743,0.0186719,0.0436165,0.0471716,0.0392643,0.0376698,0.0121213,0.0447123,0.00793479,0.022105,0.0282491,0,0.0325067,0.0557306,0.0220409,0,0,0.0139972,0,0,0.0343397,0.0554815,0.064568,0.0352019,0,0.0383559,0.0260064,0.0634131,0.0429056,0.0546655,0.0476853,0.0579737,0.0683754,0.0736247,0.0283333,0.0207012,0.0243156,0.0433166,0.0139603,0,0,0,0,0,0,0,0,0,0,0
3,0.0344996,0.0479441,0,0,0,0,0,0,0.0487868,0,0.0216872,0.0524463,0,0,0.0148961,0,0,0.0343147,0.0241873,0.0318063,0.0198075,0.0468656,0.0292093,0.0303293,0.0225535,0.0346771,0.0186977,0.0435663,0.0470587,0.0393074,0.0378181,0.0122358,0.0449382,0.00792165,0.0219162,0.0281005,0,0.0322928,0.0561611,0.0222293,0,0,0.0137506,0,0,0.0343246,0.0553382,0.0647843,0.0354332,0,0.0386802,0.0260244,0.0622043,0.0419189,0.0540464,0.047599,0.0579044,0.068193,0.0722781,0.0283634,0.0208061,0.0243411,0.0433392,0.0139061,0,0,0,0,0,0,0,0,0,0,0
4,0.0347146,0.0479216,0,0,0,0,0,0,0.0490358,0,0.0217765,0.0524861,0,0,0.0146786,0,0,0.0341416,0.0242629,0.0318664,0.0198538,0.0467449,0.0291675,0.0299891,0.0226635,0.0346088,0.0187721,0.0435033,0.0469277,0.0392727,0.0379011,0.0123075,0.0451928,0.00802246,0.0216183,0.0277082,0,0.0318186,0.05653,0.0224346,0,0,0.0135412,0,0,0.0342744,0.0553447,0.0646269,0.03553,0,0.0389973,0.0260678,0.0607667,0.0409266,0.0541853,0.0478037,0.0579859,0.0680213,0.0712773,0.0284668,0.020869,0.0243829,0.0432961,0.0137793,0,0,0,0,0,0,0,0,0,0,0
5,0.0349558,0.0478329,0,0,0,0,0,0,0.0492754,0,0.0217928,0.0525633,0,0,0.014429,0,0,0.0338571,0.0244253,0.031743,0.0198981,0.0466694,0.029008,0.0296083,0.0225488,0.0344879,0.0188888,0.0435276,0.0469013,0.0391237,0.0378339,0.0123477,0.0455096,0.00793787,0.0212443,0.0279383,0,0.0313347,0.0566839,0.0226643,0,0,0.0132879,0,0,0.0342308,0.0552914,0.0642844,0.0357349,0,0.0392209,0.0260933,0.0589934,0.0400169,0.0544416,0.0482397,0.0583727,0.067892,0.0704712,0.0286411,0.0208274,0.0243719,0.0432013,0.0136106,0,0,0,0,0,0,0,0,0,0,0
6,0.0351746,0.0476978,0,0,0,0,0,0,0.0491391,0,0.0217926,0.0529203,0,0,0.0141834,0,0,0.0335861,0.0246811,0.0315025,0.0199195,0.046615,0.0287507,0.0292529,0.0217608,0.0344088,0.0190308,0.0434378,0.0470476,0.039098,0.0377749,0.0122264,0.0459293,0.00787477,0.02082,0.0287384,0,0.0309345,0.0567179,0.0228765,0,0,0.0130051,0,0,0.0341293,0.0550124,0.064361,0.0359397,0,0.0393002,0.0260721,0.0572498,0.0392983,0.0544736,0.0487196,0.0585263,0.0677323,0.0694525,0.0288457,0.0207667,0.0242284,0.0430302,0.0134465,0,0,0,0,0,0,0,0,0,0,0
7,0.035392,0.0476083,0,0,0,0,0,0,0.0489714,0,0.0218531,0.0532949,0,0,0.0140344,0,0,0.0333309,0.0249692,0.0314043,0.0199615,0.0464636,0.0284301,0.0289157,0.0204469,0.0344674,0.0188055,0.0434759,0.0471225,0.0391265,0.0378611,0.0122029,0.0463733,0.00784735,0.0203269,0.0291931,0,0.0305967,0.0568319,0.0230434,0,0,0.0127501,0,0,0.0340258,0.0545888,0.0643938,0.0361391,0,0.0393137,0.0259576,0.0556033,0.0387486,0.0545324,0.0494809,0.0584662,0.0675577,0.0686043,0.0291323,0.0207125,0.024028,0.0428649,0.0133066,0,0,0,0,0,0,0,0,0,0,0
8,0.0356054,0.0475835,0,0,0,0,0,0,0.0486179,0,0.022095,0.053675,0,0,0.0138649,0,0,0.0330948,0.0252079,0.0319918,0.0199983,0.0461973,0.028033,0.0286106,0.0198298,0.034664,0.0185861,0.043812,0.0471275,0.039197,0.0379893,0.0123532,0.0467591,0.00784526,0.0199047,0.0291888,0,0.0301746,0.0568767,0.0231563,0,0,0.0125056,0,0,0.0338759,0.0541221,0.0641407,0.0363398,0,0.0393331,0.0257913,0.0540916,0.0386471,0.0547894,0.0500773,0.0586851,0.0673094,0.0678428,0.0294837,0.0206571,0.0238242,0.0427548,0.0131951,0,0,0,0,0,0,0,0,0,0,0
