Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LPSI,LSHO,LTHI,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x70,x71,x72,x73,LTHIP,LKNE,RKNE,IMUR_M
All Timesteps RMSE,0.034393,0.0472288,0,0,0,0,0,0.0405411,0,0.0261035,0.05604,0,0,0.0165684,0,0,0.0368456,0.0309329,0.0373836,0.0266014,0.0242813,0.0295267,0.0198489,0.0397126,0.0423682,0.0460697,0.0360358,0.0334395,0.0293121,0.0466161,0.0172725,0.0198898,0.048342,0,0.018822,0.0621366,0.0166477,0,0,0.013078,0,0,0.0340211,0.0487036,0.0491005,0.0345858,0.0294913,0.0218673,0.0432578,0.0379778,0.0642488,0.0612376,0.0599673,0.061111,0.063767,0.0346003,0.0324508,0.0201826,0.0214041,0.0419271,0.0132931,0,0,0,0,0,0,0,0,0,0.021795,0.0523059,0.0307711,0
0,0.036665,0.0467872,0,0,0,0,0,0.0284291,0,0.0219816,0.0530349,0,0,0.0149168,0,0,0.0356358,0.0396432,0.043059,0.0262294,0.0216623,0.0275321,0.0717403,0.0464837,0.0485461,0.050724,0.0398109,0.0349025,0.0306325,0.0481383,0.0140742,0.0204045,0.0562812,0,0.0188719,0.0672822,0.0172805,0,0,0.0108555,0,0,0.0332549,0.0431102,0.0424518,0.0386997,0.0278853,0.0189389,0.0380225,0.0378502,0.0625465,0.0607919,0.0589278,0.0593776,0.0603563,0.0195046,0.034026,0.0222954,0.0209168,0.0417488,0.0137657,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0371472,0.0471115,0,0,0,0,0,0.0320737,0,0.0251636,0.0530788,0,0,0.014306,0,0,0.0354383,0.0382759,0.0462455,0.0247083,0.0220393,0.0272577,0.0146822,0.0459484,0.0452327,0.0475208,0.0373656,0.0338618,0.0295109,0.0485771,0.0137689,0.0198986,0.0653206,0,0.0209088,0.0729429,0.0176457,0,0,0.0109995,0,0,0.0329633,0.0396519,0.0473068,0.0406256,0.0272861,0.0174325,0.0398151,0,0.0652007,0.057635,0.0563019,0.055549,0.0567101,0.0295128,0.0348812,0.02125,0.0200157,0.0425539,0.0132994,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0367618,0.047395,0,0,0,0,0,0.0344892,0,0.0251142,0.0547678,0,0,0.0143222,0,0,0.0366195,0.0382839,0.0466302,0.0261773,0.0221686,0.0279856,0.0207795,0.0461619,0.0446665,0.0472541,0.037121,0.0336848,0.0267575,0.048376,0.0134475,0.0197172,0.0565617,0,0.0187208,0.0739904,0.0165361,0,0,0.0117686,0,0,0.0326991,0.0411705,0.0502564,0.0387538,0.0254781,0.017046,0.0413739,0,0.0653398,0.0576268,0.0563162,0.0573479,0.0578714,0.0202169,0.0346242,0.0213693,0.020204,0.0428633,0.013409,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0366612,0.0470959,0,0,0,0,0,0.0369565,0,0.0242979,0.0560684,0,0,0.014366,0,0,0.035865,0.0356442,0.0452372,0.0243784,0.0221382,0.0277353,0.0179446,0.0452302,0.0458494,0.0488025,0.0384132,0.0347866,0.0223308,0.0480273,0.0138047,0.020577,0.0591271,0,0.0203639,0.0702708,0.0173274,0,0,0.0112749,0,0,0.0329929,0.0442584,0.0425504,0.0370034,0.027007,0.0180699,0.0407442,0.036782,0.0643005,0.0600052,0.0582907,0.0581088,0.0592324,0.0220322,0.0342298,0.0214392,0.0206366,0.0425255,0.0133769,0,0,0,0,0,0,0,0,0,0.0250983,0,0,0
4,0.0369259,0.0471514,0,0,0,0,0,0.040619,0,0.0245282,0.0554874,0,0,0.0137677,0,0,0.0355939,0.0374515,0.0446965,0.0243521,0.0218068,0.0270396,0.0187434,0.0450546,0.0451542,0.0486534,0.0381474,0.0345956,0.0179647,0.0484692,0.0133745,0.0202942,0.0666232,0,0.0215338,0.0721163,0.017864,0,0,0.0112285,0,0,0.0330129,0.0408382,0.0462175,0.0397683,0.0276296,0.0183631,0.040509,0,0.0651449,0.0580618,0.0568596,0.0556055,0.0567278,0.0308987,0.0342739,0.0214797,0.0207168,0.0428623,0.0129498,0,0,0,0,0,0,0,0,0,0.0266045,0,0,0
5,0.0362526,0.0472064,0,0,0,0,0,0.0385185,0,0.0227639,0.0547028,0,0,0.0141768,0,0,0.0360904,0.0365137,0.0411863,0.0228601,0.0223438,0.0280778,0.017915,0.0408111,0.0468569,0.0502768,0.0407317,0.0373616,0.0207227,0.0476716,0.0133979,0.0215515,0.0591899,0,0.0210319,0.0711225,0.0171968,0,0,0.0116337,0,0,0.0330631,0.0438337,0.0426809,0.0369936,0.0272239,0.018926,0.0406531,0.0363991,0.0647574,0.0599708,0.0579707,0.0576536,0.0586608,0.0221095,0.0337604,0.0217,0.0211357,0.0426051,0.0133719,0,0,0,0,0,0,0,0,0,0,0.0541738,0,0
6,0.0365298,0.0472854,0,0,0,0,0,0.0479981,0,0.0246126,0.0581842,0,0,0.0139206,0,0,0.0359013,0.035701,0.0428882,0.0251313,0.022457,0.0276157,0.020026,0.0439619,0.0446061,0.0487731,0.0377755,0.0347695,0.0141426,0.0480227,0.0130692,0.0212866,0.0605684,0,0.0212805,0.0689921,0.017615,0,0,0.0116372,0,0,0.0330677,0.0449611,0.0423212,0.0366905,0.0275835,0.0187928,0.0404179,0.0357716,0.0641883,0.0603228,0.058389,0.0580177,0.0587604,0.0226171,0.0339487,0.0214087,0.0209376,0.0429705,0.0130517,0,0,0,0,0,0,0,0,0,0.028012,0,0,0
7,0.0361097,0.0472059,0,0,0,0,0,0.0472802,0,0.0231904,0.0569146,0,0,0.0136815,0,0,0.0360471,0.0355337,0.0400983,0.0228713,0.0222644,0.0278108,0.0197661,0.0405833,0.0466419,0.0504862,0.0398778,0.0373413,0.0140312,0.0477437,0.012183,0.0219892,0.0614444,0,0.0212068,0.0680433,0.0176054,0,0,0.0117241,0,0,0.0332654,0.0452048,0.042211,0.0365444,0.0284819,0.0199204,0.0402258,0.0355467,0.0640024,0.0607899,0.0587351,0.0581739,0.0589327,0.0232962,0.0331154,0.0214809,0.0217719,0.0426538,0.0132191,0,0,0,0,0,0,0,0,0,0.0289116,0.0514874,0,0
8,0.0362282,0.0472789,0,0,0,0,0,0.0502972,0,0.0236353,0.0564714,0,0,0.0135196,0,0,0.0361541,0.0364202,0.0400439,0.0232107,0.0225933,0.0283793,0.0205297,0.0406854,0.0462584,0.0502125,0.0397101,0.0378626,0.0129696,0.047643,0.0116215,0.0224669,0.0603768,0,0.0216939,0.0696785,0.0174443,0,0,0.0119472,0,0,0.0329844,0.0443349,0.042564,0.0367757,0.027889,0.0195711,0.0404944,0.0361685,0.0646033,0.0603615,0.0582497,0.0577321,0.0587153,0.0224831,0.0332924,0.0207258,0.021482,0.0428096,0.0132525,0,0,0,0,0,0,0,0,0,0,0.0504819,0,0
