Timestep,C7,CLAV,IMUL_L,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,x76,IMUL_R,IMUL_M,IMUR_M,
All Timesteps RMSE,0.0366477,0.0466928,0,0,0,0.0374531,0,0.0260264,0.0539985,0,0,0.0128878,0,0,0.033128,0.0301307,0.0383582,0.0206837,0.0472704,0.0271515,0.0325428,0.0203405,0.0274754,0.0307798,0.0222333,0.0439295,0.0471195,0.0378902,0.0348777,0.0282732,0.047159,0.00807119,0.0189626,0.0524345,0,0.0182617,0.0604699,0.0190423,0,0,0.012141,0,0,0.0325362,0.051343,0.0500567,0.0350849,0.0270168,0.0345786,0.0202223,0.034988,0.0209906,0.050819,0.0517297,0.0621874,0.060845,0.0615691,0.0641687,0.0337965,0.0378048,0.0153851,0.020194,0.0437729,0.0255977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0407755,0.0447367,0,0,0,0.0388887,0,0.0273022,0.0579888,0,0,0.0106103,0,0,0.0320059,0.021896,0.03521,0.0215032,0.0452408,0.0252433,0.0289724,0.0215575,0.025367,0.0269845,0.0175392,0.0433006,0.0460071,0.0370106,0.0353421,0.0150831,0.0506731,0.00856776,0.0178518,0.0382039,0,0.0127138,0.0570815,0.0218495,0,0,0.0131508,0,0,0.0313716,0.0567414,0.050955,0.0355597,0.0334908,0.0368956,0.0183081,0.0330952,0.0189414,0.0487814,0.0479688,0.0673218,0.0660551,0.0695869,0.0720536,0.0284301,0.038705,0.0139084,0.0177038,0.0422162,0.0272377,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0402726,0.0451098,0,0,0,0.0396708,0,0.0273708,0.057769,0,0,0.0106453,0,0,0.0318542,0.0222619,0.0353095,0.0212453,0.0452331,0.0247383,0.0288779,0.0217263,0.0250018,0.0269966,0.0179193,0.0430715,0.0458873,0.0370579,0.0353667,0.0143996,0.0508513,0.00839062,0.0177705,0.0421485,0,0.012346,0.0573673,0.0216314,0,0,0.0132185,0,0,0.0314622,0.0562742,0.051062,0.0356846,0.0324137,0.0366371,0.0183211,0.0326095,0.0196913,0.0488316,0.047969,0.0676651,0.0665478,0.0698697,0.071772,0.0225732,0.0386706,0.0141898,0.0176926,0.0425397,0.0267637,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0401735,0.0452938,0,0,0,0.0403459,0,0.0273575,0.0577823,0,0,0.0106631,0,0,0.0317756,0.0226541,0.0352217,0.0210352,0.0452273,0.0244319,0.0288908,0.0218173,0.0248052,0.0268889,0.0183699,0.0427186,0.0457266,0.037104,0.035441,0.0139385,0.0509773,0.00841817,0.0175834,0.0510879,0,0.014174,0.0578929,0.0215675,0,0,0.0132095,0,0,0.0316284,0.055049,0.0551551,0.0355327,0,0.0364949,0.0185512,0.0312887,0.0248505,0.0511637,0.0483331,0.0663609,0.0655725,0.0679801,0.0696485,0.0151975,0.0386279,0.0142529,0.0177664,0.0427369,0.0265455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0401907,0.0453994,0,0,0,0.0414933,0,0.0274974,0.0575542,0,0,0.0107066,0,0,0.0315477,0.0235446,0.0350354,0.02051,0.0452357,0.0238663,0.0288949,0.0221044,0.0243453,0.0267759,0.0191673,0.0426457,0.0457392,0.0371133,0.0354584,0.0131967,0.0510347,0.00843343,0.017166,0.0550001,0,0.013649,0.0589962,0.0215726,0,0,0.0132241,0,0,0.0315356,0.0541067,0.054037,0.0358092,0,0.036228,0.0188661,0.0311618,0.0250794,0.0511296,0.0488157,0.066875,0.0663918,0.0681916,0.0695569,0.0144708,0.038581,0.0142087,0.0177964,0.042874,0.026243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0401953,0.0455299,0,0,0,0.0417895,0,0.0276596,0.057124,0,0,0.0106614,0,0,0.03156,0.0241037,0.034917,0.0200634,0.045263,0.0238509,0.0290449,0.0223668,0.0240203,0.0266833,0.0195562,0.0428169,0.0457162,0.0372211,0.0355717,0.0127488,0.0509087,0.00844586,0.0171705,0.0545336,0,0.0114736,0.0595311,0.0214878,0,0,0.0132022,0,0,0.031461,0.054387,0.0502547,0.0356297,0.0289517,0.03603,0.0187734,0.0318069,0.0213838,0.048885,0.0488888,0.0687279,0.0684604,0.0697499,0.0711157,0.0138075,0.0387099,0.0140893,0.0177233,0.0429997,0.0261935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0402826,0.045635,0,0,0,0.0426096,0,0.0278793,0.0568189,0,0,0.0105422,0,0,0.0315888,0.0249152,0.034965,0.0195856,0.0451997,0.0238033,0.0289249,0.0226254,0.0237411,0.0266503,0.0200345,0.0431961,0.0457789,0.0372015,0.0356557,0.0123479,0.0508844,0.00842193,0.0172416,0.0581342,0,0.0114022,0.0603405,0.0214663,0,0,0.0130992,0,0,0.0314962,0.0537331,0.0489981,0.0360646,0.0277115,0.036173,0.0187389,0.0319009,0.0215122,0.0485575,0.0494479,0.0688531,0.0687446,0.0697272,0.0709366,0.0147923,0.0387123,0.0140773,0.0177259,0.0431461,0.0259999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0406257,0.0457351,0,0,0,0.0443403,0,0.0282517,0.0563606,0,0,0.010428,0,0,0.0311642,0.0272429,0.0351796,0.0192475,0.0449499,0.023081,0.0280479,0.0237042,0.0237244,0.0267897,0.0211386,0.0431996,0.0458554,0.0370204,0.0357959,0.011888,0.0515301,0.00863368,0.0163738,0.06309,0,0.013577,0.0637674,0.0216948,0,0,0.0127466,0,0,0.0315752,0.0501943,0.0497217,0.0395393,0.0297179,0.037141,0.0190316,0.0317853,0.0250111,0,0.0514938,0.0669483,0.0663941,0.0676608,0.0686784,0.0191044,0.0387466,0.0140748,0.0179512,0.043463,0.0251295,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0406066,0.0458466,0,0,0,0.0455152,0,0.028343,0.0558092,0,0,0.0103979,0,0,0.0312208,0.02815,0.0349956,0.018931,0.0447474,0.0230883,0.0281749,0.0240704,0.0235387,0.0266811,0.0216489,0.0430207,0.0459882,0.0368492,0.0358588,0.0116134,0.0515437,0.00870881,0.0164109,0.0654154,0,0.0139537,0.0649763,0.0216645,0,0,0.0126961,0,0,0.0315108,0.0497502,0.0490503,0.0399169,0.0285435,0.0372805,0.0190866,0.0321502,0.0244757,0,0.0520559,0.0671602,0.0662849,0.067744,0.0686266,0.0212662,0.0387397,0.0141311,0.0179311,0.0436425,0.0250244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.040592,0.0459731,0,0,0,0.0464231,0,0.0283207,0.0551298,0,0,0.0104389,0,0,0.0312491,0.0290016,0.0348702,0.0187766,0.0445265,0.0231264,0.0283634,0.0243307,0.0232388,0.0266195,0.0221243,0.0430052,0.0461183,0.0370241,0.0358182,0.0114038,0.0516356,0.00864198,0.0164897,0.0669433,0,0.0144798,0.0653967,0.0216453,0,0,0.0126127,0,0,0.0313703,0.0493767,0.0483568,0.0403916,0.0276597,0.037361,0.0191922,0.032509,0.024212,0,0.0524947,0.0672337,0.0661455,0.067448,0.0683149,0.0227977,0.0387394,0.0141446,0.0179249,0.0438164,0.0249397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
