Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x71,x72,x73,x74,IMUR_M,x75
All Timesteps RMSE,0.0311727,0.0522104,0,0,0,0,0,0.0409376,0,0.0258297,0.0529417,0,0,0.0116614,0,0,0.0333664,0.0339366,0.0385241,0.0207927,0.0498989,0.0276261,0.0305877,0.019925,0.0265633,0.0355678,0.0262332,0.0446571,0.0477524,0.0383906,0.035676,0.0282078,0.047954,0.00828534,0.0174701,0.0567415,0,0.0184652,0.0644824,0.0196536,0,0,0.0119373,0,0,0.0336478,0.0480121,0.0475767,0.0363246,0.0263479,0.034908,0.0185843,0.0387599,0.0240681,0.0583432,0.0612514,0.0593682,0.0603036,0.0621856,0.0309528,0.0368818,0.0174021,0.0219488,0.0466403,0.0163457,0,0,0,0,0,0,0,0,0,0,0
0,0.0323974,0.0529266,0,0,0,0,0,0.0416778,0,0.0262639,0.0502797,0,0,0.0107277,0,0,0.0340142,0.0365177,0.0448178,0.0186579,0.0497188,0.0269285,0.0264509,0.0145862,0.022077,0.0353066,0.0214421,0.0383325,0.0424221,0.0322587,0.0269674,0.020355,0.0494121,0.00890423,0.0189178,0.0696119,0,0.0140388,0.0629175,0.0217476,0,0,0.0110614,0,0,0.0340417,0.0473268,0.0414016,0.0381399,0.0252242,0.0400226,0.0233562,0.0345752,0.0229605,0.0529011,0.0622718,0.061214,0.0615398,0.0622205,0.0262452,0.0349849,0.0191054,0.0235386,0.0486663,0.0169856,0,0,0,0,0,0,0,0,0,0,0
1,0.0318447,0.0532796,0,0,0,0,0,0.0384336,0,0.0263126,0.0499607,0,0,0.010993,0,0,0.0340748,0.0366216,0.0435441,0.0191997,0.0511784,0.027229,0.0265745,0.0138651,0.0222355,0.0366751,0.0219982,0.0386406,0.0426427,0.032414,0.026515,0.0196413,0.049206,0.00875551,0.019369,0.0683664,0,0.0138623,0.0624166,0.0216849,0,0,0.0112613,0,0,0.0342395,0.0470371,0.0412621,0.0385895,0.0251757,0.0404312,0.0235666,0.034223,0.0229469,0.0526716,0.0621013,0.0610609,0.0614368,0.0621594,0.0247023,0.0345211,0.0194,0.0238531,0.0489212,0.0166152,0,0,0,0,0,0,0,0,0,0,0
2,0.0317755,0.0533141,0,0,0,0,0,0.0352162,0,0.0267508,0.0512045,0,0,0.0107478,0,0,0.0338142,0.037429,0.0435549,0.0202369,0.0532017,0.0266198,0.0261753,0.013702,0.0226721,0.038347,0.0235044,0.0385875,0.0428454,0.0322557,0.0257173,0.0205716,0.0492493,0.00847865,0.0190208,0.0669545,0,0.016055,0.0631011,0.0220741,0,0,0.0114074,0,0,0.0344796,0.0442423,0.0433232,0.0415834,0.0259935,0.0415618,0.0243283,0.0369895,0.0235593,0,0.0596651,0.0586337,0.0596292,0.0603274,0.0229521,0.0341169,0.0196448,0.0244574,0.0490508,0.0161764,0,0,0,0,0,0,0,0,0,0,0
3,0.031582,0.053243,0,0,0,0,0,0.0326433,0,0.0272121,0.0510442,0,0,0.0107653,0,0,0.0338854,0.0372379,0.0428086,0.0204627,0.0544275,0.0268974,0.0268292,0.0134898,0.0229252,0.038643,0.0241586,0.0389206,0.0434724,0.0322515,0.0256326,0.022351,0.0487134,0.008428,0.0191458,0.0665178,0,0.0161235,0.0629391,0.021989,0,0,0.0117435,0,0,0.0346264,0.0441729,0.0434866,0.0420288,0.0254603,0.0420144,0.0245731,0.0363751,0.0236279,0,0.0595116,0.0584149,0.0594995,0.0603881,0.023038,0.0338878,0.0195633,0.0247435,0.0488873,0.0162066,0,0,0,0,0,0,0,0,0,0,0
4,0.031416,0.0533818,0,0,0,0,0,0.0313261,0,0.0274379,0.0513902,0,0,0.0113591,0,0,0.0329961,0.0363149,0.0415997,0.0213326,0.0568733,0.0270464,0.028929,0.0127667,0,0.0402534,0.0239551,0.039286,0.0435916,0.0317383,0.0253765,0.0238113,0.0482875,0.00823332,0.0174613,0.0663051,0,0.0164765,0.0630796,0.0216406,0,0,0.0117834,0,0,0.0346052,0.0440955,0.0437257,0.0421771,0.0251489,0.0418663,0.0243137,0.0358366,0.0239538,0,0.0592493,0.0581173,0.0596224,0.0603888,0.0231093,0.0341783,0.0192469,0.0244132,0.0489849,0.0158621,0,0,0,0,0,0,0,0,0,0,0
5,0.0309758,0.0530245,0,0,0,0,0,0.0296269,0,0.0274291,0.0495593,0,0,0.0120572,0,0,0.0335723,0.0357263,0.0407121,0.0199928,0.0557839,0.0277439,0.0300803,0.0130593,0.0233434,0.0402679,0.0250395,0.0402595,0.0441908,0.0318783,0.0264511,0.026617,0.0472582,0.0083035,0.0184153,0.0668771,0,0.0145142,0.0618478,0.0213774,0,0,0.0119878,0,0,0.0348498,0.0463136,0.0419377,0.0397277,0.0232444,0.0414146,0.0243304,0.0324475,0.0238548,0.0509698,0.0615429,0.0603939,0.0616825,0.0623942,0.0235696,0.0336473,0.0195703,0.0247828,0.0482712,0.0168175,0,0,0,0,0,0,0,0,0,0,0
6,0.0308398,0.0529734,0,0,0,0,0,0.0283107,0,0.0271958,0.0494469,0,0,0.0122867,0,0,0.0333467,0.0353307,0.0409372,0.0201701,0.0562386,0.0278061,0.0303802,0.0131765,0.0237951,0.0411891,0.0257365,0.0405763,0.044541,0.0328812,0.0268256,0.0281704,0.0471579,0.0081539,0.0180802,0.0667897,0,0.0148027,0.0616177,0.0214318,0,0,0.0118721,0,0,0.0347226,0.0464021,0.0422485,0.0396206,0.0230006,0.0411756,0.02414,0.0320765,0.02432,0.051015,0.0615173,0.0603152,0.0618854,0.0624139,0.0227492,0.0337363,0.0195299,0.0246275,0.0481908,0.0170287,0,0,0,0,0,0,0,0,0,0,0
7,0.0307772,0.0529021,0,0,0,0,0,0.0279743,0,0.0268416,0.0492438,0,0,0.0124446,0,0,0.0331269,0.0350126,0.0413839,0.0207242,0.0563514,0.0275866,0.0304785,0.0131357,0.0237184,0.0416959,0.0264008,0.0410922,0.0450439,0.0340017,0.0274065,0.0292908,0.0470983,0.00817603,0.0177133,0.0666958,0,0.0151331,0.0616139,0.0213074,0,0,0.0117682,0,0,0.0344874,0.0464215,0.0424116,0.0396012,0.023011,0.0406119,0.0238087,0.0319844,0.0244694,0.0512914,0.06139,0.0601594,0.061931,0.0623699,0.0226513,0.0338867,0.0194518,0.0243919,0.0481005,0.0171888,0,0,0,0,0,0,0,0,0,0,0
8,0.0305894,0.0529359,0,0,0,0,0,0,0,0.0257062,0.0500694,0,0,0.012242,0,0,0.0338574,0.0348234,0.0427467,0.0224388,0.056902,0.026927,0.0305945,0.0127196,0.0237605,0.0425951,0.0274608,0.0400269,0.0449055,0.0323211,0.0250859,0.0283467,0.0467758,0.0081449,0.0174667,0.0584104,0,0.0126401,0.0609354,0.0202231,0,0,0.0123517,0,0,0.0341393,0.0478111,0.0447728,0.0382303,0.0200301,0.038858,0.0232049,0.0331032,0.0211211,0.0513012,0.062343,0.0614501,0.0637555,0.0635074,0.0134478,0.0340697,0.0194733,0.0241612,0.0479791,0.0171503,0,0,0,0,0,0,0,0,0,0,0
