Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x71,x72,x73,x74,x75
All Timesteps RMSE,0.037543,0.045285,0,0,0,0,0,0,0.0393255,0,0.0265233,0.0533754,0,0,0.0118614,0,0,0.0309111,0.0300004,0.0371958,0.0225787,0.0474971,0.0266722,0.0287733,0.0204292,0.0289263,0.0337764,0.0222403,0.0458526,0.0489672,0.0396596,0.0368502,0.0277545,0.0497744,0.00810426,0.0154653,0.05094,0,0.0177193,0.0607488,0.0212663,0,0,0.0116277,0,0,0.0331237,0.0527135,0.0494477,0.0343922,0.0290755,0.0324941,0.0192092,0.0399777,0.0288741,0.0596065,0.0623084,0.0605138,0.0610894,0.0641095,0.0363827,0.0374228,0.0177682,0.0179845,0.0407219,0.0237608,0,0,0,0,0,0,0,0,0,0
0,0.040367,0.0447134,0,0,0,0,0,0,0.0199814,0,0.0295881,0.0503132,0,0,0.0102301,0,0,0.0303735,0.0383939,0.0487162,0.0223621,0.0536338,0.0254357,0.0270828,0.0125064,0.028681,0.038717,0.0246644,0.0489081,0.051028,0.0432569,0.0400626,0.0603258,0.0511579,0.00857624,0.0137915,0.0475151,0,0.0133238,0.0638695,0.0222538,0,0,0.0128382,0,0,0.0318531,0.0458811,0.044671,0.032001,0.0226478,0.0299344,0.0217341,0.0351308,0.0267201,0.0549999,0.0622006,0.060905,0.0620397,0.062592,0.0144795,0.0367236,0.0180327,0.0176095,0.04012,0.0248403,0,0,0,0,0,0,0,0,0,0
1,0.0399298,0.0451063,0,0,0,0,0,0,0.0210073,0,0.0288918,0.0500807,0,0,0.0100664,0,0,0.0304213,0.0385927,0.0484809,0.0224283,0.0549784,0.025489,0.0268718,0.0126545,0.0295162,0.0385604,0.0245646,0.0492957,0.0514791,0.0434437,0.0404627,0.0599777,0.051103,0.00876509,0.0135456,0.0474607,0,0.0134235,0.0644326,0.0223169,0,0,0.0128403,0,0,0.0318824,0.0462248,0.0449269,0.0319104,0.0226719,0.0295683,0.0214044,0.0353361,0.0264842,0.0552481,0.0621444,0.0607192,0.0617968,0.0624213,0.0141506,0.0367543,0.0179033,0.0176393,0.0404117,0.0241941,0,0,0,0,0,0,0,0,0,0
2,0.0399149,0.0452214,0,0,0,0,0,0,0.0210854,0,0.0282013,0.0498778,0,0,0.00999051,0,0,0.0304194,0.0385132,0.0477645,0.0223338,0.0554556,0.0256074,0.0268216,0.0128782,0.0306676,0.0385668,0.0241282,0.0498692,0.0517097,0.0436579,0.0407985,0.059398,0.0511089,0.00881596,0.0134585,0.0476071,0,0.0135982,0.0649082,0.0222523,0,0,0.0128715,0,0,0.0318698,0.0462884,0.0450554,0.0318233,0.0227451,0.029345,0.0212548,0.0355598,0.0261343,0.0554361,0.0620609,0.0605998,0.0615878,0.0622259,0.0141417,0.0367791,0.017782,0.0176032,0.0405135,0.0240384,0,0,0,0,0,0,0,0,0,0
3,0.0399421,0.0452335,0,0,0,0,0,0,0.0214402,0,0.027611,0.049906,0,0,0.0099683,0,0,0.0303382,0.038346,0.0470237,0.0221573,0.0556737,0.0257641,0.0267909,0.0132853,0.031995,0.0386953,0.0235386,0.0505036,0.0519269,0.0437812,0.0411553,0.0580495,0.0511656,0.00881562,0.0134673,0.0479207,0,0.0137287,0.0651148,0.0222143,0,0,0.0129107,0,0,0.0318793,0.0461915,0.0452953,0.0317051,0.022821,0.029299,0.0212177,0.0356812,0.0256564,0.0555098,0.0619512,0.0605446,0.0614793,0.062028,0.0142823,0.0368559,0.0177104,0.0175747,0.0405498,0.0240931,0,0,0,0,0,0,0,0,0,0
4,0.0400868,0.0452321,0,0,0,0,0,0,0.0226952,0,0.0279846,0.050688,0,0,0.00979741,0,0,0.0302218,0.0372778,0.0477964,0.0229145,0,0.025984,0.0267809,0.0132094,0.039186,0.0423698,0.0224506,0.0496437,0.0504008,0.0417764,0.0397369,0.0510779,0.0512712,0.00886688,0.0135444,0.047847,0,0.0142807,0.0660748,0.0220732,0,0,0.0129588,0,0,0.0318428,0.0458538,0.0456451,0.031614,0.0230508,0.0286593,0.0204487,0.0359586,0.025784,0.0559158,0.0615883,0.0600518,0.0611378,0.0615968,0.01441,0.0373961,0.0173184,0.0170451,0.0407602,0.0237519,0,0,0,0,0,0,0,0,0,0
5,0.039948,0.0450398,0,0,0,0,0,0,0.0221251,0,0.0261799,0.0498635,0,0,0.00953907,0,0,0.0306366,0.0376238,0.0451585,0.0213852,0.0556259,0.0257887,0.0263801,0.013984,0.03447,0.0388375,0.0231609,0.0513231,0.0525682,0.0439607,0.0413826,0.0534005,0.0509758,0.00856964,0.0141295,0.0483042,0,0.0142379,0.0662365,0.022288,0,0,0.0125285,0,0,0.0320151,0.0462955,0.0456953,0.0312439,0.0228638,0.0288649,0.0206863,0.0361294,0.0255454,0.0560345,0.0617522,0.0602233,0.0612229,0.0616629,0.0146743,0.0368767,0.0179173,0.0176117,0.040349,0.0242611,0,0,0,0,0,0,0,0,0,0
6,0.0402439,0.0451998,0,0,0,0,0,0,0.0243793,0,0.0266069,0.0510867,0,0,0.00971429,0,0,0.0301458,0.0364499,0.046029,0.0224018,0,0.0258657,0.0266223,0.0144629,0.0407695,0.0420963,0.0223656,0.0496122,0.0511846,0.0419599,0.0395506,0.045011,0.0512743,0.00888541,0.0135992,0.0483274,0,0.0146786,0.0663938,0.0222131,0,0,0.0127302,0,0,0.0318712,0.0462027,0.0461401,0.0313163,0.0228899,0.0284506,0.0201269,0.0363986,0.0257093,0.0562646,0.0613947,0.0599334,0.0610023,0.0613653,0.0147936,0.0374856,0.0173198,0.0170227,0.0405692,0.0238429,0,0,0,0,0,0,0,0,0,0
7,0.0400839,0.045191,0,0,0,0,0,0,0.0238861,0,0.0247929,0.0503257,0,0,0.00973791,0,0,0.0302013,0.0367944,0.0429317,0.0211545,0.0529103,0.0256979,0.0265082,0.0147205,0.0357697,0.038512,0.023426,0.0509208,0.0530844,0.0439122,0.0408026,0.0460601,0.0511968,0.00876199,0.0136421,0.0488166,0,0.0145594,0.0659138,0.0224599,0,0,0.0125087,0,0,0.0320256,0.0466729,0.0461777,0.0312869,0.0226573,0.0288875,0.0205265,0.036471,0.0252088,0.0563167,0.0616583,0.0601999,0.061093,0.0614564,0.0148413,0.0370685,0.0177832,0.0174582,0.0403235,0.0242969,0,0,0,0,0,0,0,0,0,0
8,0.0401304,0.0450383,0,0,0,0,0,0,0.025067,0,0.0239826,0.0505995,0,0,0.00991256,0,0,0.0300525,0.0366643,0.041426,0.0211515,0.0518271,0.0257861,0.0266313,0.0155189,0.0355295,0.0380089,0.0242107,0.0506212,0.0530771,0.0437615,0.0405075,0.0420086,0.0513627,0.00890082,0.0136425,0.0489159,0,0.0150156,0.0656429,0.0224879,0,0,0.0126608,0,0,0.0319085,0.0468489,0.0462891,0.0310286,0.0227504,0.0288302,0.0203199,0.0367018,0.0246234,0.0565086,0.0615855,0.0602237,0.0610543,0.0614364,0.0150939,0.0369696,0.0178593,0.017627,0.0402317,0.0244794,0,0,0,0,0,0,0,0,0,0
