Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RPSI,RSHO,RTHI,RTHIA,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x71,x72,x73,x74,RTHIP,RKNE,IMUL_R,IMUR_M,x75
All Timesteps RMSE,0.0376422,0.0467843,0,0,0,0,0.042653,0,0.0270062,0.0528104,0,0,0.0127646,0,0,0.0331318,0.0315851,0.0383311,0.0215256,0.0488747,0.0280899,0.033907,0.0215531,0.0283951,0.0421824,0.0246504,0.0465463,0.0495979,0.0404819,0.0372435,0.025355,0.0474518,0.00869244,0.0183604,0.0573152,0,0.0186236,0.0606289,0.0201766,0,0,0.0130162,0,0,0.0330105,0.0513259,0.0493191,0.035566,0.035481,0.0200745,0.0393654,0.0256682,0.0622195,0.0610681,0.062647,0.0643112,0.0286078,0.0362513,0.0178027,0.0190299,0.0416505,0.0223688,0,0,0,0,0,0,0,0,0,0.0594209,0.0288656,0,0,0
0,0.0384296,0.0471375,0,0,0,0,0.0402879,0,0.0267703,0.0525019,0,0,0.0123017,0,0,0.0308991,0.0351487,0.0400954,0.0205407,0.0549195,0.0247806,0.0319748,0.0127595,0.0235889,0.0379802,0.0250213,0.0419886,0.0434435,0.0340866,0.0273263,0.016125,0.0487526,0.00825413,0.016105,0.0538884,0,0.0175933,0.0596517,0.0220446,0,0,0.0117446,0,0,0.034275,0.0449219,0.0453,0.0419154,0.0411663,0.0260487,0.0346771,0.0309255,0.0589389,0.0588075,0.0589498,0.0597347,0.015221,0.0350331,0.0191968,0.0197374,0.0426662,0.0217972,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0384852,0.0473449,0,0,0,0,0.0409426,0,0.0284205,0.0440163,0,0,0.0127261,0,0,0.0317124,0.0409025,0.0406864,0.018803,0.0606389,0.0232075,0.0331878,0.0161735,0.0264705,0,0.0305212,0.0404043,0.0418423,0.0321648,0.0257755,0.0159651,0.0477498,0.0081666,0.0174851,0.0493421,0,0.0200388,0,0.0209047,0,0,0.0120774,0,0,0.0338582,0.039244,0.0474283,0.0480755,0.0377922,0.0245358,0.0356417,0.035141,0.0562998,0.0552147,0.05628,0.0572352,0.0149173,0.0350815,0.0185188,0.0190822,0.0432293,0.0199372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0378698,0.0474008,0,0,0,0,0.0390367,0,0.0268595,0.0517087,0,0,0.0124908,0,0,0.0312622,0.0350264,0.0381295,0.0210859,0.0566821,0.0250758,0.0316785,0.0121818,0.0238967,0.0397487,0.0267582,0.0426375,0.0445712,0.0348449,0.0280873,0.0182891,0.0483801,0.00836896,0.0165561,0.0538498,0,0.0185369,0.0592551,0.0218062,0,0,0.0117176,0,0,0.0340479,0.0451564,0.0453443,0.0420006,0.0411426,0.0259474,0.0336286,0.0324467,0.0585355,0.0582973,0.0587482,0.0594504,0.014898,0.0347067,0.0188344,0.0197132,0.042912,0.0218534,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0377007,0.0473307,0,0,0,0,0,0,0.030275,0.0553906,0,0,0.0119304,0,0,0.031986,0.0283412,0.00577545,0.0206703,0.0600271,0.0276037,0.0309265,0.00930851,0.02338,0.0419194,0.0299537,0.0344857,0.0388812,0.0252265,0.0181201,0,0.0483024,0.00824031,0.0177149,0.0584961,0,0.0167726,0.0519465,0.0218058,0,0,0.0115959,0,0,0.0340721,0,0.0464262,0.0361556,0.0414296,0.0253639,0.0286986,0.0330355,0.0605386,0.0614427,0.0610936,0.0614766,0.0174264,0.0348051,0.0188551,0.0196446,0.0428062,0.0227886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0372636,0.0465312,0,0,0,0,0,0,0.0247332,0.053712,0,0,0.0147037,0,0,0.0343393,0.0257495,0.0398167,0.0181784,0.0542395,0.029485,0.0364629,0.00881145,0.0208011,0.0386442,0.0279927,0.0420566,0.0458478,0.0340114,0.0259206,0.0211757,0.044638,0.00891083,0.0212767,0.0587944,0,0.0152011,0.0476893,0.0209595,0,0,0.0122493,0,0,0.0341213,0.0625897,0.0484349,0.0237411,0.0374617,0.0239959,0.0303102,0.0249883,0.0655345,0.0676303,0.0669366,0.0672247,0.0162241,0.0342115,0.0193183,0.0196552,0.0412088,0.0266121,0,0,0,0,0,0,0,0,0,0.181652,0,0,0,0
5,0.0379115,0.0472397,0,0,0,0,0,0,0.0241999,0.0531789,0,0,0.0117728,0,0,0.0316436,0.0340933,0.039132,0.0217919,0.0568239,0.0250113,0.0299397,0.013977,0.0227946,0.0421305,0.0301781,0.0414291,0.0456687,0.0338853,0.0255198,0.0162865,0.0487666,0.00830411,0.0169084,0.0562756,0,0.0190048,0.057369,0.0218767,0,0,0.0113729,0,0,0.0337816,0.0464737,0.0460177,0.0412374,0.0405879,0.024887,0.0324419,0.0330376,0.0582178,0.0580998,0.0587745,0.0593526,0.0165703,0.03504,0.0192799,0.019329,0.0431441,0.022245,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.037696,0.0471598,0,0,0,0,0,0,0.0234375,0.0520191,0,0,0.012293,0,0,0.032132,0.0320693,0.0391941,0.0207271,0.0560798,0.0260653,0.0310466,0.0132613,0.0228135,0.0415647,0.0297967,0.0422478,0.0462844,0.0343943,0.02624,0.0166078,0.0479281,0.00828859,0.0176859,0.0576461,0,0.0165708,0.0551857,0.0214794,0,0,0.0114487,0,0,0.0335221,0.0506754,0.0446105,0.0369571,0.0394585,0.0241464,0.0287326,0.0319373,0.0609829,0.0614015,0.0614678,0.0619942,0.0172422,0.035068,0.0193881,0.0193008,0.0427287,0.0231831,0,0,0,0,0,0,0,0,0,0.0565571,0,0,0,0
7,0.0377983,0.0471977,0,0,0,0,0,0,0.0241685,0.0522109,0,0,0.0120857,0,0,0.0318028,0.0326415,0.00693299,0.0213083,0.0579912,0.0255051,0.0304565,0.013677,0.0234437,0.0444546,0.0317309,0.0415893,0.0442577,0,0.0238717,0,0.0482759,0.00816479,0.0172163,0.058528,0,0.0167237,0.0557124,0.0217075,0,0,0.0113729,0,0,0.0334197,0.049333,0.0439528,0.0385143,0.0397109,0.0243159,0.0288128,0.0321122,0.0608699,0.0610088,0.0611426,0.0616641,0.0180757,0.0348885,0.0195895,0.0194844,0.042605,0.0230154,0,0,0,0,0,0,0,0,0,0.0473923,0,0,0,0
8,0.0377763,0.0472133,0,0,0,0,0,0,0.0226092,0.0519598,0,0,0.0121422,0,0,0.031781,0.0330681,0.0382605,0.0209736,0.0565213,0.025408,0.0306833,0.0140213,0.0231722,0.0457899,0.0313748,0.0440898,0.0471521,0.0347228,0.0272279,0.0156204,0.0481923,0.00806572,0.0171891,0.0558435,0,0.0153518,0.0557507,0.0216223,0,0,0.0114443,0,0,0.0333195,0.0496121,0.041781,0.0376723,0.0391249,0.0238594,0.0292975,0.028606,0.0622391,0.0620941,0.062756,0.0631539,0.0159372,0.034918,0.0195854,0.0193835,0.0423735,0.0231294,0,0,0,0,0,0,0,0,0,0.0488111,0.0228914,0,0,0
