Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,
All Timesteps RMSE,0,0,0,0,0,0,0.0271693,0.0349538,0,0,0,0.0470342,0,0.0359145,0.038695,0,0,0.0140961,0,0,0.0464755,0.0417291,0.0364454,0.0196155,0.0242822,0.0428987,0.0364778,0.0316132,0.0395646,0.0408644,0.0326459,0.0382105,0.0360028,0.0258507,0.034118,0.0265726,0.0497185,0.0131654,0.0120807,0.0432674,0,0.028767,0.042433,0.0397922,0,0,0.0153522,0,0,0.0239364,0.0508715,0.0440655,0.0154292,0.0286198,0.0431963,0.0434147,0.0421103,0.066544,0.0546519,0.0327404,0.0641992,0.0420498,0.0457209,0.074603,0.0365141,0.0409576,0.0106839,0.0099272,0.0466313,0.0665199,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0146257,0.0384046,0,0,0,0.0579321,0,0.0327879,0.0475007,0,0,0.00928293,0,0,0.0513786,0.0357226,0.0418594,0.0280693,0.0244582,0.0247382,0.0404486,0.0262559,0.0340853,0.0397473,0.0362841,0.0477184,0.0445981,0.0335184,0.0438169,0.0208849,0.0568605,0.0141351,0.00798506,0.0559239,0,0.028009,0.0459274,0.0358862,0,0,0.00981604,0,0,0.0289896,0.0506879,0.0426653,0.0202124,0.024419,0.0231441,0.0434432,0.0407689,0.0627414,0.0514687,0.0323671,0.0746098,0.0517499,0.0533196,0.0803926,0.0340521,0.0476755,0.0181743,0.00753394,0.0461413,0.0649197,0,0,0,0,0,0
1,0,0,0,0,0,0,0.0144926,0.0384965,0,0,0,0.0582112,0,0.0329039,0.0475359,0,0,0.0100399,0,0,0.0511515,0.0357476,0.0414877,0.0280499,0.0244442,0.0246915,0.0407939,0.0262686,0.0341267,0.0397463,0.0362904,0.0476937,0.0445062,0.0334704,0.0437908,0.0210792,0.0567258,0.0151562,0.00621598,0.0558481,0,0.0279294,0.0458959,0.0358714,0,0,0.00986878,0,0,0.0288776,0.0507129,0.0426314,0.0202463,0.0244284,0.0231713,0.043533,0.0407637,0.0627311,0.0514895,0.0325188,0.0746077,0.051777,0.053318,0.0799757,0.0341232,0.0476977,0.0181348,0.00694758,0.0462206,0.0648862,0,0,0,0,0,0
2,0,0,0,0,0,0,0.014439,0.0385833,0,0,0,0.0581649,0,0.0328992,0.0475419,0,0,0.0108907,0,0,0.0509691,0.0357824,0.0415398,0.0281378,0.0244628,0.0247319,0.0412234,0.0263202,0.0341135,0.0397145,0.036276,0.0476704,0.0444699,0.0334295,0.0437778,0.0210474,0.0566256,0.0165625,0.00440928,0.055819,0,0.0278844,0.0458902,0.0358272,0,0,0.00998117,0,0,0.0287956,0.0506553,0.0426087,0.0202497,0.0243833,0.0233776,0.0435931,0.0407807,0.0627507,0.0514733,0.0325234,0.074573,0.0517323,0.0532742,0.0798918,0.0340792,0.0477272,0.0183714,0.00611647,0.0462843,0.064854,0,0,0,0,0,0
3,0,0,0,0,0,0,0.0144479,0.0386081,0,0,0,0.0579624,0,0.0328651,0.0473805,0,0,0.011369,0,0,0.0508706,0.035846,0.041662,0.0282056,0.0245204,0.0248654,0.0416329,0.0264094,0.0340029,0.0395783,0.0362724,0.047696,0.044534,0.0334503,0.04377,0.0209105,0.0566299,0.0192144,0.00434889,0.0558252,0,0.027816,0.0457655,0.0357793,0,0,0.010052,0,0,0.028943,0.0505662,0.0424434,0.0201707,0.0243439,0.0237985,0.0434935,0.0408184,0.0628109,0.0513947,0.0325257,0.0745558,0.0516942,0.0532665,0.0799433,0.0338781,0.0478297,0.0190168,0.00486139,0.0462521,0.0647873,0,0,0,0,0,0
4,0,0,0,0,0,0,0.0149413,0.0377753,0,0,0,0.0575433,0,0.032501,0.0458637,0,0,0.00940732,0,0,0.0508118,0.0363949,0.0398225,0.0285458,0.0251837,0.0265555,0.0422545,0.0273683,0.0336218,0.0383227,0.0362944,0.0482766,0.0452407,0.0339987,0.0439777,0.0202597,0.0569593,0.0266647,0.00995041,0.0568402,0,0.0267797,0.0433786,0.0359226,0,0,0.00963686,0,0,0.0302842,0.0504994,0.039138,0.0180767,0.024748,0.0243967,0.0418613,0.0413925,0.0629436,0.0504649,0.0329298,0.0751865,0.0519716,0.0539423,0.0804962,0.0313947,0.0488353,0.0225283,0.00247076,0.0450602,0.064796,0,0,0,0,0,0
5,0,0,0,0,0,0,0.0143938,0.03859,0,0,0,0.0581937,0,0.0329284,0.0473651,0,0,0.0114123,0,0,0.0508031,0.0358587,0.04137,0.0280431,0.024478,0.02465,0.0415892,0.0262713,0.0339779,0.0395429,0.0362665,0.0475455,0.044487,0.0333586,0.0436963,0.0210595,0.056511,0.0190292,0.00449151,0.0558393,0,0.0278168,0.0457483,0.0357684,0,0,0.00998716,0,0,0.0289443,0.0506219,0.0423542,0.0200671,0.0243135,0.0234591,0.0434892,0.040731,0.0627703,0.0514128,0.0325489,0.0744691,0.0516494,0.0532281,0.0798088,0.0338913,0.0478,0.0189476,0.00488123,0.0462152,0.0648144,0,0,0,0,0,0
6,0,0,0,0,0,0,0.0147037,0.0381653,0,0,0,0.0581544,0,0.0329195,0.0474309,0,0,0.00781774,0,0,0.051638,0.0358296,0.041316,0.0278748,0.0244642,0.024581,0.0396554,0.0261502,0.0339787,0.0396667,0.0363156,0.0475637,0.0444364,0.0333974,0.0437619,0.0210353,0.0569667,0.0133792,0.0103631,0.0556588,0,0.0278384,0.0458508,0.0359061,0,0,0.00934099,0,0,0.0294182,0.0506528,0.0424358,0.02011,0.024287,0.0235503,0.0430669,0.040589,0.0627574,0.0514778,0.03248,0.0744495,0.0516504,0.0532147,0.0797697,0.033915,0.0478964,0.0176984,0.00995504,0.04587,0.0648934,0,0,0,0,0,0
7,0,0,0,0,0,0,0.0145988,0.03828,0,0,0,0.0582611,0,0.0328829,0.0474266,0,0,0.00778201,0,0,0.051737,0.035895,0.0413512,0.0279916,0.0244037,0.0245803,0.0396043,0.0262557,0.0340093,0.0395749,0.0362182,0.0474772,0.0443501,0.0332711,0.0436554,0.0211403,0.0569951,0.0134124,0.010206,0.0557301,0,0.0278933,0.0458967,0.0358715,0,0,0.00929055,0,0,0.0294926,0.0505925,0.0424985,0.0202523,0.0241634,0.0239113,0.043013,0.0406212,0.0628649,0.0515273,0.0325357,0.0743295,0.0515133,0.0530768,0.0796675,0.0340106,0.0479361,0.0177977,0.00986658,0.045942,0.064839,0,0,0,0,0,0
8,0,0,0,0,0,0,0.0146134,0.0382043,0,0,0,0.0581541,0,0.0329544,0.0473777,0,0,0.00787641,0,0,0.0517189,0.0358539,0.0412554,0.0279059,0.02441,0.024683,0.0396368,0.0263547,0.0339907,0.0396179,0.0362388,0.0475073,0.0443945,0.0333308,0.0437498,0.0210213,0.0569488,0.0135742,0.0101741,0.0556091,0,0.0278013,0.0458608,0.0359427,0,0,0.00937135,0,0,0.0294643,0.0506734,0.0423774,0.020178,0.0242094,0.024016,0.0430861,0.0404913,0.0627867,0.0515121,0.0325609,0.07438,0.0515611,0.0531359,0.0796838,0.0339276,0.0479119,0.0177574,0.0098413,0.045843,0.0649673,0,0,0,0,0,0
