Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRB,T10,x66,x67,x68,x69,x70,CLAV
All Timesteps RMSE,0,0,0,0,0,0,0.0253013,0,0,0,0.0437544,0,0.0272272,0.0322805,0,0,0.0225884,0,0,0.0347762,0.0352819,0.0358066,0.0243034,0.0259363,0.0319888,0.0357424,0.032644,0.0410883,0.0385298,0.0260228,0.0349549,0.0342484,0.0221507,0.0277646,0.0250232,0.0403382,0.0176815,0.0424471,0.030146,0.0399203,0.0391017,0,0,0.0136981,0,0,0.0247858,0.0572587,0.0150798,0.0321772,0.0299002,0.0392718,0.054304,0.0859521,0.0881008,0.0595602,0.0704514,0.0506117,0.039009,0.0654349,0.034557,0.0635889,0.014218,0.070947,0,0,0,0,0,0.0342023
0,0,0,0,0,0,0,0.0274623,0,0,0,0.0393946,0,0.0294483,0.0386294,0,0,0.0237014,0,0,0.0342609,0.0269412,0.0332904,0.02508,0.0250471,0.031004,0.0425931,0.0229312,0.0356087,0.0404956,0.0281116,0.0343155,0.034243,0.0196043,0.0279516,0.0146161,0.0395955,0.0177731,0.0438648,0.0315674,0.0378962,0.036055,0,0,0.0140274,0,0,0.0246418,0.0594748,0.0066102,0.0310101,0.0343652,0.040761,0.0594225,0.0942296,0.0908577,0.0589126,0.072758,0.0504044,0.037168,0.0662376,0.0414239,0.0639122,0.0141732,0.071723,0,0,0,0,0,0
1,0,0,0,0,0,0,0.0275683,0,0,0,0.0388709,0,0.029273,0.037587,0,0,0.0236023,0,0,0.0342543,0.0273127,0.0332308,0.025029,0.0251317,0.0310511,0.0422124,0.0228279,0.0355758,0.0405546,0.0282252,0.0343127,0.034279,0.019393,0.0278788,0.014934,0.0395242,0.0177028,0.0443287,0.0313576,0.0381946,0.0361454,0,0,0.0139385,0,0,0.0247038,0.0592242,0.0066051,0.0298376,0.0340744,0.0406856,0.0596004,0.0944952,0.0914601,0.0595734,0.0731689,0.0511943,0.038221,0.0658999,0.0374109,0.0640931,0.0142771,0.0715721,0,0,0,0,0,0
2,0,0,0,0,0,0,0.0274213,0,0,0,0.0390727,0,0.0291804,0.0375571,0,0,0.0235322,0,0,0.0342773,0.0277546,0.0332117,0.0249666,0.025326,0.0309893,0.0420253,0.022791,0.0352096,0.0404445,0.0284304,0.0343381,0.0343132,0.0192262,0.0279214,0.0150641,0.0394809,0.0176758,0.0450907,0.0309589,0.038601,0.0362107,0,0,0.0139084,0,0,0.024598,0.0588437,0.0066411,0.0286258,0.0336159,0.0406268,0.0598816,0.0946804,0.0920896,0.0606908,0.0733996,0.0518756,0.0392384,0.0660617,0.0333803,0.0628356,0.0141872,0.0713772,0,0,0,0,0,0
3,0,0,0,0,0,0,0.0271082,0,0,0,0.0395439,0,0.0291754,0.0375611,0,0,0.0234715,0,0,0.0343021,0.0282821,0.0331879,0.024899,0.0255275,0.0309108,0.0419263,0.022818,0.034725,0.0402341,0.0286807,0.0344278,0.0343328,0.0192656,0.0279722,0.0151037,0.0395293,0.0176725,0.0464422,0.0304218,0.0390674,0.0363216,0,0,0.0138119,0,0,0.0243832,0.0584109,0.00688005,0.0274385,0.0330745,0.0405019,0.0602318,0.0945312,0.0929009,0.0622975,0.0736408,0.0524796,0.0408436,0.0665718,0.0294087,0.0609444,0.0140149,0.0712065,0,0,0,0,0,0
4,0,0,0,0,0,0,0.0192426,0,0,0,0.0399213,0,0.0296773,0.0361239,0,0,0.0242832,0,0,0.0346769,0.0294063,0.0342453,0.0266542,0.0249346,0.0334991,0.041263,0.0238827,0.0354886,0.0402902,0.0282378,0.0337083,0.0335256,0.0187797,0.0277929,0.0152395,0.0381754,0.0175006,0.0477361,0.0297274,0.0393365,0.0403728,0,0,0.0110567,0,0,0.0253721,0.0569056,0.00628146,0.0257283,0.0338323,0.0351303,0.0611859,0.0945262,0.0941381,0.0645335,0.0735193,0.0526082,0.0422274,0.0674221,0.0267846,0,0.0145515,0.0675923,0,0,0,0,0,0
5,0,0,0,0,0,0,0.0276404,0,0,0,0.0412775,0,0.029225,0.0357362,0,0,0.0232372,0,0,0.0343895,0.0295798,0.032927,0.0246511,0.0259661,0.0307479,0.041437,0.0230235,0.0339539,0.0396565,0.029311,0.0345352,0.0344078,0.0194981,0.0282311,0.0152202,0.0401021,0.0176765,0.049953,0.0296584,0.039723,0.0362385,0,0,0.0133103,0,0,0.0247604,0.0574109,0.00819444,0.0256098,0.0316681,0.0401309,0.0609865,0.0926268,0.0935882,0.066175,0.0740095,0.0536221,0.0439283,0.0687581,0.0223922,0.063827,0.0143248,0.07109,0,0,0,0,0,0
6,0,0,0,0,0,0,0.0276725,0,0,0,0.0425356,0,0.0293798,0.0346045,0,0,0.0230906,0,0,0.0344364,0.030309,0.0327831,0.0245473,0.0261741,0.0307901,0.0409843,0.0231082,0.0334739,0.0395825,0.0297636,0.0346105,0.0343589,0.0196112,0.0283708,0.0154841,0.0402477,0.0176606,0.049781,0.0299787,0.0400686,0.0362269,0,0,0.012864,0,0,0.0249693,0.0568275,0.00900028,0.0254105,0.0310602,0.0397468,0.0612417,0.0910967,0.093733,0.0679446,0.0735988,0.0543027,0.0447153,0.0695062,0.0201187,0.063787,0.0144783,0.0708284,0,0,0,0,0,0
7,0,0,0,0,0,0,0.0274167,0,0,0,0.0439795,0,0.0294366,0.0338373,0,0,0.0230071,0,0,0.0344891,0.0310443,0.0326872,0.0245101,0.0264062,0.0308422,0.0406519,0.0231499,0.0329965,0.0396042,0.0301443,0.0348324,0.0342745,0.0196893,0.0284368,0.0159919,0.0403981,0.0176302,0.0487999,0.0307883,0.0404229,0.0362596,0,0,0.0125186,0,0,0.0249368,0.0565503,0.00964969,0.0257691,0.0303873,0.0393234,0.0613629,0.0894228,0.0936136,0.0691202,0.0728561,0.0541071,0.0449344,0.0698049,0.0191522,0.0622158,0.0144351,0.0704286,0,0,0,0,0,0
8,0,0,0,0,0,0,0.027741,0,0,0,0.045316,0,0.02937,0.0332799,0,0,0.0228875,0,0,0.0344389,0.0316144,0.0326585,0.024527,0.0266181,0.0306745,0.040299,0.0231932,0.0324982,0.0395896,0.0305687,0.0348994,0.0343122,0.0196903,0.0285726,0.016676,0.0407677,0.0175777,0.0477398,0.0318695,0.0406153,0.0361089,0,0,0.0123427,0,0,0.0249781,0.0565805,0.010115,0.0264986,0.0296492,0.0391238,0.0610376,0.0879706,0.0931346,0.0695717,0.0720409,0.0533864,0.044828,0.0697131,0.0192794,0.0641252,0.0145031,0.0701487,0,0,0,0,0,0
