Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,T10,x70,x71,x72,x73,RHEE,STRN,LASI,LWRB,R5HD,RWRB
All Timesteps RMSE,0,0,0,0,0,0,0.0322988,0.0352346,0,0,0,0.0460158,0,0.0273117,0,0,0.0211039,0,0,0.047507,0.0367424,0.0340641,0.0287902,0.0258331,0.0412338,0.0342451,0.0321516,0.0408464,0.0385102,0.0273745,0.0356075,0.0349989,0.0229082,0.0286382,0.0199209,0.0383734,0.0122912,0.0378949,0.0212134,0.0400811,0.0427601,0,0,0.0242298,0,0,0.0174067,0.0536667,0.012958,0.0284313,0.0347041,0.0434136,0.0485213,0.0801782,0.0799356,0.051464,0.0716878,0.0515092,0.0425941,0.0669832,0.036237,0.0325368,0.0133158,0.0713486,0,0,0,0,0.0397301,0.0380439,0.0332381,0.0122665,0,0.0125679
0,0,0,0,0,0,0,0.0302524,0.0390874,0,0,0,0.0566311,0,0.0279828,0,0,0.0178275,0,0,0.039462,0.0393674,0.036243,0.0328463,0.0246108,0.039673,0.0253797,0.0373262,0.0439505,0.0404193,0.0270943,0.0397695,0.0372405,0.0277567,0.0323699,0.0107104,0.0422603,0.0197375,0.0405821,0.0313842,0.0472734,0.0411106,0,0,0.023446,0,0,0.0134206,0.0578205,0.00981602,0.0276591,0.0319552,0.0421781,0.0447455,0.0715548,0.0787511,0.0546362,0.0640396,0.0467961,0.0416126,0.0604357,0.00270215,0.0339435,0.0130737,0.0660955,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.0336106,0.0349267,0,0,0,0.053491,0,0.0293497,0,0,0.0180986,0,0,0.0401398,0.039255,0.0371981,0.0338478,0.0270085,0.0398806,0.027464,0.0385974,0.0427467,0.0404375,0.0271562,0.0407094,0.0377106,0.0282369,0.0321274,0.0124413,0.040346,0.0205083,0.0446378,0.024575,0.0444919,0.0421438,0,0,0.0247303,0,0,0.014224,0.0560979,0.0105151,0.0305258,0.0310307,0.0428568,0.0437781,0.0709251,0.0757384,0.0530081,0.0678763,0.0507218,0.0461656,0.0625752,0.013419,0.0319351,0.0126646,0.0676742,0,0,0,0,0.0303759,0.0368618,0,0,0,0
2,0,0,0,0,0,0,0.0337041,0.035055,0,0,0,0.053089,0,0.0297696,0,0,0.0182127,0,0,0.040076,0.0389242,0.038206,0.0342823,0.0278689,0.0395721,0.0273012,0.0380806,0.0422638,0.0407312,0.0275235,0.0413178,0.0380858,0.0279976,0.0320228,0.012915,0.0402954,0.0205088,0.0449209,0.0242685,0.043909,0.0420523,0,0,0.0246061,0,0,0.0141814,0.0561936,0.0106912,0.0302252,0.0305508,0.0428139,0.0436466,0.0708634,0.0757388,0.0526466,0.0680048,0.0510005,0.0460613,0.0626297,0.0136088,0.0320484,0.0128169,0.0675949,0,0,0,0,0.0301047,0.0369571,0,0,0,0
3,0,0,0,0,0,0,0.0340006,0.0352444,0,0,0,0.0514414,0,0.0267067,0,0,0.0177549,0,0,0.0407472,0.041028,0.0379305,0.0351779,0.027871,0.0387334,0.0271214,0,0.042833,0.0413173,0.0295097,0.0422786,0.0389225,0.0293159,0.0341834,0.0150888,0.0404445,0.0193045,0.0386302,0.0249886,0.0454183,0.041616,0,0,0.0244372,0,0,0.0142744,0.0559471,0.0110122,0.029451,0.0283792,0.0428216,0.0432184,0.0705885,0.07683,0.0521886,0.0669391,0.050939,0.04415,0.0610559,0.00246679,0.0322661,0.0132269,0.0667734,0,0,0,0,0,0.0375849,0,0,0,0
4,0,0,0,0,0,0,0.031646,0.0417834,0,0,0,0.051063,0,0.0275054,0,0,0.0153221,0,0,0.0385071,0.0384149,0.040376,0.0353564,0.0259072,0.0402177,0.0244046,0.035401,0.0420253,0.0423577,0.0290932,0.0419676,0.0388389,0.029707,0.0341422,0.0165262,0,0.0182906,0.0407794,0.0202062,0.0429737,0.035344,0,0,0.0249375,0,0,0.0154383,0.0561268,0.0120118,0.0313829,0.0294905,0.0430833,0.0434957,0.07073,0.0753066,0.0518632,0.0696691,0.0532312,0.0472766,0.0628026,0.00970019,0.0322853,0.0132649,0.0653876,0,0,0,0,0.0306005,0,0,0,0,0
5,0,0,0,0,0,0,0.0348527,0.037326,0,0,0,0.0515871,0,0.0272482,0,0,0.0148732,0,0,0.039556,0.0377915,0.0410778,0.0353501,0.0256462,0.0394431,0.024345,0.0354052,0.0414781,0.0421465,0.0292116,0.0420886,0.038546,0.0298854,0.0340678,0.0163162,0,0.0180801,0.0409883,0.024131,0.0448921,0.0366839,0,0,0.0276057,0,0,0.0190908,0.0569426,0.0115435,0.029515,0.0297902,0.0442414,0.0435464,0.0711603,0.0765661,0.0526745,0.0670872,0.0508239,0.0438496,0.0598437,0.00230559,0.0300695,0.0133062,0.0664553,0,0,0,0,0,0.0395891,0,0,0,0
6,0,0,0,0,0,0,0.0335767,0.0351594,0,0,0,0.0539598,0,0.028539,0,0,0.0182679,0,0,0.0404828,0.0402655,0.0410468,0.0329832,0.0292081,0.0397877,0.0274267,0.0396822,0.0414061,0.0375797,0.0280166,0.0428807,0.0399492,0.0289579,0.0320297,0.0128336,0.0401132,0.0204132,0.0452853,0.0218907,0.0429407,0.0411663,0,0,0.0260186,0,0,0.0178438,0.0543667,0.0108347,0.0284206,0.0289823,0.0424669,0.0425425,0.0721642,0.0749199,0.0499158,0.0690781,0.0518323,0.04615,0.0627561,0.0140513,0.0321799,0.0135825,0.0680385,0,0,0,0,0.0300571,0.0373557,0.0317969,0,0,0
7,0,0,0,0,0,0,0.0332235,0.0356022,0,0,0,0.0522606,0,0.0299317,0,0,0.0201177,0,0,0.0477444,0.0373492,0.0400764,0.0345073,0.0281451,0.0396026,0.0286776,0.0380825,0.042138,0.0379802,0.0262341,0.0410784,0.0379283,0.0284607,0.0320756,0.0142006,0.0396069,0.0124059,0.0482372,0.0217527,0.042747,0.0415078,0,0,0.024326,0,0,0.0141004,0.0563163,0.0112366,0.0279886,0.0302214,0.0421825,0.0426652,0.0724052,0.0759637,0.0510016,0.0685483,0.051044,0.0447789,0.0616728,0.0167208,0.0326096,0.0128891,0.068164,0,0,0,0,0.0309541,0.0377439,0,0.0120355,0,0
8,0,0,0,0,0,0,0.0335244,0.0350075,0,0,0,0.0531868,0,0.0292258,0,0,0.0183849,0,0,0.0403115,0.0403933,0.0383598,0.032574,0.0273297,0.0400923,0.0276375,0.0403027,0.0427776,0.0362911,0.027384,0.0418779,0.0393315,0.0294143,0.0332715,0.0126401,0.0397516,0.0205849,0.0473639,0.0204181,0.0424783,0.0414104,0,0,0.0245779,0,0,0.014263,0.0542018,0.0109001,0.027358,0.0292615,0.0420747,0.0418124,0.072952,0.0752752,0.048958,0.0693523,0.0516474,0.0452158,0.0623981,0.0151011,0.0325498,0.0128205,0.0684272,0,0,0,0,0.031172,0.0373128,0.0313495,0,0,0
