Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LWRA,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LBHD,LUPA,x73,LILC,LASI,LWRB
All Timesteps RMSE,0,0,0,0,0,0,0.0314519,0.0331348,0,0,0,0.0447344,0,0.0288823,0,0.0196099,0,0,0.0399287,0.0353271,0.036547,0.0258051,0.0409883,0.0346034,0.0324273,0.0405887,0.0397267,0.026773,0.0352697,0.0342914,0.0221871,0.0283467,0.0259093,0.0170526,0.0411627,0,0.0227201,0.039327,0.0416805,0,0,0.0157568,0,0,0.0286137,0.0571217,0.0377228,0.0138461,0.0293491,0.0331109,0.0462623,0.0489534,0.0804018,0.0818415,0.0542757,0.0701366,0.0501984,0.0408979,0.0658131,0.028453,0.0336956,0.00984012,0.0136397,0.036011,0.0716999,0,0,0,0,0.0405744,0,0.0336616,0.0323114,0.0107534
0,0,0,0,0,0,0,0.0315348,0.0338094,0,0,0,0.0311357,0,0.0262145,0,0.0113745,0,0,0.0370254,0.0395357,0.0414615,0.0245817,0.0461703,0.0326201,0.0322968,0.0480468,0.0436921,0.017895,0.033369,0.0319553,0.0208754,0.0227607,0.0454988,0.019351,0.033764,0,0.022591,0.0435121,0.0374604,0,0,0.0181636,0,0,0.0290974,0.0490188,0.0246922,0.0119068,0.0245446,0.0360452,0.0471886,0.0470353,0.0800348,0.0803488,0.055106,0.0690706,0.0496922,0.0429292,0.0639503,0.00910216,0.0319416,0.0081543,0.0146801,0.0364467,0.0714748,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.0303186,0.0311825,0,0,0,0.0306914,0,0.0269669,0,0.018122,0,0,0.0378046,0.039891,0.0429411,0.0253395,0.0454194,0.0356434,0.0331104,0.0479863,0.0428836,0.0180068,0.0332926,0.0317982,0.0207176,0.0227332,0.0490477,0.0189326,0.0331522,0,0.0224766,0.0449502,0.0421232,0,0,0.0147316,0,0,0.0301595,0.0490499,0.0244722,0.0115862,0.0243904,0.0347487,0.0462149,0.0465496,0.079711,0.0800467,0.0547654,0.0692557,0.0499092,0.0429477,0.0640773,0.00953047,0.0345956,0.00863508,0.0146388,0.0343143,0.0722396,0,0,0,0,0.0414174,0,0,0,0
2,0,0,0,0,0,0,0.0307851,0.0307882,0,0,0,0.0306691,0,0.0275273,0,0.0176872,0,0,0.0378804,0.039768,0.0444258,0.0259531,0.0457933,0.0358367,0.033736,0.0481862,0.0422118,0.0181422,0.0331613,0.0316587,0.020674,0.0227562,0.0520249,0.0189067,0.0329975,0,0.0223907,0.0458615,0.0418556,0,0,0.0158974,0,0,0.0289919,0.0491854,0.0247693,0.0116679,0.0241447,0.0346263,0.0463199,0.0464531,0.079675,0.0800981,0.0548654,0.0689569,0.0499179,0.0427334,0.0639054,0.00966271,0.0340664,0.00860115,0.0143218,0.034073,0.0723488,0,0,0,0,0.0410958,0,0,0,0
3,0,0,0,0,0,0,0.0308147,0.0307206,0,0,0,0.0308501,0,0.0279559,0,0.0179877,0,0,0.0377649,0.039581,0.0455944,0.026439,0.0462751,0.0359931,0.0344274,0.0484009,0.0415714,0.0183243,0.032912,0.0315636,0.0205209,0.0229581,0.0540222,0.0188461,0.032899,0,0.0222627,0.0466656,0.041839,0,0,0.0158267,0,0,0.029053,0.0495216,0.0250648,0.0118387,0.023994,0.0346419,0.0460104,0.0463488,0.0794663,0.0801852,0.0550251,0.0684857,0.04972,0.0426003,0.0636658,0.00974497,0.034198,0.00862424,0.0143632,0.0339927,0.0723371,0,0,0,0,0.0414841,0,0,0,0
4,0,0,0,0,0,0,0.0307596,0.0307357,0,0,0,0.0310054,0,0.028293,0,0.0183231,0,0,0.0376743,0.0394337,0.0463922,0.026606,0.0467554,0.0360951,0.0350527,0.0486173,0.0409591,0.0186266,0.0327213,0.0315406,0.0202796,0.023324,0.0551091,0.0188038,0.0328847,0,0.0222075,0.0475523,0.0418128,0,0,0.0157656,0,0,0.0288003,0.049964,0.0252257,0.0120892,0.0238733,0.0346743,0.0456751,0.0462284,0.0791734,0.0801943,0.0551632,0.068061,0.0494453,0.0424399,0.0633866,0.00972389,0.0344202,0.00866932,0.0145886,0.0338997,0.0722752,0,0,0,0,0.0419096,0,0,0,0
5,0,0,0,0,0,0,0.0307939,0.0307796,0,0,0,0.0311205,0,0.0285401,0,0.0184224,0,0,0.0376674,0.039307,0.046858,0.0266402,0.0472076,0.0360953,0.035625,0.0489548,0.0404719,0.0189737,0.0327149,0.0315112,0.0206619,0.0237538,0.0554557,0.0187701,0.032887,0,0.0223241,0.0483131,0.0416755,0,0,0.0156817,0,0,0.0285298,0.0503569,0.0252151,0.0123885,0.0238143,0.0346819,0.0454113,0.0461314,0.0789402,0.080183,0.0552747,0.067725,0.04917,0.0422705,0.0631215,0.0096262,0.0347201,0.00875278,0.0148899,0.0337807,0.0721893,0,0,0,0,0.0416649,0,0,0,0
6,0,0,0,0,0,0,0.0308802,0.0307453,0,0,0,0.0312811,0,0.0286207,0,0.018584,0,0,0.0376112,0.0391694,0.0470288,0.0265522,0.0475976,0.036118,0.0361891,0.0492668,0.0401181,0.0194157,0.0328708,0.0315015,0.0212914,0.0243781,0.0547549,0.018702,0.0328856,0,0.0225439,0.048899,0.0414949,0,0,0.0155396,0,0,0.0286967,0.0506521,0.0253239,0.0127384,0.0238973,0.0346091,0.0451912,0.046037,0.0786187,0.0801659,0.0554757,0.0675534,0.0490408,0.0421103,0.0629185,0.00937549,0.0349742,0.00862546,0.0144788,0.0337373,0.0721431,0,0,0,0,0.0417954,0,0,0,0
7,0,0,0,0,0,0,0.0309119,0.0307909,0,0,0,0.0314941,0,0.0285776,0,0.0188939,0,0,0.037588,0.0389964,0.0471594,0.0264674,0.0479252,0.0361056,0.0368465,0.0495383,0.0398197,0.019857,0.0330332,0.0317542,0.0221492,0.0252221,0.0534526,0.0184019,0.0329681,0,0.0226849,0.0492261,0.0413227,0,0,0.015351,0,0,0.0288359,0.05095,0.025534,0.013085,0.0240671,0.0344209,0.0449782,0.0458837,0.0781909,0.0800817,0.055623,0.0672769,0.0490213,0.041995,0.0628022,0.00901121,0.035096,0.00856229,0.0142175,0.0337939,0.072041,0,0,0,0,0.0419257,0,0,0,0
8,0,0,0,0,0,0,0.0309078,0.0307473,0,0,0,0.031635,0,0.0283701,0,0.0185576,0,0,0.0376242,0.0388571,0.0469267,0.0263802,0.0482592,0.0359336,0.0371984,0.049762,0.0396375,0.0202881,0.0332566,0.032071,0.023124,0.0260516,0.0514141,0.0187997,0.03293,0,0.0227626,0.0497023,0.0412284,0,0,0.0152239,0,0,0.028902,0.0515435,0.0259077,0.0136312,0.0242565,0.0342864,0.0447973,0.0457172,0.0777002,0.0799813,0.0557987,0.0667194,0.0488657,0.0418452,0.0625895,0.00899867,0.0350276,0.00861149,0.0142358,0.0338169,0.0719317,0,0,0,0,0.0416965,0,0,0,0
