Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RWRA,T10,x70,x71,x72,,LEAR,RFHD,RHEE,x73,LWRA,x74,RUPA,STRN
All Timesteps RMSE,0,0,0,0,0,0,0.0272536,0.0386834,0,0,0,0.0409446,0,0.0278853,0.0338689,0,0.0240656,0,0,0.0446785,0.037219,0.0351568,0.0196083,0.0243051,0.0345903,0.0346527,0.0331948,0.0431791,0.0395649,0.0251231,0.0340531,0.0339828,0.0209042,0.0265457,0.0275041,0.035838,0.012464,0.0405049,0,0.0360093,0.0379771,0.0382984,0,0,0.0235734,0,0.0115636,0.0560043,0.0118898,0.0302896,0.0321991,0.0354538,0.0511256,0.0837585,0.0818072,0.0529339,0.0663822,0.0462384,0.0360327,0.061767,0.086645,0.00738162,0.0663309,0,0,0,0,0,0,0.0602832,0,0.012168,0,0.0382948,0.0431968
0,0,0,0,0,0,0,0.0220798,0.0416483,0,0,0,0.0520359,0,0.0252907,0.0372308,0,0.0211603,0,0,0.0192534,0.0431878,0.0388752,0.0135715,0.0215761,0.0374707,0.0310074,0.0425524,0.0515022,0.0395418,0.0226153,0.0283835,0.0275962,0.0210006,0.0246427,0.0177418,0.0351845,0.00757817,0.0393421,0,0.0281215,0.0475225,0.0415001,0,0,0.0219242,0,0.00801882,0.0513997,0.010075,0.0264127,0.0316958,0.0334257,0.0494361,0.0775425,0.0824593,0.0562089,0.0639646,0.0472985,0.0402561,0.0616343,0.0054067,0.00755049,0.0628056,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.0221599,0.0416924,0,0,0,0.0517589,0,0.0255105,0.0375259,0,0.0210113,0,0,0.0188709,0.0439398,0.0398873,0.0135363,0.0217625,0.0374411,0.0309705,0.043116,0.052197,0.0394182,0.0219625,0.0294891,0.0279714,0.0211109,0.025625,0.018446,0.035144,0.00736106,0.0394442,0,0.0282484,0.0479798,0.0415267,0,0,0.0219434,0,0.00801227,0.051125,0.01063,0.0265292,0.0313039,0.0333829,0.0495213,0.0777324,0.082497,0.0560971,0.0639413,0.0473396,0.0400455,0.0614904,0.00519746,0.00758332,0.0625877,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0.0219572,0.041748,0,0,0,0.0513496,0,0.0258609,0.0372402,0,0.0222285,0,0,0.0223256,0.0448864,0.04064,0.0136505,0.0222774,0.0380634,0.0317546,0.0437805,0.052864,0.0392149,0.0220466,0.0298883,0.0285942,0.0218138,0.0265321,0.0189811,0.0349881,0.00963425,0.0410509,0,0.0221279,0.0466491,0.041104,0,0,0.0221235,0,0.00813033,0.0506308,0.0113424,0.0294018,0.0311706,0.0334088,0.048932,0.0772804,0.0805501,0.0548389,0.0667613,0.0505549,0.0439453,0.0626124,0.00891501,0.00759357,0.0631262,0,0,0,0,0,0,0.0333129,0,0,0,0,0
3,0,0,0,0,0,0,0.0221496,0.0423424,0,0,0,0.05104,0,0.0261292,0.0374765,0,0.0233396,0,0,0.0350916,0.0452867,0.0411383,0.0135428,0.0227288,0.0381076,0.0314568,0.0440501,0.052931,0.0392439,0.0222631,0.0302092,0.0292486,0.0226204,0.0270458,0.0195424,0.0356223,0.0169693,0.0404233,0,0.0223111,0.046718,0.0403725,0,0,0.0222244,0,0.00819798,0.0506955,0.0115954,0.0294328,0.0310733,0.0332242,0.0488154,0.0771961,0.0804654,0.0546563,0.0665588,0.0503057,0.0435768,0.0622491,0.00896812,0.00756357,0.0627987,0,0,0,0,0,0,0.0336251,0,0,0,0,0
4,0,0,0,0,0,0,0.0221477,0.0429418,0,0,0,0.0512432,0,0.0262296,0.0374316,0,0.0244541,0,0,0.045838,0.045707,0.0416093,0.0138578,0.023101,0.0378692,0.0317144,0.0442631,0.0530469,0.0390459,0.022327,0.0306065,0.0296497,0.0232644,0.0275814,0.0199661,0.0357181,0.0116636,0.0397585,0,0.0224319,0.0466508,0.0399582,0,0,0.0221844,0,0.00823795,0.0508679,0.0117006,0.0294287,0.0309967,0.033133,0.048634,0.0770759,0.08021,0.0547364,0.0661804,0.0502721,0.0432643,0.0619158,0.00953749,0.0075744,0.0625873,0,0,0,0,0,0,0.0340288,0,0.0109207,0,0,0
5,0,0,0,0,0,0,0.0223652,0.0426779,0,0,0,0.05116,0,0.026162,0.0373387,0,0.0234467,0,0,0.0407073,0.0461089,0.0416812,0.0142031,0.0233198,0.0376986,0.0310493,0.0442885,0.0533464,0.0388728,0.0225738,0.0311778,0.0300771,0.0235836,0.0283404,0.0199351,0.0359309,0.0198655,0.0396388,0,0.0223698,0.046588,0.0403002,0,0,0.0222008,0,0.00839734,0.0510184,0.0118234,0.0293324,0.0310844,0.0331808,0.048322,0.0768528,0.0802536,0.0545318,0.0659411,0.0503257,0.0432901,0.0618282,0.00952578,0.00773578,0.0626055,0,0,0,0,0,0,0.0338319,0,0,0,0,0
6,0,0,0,0,0,0,0.022294,0.0431818,0,0,0,0.050728,0,0.0263682,0.0373134,0,0.0242665,0,0,0.0452572,0.046404,0.0415901,0.0141279,0.0232955,0.0375428,0.0312982,0.0441642,0.0536826,0.0388677,0.0227078,0.0318003,0.0307278,0.0242347,0.0290914,0.0196781,0.0357929,0.0104364,0.039562,0,0.0222944,0.0464489,0.0402221,0,0,0.0221588,0,0.00865931,0.0512162,0.0118907,0.029153,0.0311744,0.033038,0.0480299,0.076703,0.0801998,0.0544174,0.065981,0.0499725,0.0434392,0.0618515,0.00932332,0.008148,0.0625701,0,0,0,0,0,0,0.0335237,0,0.011992,0,0,0
7,0,0,0,0,0,0,0.0223539,0.0433427,0,0,0,0.0504231,0,0.0266848,0.036953,0,0.0242074,0,0,0.0451747,0.0467954,0.0413619,0.0144996,0.0229176,0.037111,0.0309763,0.0440819,0.0536357,0.0390887,0.0225977,0.0324067,0.0314971,0.0244184,0.029569,0.0190003,0.0357935,0.0101785,0.0394283,0,0.0222907,0.0459966,0.0403195,0,0,0.0220745,0,0.00898144,0.0515894,0.0115619,0.0292307,0.0311931,0.033172,0.0479299,0.0763972,0.0803238,0.0541815,0.0659594,0.0497268,0.0434655,0.0619405,0.00923104,0.00824299,0.062633,0,0,0,0,0,0,0.0333997,0,0.0122064,0,0,0
8,0,0,0,0,0,0,0.0227228,0.0429309,0,0,0,0.050518,0,0.0267864,0.0365526,0,0.0221762,0,0,0.038021,0.0472103,0.0413519,0.0148053,0.0223188,0.0367963,0.0296954,0.0438088,0.0536294,0.0393417,0.0228091,0.0329472,0.0323216,0.0245017,0.0300423,0.0176785,0.0361699,0,0.0393167,0,0.0223038,0.0455109,0.0404613,0,0,0.0221466,0,0.00909204,0.051906,0.0112707,0.0296148,0.0311948,0.0335213,0.0477347,0.0761289,0.0802502,0.0539082,0.0658239,0.0496987,0.0434602,0.0619275,0.00936332,0.0083007,0.0627986,0,0,0,0,0,0,0.0334944,0,0.0190959,0,0,0
