Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,T10,x70,x71,x72,LWRA,x73,RFHD,CLAV
All Timesteps RMSE,0,0,0,0,0,0,0.022238,0,0,0,0.0382131,0,0.0281596,0.0380217,0,0,0.0166188,0,0,0.0424074,0.0308619,0.0366066,0.0241726,0.0223846,0.0368204,0.0265528,0.0293144,0.04474,0.0424766,0.0234991,0.031714,0.0314008,0.0189625,0.0256334,0.0286488,0.0425803,0.0116503,0.0559226,0,0.0234894,0.0374585,0.0423791,0,0,0.0237311,0,0.0199813,0.0585974,0.0428921,0.0222024,0.0297735,0.0381094,0.04236,0.0599199,0.0912764,0.0909603,0.14035,0.0688866,0.0465994,0.03729,0.0605801,0.0427389,0.0414527,0.00752012,0.0598048,0,0,0,0.0115528,0,0,0.0426778
0,0,0,0,0,0,0,0.0255041,0,0,0,0.0475858,0,0.0297625,0.0370262,0,0,0.0148941,0,0,0.0371201,0.0382733,0.0440073,0.0272174,0.0246698,0.0401416,0.0197647,0.0400537,0.0484942,0.0405553,0.027527,0.0361038,0.0342671,0.0268107,0.0322755,0.0223403,0.0471356,0.0177817,0.0738569,0,0.0282019,0.0445412,0.0421439,0,0,0.0197925,0,0.0188055,0.0594768,0.0430422,0.0290941,0.0389796,0.0335726,0.0368668,0.0472594,0.0971169,0.0810632,0.128763,0.0726946,0.0541527,0.0453922,0.0602106,0.0434162,0.0452908,0.00698644,0.0525298,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.0260175,0,0,0,0.0475177,0,0.03081,0.0380492,0,0,0.0126488,0,0,0.014308,0.0376212,0.0427391,0.0264233,0.0247668,0.0394282,0.020102,0.0399202,0.0475428,0.0400371,0.0277219,0.0355411,0.0330492,0.0268591,0.0327835,0.0211675,0.047953,0,0.0772256,0,0.0287958,0.0484193,0.0426543,0,0,0.0191749,0,0.0188867,0.0580718,0.0474155,0.0278141,0.0343147,0.0342971,0.0363214,0.0515205,0.0966819,0,0.132811,0.0683947,0.050073,0.0422181,0.0561367,0.0492815,0.0457093,0.00709003,0.0518713,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0.0251771,0,0,0,0.0465705,0,0.0312286,0,0,0,0.0169706,0,0,0.0416682,0.0344911,0.0405163,0.0309358,0.02446,0.042528,0.0191757,0.0390878,0.0475572,0.0398419,0.0256729,0.034391,0.0311871,0.0263761,0.032877,0.0215846,0.046503,0.0114212,0.0739592,0,0.0274748,0.0443766,0.0420032,0,0,0.0194155,0,0.0184313,0.0616372,0.0455226,0.0309796,0.0373779,0.0358996,0.036154,0.048225,0.0968648,0.0819311,0.129631,0.0713211,0.0533001,0.0439988,0.0587079,0.0436442,0.0455313,0.00722867,0.0528448,0,0,0,0.0158157,0,0,0
3,0,0,0,0,0,0,0.0254343,0,0,0,0.0444571,0,0.0298837,0.0359728,0,0,0.0170626,0,0,0.0420404,0.0362194,0.0371281,0.0282581,0.0237217,0.0400869,0.0204205,0.0407617,0.0481342,0.0388157,0.0239978,0.0346259,0.0317273,0.0262649,0.0328864,0.0224783,0.0460614,0.0102644,0.0710359,0,0.0270579,0.0445314,0.0416993,0,0,0.0192084,0,0.0183686,0.0603282,0.0460292,0.0305889,0.0360691,0.0328864,0.0358401,0.0480447,0.095987,0.0818246,0.130413,0.070986,0.053299,0.0436738,0.0586683,0.0408499,0.0456081,0.00733507,0.0523182,0,0,0,0.0128589,0,0,0
4,0,0,0,0,0,0,0.0252639,0,0,0,0.0422857,0,0.028232,0.0380417,0,0,0.0172064,0,0,0.0420646,0.0330801,0.0337088,0.0288847,0.0232398,0.0411825,0.0190073,0.0379908,0.0462172,0.0388981,0.0223322,0.0351244,0.033252,0.0244907,0.0311431,0.021089,0.0464155,0.0108251,0,0,0.0493707,0.0442327,0.0423481,0,0,0.0182959,0,0.0184561,0.0598677,0,0.030932,0.0304988,0.0352654,0.0354997,0.0514846,0.0962807,0.0866527,0.133199,0.0600463,0.0422074,0.0313962,0.046156,0.0543391,0.0462419,0.00778353,0.0525769,0,0,0,0.0113784,0,0,0
5,0,0,0,0,0,0,0.0255305,0,0,0,0.0378574,0,0.0268087,0.0352298,0,0,0.0164518,0,0,0.0420758,0.034055,0.0318594,0.0294198,0.0229892,0.0407394,0.0207565,0.0378344,0.0460736,0.0398692,0.0225002,0.0351967,0.0337387,0.0228202,0.0298904,0.0218732,0.0463395,0.0111865,0.0688479,0,0.0278507,0.042422,0.0412471,0,0,0.0185656,0,0.0183594,0.0614744,0.0491555,0.0314947,0.0344257,0.031855,0.0344536,0.0483997,0.0953468,0.0820327,0.131402,0.0695116,0.0519656,0.0421151,0.0574195,0.0391819,0.0464258,0.00740376,0.0524858,0,0,0,0.0103049,0,0,0
6,0,0,0,0,0,0,0.0252376,0,0,0,0.0360221,0,0.0271235,0.0346324,0,0,0.0162998,0,0,0.0421315,0.0337179,0.0305585,0.029593,0.0235611,0.0405342,0.0210693,0.0362976,0.0452949,0.0408499,0.0244635,0.0350732,0.0337255,0.0214137,0.0293237,0.0207256,0.0462902,0.0111642,0.0664392,0,0.0282999,0.0416288,0.0411246,0,0,0.0187824,0,0.018489,0.0618603,0.0502749,0.0315346,0.033339,0.0313549,0.0341755,0.0485812,0.094743,0.0823104,0.132307,0.0688801,0.0512942,0.0410845,0.0566297,0.03678,0.046601,0.00740777,0.052852,0,0,0,0.0101992,0,0,0
7,0,0,0,0,0,0,0.0248397,0,0,0,0.0350423,0,0.0275488,0.0348164,0,0,0.0163372,0,0,0.0419984,0.0326703,0.0293589,0.0298262,0.0246243,0.0407,0.0212825,0.0347663,0.044834,0.0411894,0.0258637,0.0347678,0.033632,0.0209623,0.0295781,0.0197201,0.046218,0.0117892,0.065647,0,0.0290164,0.0403423,0.0408299,0,0,0.0188123,0,0.0133766,0.062387,0.0516446,0.0316711,0.0317068,0.0316763,0.0347832,0.0495295,0.0933478,0.0834529,0.133525,0.0680556,0.0506641,0.040137,0.0553997,0.0371969,0.0467974,0,0.0537685,0,0,0,0.00944865,0,0,0
8,0,0,0,0,0,0,0.0241812,0,0,0,0.0350739,0,0.0277374,0.0349331,0,0,0.0161359,0,0,0.04213,0.0318413,0.0287152,0.0300814,0.0245385,0.0408357,0.0220759,0.03449,0.0453378,0.0404587,0.0255887,0.0341242,0.0338039,0.0210256,0.0305165,0.0190308,0.0461737,0.0114862,0.0627592,0,0.030084,0.0394778,0.0408782,0,0,0.019239,0,0.0189475,0.0626279,0.0530615,0.0321084,0.0308471,0.0315859,0.0345114,0.0504709,0.0927041,0.0845114,0.134673,0.0675648,0.0503458,0.0388474,0.0541804,0.0345521,0.046479,0.00761228,0.054459,0,0,0,0.00965013,0,0,0
