Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRB,T10,x69,x70,x71,x72,LASI,
All Timesteps RMSE,0,0,0,0,0,0,0.0309089,0,0,0,0.0407444,0,0.0279139,0,0,0.0183621,0,0,0.0189337,0.0368096,0.0373484,0.0215626,0.0261377,0.0330445,0.0356632,0.0344793,0.042259,0.0381294,0.0262876,0.035171,0.0346707,0.0220448,0.0279505,0.0313184,0.0455842,0.00346345,0.0373782,0,0.0205618,0.039682,0.0390013,0,0,0.00837548,0,0,0.0285618,0.0568939,0.0351932,0.014726,0.0305691,0.0306031,0.0333099,0.0536264,0.0855699,0.0862058,0.05856,0.0705942,0.0508638,0.0409268,0.065204,0.0299045,0.0592357,0.0153829,0.0722261,0,0,0,0,0.0301585,0
0,0,0,0,0,0,0,0.0311008,0,0,0,0.0415069,0,0.032076,0,0,0.0172303,0,0,0.0180403,0.0303046,0.0340684,0.0245309,0.0265237,0.0324308,0.0346549,0.0234177,0.0317823,0.0396146,0.0306333,0.0344935,0.0335803,0.0191735,0.028783,0.0143468,0.0427688,0.00271002,0.0460293,0,0.0222216,0.0411481,0.0384254,0,0,0.00360827,0,0,0.0319355,0.0598287,0.0328751,0.00389399,0.0279024,0.0328489,0.0328379,0.0604627,0.089716,0.0903925,0.0668077,0.0743454,0.0565422,0.0486708,0.0708534,0.013491,0.0603623,0.0184557,0.0712932,0,0,0,0,0,0
1,0,0,0,0,0,0,0.0324099,0,0,0,0.0419024,0,0.0322243,0,0,0.0147244,0,0,0.0160859,0.0309538,0.0343022,0.0246733,0.0269339,0.0321965,0.0350175,0.0236481,0.0319573,0.0394075,0.0305871,0.034674,0.0334743,0.0192984,0.0291321,0.014268,0,0.00368933,0.0468378,0,0.023149,0.041485,0.032917,0,0,0.00330208,0,0,0.0306363,0.0591799,0.0339239,0.00542486,0.0297936,0.0322524,0.0345876,0.0612556,0.0877039,0.091227,0.0689615,0.0729836,0.0563397,0.048084,0.0709915,0.0139172,0.0593196,0.0173157,0.0705007,0,0,0,0,0,0
2,0,0,0,0,0,0,0.0318974,0,0,0,0.0430956,0,0.0321517,0,0,0.0163361,0,0,0.0190222,0.0318228,0.0338397,0.0248672,0.0276441,0.0320025,0.0340824,0.0237625,0.0309429,0.0391767,0.0311216,0.0352933,0.0338881,0.019832,0.0295837,0.0143672,0.0477056,0.00320675,0.0494839,0,0.0245114,0.0417038,0.0388027,0,0,0.00340706,0,0,0.0307284,0.0591531,0.0359486,0.00551823,0.0318293,0.0306928,0.0326057,0.0605283,0.0854104,0.0902934,0.069384,0.0723732,0.0565788,0.0481059,0.0707748,0.014375,0.0606086,0.0172737,0.0708727,0,0,0,0,0,0
3,0,0,0,0,0,0,0.0314128,0,0,0,0.041446,0,0.0297685,0,0,0.0173455,0,0,0.018559,0.0320353,0.0329272,0.025126,0.0286759,0.030313,0.0343239,0.0239208,0.0293568,0.0387307,0.0320949,0.0367812,0.0346534,0.0219004,0.0312059,0.0131452,0.0471162,0.00317853,0.0491034,0,0.0238383,0.0411904,0.0387695,0,0,0.0072098,0,0,0.0334872,0.059003,0.0376949,0.00791863,0.0335536,0.0287288,0.0326349,0.0594146,0.0836428,0.0893334,0.0694942,0.0746684,0.0591327,0.0493681,0.0712862,0.0186648,0.0607851,0.0180412,0.0702071,0,0,0,0,0,0
4,0,0,0,0,0,0,0.0311412,0,0,0,0.0448091,0,0.0278838,0,0,0.017529,0,0,0.0180863,0.0321185,0.0315582,0.0251369,0.0285964,0.0300925,0.0335678,0.023969,0.0291917,0.0386981,0.0333347,0.0374349,0.0353754,0.0230044,0.0325328,0.0134851,0.0454455,0.00304383,0.0507584,0,0.0245629,0.0402757,0.0386316,0,0,0.00786903,0,0,0.0334224,0.0585234,0.0394176,0.0085678,0.0346431,0.0279962,0.0322089,0.0588035,0.0831486,0.0886664,0.06938,0.07575,0.0599565,0.0497654,0.0715242,0.0194081,0.0614567,0.0187368,0.0695842,0,0,0,0,0,0
5,0,0,0,0,0,0,0.031071,0,0,0,0.0432641,0,0.0292699,0,0,0.0171692,0,0,0.0176068,0.0348695,0.0324299,0.0227375,0.0303072,0.031109,0.0340013,0.0247439,0.027614,0.0387598,0.0339271,0.0378099,0.0349814,0.0229487,0.0318137,0.0138043,0.0459189,0.00214753,0.0498308,0,0.0245455,0.0419661,0.0385755,0,0,0.00798083,0,0,0.0276979,0.0568096,0.0408405,0.00974382,0.034603,0.0277094,0.0326111,0.057196,0.0827374,0.087805,0.0678295,0.0764573,0.0601068,0.0500267,0.0719793,0.0217737,0.0615052,0.0161777,0.0698339,0,0,0,0,0.0268482,0
6,0,0,0,0,0,0,0.0309356,0,0,0,0.0432487,0,0.0291319,0,0,0.0174755,0,0,0.0171272,0.0326538,0.0336562,0.0249904,0.0295491,0.0297734,0.0335116,0.0240579,0.028485,0.0386087,0.0323315,0.0369212,0.0340573,0.021916,0.030894,0.0142984,0.0454956,0.00219081,0.0492232,0,0.0244368,0.0404331,0.0388427,0,0,0.00833886,0,0,0.0275052,0.0588836,0.0407043,0.00848398,0.0349963,0.0277223,0.0325272,0.0580858,0.0827592,0.0879885,0.0684938,0.0752874,0.0591921,0.0493264,0.0711763,0.0213576,0.0614323,0.0160165,0.0689418,0,0,0,0,0,0
7,0,0,0,0,0,0,0.0311092,0,0,0,0.0455189,0,0.0280197,0,0,0.0169925,0,0,0.0179183,0.0353019,0.0324057,0.0218284,0.030095,0.0314438,0.0328447,0.0248602,0.0273861,0.0391743,0.0344644,0.037458,0.0344605,0.0222453,0.0322368,0.0155699,0.0473743,0.002778,0.045646,0,0.0222661,0.0416237,0.0389016,0,0,0.00783174,0,0,0.0281533,0.0570489,0.0380156,0.00888809,0.0334961,0.0284521,0.0319409,0.0579503,0.0836805,0.0875181,0.0663984,0.0745037,0.0583353,0.0493052,0.071695,0.0214839,0.0615337,0.0159167,0.0695188,0,0,0,0,0.0319975,0
8,0,0,0,0,0,0,0.0318448,0,0,0,0.0497903,0,0.0304298,0,0,0.016558,0,0,0.0184733,0.0323331,0.0343895,0.0250669,0.0283965,0.0310191,0.0318678,0.0239452,0.0302143,0.038924,0.0312781,0.0349448,0.0329544,0.019246,0.0291656,0.019007,0.0489055,0.00330771,0.0460612,0,0.0226896,0.0404587,0.0390669,0,0,0.0068923,0,0,0.0288669,0.0596545,0.0377978,0.00567243,0.0333064,0.029639,0.0315699,0.0599545,0.0845034,0.0883503,0.0679783,0.0725015,0.0558172,0.0475851,0.0704975,0.0188449,0.0608382,0.0157927,0.0691141,0,0,0,0,0,0
