Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRB,T10,x68,x69,x70,x72,STRN,x73
All Timesteps RMSE,0,0,0,0,0,0,0.0309352,0.0335148,0,0,0,0.0520586,0,0.0270639,0.0345753,0,0,0.0217799,0,0,0.0441405,0.0392751,0.0338268,0.0219817,0.0241858,0.036405,0.0387764,0.0346534,0.0440393,0.0400173,0.0257791,0.0346566,0.0339619,0.0218849,0.0276828,0.0219208,0.0373361,0.0118681,0.011957,0.0395041,0,0.0295748,0.041583,0.037396,0,0,0.0284224,0,0,0.019784,0.055455,0.0117012,0.0330736,0.0332317,0.0451508,0.0534804,0.0853511,0.0881888,0.0590193,0.0692037,0.0492665,0.0391296,0.0642835,0.0319603,0.0495611,0.0119899,0.0708053,0,0,0,0,0.036753,0
0,0,0,0,0,0,0,0.0297646,0.0336616,0,0,0,0.0441395,0,0.0279287,0.0351576,0,0,0.0250053,0,0,0.0459904,0.0309082,0.0301323,0.0224653,0.0243501,0.0366332,0.0457698,0.0260727,0.0372511,0.0404937,0.0276771,0.0354088,0.0368212,0.0207963,0.0284397,0.0118533,0.0348605,0.0122599,0.0111508,0.0321233,0,0.0374755,0.0383795,0.0341168,0,0,0.0265325,0,0,0.0212853,0.0595972,0.00904158,0.0428741,0.0386168,0.0449981,0.0569087,0.0906211,0.0905642,0.0565113,0.062539,0.0353521,0.022864,0.0594629,0.0654531,0.0513979,0.0126854,0.0748713,0,0,0,0,0,0
1,0,0,0,0,0,0,0.0297065,0.033594,0,0,0,0.0442402,0,0.0279065,0.0352939,0,0,0.0249795,0,0,0.0454258,0.0307057,0.030378,0.0220497,0.0242951,0.0363101,0.0455852,0.0257333,0.0370383,0.0407052,0.0276566,0.035338,0.0366818,0.0206644,0.0284102,0.011766,0.0348123,0.0116856,0.0113833,0.0319411,0,0.037118,0.038149,0.0340421,0,0,0.0265745,0,0,0.0212219,0.0594344,0.00902421,0.0418448,0.0384659,0.0452409,0.057393,0.0907578,0.0909896,0.0573657,0.0633597,0.036671,0.023002,0.0601049,0.0661341,0.0512893,0.0126718,0.0746651,0,0,0,0,0,0
2,0,0,0,0,0,0,0.0324036,0.029796,0,0,0,0.0443967,0,0.0279719,0.0352451,0,0,0.0251658,0,0,0.0461651,0.0306176,0.0304401,0.0221527,0.0245349,0.0366152,0.0461269,0.0253238,0.0367011,0.040822,0.0278498,0.035463,0.0366296,0.0206751,0.0284433,0.0119558,0.033868,0.0127138,0.0113044,0.0323069,0,0.0362545,0.0382314,0.0350251,0,0,0.0275021,0,0,0.0207906,0.0594768,0.00939813,0.0410449,0.0389856,0.0460824,0.05722,0.0909926,0.0904753,0.0566,0.064541,0.0383438,0.024073,0.060754,0.0662227,0.0486429,0.012503,0.0753666,0,0,0,0,0.0343663,0
3,0,0,0,0,0,0,0.0323696,0.0296774,0,0,0,0.0444108,0,0.02814,0.0354323,0,0,0.0249691,0,0,0.0463432,0.0303756,0.0307469,0.0225567,0.0247283,0.0363182,0.0458332,0.0250097,0.0365663,0.0409386,0.0278661,0.0354139,0.0364933,0.0206755,0.0284169,0.0122786,0.0339236,0.0126178,0.0115709,0.032625,0,0.034954,0.0382136,0.0348666,0,0,0.0274887,0,0,0.0207412,0.0593042,0.00930243,0.0398486,0.0389895,0.0460453,0.0571537,0.0917932,0.0905401,0.0564949,0.065528,0.0395192,0.025329,0.0611663,0.0660125,0.0485631,0.0125366,0.0749402,0,0,0,0,0.0345398,0
4,0,0,0,0,0,0,0.0323044,0.0296221,0,0,0,0.044349,0,0.0284803,0.035737,0,0,0.0247238,0,0,0.0459481,0.0301108,0.0311045,0.0226215,0.0249432,0.0359919,0.0454423,0.0247726,0.0361027,0.0409582,0.027732,0.0353278,0.0362095,0.0206411,0.0283247,0.0122701,0.0340671,0.0121707,0.0118042,0.03279,0,0.0334947,0.0379533,0.0347496,0,0,0.0274906,0,0,0.0206873,0.0591835,0.00908293,0.0385554,0.0389374,0.0460625,0.0568826,0.0923821,0.0908228,0.0567767,0.0665679,0.0404689,0.0265459,0.0615964,0.0651172,0.048347,0.0125771,0.0745861,0,0,0,0,0.0347036,0
5,0,0,0,0,0,0,0.0323371,0.0295892,0,0,0,0.0447507,0,0.0288172,0.035857,0,0,0.0245117,0,0,0.0456787,0.0299871,0.031401,0.0228004,0.0251182,0.0357634,0.0451547,0.0245419,0.0357675,0.0409828,0.0276041,0.0353462,0.0358664,0.0205772,0.0282422,0.0121494,0.0342297,0.0119508,0.0118883,0.0325773,0,0.0324073,0.03773,0.0346699,0,0,0.0275716,0,0,0.0207025,0.0590309,0.00868341,0.0372258,0.038841,0.0460634,0.0568759,0.092882,0.0911102,0.0570529,0.067492,0.0414501,0.0275335,0.0620235,0.0636399,0.0487123,0.0125738,0.0742542,0,0,0,0,0.034786,0
6,0,0,0,0,0,0,0.0324144,0.0296473,0,0,0,0.0453059,0,0.0291674,0.0358451,0,0,0.0242519,0,0,0.0456395,0.0299648,0.0316477,0.0230253,0.0252554,0.0355514,0.0448457,0.0242797,0.0355075,0.0410201,0.0275296,0.0354573,0.0354681,0.020549,0.0282081,0.0120827,0.0343046,0.0119726,0.0119281,0.0322664,0,0.0314927,0.0374661,0.0346078,0,0,0.0275505,0,0,0.0206399,0.0587895,0.00875898,0.0358051,0.0387035,0.0460486,0.057236,0.0935355,0.0913121,0.0572831,0.0681968,0.0423198,0.0286163,0.0623297,0.0613843,0.0492092,0.0126584,0.0738181,0,0,0,0,0.0347872,0
7,0,0,0,0,0,0,0.0273784,0.0332865,0,0,0,0.0454572,0,0.0298943,0.035509,0,0,0.0253639,0,0,0.046395,0.0304185,0.0326347,0.024308,0.0248778,0.036989,0.043592,0.024588,0.0359773,0.0413941,0.0270688,0.0349695,0.0345322,0.0201417,0.0281352,0.0121341,0.0322208,0.0122773,0.0116493,0.0316742,0,0.0303209,0.0379864,0.0367388,0,0,0.0243606,0,0,0.0207053,0.0579979,0.00844667,0.0341022,0.0396519,0.0412061,0.057748,0.0944627,0.0917329,0.0578188,0.068641,0.0431126,0.0298321,0.0625115,0.0592511,0,0.0150221,0.0709761,0,0,0,0,0.0369166,0
8,0,0,0,0,0,0,0.0274257,0.0334734,0,0,0,0.0457931,0,0.0301938,0.0357682,0,0,0.0253367,0,0,0.0464817,0.0305535,0.0327791,0.024543,0.0249119,0.036748,0.0432771,0.0243538,0.0356709,0.0414489,0.0273339,0.035067,0.0344234,0.0201729,0.0284936,0.0120987,0.0325871,0.0126563,0.0113746,0.030993,0,0.0290126,0.0379112,0.0367064,0,0,0.0243294,0,0,0.0204957,0.0578461,0.00796537,0.0327046,0.0393697,0.0411074,0.0578641,0.0950474,0.0922384,0.0583656,0.0691826,0.043989,0.031132,0.062622,0.0556681,0,0.0148459,0.0706186,0,0,0,0,0.0370178,0
