Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,RTIBA
All Timesteps RMSE,0,0,0,0,0.0565296,0.0553671,0,0,0,0.0306842,0,0.019159,0.0542182,0,0,0.0204916,0,0,0.039902,0.0624595,0.0382825,0.0338468,0.0252041,0.0677271,0.0454133,0.051208,0.0703578,0.0515993,0.019041,0.0572462,0.0589981,0.0307571,0.0382424,0.036975,0.0362289,0.0145638,0.0149688,0.0209414,0,0.0253395,0.0580793,0.0330822,0,0,0.0224709,0,0,0.0244651,0.0758808,0.0234104,0.023947,0.0258077,0.0588259,0.0400621,0.0680587,0.0842755,0.0543032,0.0277808,0.0216681,0.0165219,0.0311665,0.0358575,0.0367097,0.00717662,0.0147535,0.0523932,0.067314,0,0,0,0,0.0265595
0,0,0,0,0,0.0499603,0.0616336,0,0,0,0.0348397,0,0.023702,0.0588115,0,0,0.0209402,0,0,0.0411342,0.0554007,0.0316672,0.0385731,0.025949,0.0728169,0.048194,0.0498244,0.0645171,0.0473289,0.0219211,0.0541624,0.0571945,0.0303853,0.0327957,0.0115579,0.0354683,0.0145389,0.0185488,0.031339,0,0.0239681,0.0566516,0.0323921,0,0,0.0203726,0,0,0.0303636,0.0753355,0.0259692,0.0201793,0.0186021,0.0622092,0.0530076,0.0671765,0.0823408,0.0532218,0.030728,0.0210035,0.0165969,0.0313996,0.017166,0.0316653,0.00886966,0.0245113,0.0599087,0.0506157,0,0,0,0,0
1,0,0,0,0,0.0500451,0.0614218,0,0,0,0.0346271,0,0.0239132,0.058809,0,0,0.0211608,0,0,0.0410675,0.0553623,0.0319829,0.0385025,0.0261953,0.0726891,0.0481526,0.0497858,0.0643569,0.0472444,0.0221761,0.0538885,0.0570992,0.0303467,0.032591,0.0118812,0.0355936,0.0145909,0.0188135,0.0313694,0,0.0245191,0.0567377,0.0324174,0,0,0.0203965,0,0,0.0301363,0.0753049,0.0259752,0.0201298,0.0184659,0.0622967,0.0528321,0.067265,0.0823537,0.053151,0.0309663,0.0210361,0.0167068,0.0313586,0.0171462,0.0318671,0.00903755,0.0247426,0.0596648,0.0505091,0,0,0,0,0
2,0,0,0,0,0.0501047,0.0613167,0,0,0,0.0344708,0,0.0239782,0.0588901,0,0,0.0212243,0,0,0.041275,0.0555527,0.0320948,0.038643,0.0263066,0.0725177,0.0482508,0.0498763,0.064276,0.0471832,0.0222644,0.0538257,0.0570643,0.0303347,0.0325152,0.0120571,0.0356453,0.0148581,0.0188182,0.0314103,0,0.0246471,0.0567023,0.0324407,0,0,0.0204583,0,0,0.0301096,0.0753612,0.0259742,0.0200936,0.0184766,0.062279,0.0527882,0.0672568,0.0823562,0.053159,0.030775,0.021031,0.0166963,0.0313769,0.0171207,0.0318404,0.00906816,0.0248777,0.0595234,0.0502045,0,0,0,0,0
3,0,0,0,0,0.0501064,0.0612891,0,0,0,0.0342743,0,0.0240306,0.0590085,0,0,0.0212623,0,0,0.0414256,0.056016,0.0322126,0.038741,0.02641,0.0724234,0.048356,0.0500553,0.0642579,0.0471306,0.0222509,0.0537727,0.0570134,0.0302834,0.0324268,0.012201,0.0357003,0.0151082,0.0187697,0.0313713,0,0.0244792,0.0566237,0.0324291,0,0,0.0205444,0,0,0.0300774,0.0754166,0.0259905,0.0200783,0.0185092,0.062253,0.0527783,0.0672316,0.082357,0.053172,0.0306789,0.0210244,0.0166345,0.0313584,0.0171912,0.0317824,0.00908671,0.025014,0.059458,0.050178,0,0,0,0,0
4,0,0,0,0,0.0500967,0.0612946,0,0,0,0.0341317,0,0.0240806,0.0590849,0,0,0.0212956,0,0,0.0415439,0.0562296,0.0323263,0.0387607,0.0265114,0.0724458,0.0483904,0.0500913,0.0642223,0.0471023,0.0221777,0.0537103,0.0569526,0.0302365,0.0323414,0.012335,0.0357607,0.0153386,0.0186654,0.0312852,0,0.0242186,0.0565801,0.0324248,0,0,0.0206568,0,0,0.030043,0.0754363,0.0260104,0.0201069,0.0185149,0.0622428,0.0528305,0.0672097,0.0823714,0.0531652,0.0306859,0.0210205,0.0165511,0.0313087,0.0172884,0.0317297,0.00905722,0.0251686,0.0593958,0.0500648,0,0,0,0,0
5,0,0,0,0,0.0483627,0.0627035,0,0,0,0.0343279,0,0.0240476,0.0592146,0,0,0.0208032,0,0,0.0414504,0.0562474,0.0323976,0.0388989,0.0263349,0.0725153,0.04794,0.0501239,0.0643453,0.0472011,0.0222615,0.0536634,0.0568656,0.0301611,0.0323763,0.0122509,0.0364468,0.0151685,0.0188143,0.0312541,0,0.0243942,0.0566559,0.0306804,0,0,0.0212546,0,0,0.0302138,0.0753738,0.0259917,0.0200748,0.0184852,0.0619851,0.0531803,0.0672104,0.082375,0.0531246,0.0306572,0.0210487,0.0165924,0.0312855,0.0173371,0.0310101,0.00907738,0.0255179,0.060374,0.0500511,0,0,0,0,0
6,0,0,0,0,0.0503364,0.0612177,0,0,0,0.0343655,0,0.0240579,0.0591809,0,0,0.0211968,0,0,0.042077,0.0562019,0.0323065,0.0387391,0.0263992,0.0725529,0.04849,0.0496955,0.0641966,0.0470777,0.0222316,0.0537285,0.0569602,0.030235,0.0324191,0.0121755,0.0355708,0.0151923,0.0191156,0.0313662,0,0.0245577,0.0565164,0.0327973,0,0,0.0207109,0,0,0.0299845,0.0754125,0.0260116,0.0202635,0.0184175,0.0623085,0.0528974,0.0672535,0.0824325,0.0531928,0.0308433,0.0210174,0.0166542,0.0312683,0.0172357,0.0317029,0.00910575,0.0251364,0.0593182,0.0496268,0,0,0,0,0
7,0,0,0,0,0.0503542,0.0613162,0,0,0,0.0343847,0,0.0240771,0.059211,0,0,0.0211677,0,0,0.0422456,0.0562214,0.0323488,0.0387027,0.0263746,0.072554,0.0486713,0.0494759,0.0641719,0.0470876,0.0222387,0.0537271,0.0569626,0.0301907,0.032442,0.0121509,0.0355212,0.0153266,0.0190141,0.0313566,0,0.0245951,0.056518,0.0328206,0,0,0.0208578,0,0,0.0299866,0.0753832,0.0260006,0.0202941,0.0183639,0.0623945,0.052937,0.067277,0.0824348,0.0532028,0.0310374,0.0209116,0.0166696,0.0312783,0.0172446,0.031615,0.00907973,0.0250454,0.0594309,0.0495009,0,0,0,0,0
8,0,0,0,0,0.0503903,0.0613619,0,0,0,0.0344533,0,0.024085,0.0592264,0,0,0.0211117,0,0,0.0424025,0.056252,0.0323569,0.0386652,0.0263172,0.0725051,0.0487516,0.0493806,0.0641808,0.047093,0.0222793,0.053718,0.0569558,0.0301567,0.032458,0.012057,0.0354782,0.0154085,0.0189065,0.0313886,0,0.0245255,0.0564932,0.0328282,0,0,0.0209993,0,0,0.030008,0.0754047,0.0259919,0.0202602,0.0183578,0.0624838,0.0529892,0.0672751,0.0824106,0.0532017,0.0310021,0.0207804,0.0166799,0.0313323,0.017232,0.0314965,0.00916941,0.0248624,0.0595529,0.0494358,0,0,0,0,0
