Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTIBI,x71,
All Timesteps RMSE,0,0,0,0,0.055828,0.0555957,0,0,0,0.0311457,0,0.0186651,0.0520691,0,0,0.0212678,0,0,0.0391667,0.0618388,0.0380988,0.0337807,0.0243005,0.0690054,0.0449004,0.0523818,0.071679,0.052377,0.0179696,0.0576503,0.0589648,0.0310077,0.0392603,0.0403649,0.0360156,0.0143961,0.0148816,0.0221677,0,0.0232405,0.0589155,0.0320238,0,0,0.0223739,0,0,0.0241355,0.0746673,0.0330219,0.0244726,0.0257203,0.06032,0.0386183,0.0684826,0.088752,0.0596174,0.0241531,0.116985,0.0288288,0.0275551,0.0400714,0.0364976,0.00699244,0.0152223,0.0521624,0.0633711,0,0,0,0.0139603,0,0
0,0,0,0,0,0.0536711,0.0564616,0,0,0,0.0318897,0,0.0239219,0.0581829,0,0,0.02024,0,0,0.0409041,0.0571537,0.0374742,0.0370894,0.0248453,0.0673026,0.0451733,0.0501052,0.0660272,0.0504124,0.0233204,0.0552034,0.0581969,0.030618,0.0332359,0.0185237,0.0355153,0.0150056,0.0145082,0.023555,0,0.0229182,0.0576863,0.0343861,0,0,0.0196006,0,0,0.0278516,0.0750972,0.02186,0.0200717,0.0221634,0.0566776,0.0466721,0.0653227,0.0829861,0.0561533,0.02877,0.0248308,0.0280003,0.0346748,0.0245465,0.0332432,0.00856636,0.0223614,0.0517829,0.0565668,0,0,0,0,0,0
1,0,0,0,0,0.0538646,0.0562216,0,0,0,0.0312515,0,0.0240053,0.0580515,0,0,0.0204613,0,0,0.0406511,0.0573399,0.0369623,0.0370876,0.0252903,0.0674534,0.0452353,0.0502053,0.0658803,0.050248,0.0231958,0.0547854,0.057991,0.0305794,0.0330427,0.0184569,0.0355147,0.0150317,0.0147744,0.0235214,0,0.0229305,0.057537,0.0344041,0,0,0.0196811,0,0,0.0276979,0.0751714,0.0218027,0.0197684,0.022227,0.0569864,0.0464376,0.0651787,0.0829487,0.0561913,0.0288306,0.0245165,0.0279119,0.0347549,0.0245089,0.0332825,0.0087106,0.0222788,0.0514589,0.0569458,0,0,0,0,0,0
2,0,0,0,0,0.0539658,0.056068,0,0,0,0.0307953,0,0.0241877,0.0579202,0,0,0.0206058,0,0,0.0405224,0.0575219,0.0365245,0.0370779,0.0258686,0.0675591,0.0452905,0.0504751,0.0658491,0.0500019,0.0231954,0.0545286,0.0576883,0.0304351,0.0326422,0.0183318,0.0355151,0.0151111,0.0148887,0.0235426,0,0.022842,0.0573634,0.0344144,0,0,0.0196694,0,0,0.0275776,0.0751186,0.0217901,0.0196273,0.0222388,0.057313,0.0461608,0.0651813,0.0829984,0.0562042,0.028939,0.0244047,0.0280154,0.0347846,0.0244734,0.0333676,0.0087369,0.0221386,0.0512235,0.0572593,0,0,0,0,0,0
3,0,0,0,0,0.0540006,0.0559565,0,0,0,0.0303208,0,0.024343,0.0577751,0,0,0.0207077,0,0,0.0404125,0.0577421,0.0360674,0.0370666,0.0266209,0.0676572,0.0454241,0.0509057,0.0658443,0.0497048,0.023327,0.054174,0.0573638,0.0302463,0.0321473,0.018341,0.0355705,0.0151384,0.0150033,0.023612,0,0.0227054,0.0572346,0.0343474,0,0,0.0196737,0,0,0.0274515,0.0750076,0.0217949,0.0195271,0.0221749,0.057612,0.0458663,0.0652649,0.0830872,0.0561693,0.0290264,0.0243808,0.0283581,0.034678,0.0243944,0.0334653,0.00871426,0.0219536,0.0510293,0.0575819,0,0,0,0,0,0
4,0,0,0,0,0.0543232,0.0555552,0,0,0,0.0339917,0,0.022302,0.0573336,0,0,0.0212441,0,0,0.0399019,0.0580947,0.0393225,0.0369827,0.029586,0.0680163,0.0454712,0.0523872,0.0657885,0.0487648,0.0239147,0.0522059,0.0571744,0.0285911,0.0275319,0.0221312,0.0354613,0.0154841,0.0154085,0.0234624,0,0.0227758,0.0569455,0.0345457,0,0,0.0197874,0,0,0.0271942,0.075064,0.0216887,0.0194008,0.022297,0.0583478,0.045558,0.0652139,0.0831012,0.0561976,0.0292905,0.0245928,0.0282908,0.0347937,0.0245034,0.0336244,0.00887837,0.0217384,0.0504872,0.058067,0,0,0,0,0,0
5,0,0,0,0,0.0544301,0.0554715,0,0,0,0.0310326,0,0.0234957,0.0571732,0,0,0.0212757,0,0,0.0398789,0.0581098,0.0363965,0.0369667,0.0294789,0.0680774,0.0456391,0.0524067,0.0658799,0.0487324,0.0237855,0.0524872,0.0567223,0.0291447,0.0292796,0.0195714,0.0354992,0.0154324,0.0154691,0.0236131,0,0.0235637,0.0568523,0.0344436,0,0,0.0198634,0,0,0.027049,0.0749533,0.0217391,0.0193509,0.0221825,0.0585361,0.0451936,0.0653373,0.083249,0.0561586,0.0295059,0.0244311,0.0284729,0.0346356,0.0244088,0.033722,0.00876224,0.0214788,0.0503549,0.0583697,0,0,0,0,0,0
6,0,0,0,0,0.0545158,0.0554074,0,0,0,0.028925,0,0.0252134,0.0569925,0,0,0.02132,0,0,0.0398502,0.0580418,0.0341508,0.0369638,0.0293833,0.06813,0.0458457,0.0524417,0.0659995,0.048727,0.023709,0.0528008,0.0563776,0.0298078,0.0308653,0.0182396,0.035555,0.0153832,0.0155156,0.0234591,0,0.024001,0.0568047,0.0343532,0,0,0.0199295,0,0,0.0268666,0.0748781,0.0218551,0.019294,0.0220104,0.0587046,0.0448431,0.0654238,0.0833204,0.0561111,0.0297283,0.0242894,0.0286427,0.0344585,0.0246299,0.0338079,0.00858498,0.0211995,0.0502519,0.0586936,0,0,0,0,0,0
7,0,0,0,0,0.0545933,0.0553592,0,0,0,0.0295198,0,0.0248918,0.0567184,0,0,0.0213605,0,0,0.0398179,0.0578421,0.0335464,0.0369199,0.0286833,0.0682319,0.0461136,0.0525707,0.0663997,0.048805,0.0238236,0.0530341,0.056551,0.0298831,0.031037,0.0175316,0.0356104,0.0153726,0.0155547,0.0232476,0,0.0239525,0.0567006,0.0343305,0,0,0.0199395,0,0,0.0267152,0.0747673,0.0219184,0.0192638,0.0218781,0.0588583,0.044418,0.0655255,0.0834167,0.0560886,0.029931,0.0242555,0.0288068,0.0343156,0.0248562,0.0339658,0.00846128,0.0208896,0.0501851,0.0590215,0,0,0,0,0,0
8,0,0,0,0,0.0548522,0.0549436,0,0,0,0.0403907,0,0.0221537,0.0555417,0,0,0.0215764,0,0,0.03975,0.0573258,0.0298939,0.0361121,0.0218887,0.0685817,0.0464559,0.0521338,0.0696675,0.049793,0.0241293,0.0544359,0.0578658,0.0298768,0.0340711,0.00937696,0.0357287,0.0154621,0.0153573,0.0226693,0,0.0231008,0.0564519,0.0341428,0,0,0.0199921,0,0,0.0266713,0.0742464,0.0222048,0.0195474,0.0216148,0.0590342,0.0439342,0.0659639,0.0835257,0.0556392,0.0299883,0.024516,0.0291511,0.0342786,0.0257775,0.0340535,0.00819789,0.0206382,0.0498517,0.059532,0,0,0,0,0,0
