Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RASI,RTIBI,
All Timesteps RMSE,0,0,0,0,0.0569281,0.056034,0,0,0,0.0309052,0,0.0188315,0.051751,0,0,0.0215483,0,0,0.0395706,0.0618995,0.036844,0.034086,0.0247204,0.0668756,0.0440826,0.0520388,0.0713115,0.0521145,0.0181106,0.0576132,0.0595242,0.031072,0.0382342,0.0343377,0.0347754,0.0141023,0.0150063,0.0178152,0,0.0255027,0.0332927,0,0,0.0228373,0,0,0.0252627,0.0750469,0.0224923,0.0209715,0.0272604,0.0566414,0.0392734,0.0682965,0.0858872,0.0560741,0.026446,0.0263715,0.026119,0.0333554,0.0425277,0.0361065,0.00726177,0.0161328,0.0504316,0.0682137,0,0,0,0.0575534,0.024632,0
0,0,0,0,0,0.0603724,0.0533318,0,0,0,0.0222722,0,0.0162311,0.0456959,0,0,0.0213318,0,0,0.0376175,0.0673568,0.0388688,0.0340283,0.0260895,0.0694699,0.0423676,0.0532579,0.0731655,0.0524593,0.0129287,0.0587428,0.059279,0.0304316,0.0414165,0.0513048,0.0362158,0.0136564,0.0147758,0.0102666,0,0.0267674,0.0309881,0,0,0.0230264,0,0,0.0223716,0.0764612,0.0209591,0.0231386,0.0261195,0.0576501,0.0355971,0.070654,0.0858092,0.0524198,0.0227201,0.0210724,0.0259848,0.0284658,0.0516938,0.0405895,0.00737018,0.0097342,0.0486496,0.0767862,0,0,0,0,0,0
1,0,0,0,0,0.0603805,0.0533024,0,0,0,0.0221766,0,0.0161917,0.0455966,0,0,0.0213709,0,0,0.0376715,0.0672271,0.0385379,0.0341582,0.0259432,0.0695268,0.042334,0.0531744,0.0732596,0.0524236,0.012998,0.0587208,0.0593373,0.0303658,0.0412255,0.0508943,0.0361253,0.0137224,0.0148015,0.0102248,0,0.0266164,0.0310566,0,0,0.0231199,0,0,0.0223337,0.0764306,0.0208921,0.0230381,0.0256771,0.057661,0.0356932,0.0705921,0.085894,0.0524193,0.0228061,0.021077,0.0258622,0.0283578,0.0515172,0.0405976,0.0072578,0.00997199,0.0484553,0.0766785,0,0,0,0,0,0
2,0,0,0,0,0.0603772,0.0532923,0,0,0,0.0221015,0,0.0161647,0.045545,0,0,0.0213832,0,0,0.0377085,0.0670902,0.0382043,0.0342978,0.0258209,0.0695672,0.0422696,0.0530822,0.0734407,0.0523981,0.0130967,0.0586311,0.0593452,0.0303843,0.0410234,0.0503935,0.0360496,0.0137244,0.0148197,0.0101617,0,0.0266388,0.031102,0,0,0.0231081,0,0,0.0223221,0.0764422,0.0209312,0.0228724,0.0252993,0.0576145,0.0358348,0.0705292,0.0859761,0.0525952,0.02279,0.0209634,0.0262327,0.0283685,0.0512272,0.0405108,0.00716849,0.0101487,0.0482895,0.0765482,0,0,0,0,0,0
3,0,0,0,0,0.0603392,0.0533106,0,0,0,0.0220187,0,0.0161107,0.0455107,0,0,0.021388,0,0,0.0377374,0.0669679,0.037857,0.0344388,0.0256819,0.069573,0.042167,0.0531763,0.073571,0.0524166,0.0132385,0.0585456,0.0593594,0.0303875,0.0408202,0.049851,0.0359658,0.0137166,0.0148001,0.0100979,0,0.0265892,0.0311613,0,0,0.0231018,0,0,0.0223709,0.0764205,0.020923,0.0227085,0.0250623,0.0575505,0.0359905,0.0704724,0.0860496,0.0527523,0.0227893,0.0209368,0.0265901,0.0283972,0.0509649,0.0403825,0.00711654,0.0103383,0.0479834,0.0764097,0,0,0,0,0,0
4,0,0,0,0,0.0602799,0.0533389,0,0,0,0.02195,0,0.0160674,0.0455019,0,0,0.0214042,0,0,0.037774,0.0668376,0.0375216,0.0345519,0.0255078,0.0695594,0.0421036,0.05315,0.0737009,0.0524588,0.0133778,0.0584887,0.0593806,0.0304792,0.0406212,0.0492954,0.0358696,0.0137457,0.0147623,0.0100133,0,0.0264759,0.0312671,0,0,0.023075,0,0,0.0224711,0.0761722,0.0208013,0.0226736,0.0252131,0.0575036,0.0361368,0.0704861,0.0861118,0.0527815,0.022881,0.021023,0.0268321,0.0284583,0.0507203,0.0402672,0.00707966,0.0105402,0.0477774,0.0762503,0,0,0,0,0,0
5,0,0,0,0,0.0602043,0.0533625,0,0,0,0.0219122,0,0.0160432,0.045565,0,0,0.021419,0,0,0.0377868,0.0666777,0.0371877,0.0346784,0.02532,0.0695559,0.0421099,0.0532604,0.0738215,0.0524838,0.0135193,0.0584365,0.0594294,0.0305383,0.0404332,0.0487652,0.0357885,0.0137771,0.0147475,0.00995411,0,0.0263903,0.0313514,0,0,0.0230318,0,0,0.0225497,0.0755611,0.0207207,0.0225929,0.0252127,0.0574418,0.0362605,0.0704627,0.0861366,0.0527577,0.022932,0.021112,0.0269885,0.0285985,0.0505943,0.0401635,0.00702559,0.0107252,0.0474426,0.0760949,0,0,0,0,0,0
6,0,0,0,0,0.0601221,0.0533733,0,0,0,0.0218482,0,0.015993,0.0456356,0,0,0.0214077,0,0,0.0377737,0.0665288,0.0368676,0.0348094,0.0251518,0.0695792,0.0421278,0.0532064,0.0739722,0.0524783,0.0136948,0.0583774,0.0594795,0.0305253,0.0402733,0.0482353,0.0357021,0.0137791,0.0147661,0.00995453,0,0.0263186,0.0314309,0,0,0.0229297,0,0,0.0225826,0.0752939,0.0207341,0.0224636,0.0250742,0.0573658,0.0363611,0.0703854,0.0861654,0.0526947,0.0228421,0.0210744,0.0272331,0.0286979,0.0505414,0.0400397,0.00695141,0.0108985,0.0471587,0.0758004,0,0,0,0,0,0
7,0,0,0,0,0.0600153,0.0533951,0,0,0,0.0217715,0,0.0159606,0.0456655,0,0,0.0214142,0,0,0.0377987,0.0664059,0.0365412,0.034962,0.0249886,0.0695814,0.0421428,0.0533225,0.0741065,0.0525,0.0139328,0.0582742,0.0595018,0.0305122,0.0400542,0.0476929,0.0356291,0.013805,0.0147755,0.00998308,0,0.0262723,0.0314786,0,0,0.0228077,0,0,0.0227506,0.0752515,0.0207787,0.0223184,0.0248895,0.0572978,0.0364738,0.0703344,0.0862371,0.0526874,0.0228585,0.0210215,0.0274874,0.0287225,0.0505591,0.0398641,0.0069125,0.0110759,0.0470402,0.075476,0,0,0,0,0,0
8,0,0,0,0,0.0598701,0.0534422,0,0,0,0.0216992,0,0.0159429,0.0456243,0,0,0.0214089,0,0,0.0378207,0.0663201,0.0361927,0.0350909,0.0248245,0.0695753,0.0421336,0.053555,0.0742829,0.0525171,0.0141947,0.0581493,0.0594832,0.0304612,0.0398016,0.0471586,0.035545,0.0138148,0.0147946,0.00997961,0,0.026235,0.0315113,0,0,0.0226036,0,0,0.0229257,0.075195,0.0208146,0.0221077,0.024619,0.0572762,0.0366343,0.0703543,0.0863641,0.0529035,0.0230067,0.0210288,0.0277122,0.0287097,0.0505933,0.0396282,0.00690563,0.0112729,0.0469872,0.0751665,0,0,0,0,0,0
