Trajectories
100
,,Subject:LFHD,,,Subject:RFHD,,,Subject:LBHD,,,Subject:RBHD,,,Subject:LEAR,,,Subject:REAR,,,Subject:C7,,,Subject:T10,,,Subject:CLAV,,,Subject:STRN,,,Subject:RBAK,,,Subject:LSHO,,,Subject:LUPA,,,Subject:LELB,,,Subject:LELBM,,,Subject:LFRM,,,Subject:LWRA,,,Subject:LWRB,,,Subject:LFIN,,,Subject:L5HD,,,Subject:RSHO,,,Subject:RUPA,,,Subject:RELB,,,Subject:RELBM,,,Subject:RFRM,,,Subject:RWRA,,,Subject:RWRB,,,Subject:RFIN,,,Subject:R5HD,,,Subject:LASI,,,Subject:RASI,,,Subject:LPSI,,,Subject:RPSI,,,Subject:LILC,,,Subject:RILC,,,Subject:LGTR,,,Subject:LTHI,,,Subject:LTHIA,,,Subject:LTHII,,,Subject:LTHIP,,,Subject:LKNE,,,Subject:LKNEM,,,Subject:LTIB,,,Subject:LTIBA,,,Subject:LTIBI,,,Subject:LTIBP,,,Subject:LANK,,,Subject:LANKM,,,Subject:LHEE,,,Subject:LTOE,,,Subject:RGTR,,,Subject:L5FT,,,Subject:RTHI,,,Subject:RTHIA,,,Subject:RTHII,,,Subject:RTHIP,,,Subject:RKNE,,,Subject:RKNEM,,,Subject:RTIB,,,Subject:RTIBA,,,Subject:RTIBI,,,Subject:RTIBP,,,Subject:RANK,,,Subject:RANKM,,,Subject:RHEE,,,Subject:RTOE,,,Subject:R5FT,,,BreifCase:BCBT,,,BreifCase:BCFT,,,BreifCase:BCBTT,,,BreifCase:BCBB,,,BreifCase:BCBF,,,BreifCase:IMU_M,,,BreifCase:IMU_T,,,BreifCase:IMU_B,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
9935,0,490.758911,-503.593262,1641.683838,601.660767,-478.861237,1633.729736,502.834137,-653.362122,1601.773193,626.406006,-649.668579,1590.890259,483.293976,-556.160583,1485.653931,644.522400,-541.067871,1501.466919,551.049561,-732.441650,1420.776611,551.324890,-787.779297,1320.575195,609.499512,-521.242249,1325.462280,617.388000,-500.625000,1257.191895,661.090332,-783.642944,1376.222168,392.109833,-586.894592,1391.034790,310.328552,-617.740723,1207.630493,291.783813,-644.658081,1088.361084,,,,276.828491,-582.132507,945.088928,320.240326,-547.751160,830.353699,272.516541,-603.109314,834.701233,304.581482,-528.140015,711.985779,274.198517,-605.036194,741.075867,780.144104,-665.911865,1424.272217,844.596191,-720.210632,1217.577515,859.236206,-732.206482,1115.699585,,,,901.303589,-735.741882,982.852905,903.507446,-677.462524,856.150940,899.409485,-745.603027,868.670349,949.959229,-681.179321,751.691772,926.112427,-759.940613,789.393372,514.284729,-541.075256,930.242310,725.776855,-561.872742,921.548401,520.572388,-787.000671,894.342651,693.992676,-801.452148,924.648376,428.016968,-641.872070,924.318604,801.434387,-676.073303,929.126282,416.358826,-610.202087,875.296570,454.852356,-459.522766,735.232910,476.051453,-407.644409,671.850281,440.283630,-463.597351,618.290771,427.990051,-523.067322,679.923035,446.001343,-433.143341,561.631836,,,,436.075012,-525.526123,473.238464,435.163818,-492.327972,416.299957,444.220764,-570.957642,376.319427,457.352112,-599.072266,429.071716,477.324463,-663.626526,239.461929,,,,546.740906,-749.226562,205.111984,478.390625,-492.569946,105.649216,809.600220,-675.792419,873.125183,419.425476,-566.527893,120.597137,773.691223,-637.371155,648.494995,743.037292,-601.533386,573.988831,749.231995,-675.301697,535.077576,767.140198,-716.231079,613.628784,742.591187,-681.136719,499.145782,,,,744.777710,-687.889282,342.774170,707.485901,-641.474670,274.503052,721.778076,-688.727295,241.210983,746.087952,-737.996155,309.625732,692.427368,-728.418701,108.493858,,,,648.652100,-814.323242,44.960888,743.744263,-600.107727,43.371841,685.637756,-529.172852,54.809299,,,,953.615967,-462.886627,576.573547,853.442627,-939.408142,592.903137,823.185791,-952.547180,379.517303,937.425842,-476.325867,416.374359,1049.473389,-546.954590,633.727356,1052.395508,-541.678528,672.893250,1024.286377,-541.572266,602.044434
9936,0,490.708282,-493.925934,1641.231689,602.353821,-470.422119,1633.061646,502.622498,-643.651672,1601.263062,626.220276,-640.187927,1590.442871,483.421295,-545.959229,1484.826660,644.535583,-531.762024,1500.999512,550.455139,-722.914978,1420.282471,550.626465,-778.195190,1320.034180,609.886597,-512.017883,1324.870972,617.954834,-491.446808,1256.567993,660.398804,-774.473511,1375.733643,392.250031,-576.657532,1390.295532,310.347473,-607.138184,1206.805176,291.704468,-633.725769,1087.462891,,,,277.590759,-569.849854,944.229004,320.654327,-536.952271,829.890625,273.205200,-591.102295,833.795715,305.634705,-516.359314,711.526672,274.758362,-593.007568,740.078918,779.753479,-657.430847,1424.191040,844.524902,-711.334595,1217.250366,859.130188,-723.156921,1115.332153,,,,901.329895,-726.513550,982.516235,903.813843,-667.652100,855.865906,899.436218,-736.079102,868.257385,950.005737,-671.570740,751.382385,925.940857,-750.276794,788.877441,515.030579,-531.197021,930.747620,726.465027,-552.868958,920.432068,519.886414,-776.946411,894.554932,693.276855,-792.052734,924.294922,428.884155,-630.310181,924.183472,801.609924,-667.573914,928.565552,416.952667,-598.806458,875.771179,457.004120,-447.794922,736.362244,479.213593,-396.533539,672.885559,442.296906,-451.446747,619.257202,429.148010,-510.678833,680.769592,448.583527,-420.010773,562.265869,,,,436.899536,-509.243561,468.713928,436.330933,-472.916412,413.909271,445.091675,-549.213928,369.334534,457.606293,-580.203552,420.429657,477.705078,-634.168396,226.915695,,,,546.415955,-719.176270,188.438736,481.879761,-455.820465,102.913765,809.778198,-667.525330,872.527832,421.675812,-529.669617,113.497490,773.478699,-631.899109,647.898865,743.076538,-596.745300,572.914856,748.850159,-671.522888,535.060730,766.399902,-711.506653,614.222778,742.100403,-677.618774,499.142212,,,,744.373474,-685.673706,342.807892,707.100769,-639.550842,274.179688,721.376038,-687.388489,241.286072,746.205688,-736.791382,309.959930,692.082703,-727.923889,108.749626,,,,648.433533,-814.159363,45.328903,743.711121,-599.923706,43.449856,685.598206,-529.205505,54.559914,,,,954.565430,-452.724884,576.876587,853.960632,-929.232849,591.284607,824.752808,-941.742126,377.765015,938.944702,-465.826019,416.416840,1050.147217,-537.047058,634.222900,1052.866089,-531.852356,673.446106,1025.118408,-531.719299,602.531921
9937,0,490.496338,-484.280945,1640.801025,602.758057,-461.315704,1632.226074,501.905212,-635.113464,1600.963745,625.893921,-630.741760,1589.856934,483.224945,-536.295593,1484.151855,644.454224,-522.378906,1500.315430,549.776062,-713.273499,1419.598389,549.725769,-768.529846,1319.293823,610.199585,-502.547974,1324.111572,618.476562,-482.301270,1255.641479,659.607788,-765.214417,1375.058350,392.345367,-566.459534,1389.336670,310.450897,-596.204407,1205.699097,291.585541,-622.700989,1086.444702,,,,277.941803,-558.683777,943.295593,321.512970,-525.324646,828.874695,273.207733,-580.004822,832.898987,306.544312,-504.459076,710.702393,275.233887,-581.214233,738.983948,779.418152,-648.644592,1423.656250,844.397888,-702.342346,1216.725220,859.093262,-713.979675,1114.709961,,,,901.339966,-717.175476,981.938110,903.811523,-658.308655,855.422791,899.499573,-726.608704,867.704834,950.029053,-661.972290,750.802429,925.796265,-740.583008,788.176208,516.069519,-521.072388,930.875549,727.223083,-543.937439,919.169678,519.169861,-766.749939,894.568176,692.650940,-782.799194,923.854065,428.472809,-620.596313,924.456360,801.831177,-658.750549,927.735657,417.580322,-587.650452,875.977051,459.984161,-437.210632,736.499146,482.291443,-386.107574,673.117371,444.229156,-441.539490,620.058838,429.901642,-499.592773,681.111206,450.692413,-408.468262,562.328186,,,,437.903870,-493.537170,463.546051,437.745239,-454.186279,410.985809,446.210144,-527.785461,361.959778,458.382507,-561.746033,411.258759,478.343170,-605.103577,215.125198,,,,546.793152,-687.575012,171.250092,484.562714,-418.507782,101.682121,809.998840,-659.274048,871.877625,423.758789,-492.720673,106.862137,773.166382,-626.586304,647.367615,743.102356,-592.207825,571.819824,748.578369,-667.734375,535.170898,765.659912,-706.584167,614.795105,741.691345,-673.958435,499.052002,,,,743.828918,-683.513550,342.841431,706.888977,-637.885071,273.697144,720.951355,-685.830017,241.217834,745.662842,-734.816223,310.402435,691.691895,-727.338379,108.989372,,,,648.063721,-813.899780,45.837414,743.596252,-599.854614,43.397984,685.292908,-528.593262,54.718891,,,,955.096130,-442.093445,577.150085,854.564819,-919.051941,589.445068,826.309204,-930.897522,375.757202,940.500732,-455.826294,416.271790,1050.793823,-527.329773,634.605713,1053.341675,-522.084717,673.753967,1025.921387,-521.880005,602.828491
9938,0,490.336304,-474.494476,1639.626953,602.580994,-451.809357,1631.351562,501.908295,-624.283813,1599.747437,625.504639,-621.130798,1588.893188,483.044678,-526.787720,1483.233765,644.260254,-512.893005,1499.456909,549.024170,-703.516296,1418.717529,548.786560,-758.803894,1318.435791,610.502197,-493.225616,1323.057373,618.819092,-472.986511,1254.638062,658.802246,-755.915527,1374.187012,392.296753,-555.813660,1388.052734,310.339111,-585.299500,1204.518921,291.457397,-611.546326,1085.172729,,,,278.441956,-547.021912,941.887634,321.779968,-514.849121,827.976990,273.443848,-568.487366,831.594971,306.912231,-492.965515,709.726562,275.672272,-569.807373,737.742981,779.033142,-639.660828,1422.839233,844.239319,-693.351196,1216.017578,859.029114,-704.958923,1113.968018,,,,901.367859,-707.867676,981.191162,904.158142,-648.839966,854.666382,899.550110,-717.149658,866.889893,950.151001,-652.322510,750.052185,925.662537,-730.977417,787.271484,517.134644,-510.927368,930.282776,727.918152,-534.956116,917.845398,518.559448,-756.866699,894.479065,692.029968,-773.242065,923.133179,428.810364,-610.180786,924.183411,802.077393,-650.200500,927.093994,418.223480,-576.950684,875.695190,461.928040,-427.218994,735.843323,485.121674,-376.367371,672.395142,446.085052,-430.669586,619.054504,431.321747,-488.706970,680.517395,452.595490,-398.624908,561.767944,,,,439.102478,-478.680237,457.801727,439.415131,-436.513245,407.748779,447.685974,-506.888977,354.435608,459.716278,-543.699036,401.642639,479.661163,-574.650818,202.293869,,,,548.062927,-654.540710,154.102905,487.019897,-381.908020,100.406830,810.308777,-650.923340,871.127502,425.863953,-456.051453,100.654556,773.269714,-620.943970,646.617249,743.133606,-587.686462,570.424072,748.129761,-663.260193,534.916321,765.200195,-701.419556,615.143616,741.380798,-670.076050,498.927673,,,,742.677917,-682.014648,342.704651,706.847900,-634.886475,273.434021,720.663635,-684.387268,241.092621,744.270325,-733.589233,311.416748,691.361511,-726.794128,109.225227,,,,647.834412,-813.718933,46.239220,743.490906,-599.815918,43.351723,685.785522,-529.737427,53.999931,,,,956.522217,-432.367096,576.982605,855.209717,-908.992188,587.403503,827.929871,-920.059814,373.509338,942.324463,-445.333832,416.326752,1051.501221,-517.362122,634.664917,1053.886230,-512.369629,673.898010,1026.765869,-511.896606,602.821838
9939,0,490.465363,-464.437408,1638.135376,602.377563,-442.205566,1630.340820,501.055664,-615.637939,1599.018921,625.034912,-611.521912,1587.832764,482.721344,-516.743530,1482.138794,643.977966,-503.462555,1498.436768,548.231567,-693.765137,1417.758911,547.727478,-748.998108,1317.423950,610.581177,-483.723389,1321.886841,619.130859,-463.651031,1253.406006,657.925659,-746.566528,1373.215698,392.233948,-545.427856,1386.719727,310.311859,-574.117981,1202.988037,291.243591,-600.413391,1083.804321,,,,278.650665,-535.835999,940.520996,322.445007,-503.338806,826.609436,273.592468,-557.345337,830.185974,307.306091,-481.392975,708.482178,276.033813,-558.186462,736.124084,778.497498,-630.653320,1421.955322,844.023376,-684.277466,1215.190552,858.818237,-695.697144,1112.969482,,,,901.339478,-698.520935,980.252747,904.440247,-639.385498,853.958008,899.544434,-707.628052,865.953369,950.215759,-642.768677,749.176636,925.517883,-721.342773,786.251526,517.848022,-501.057220,929.388428,728.563965,-525.927673,916.381348,517.948120,-747.005493,894.170105,691.484436,-763.762329,922.408020,429.089142,-599.757202,923.538757,802.390015,-641.225891,926.099731,418.664673,-566.491455,875.020874,463.676147,-417.345215,734.572876,487.672791,-367.346375,670.835876,448.296539,-421.787201,618.143494,432.660645,-479.046783,679.415222,454.360748,-389.535950,560.476379,,,,440.680573,-464.844360,451.899902,440.574860,-419.393890,404.603577,449.442169,-486.480347,346.823853,461.820892,-526.134399,391.716370,481.373108,-544.026001,189.964294,,,,550.310181,-620.580627,137.692734,488.733551,-345.536011,99.242538,810.629089,-642.517029,870.360107,427.775482,-419.579193,94.420578,773.154785,-615.247681,645.970337,743.284180,-582.397461,569.361389,747.946594,-658.558105,534.670105,764.891052,-695.691772,615.330627,741.159973,-665.857483,498.719421,,,,742.686218,-679.042358,342.565552,706.118042,-634.698120,272.157898,720.362366,-682.197144,241.066315,744.514404,-730.611938,311.517548,690.940613,-726.201294,109.557541,,,,647.693542,-813.549255,46.560131,743.422180,-599.717041,43.328632,685.650818,-530.279236,53.358795,,,,957.545715,-422.230804,576.749695,855.820251,-898.809265,585.110352,829.520630,-909.164856,371.060059,944.297424,-434.086548,415.984192,1052.448486,-506.950806,633.930298,1054.447510,-503.153198,674.253113,1027.677246,-502.298065,602.519165
9940,0,489.842102,-454.824463,1637.116455,601.956299,-432.593231,1629.151855,500.494965,-605.892517,1597.704834,624.530518,-601.934021,1586.623291,482.419403,-506.752563,1480.832764,643.654114,-493.847626,1497.214966,547.405090,-683.950867,1416.606689,546.747437,-739.231628,1316.362061,610.629761,-474.253937,1320.473267,619.233887,-454.276703,1252.059082,657.060791,-737.113831,1372.098633,392.255157,-534.451233,1385.271729,310.211517,-562.907776,1201.341675,291.041168,-589.219604,1082.203247,,,,278.755737,-524.714050,939.033691,322.355164,-492.624542,825.122375,273.690948,-546.152283,828.567505,307.283905,-470.044250,707.018188,276.180878,-547.140381,734.576355,777.862366,-621.644226,1420.968018,843.805115,-675.087830,1214.158081,858.667297,-686.395142,1111.841431,,,,901.315125,-689.175415,979.207031,904.395020,-629.793945,852.819885,899.528076,-698.164551,864.822998,950.255981,-633.137573,748.079407,925.357422,-711.827942,785.043762,518.600037,-491.009277,928.167358,729.127869,-516.913025,914.848938,517.509521,-737.264221,893.617798,691.091980,-754.337891,921.571533,429.308441,-589.377319,922.569397,802.668640,-632.283142,925.227844,419.134155,-556.278198,873.989624,465.329712,-408.111755,732.569580,489.804047,-359.007629,668.335205,450.183350,-412.829651,615.447388,434.179138,-470.030365,677.610657,456.517120,-381.394836,558.291748,,,,442.695251,-451.750244,445.438751,442.033844,-403.459534,401.197296,451.619080,-466.590332,339.215210,464.572144,-508.860931,381.484833,483.613495,-513.136230,178.035172,,,,553.594055,-585.803101,122.038055,489.560272,-309.390747,98.275085,810.954834,-633.928711,869.553284,428.965881,-383.713104,89.440384,773.644104,-608.338379,644.562683,743.536377,-576.666992,567.981873,747.867310,-653.535950,534.337708,765.074158,-689.578735,615.221985,741.092285,-661.277588,498.425690,,,,742.930908,-675.663452,342.294098,705.919556,-632.123169,271.567017,720.235962,-680.414062,240.779114,744.523315,-727.670654,311.770081,690.676086,-725.427124,109.802376,,,,647.458008,-813.263306,47.093700,743.298096,-599.814880,43.303055,685.970154,-529.283264,53.393658,,,,958.534119,-412.126526,576.284546,856.473633,-888.716980,582.681152,831.221130,-898.324524,368.446808,945.994446,-423.601196,415.583771,1053.083496,-497.295563,633.860046,1054.840332,-492.926849,673.759338,1028.515503,-492.063293,602.073547
9941,0,489.340698,-445.039032,1635.556030,601.411560,-422.845825,1627.782104,499.851593,-595.999451,1596.092041,623.869934,-592.199829,1585.143066,482.009644,-496.815704,1479.316406,643.158813,-484.043915,1495.764893,546.555969,-674.025757,1415.204346,545.763550,-729.347595,1315.094238,610.513550,-464.713501,1318.913086,619.304688,-444.585266,1250.675171,656.177490,-727.571777,1370.821899,391.780640,-524.478882,1383.656372,310.081726,-551.362610,1199.554443,290.823273,-577.981323,1080.458496,,,,278.805359,-513.418152,937.211121,322.664520,-481.288696,823.292236,273.655609,-535.167603,826.736633,307.277466,-458.842926,705.385620,276.340210,-535.864380,732.705627,777.246765,-612.337097,1419.594238,843.539795,-665.686401,1212.902832,858.470764,-676.955566,1110.534180,,,,901.187012,-679.585205,977.911987,904.556030,-620.247314,851.535034,899.403992,-688.627625,863.450500,950.264282,-623.618103,746.868469,925.152832,-702.255249,783.664490,519.030457,-481.041260,926.605408,729.693420,-507.733521,913.320251,517.138855,-727.537598,892.852783,690.729858,-744.650146,920.547302,429.461334,-579.107666,921.314453,802.994690,-623.871155,924.458679,419.495209,-546.378540,872.472229,466.823364,-399.600555,729.691345,491.634369,-351.359039,665.036377,452.052429,-406.243805,613.033447,435.644165,-461.990143,675.049133,458.037720,-373.978333,555.359497,,,,445.078827,-439.412231,438.343994,443.490936,-388.357361,397.468567,454.208069,-447.372131,331.353363,467.782257,-491.877411,370.901855,486.465973,-482.018555,166.772980,,,,557.961731,-550.090820,107.137802,489.728607,-273.478241,98.332283,811.337708,-625.223450,868.577393,430.072296,-348.459229,85.615402,773.876038,-601.920166,643.656616,743.730591,-570.964417,566.688477,748.006714,-648.223694,533.941589,765.161011,-683.331482,615.074463,741.098328,-656.276489,497.989136,,,,743.007935,-672.371216,342.012695,705.768005,-629.763977,270.686035,720.003784,-678.027161,240.649139,744.421448,-724.713684,312.030579,690.379272,-724.747986,110.114288,,,,647.185669,-812.993408,47.569401,743.217346,-599.768738,43.254246,686.029480,-528.911133,53.148285,,,,959.568481,-402.058685,575.760376,857.069214,-878.650757,580.051025,832.844604,-887.521606,365.656128,947.766785,-412.742249,414.992828,1053.739990,-487.332306,633.444031,1055.358032,-483.719086,673.743164,1029.195312,-481.985596,601.954712
9942,0,488.633575,-435.152069,1633.988770,600.881958,-413.151794,1626.294556,499.129700,-586.210693,1594.383301,623.162109,-582.501221,1583.519897,481.540771,-486.887299,1477.583740,642.719299,-474.390472,1494.288208,545.671265,-664.065674,1413.699463,544.821655,-719.609192,1313.710938,610.279663,-455.335693,1317.131470,619.116150,-434.892975,1249.045288,655.317078,-717.939331,1369.367676,391.572113,-513.306335,1381.849976,309.824921,-540.265564,1197.661865,290.516602,-566.930176,1078.670898,,,,278.751190,-502.288116,935.279175,322.778534,-470.392517,821.583252,273.558258,-524.184265,824.842285,306.944702,-447.719849,703.535950,276.181427,-525.029907,730.890198,776.652100,-602.664001,1418.050537,843.215881,-656.085022,1211.514282,858.113708,-667.479736,1109.167236,,,,901.034058,-670.013123,976.471008,904.520874,-610.717529,850.277588,899.186462,-679.067200,861.981445,950.195923,-614.122314,745.485901,924.838562,-692.704346,782.151367,519.720581,-470.737549,924.538879,730.100525,-498.460388,911.738403,516.915405,-717.825806,891.889587,690.467773,-735.010315,919.505920,429.590790,-568.993896,919.756042,803.175476,-614.217346,923.229126,419.872192,-536.521301,870.578735,467.833496,-391.955261,726.017700,493.001221,-344.579346,660.735657,453.307404,-399.802155,609.364502,436.784393,-454.932526,672.018555,459.356506,-367.418610,551.781311,,,,446.998627,-427.523407,430.663635,445.160065,-373.838593,393.267944,456.885986,-428.558014,323.414764,470.759705,-475.231903,360.111389,489.854156,-451.065002,156.349457,,,,562.598022,-514.656555,93.207161,490.073944,-238.537033,100.187302,811.599915,-616.297241,867.580444,431.927887,-313.700195,83.076935,773.959045,-595.086304,642.660461,744.038940,-564.967590,565.515625,748.146912,-642.329956,533.396667,765.321045,-676.785461,614.933044,741.179443,-650.903992,497.479767,,,,743.075806,-668.784180,341.693024,705.713257,-627.224670,269.929047,719.874634,-676.085266,240.307373,744.328125,-721.773315,312.395630,690.109253,-723.905945,110.443962,,,,646.879944,-812.696289,48.202782,743.191162,-599.702209,43.177547,686.093506,-528.657410,52.970718,,,,960.512207,-392.111053,575.266541,857.596619,-868.426880,577.236450,834.491211,-876.585327,362.773895,949.470520,-402.029907,414.377533,1054.354614,-477.534241,633.009033,1055.734497,-473.958099,673.286926,1030.128784,-472.341522,601.139832
9943,0,487.884979,-425.221375,1632.308350,600.154114,-403.279907,1624.652222,498.317993,-576.189636,1592.428955,622.364014,-572.628967,1581.804199,481.004547,-476.697937,1475.662109,642.011780,-464.380859,1492.644043,544.823059,-654.159729,1412.115234,543.869568,-709.646362,1312.115356,609.920227,-445.697052,1315.278320,618.738281,-425.374756,1247.179077,654.482971,-708.154053,1367.814331,390.895325,-503.140625,1380.192627,309.610352,-528.961609,1195.584229,290.260162,-555.629639,1076.651978,,,,278.534210,-491.476624,933.340881,322.346436,-459.620331,819.525330,273.398712,-513.127075,822.738831,306.676880,-436.906769,701.578857,276.070160,-514.024658,728.823792,775.991089,-592.891663,1416.340942,842.868530,-646.370178,1209.918457,857.910095,-657.778137,1107.576904,,,,900.748779,-660.376343,974.926208,904.511047,-601.290344,848.945618,898.913696,-669.498047,860.386353,950.069214,-604.502686,743.996704,924.468628,-683.136719,780.522278,519.912354,-460.543854,922.364624,730.439758,-488.996399,910.090271,516.780029,-708.043640,890.799805,690.340027,-725.531006,918.528442,429.790680,-558.849548,917.894287,803.365723,-605.048706,922.285645,420.245453,-526.799011,868.393188,468.597778,-384.905792,721.716187,493.807953,-338.343536,655.880737,454.328278,-394.199554,605.110352,437.526367,-448.602356,668.309021,460.405121,-361.693695,547.243835,,,,448.763763,-415.484467,422.554962,446.937531,-359.625702,388.862427,458.955719,-409.942841,316.004974,473.133453,-458.714050,349.365051,493.698181,-420.449280,147.014908,,,,567.545105,-479.627655,81.006752,491.084900,-205.092377,103.505829,811.934326,-607.209351,866.572021,434.140106,-280.054962,81.941109,774.452454,-588.008667,641.869263,744.530579,-558.561218,564.138855,748.407410,-636.274902,532.857178,765.595947,-669.811401,614.660400,741.352661,-645.297180,496.915527,,,,743.126587,-665.350403,341.348816,705.751892,-624.388977,269.100616,719.888916,-673.507812,240.096725,744.340515,-718.724670,312.727539,689.819092,-723.243774,110.899261,,,,646.592407,-812.396973,48.887169,743.295959,-599.533020,43.208248,686.030579,-528.344360,52.368855,,,,961.470581,-382.096069,574.591858,858.099854,-858.325562,574.424255,836.154602,-865.706421,359.774750,951.195557,-391.693176,413.491211,1054.988159,-467.813629,632.516785,1056.137451,-464.289368,672.808655,1030.732422,-462.220276,600.831909
