Timestep,,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70
All Timesteps RMSE,0,0,0,0,0,0.0344547,0.0582584,0,0,0,0.0362728,0,0.0220494,0.0529273,0,0,0.0195774,0,0,0.0426245,0.0566316,0.0375876,0.0319295,0.0230181,0.058988,0.0405455,0.0491711,0.0679603,0.0512422,0.0220913,0.0564417,0.0593233,0.031573,0.0373721,0.0377878,0.0358492,0.0138439,0.0189147,0.0276884,0,0.0237142,0.0557004,0.039926,0,0,0.02002,0,0,0.0242798,0.0713776,0.0267034,0.0190099,0.037746,0.0496033,0.0266169,0.0310853,0.0551887,0.0984698,0.0233013,0.0320663,0.0097249,0.0301449,0.0310371,0.03784,0.00714978,0.0173222,0.0503573,0.0539513,0,0,0
0,0,0,0,0,0,0.0347877,0.0574995,0,0,0,0.0375241,0,0.0118207,0.0523958,0,0,0.0203467,0,0,0.0420458,0.0582354,0.0335247,0.0204504,0.0198718,0.0560301,0.039757,0.0388768,0.0630116,0.0497663,0.0126176,0.0533797,0.0579602,0.0257485,0.0331856,0.0211208,0.0348738,0.0135924,0.0192081,0.0188619,0,0.023311,0.0513116,0.0405963,0,0,0.0201164,0,0,0.0238081,0.0669604,0.0140849,0.0172581,0.0428197,0.0522931,0.0260441,0.0273873,0.0508811,0.0960694,0.0233444,0.0247767,0.00529915,0.032048,0.0252585,0.0368686,0.00669479,0.0171884,0.0503579,0.05656,0,0,0
1,0,0,0,0,0,0.0348838,0.0575799,0,0,0,0.035759,0,0.0118165,0.0511827,0,0,0.0204828,0,0,0.0422602,0.0575758,0.0344552,0.0207964,0.0201224,0.0570759,0.0401541,0.0403213,0.0642051,0.0506574,0.0124804,0.0543126,0.058416,0.0263651,0.0352421,0.0242671,0.0345695,0.0136143,0.0194588,0.0183896,0,0.0233934,0.0513928,0.0403303,0,0,0.0207588,0,0,0.02403,0.0667118,0.0140097,0.0178035,0.0427634,0.0526063,0.0270404,0.0272723,0.0507294,0.0961674,0.0232129,0.0246124,0.00551818,0.0317229,0.0255235,0.0362461,0.00668039,0.017833,0.051067,0.0565284,0,0,0
2,0,0,0,0,0,0.0349307,0.0574595,0,0,0,0.034139,0,0.0120166,0.0502857,0,0,0.0206788,0,0,0.0424084,0.0571857,0.0355838,0.0211516,0.0203945,0.0585582,0.0407033,0.0415438,0.0653173,0.0517068,0.0126387,0.055097,0.0587472,0.0268413,0.0367489,0.0297564,0.03444,0.0135448,0.0198406,0.017943,0,0.0232742,0.0515659,0.0402414,0,0,0.0212877,0,0,0.0241183,0.0667367,0.0138345,0.0184172,0.0424894,0.0529402,0.0279236,0.0269488,0.0509931,0.0962423,0.0231459,0.0246063,0.00549511,0.0316088,0.0256943,0.0356956,0.00664025,0.0184397,0.051548,0.0563751,0,0,0
3,0,0,0,0,0,0.0349548,0.0573667,0,0,0,0.0322407,0,0.0123874,0.0492095,0,0,0.0208829,0,0,0.0425484,0.0569749,0.0371263,0.0214122,0.0208287,0.0602096,0.0412959,0.0427378,0.0662733,0.0524583,0.012714,0.0556451,0.0589256,0.0272688,0.0378264,0.0369333,0.0344641,0.0135253,0.0201355,0.0173523,0,0.0231715,0.0516765,0.0401218,0,0,0.0216339,0,0,0.0241225,0.0668896,0.0140821,0.0189466,0.0421455,0.0530964,0.0288019,0.0266555,0.0512176,0.0963089,0.0231031,0.0246664,0.00549607,0.0315825,0.0259888,0.0352974,0.00661413,0.0188652,0.0518517,0.0562311,0,0,0
4,0,0,0,0,0,0.0349817,0.0573127,0,0,0,0.0307707,0,0.0133788,0.0480107,0,0,0.0210148,0,0,0.0427509,0.0568128,0.0398752,0.0216643,0.0212648,0.0616023,0.0418306,0.0440513,0.0671497,0.0527888,0.0126348,0.0561063,0.0591043,0.0278537,0.0385498,0.0466616,0.0346061,0.0136624,0.0202112,0.0165593,0,0.0231432,0.0518947,0.0399802,0,0,0.021838,0,0,0.0240963,0.0670535,0.0146117,0.0191712,0.0417668,0.0529733,0.029481,0.0264941,0.0512829,0.0963539,0.0230218,0.0248418,0.00552077,0.0316447,0.0262862,0.0350435,0.00659579,0.0191235,0.0518891,0.0562311,0,0,0
5,0,0,0,0,0,0.0350194,0.0574036,0,0,0,0.0312245,0,0.0155184,0.0467847,0,0,0.021124,0,0,0.0428714,0.0568674,0.0443511,0.0219197,0.0217939,0.0623872,0.0421602,0.0454005,0.067989,0.0529757,0.0124551,0.0567568,0.0593607,0.0287407,0.0394244,0.0598178,0.034647,0.0137514,0.0202411,0.0157778,0,0.0232156,0.0523071,0.03985,0,0,0.0218927,0,0,0.0241435,0.067125,0.0148301,0.0193376,0.0414757,0.0527581,0.0299399,0.0262981,0.0513799,0.0964352,0.0228377,0.0250703,0.00559334,0.0316897,0.026842,0.0349397,0.00667171,0.0192375,0.0516956,0.0563305,0,0,0
6,0,0,0,0,0,0.0350424,0.057629,0,0,0,0.0330731,0,0.0175885,0.0458565,0,0,0.0210938,0,0,0.0429459,0.056899,0.0493725,0.0222573,0.0223065,0.0624363,0.0422829,0.0464942,0.0687818,0.053325,0.0122627,0.0573659,0.0595833,0.0295164,0.0404767,0.072178,0.034676,0.013792,0.0202363,0.0152428,0,0.023268,0.0528384,0.0397863,0,0,0.0218205,0,0,0.0242874,0.0671489,0.0148026,0.0194107,0.0412465,0.0524776,0.0301902,0.0261768,0.0515091,0.0965361,0.022616,0.0251764,0.00578054,0.0315809,0.0273244,0.034994,0.00679559,0.0192843,0.0515306,0.0564397,0,0,0
7,0,0,0,0,0,0.03505,0.0579092,0,0,0,0.0354737,0,0.0179366,0.0451113,0,0,0.0209787,0,0,0.0429946,0.0568925,0.0537444,0.0225878,0.0227649,0.0620574,0.0422788,0.0473015,0.069301,0.0535939,0.0120194,0.0577753,0.0596407,0.0296817,0.0415289,0.0797462,0.0347597,0.0138439,0.0201524,0.0149742,0,0.0233282,0.0532622,0.0397657,0,0,0.0216476,0,0,0.024481,0.0671984,0.0148428,0.0195139,0.0412284,0.052088,0.0301738,0.0261542,0.0516481,0.096726,0.0226275,0.0251042,0.00583395,0.031448,0.0276555,0.0352177,0.00689204,0.019275,0.0514283,0.0565715,0,0,0
8,0,0,0,0,0,0.0350267,0.0581431,0,0,0,0.0386444,0,0.0177867,0.0445371,0,0,0.0207859,0,0,0.0429727,0.0568888,0.0568761,0.0229273,0.0231276,0.0615509,0.0420812,0.0480112,0.0695754,0.0538988,0.0119374,0.0583194,0.0598584,0.029872,0.0426751,0.0834364,0.0349399,0.0138788,0.0200245,0.014981,0,0.0233794,0.0536902,0.0397825,0,0,0.0213387,0,0,0.0246699,0.0673011,0.0148862,0.0197453,0.0411156,0.0516754,0.0300499,0.0262337,0.0518649,0.0969422,0.0228239,0.024914,0.00577062,0.031523,0.0276734,0.0355531,0.00692239,0.0192525,0.0514746,0.056783,0,0,0
