Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,
All Timesteps RMSE,0,0,0,0,0.0299411,0.0600296,0,0,0,0.036856,0,0.0216537,0.0512998,0,0,0.0216236,0,0,0.0434166,0.0557647,0.0357565,0.0312066,0.024003,0.0610809,0.044744,0.051436,0.069257,0.0514527,0.0198895,0.0578769,0.0606797,0.0335772,0.0379418,0.0362001,0.0346378,0.0141927,0.0201789,0.022888,0,0.0805322,0.0525495,0.0450705,0,0,0.0202096,0,0,0.0232422,0.0713434,0.0225376,0.0245541,0.0256966,0.0534939,0.0300423,0.0378885,0.0660388,0.0630478,0.0329972,0.0260498,0.0359248,0.0147961,0.0319947,0.0334329,0.0392617,0.00725556,0.0176442,0.0561456,0.0467593,0,0,0,0
0,0,0,0,0,0.0284599,0.058929,0,0,0,0.0381858,0,0.014704,0.0399748,0,0,0.0221849,0,0,0.043016,0.0551026,0.0465163,0.0238303,0.0228354,0.0620331,0.0450753,0.0553555,0.0753909,0.0553015,0.0136316,0.0583899,0.0584978,0.0300248,0.0434591,0.0514585,0.0343281,0.0146979,0.0196424,0.00485112,0,0.0293254,0.0536502,0.046064,0,0,0.021761,0,0,0.025519,0.0683762,0.00258866,0.0254776,0.0257432,0.0538976,0.035193,0.0334678,0.0624818,0.0601585,0.0303775,0.0254401,0.0301802,0.0112737,0.033002,0.0409532,0.0369365,0.00787254,0.0205373,0.0549066,0.0490665,0,0,0,0
1,0,0,0,0,0.0282689,0.0591957,0,0,0,0.0372498,0,0.0156096,0.0394843,0,0,0.0223896,0,0,0.0429497,0.055275,0.0478915,0.0241751,0.0230065,0.0631656,0.0451074,0.056354,0.0757416,0.0551283,0.0145122,0.0582177,0.0581779,0.0298193,0.0438033,0.0546324,0.0341313,0.0147224,0.0196965,0.00450888,0,0.0291026,0.0539756,0.0460239,0,0,0.0219665,0,0,0.025593,0.0683269,0.00244086,0.0258055,0.0254734,0.0537278,0.0354711,0.032832,0.0626114,0.0617886,0.0303422,0.0255841,0.0303893,0.011468,0.0331945,0.0403397,0.0367473,0.00786862,0.020743,0.055234,0.0487435,0,0,0,0
2,0,0,0,0,0.0282492,0.0592632,0,0,0,0.0366013,0,0.0160076,0.0390748,0,0,0.0225797,0,0,0.0429026,0.0555282,0.0490553,0.0247852,0.0231875,0.0643471,0.0451929,0.0572957,0.0761113,0.0551134,0.0153824,0.0585967,0.0583305,0.0300093,0.0443141,0.0573315,0.033999,0.0148485,0.0196135,0.00414258,0,0.0289436,0.0544277,0.0460459,0,0,0.0220521,0,0,0.0257255,0.0683653,0.00267161,0.0260335,0.0252254,0.0535951,0.0357152,0.0327784,0.0627817,0.0621401,0.0307099,0.025619,0.0306877,0.0110567,0.0333491,0.039511,0.0366384,0.00786642,0.0209085,0.0555275,0.0486014,0,0,0,0
3,0,0,0,0,0.028238,0.0593249,0,0,0,0.0366827,0,0.0161516,0.0387647,0,0,0.0228692,0,0,0.0427728,0.0557376,0.050074,0.0254957,0.0233455,0.0652724,0.0452624,0.0583883,0.0766012,0.055175,0.0162186,0.0595272,0.0588501,0.0306298,0.0450917,0.0598236,0.0338453,0.0150695,0.0193517,0.00381671,0,0.0287786,0.0549689,0.0460685,0,0,0.0220745,0,0,0.0258964,0.0684487,0.00315202,0.0260747,0.0249961,0.0534174,0.0359656,0.0328413,0.0627684,0.062115,0.0309966,0.0255489,0.0311204,0.0102836,0.0334637,0.0387161,0.0365826,0.00793175,0.0210515,0.0557557,0.048396,0,0,0,0
4,0,0,0,0,0.0283053,0.0593229,0,0,0,0.037037,0,0.0162362,0.0384732,0,0,0.0232099,0,0,0.0424552,0.0559995,0.0511471,0.0261908,0.0234605,0.0658925,0.0452933,0.0598426,0.0773638,0.0552461,0.0169937,0.0606119,0.059714,0.0317163,0.0462079,0.0619268,0.0336344,0.0158272,0.0187302,0.00355807,0,0.0286019,0.0554881,0.0460168,0,0,0.0218533,0,0,0.0264068,0.0685578,0.00365175,0.0260798,0.0248429,0.0530549,0.0362108,0.0327182,0.0626273,0.0622078,0.0311834,0.025366,0.0314598,0.0105476,0.0335516,0.0377303,0.0366044,0.0086035,0.0210342,0.0557848,0.0482126,0,0,0,0
5,0,0,0,0,0.0282033,0.0593952,0,0,0,0.0376218,0,0.0162915,0.0382865,0,0,0.0231063,0,0,0.0424066,0.0558936,0.0521779,0.0269287,0.0235213,0.0661789,0.0448011,0.0604035,0.0782009,0.0553397,0.0176103,0.0618024,0.0608138,0.0329838,0.0474264,0.0634751,0.0337499,0.0151433,0.0189984,0.00339509,0,0.0286351,0.0561961,0.046079,0,0,0.0220674,0,0,0.0262429,0.0687108,0.00422215,0.0262239,0.0245699,0.0526923,0.03639,0.0325669,0.0624045,0.0623471,0.0313807,0.0252567,0.0315132,0.0108371,0.0335853,0.0373999,0.0366266,0.00820012,0.0210381,0.0559042,0.0479754,0,0,0,0
6,0,0,0,0,0.0282271,0.0594188,0,0,0,0.0378866,0,0.0160445,0.0378432,0,0,0.0229296,0,0,0.0425523,0.0556543,0.052584,0.0279846,0.0229344,0.0665409,0.0445164,0.0612923,0.078814,0.0554703,0,0.0630652,0.0623378,0.0343415,0.0481095,0.065941,0.0339607,0.0149869,0.0191281,0.00329088,0,0.0285808,0.0573009,0.046037,0,0,0.0220212,0,0,0.026001,0.0685354,0.0047884,0.0263195,0.0241805,0.0518936,0.0360985,0.0323816,0.0624787,0.0624437,0.0312976,0.0251134,0.0305669,0.010978,0.0334853,0.037713,0.036844,0.00802457,0.0207588,0.0560565,0.0476986,0,0,0,0
7,0,0,0,0,0.0281734,0.0594102,0,0,0,0.0380899,0,0.0160548,0.0377253,0,0,0.0227093,0,0,0.0428074,0.0555345,0.0534844,0.0288464,0.0231108,0.0667043,0.0440154,0.0618133,0.0791686,0.0555388,0,0.0640363,0.0632868,0.0353169,0.0489173,0.0678085,0.0341286,0.0150621,0.0190752,0.00340681,0,0.0285234,0.0580146,0.0461122,0,0,0.0220242,0,0,0.0259777,0.068766,0.00502413,0.0262169,0.0238552,0.0514732,0.0361221,0.0321601,0.0622757,0.0623238,0.0312581,0.0252396,0.0286256,0.011283,0.0335911,0.0374429,0.0369057,0.00804807,0.0206622,0.056039,0.0475556,0,0,0,0
8,0,0,0,0,0.0280474,0.0593504,0,0,0,0.0383537,0,0.0165507,0.0378077,0,0,0.0224796,0,0,0.0428953,0.0554215,0.055143,0.0294352,0.0240915,0.0666515,0.0430251,0.0616379,0.0794624,0.0553189,0.0196729,0.0647692,0.0638282,0.0358985,0.0500179,0.0690159,0.0342684,0.0150936,0.018865,0.00357812,0,0.028433,0.0583079,0.0463068,0,0,0.0222173,0,0,0.0260592,0.0693392,0.00520678,0.0260724,0.0237529,0.0514932,0.0365796,0.0319133,0.0618758,0.0621295,0.0314613,0.02537,0.028045,0.0113326,0.034098,0.036269,0.0367214,0.00807428,0.0207918,0.0560307,0.0475447,0,0,0,0
9,0,0,0,0,0.0280154,0.0593167,0,0,0,0.0386355,0,0.0169531,0.0374327,0,0,0.0223544,0,0,0.0430371,0.0553691,0.0561615,0.0306687,0.0244947,0.0671828,0.0432138,0.062302,0.0800644,0.0551006,0.0203747,0.0657479,0.0648419,0.0366238,0.0505877,0.0713071,0.0342816,0.0148475,0.0191833,0.00372104,0,0.0279117,0.0580794,0.0462389,0,0,0.0223966,0,0,0.0261266,0.0701984,0.00828865,0.0251814,0.024776,0.0508237,0.0368483,0.0316503,0.0608534,0.060424,0.0310089,0.0276254,0.0270985,0.0112772,0,0.0358725,0.0365582,0.00813818,0.0207414,0.0561671,0.0478646,0,0,0,0
10,0,0,0,0,0.0280159,0.059472,0,0,0,0.0373344,0,0.0194537,0.0356059,0,0,0.0221389,0,0,0.042937,0.0560328,0.0597835,0.0312728,0.0243466,0.0654564,0.0422412,0.062727,0.0800925,0.0550917,0.0211668,0.0663618,0.0653177,0.0370103,0.0511898,0.0716373,0.0342528,0.014834,0.0188835,0.00331018,0,0.0276608,0.0624341,0.046685,0,0,0.0227042,0,0,0.0263389,0.0678087,0.00852346,0,0.024446,0.0511394,0.037643,0.0331201,0.0624389,0.060971,0.0302839,0.026926,0.0270379,0.0112508,0,0.0372124,0.0362542,0.00819575,0.0210386,0.0566745,0.0465776,0,0,0,0
11,0,0,0,0,0.0280682,0.0594821,0,0,0,0.0373478,0,0.0198685,0.0369499,0,0,0.0220004,0,0,0.043044,0.055644,0.060954,0.0316791,0.0244242,0.0671001,0.0425357,0.063013,0.0805845,0.0550132,0.0213675,0.0669295,0.0659011,0.0376947,0.051479,0.0740735,0.0344097,0.0146319,0.019209,0.00402319,0,0.0280938,0.0592201,0.046304,0,0,0.0224539,0,0,0.0261007,0.0697727,0.0089905,0.0259463,0.0251652,0.0498903,0.0369474,0.0314921,0.0607091,0.0604426,0.0307148,0.027809,0.0271727,0.0135564,0,0.0347514,0.0366696,0.0080173,0.0205494,0.0556336,0.0475575,0,0,0,0
12,0,0,0,0,0.028081,0.0595144,0,0,0,0.0374342,0,0.0201664,0.0368209,0,0,0.0218946,0,0,0.0430867,0.05569,0.0618534,0.0320473,0.0241874,0.0670175,0.0424026,0.0634591,0.0809731,0.0550067,0.0218802,0.0672778,0.0664685,0.0381611,0.051526,0.0758378,0.0344145,0.014607,0.0192049,0.00446354,0,0.0280582,0.0595212,0.0463272,0,0,0.0223143,0,0,0.0260587,0.0698296,0.00938908,0.0259089,0.0250423,0.0494378,0.0367526,0.0312808,0.0604595,0.0609565,0.0305973,0.0275842,0.0269926,0.0129395,0,0.0340475,0.0367579,0.0079809,0.0204739,0.0554944,0.0475275,0,0,0,0
13,0,0,0,0,0.0281254,0.0595888,0,0,0,0.0372526,0,0.0203944,0.0369994,0,0,0.0227111,0,0,0.042437,0.0557323,0.0620792,0.0326306,0.0238149,0.0667942,0.0425887,0.0638018,0.0814376,0.0549417,0.0224006,0.0674474,0.0669694,0.0385144,0.0513067,0.0767955,0.0341439,0.0154534,0.0181669,0.00485127,0,0.0279613,0.0599606,0.0462573,0,0,0.0220841,0,0,0.0260761,0.0699695,0.00982175,0.0261582,0.0247123,0.0490785,0.036566,0.0308525,0.060092,0.0612732,0.0305175,0.0268935,0.0272756,0.0121151,0,0.033272,0.0368934,0.00816261,0.0202503,0.0554435,0.0474572,0,0,0,0
