Timestep,,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTIBI
All Timesteps RMSE,0,0,0,0,0,0.0283562,0.0608818,0,0,0,0.0386458,0,0.0225516,0.0506203,0,0,0.0217041,0,0,0.0439064,0.0554671,0.0349936,0.0301027,0.0240571,0.0604756,0.0453665,0.0521355,0.0701388,0.0515096,0.0193896,0.0576197,0.0605843,0.0332746,0.0377376,0.0313201,0.034126,0.0141205,0.0204916,0.0260404,0,0.0288967,0.0526062,0.0440492,0,0,0.0193384,0,0,0.0235416,0.0726196,0.0203536,0.0249228,0.0277657,0.0534258,0.026456,0.03714,0.0654098,0.0616129,0.0326476,0.0276861,0.0286016,0.0396079,0.0325148,0.0401457,0.00709469,0.0178435,0.0566811,0.0494732,0,0,0,0.0113212
0,0,0,0,0,0,0.027385,0.0613748,0,0,0,0.0287875,0,0.0223892,0.0335436,0,0,0.0232746,0,0,0.0433089,0.0558518,0.0543868,0.0306208,0.0207699,0.0682272,0.044521,0.0653223,0.0823819,0.0545346,0.0245939,0.0566503,0.0554881,0.0285666,0.0442516,0.0635903,0.0303295,0.0134312,0.0210303,0.00661584,0,0.0295025,0.0579595,0.0447386,0,0,0.0222543,0,0,0.0261512,0.0729743,0.016355,0.029068,0.0304175,0.0518885,0.0335911,0.0273739,0.058541,0.0606065,0.0323205,0.029281,0.0266731,0.0581552,0.0274824,0.0358137,0.00762224,0.0224225,0.0544495,0.0503812,0,0,0,0
1,0,0,0,0,0,0.0273848,0.0616589,0,0,0,0.0287164,0,0.0216879,0.033571,0,0,0.0232276,0,0,0.0434976,0.0559742,0.0530889,0.0304695,0.0212725,0.06769,0.0441206,0.0660849,0.0836372,0.0550107,0.0253472,0.0572601,0.0561406,0.0292772,0.0445178,0.0618092,0.0303672,0.0135757,0.0208239,0.00684433,0,0.0294095,0.0585792,0.0445901,0,0,0.0221318,0,0,0.0260326,0.0730356,0.0164232,0.0298656,0.0304095,0.0514374,0.033095,0.0271636,0.0584169,0.0604574,0.0321417,0.0289246,0.0270747,0.0582949,0.0283662,0.0359103,0.00753995,0.0222138,0.0546335,0.0501769,0,0,0,0
2,0,0,0,0,0,0.0274396,0.0617094,0,0,0,0.028828,0,0.0210446,0.0337061,0,0,0.0231668,0,0,0.0434561,0.0561402,0.0517577,0.0306682,0.0218793,0.0673437,0.0439874,0.0670998,0.0850127,0.055146,0.0258309,0.0582431,0.0572171,0.0302126,0.0449764,0.0604387,0.0303772,0.0135483,0.0207566,0.00713873,0,0.0293418,0.059162,0.0445551,0,0,0.0219594,0,0,0.0258722,0.0732004,0.0166337,0.0304806,0.0304193,0.0510682,0.0327175,0.0270619,0.0582125,0.0603712,0.0321003,0.0289955,0.0268045,0.0585499,0.0283643,0.0361247,0.00746576,0.0219257,0.0545509,0.0501706,0,0,0,0
3,0,0,0,0,0,0.0275275,0.0616864,0,0,0,0.0288683,0,0.0204909,0.0339585,0,0,0.0231246,0,0,0.0433792,0.0563826,0.0506878,0.0309857,0.0222605,0.0670585,0.0439331,0.0680339,0.0861476,0.0553537,0.026317,0.0594724,0.0586773,0.0314317,0.0454776,0.0599655,0.0303931,0.0135332,0.0206707,0.00734165,0,0.0293346,0.0597061,0.0445301,0,0,0.0217695,0,0,0.0256984,0.073355,0.0168801,0.0308747,0.0304637,0.0507327,0.0323449,0.0273407,0.0581023,0.0603313,0.0321936,0.0291785,0.0267334,0.0586268,0.0279499,0.0363848,0.00735456,0.0215742,0.0544744,0.0502202,0,0,0,0
4,0,0,0,0,0,0.0276607,0.061592,0,0,0,0.0285224,0,0.020071,0.0343788,0,0,0.0231165,0,0,0.0433065,0.0566161,0.0495906,0.0313399,0.0222933,0.066779,0.0439433,0.0688141,0.087205,0.0551393,0.0268578,0.0606065,0.0601585,0.0327133,0.045814,0.059535,0.0304167,0.0134637,0.0206551,0.00756327,0,0.0293308,0.0601581,0.044484,0,0,0.0215779,0,0,0.0255169,0.0734717,0.0170869,0.0311011,0.0304365,0.0504148,0.0318482,0.0274305,0.0579557,0.0602608,0.0323076,0.0292875,0.0267654,0.0586624,0.0275306,0.0366768,0.0072851,0.021165,0.0545091,0.0502633,0,0,0,0
5,0,0,0,0,0,0.0277999,0.0613888,0,0,0,0.0276204,0,0.0199345,0.0350571,0,0,0.0231111,0,0,0.0432054,0.0568105,0.0481768,0.0316176,0.022057,0.0664674,0.0438668,0.0693027,0.0880915,0.0549615,0.027495,0.0613399,0.0612993,0.0338163,0.0457995,0.0580685,0.0304418,0.0134346,0.0205575,0.00782057,0,0.029328,0.0604066,0.0444645,0,0,0.021445,0,0,0.0253168,0.0736501,0.0171738,0.0315071,0.0303931,0.0502217,0.0312998,0.0273529,0.0576891,0.0601214,0.0323959,0.0293373,0.02675,0.0586093,0.0271468,0.0369526,0.00727877,0.020753,0.0544587,0.0503331,0,0,0,0
6,0,0,0,0,0,0.0279354,0.0612165,0,0,0,0.0262448,0,0.0201542,0.0357503,0,0,0.0230732,0,0,0.0430258,0.0570222,0.0466145,0.0317189,0.021464,0.066058,0.043849,0.0695108,0.0886713,0.0547884,0.0282388,0.0614869,0.0619228,0.034572,0.0452846,0.0549947,0.0304457,0.0134469,0.0204141,0.00807125,0,0.029392,0.0604372,0.044441,0,0,0.0213036,0,0,0.0250944,0.0739554,0.0170902,0.0318075,0.0304438,0.0501861,0.030843,0.0272579,0.0574536,0.0599398,0.0324872,0.0293385,0.0266181,0.0586392,0.0267627,0.0372212,0.00728689,0.0203745,0.0543009,0.0503054,0,0,0,0
7,0,0,0,0,0,0.0280728,0.0610423,0,0,0,0.0247906,0,0.0206094,0.0365897,0,0,0.0230788,0,0,0.0428686,0.0572823,0.0451213,0.0316789,0.0204912,0.0655564,0.0437257,0.0694116,0.0888524,0.0544925,0.0289469,0.0612197,0.0620536,0.0348357,0.04427,0.0501552,0.0304593,0.0134875,0.0203323,0.0083878,0,0.0294898,0.0601845,0.0444589,0,0,0.0212459,0,0,0.0248486,0.0743981,0.0168192,0.0320456,0.0306962,0.0502098,0.0305298,0.0271164,0.0572297,0.059722,0.0326585,0.0293245,0.0264764,0.0589436,0.0264162,0.0374673,0.00724909,0.019973,0.0542273,0.050166,0,0,0,0
8,0,0,0,0,0,0.0282616,0.0609233,0,0,0,0.0244452,0,0.0209107,0.0373548,0,0,0.0228917,0,0,0.0427738,0.0578135,0.043431,0.0312105,0.0193957,0.0650099,0.0434329,0.0689194,0.0885581,0.0540929,0.0294198,0.0607006,0.0619232,0.0348137,0.0431032,0.0434488,0.0305702,0.0133699,0.0204045,0.00866427,0,0.0297848,0.059639,0.0445069,0,0,0.020908,0,0,0.0248018,0.0747875,0.0164266,0.0321188,0.0310927,0.0503226,0.0301305,0.0268736,0.0569146,0.0594593,0.0326993,0.0292854,0.0267732,0.0595888,0.0262235,0.0377591,0.00718834,0.0197411,0.0542366,0.0499762,0,0,0,0
9,0,0,0,0,0,0.0284638,0.0609208,0,0,0,0.0257178,0,0.0214848,0.0385179,0,0,0.0227128,0,0,0.0426391,0.0581779,0.0415067,0.0308281,0.0180902,0.0644876,0.0431075,0.0678987,0.0875434,0.0537539,0.0301151,0.0603591,0.0619305,0.0350332,0.0421619,0.0352371,0.0307629,0.0133469,0.0202223,0.00927245,0,0.0300442,0.0588616,0.0445143,0,0,0.0205769,0,0,0.024721,0.0753075,0.0161605,0.0320325,0.0315555,0.0504054,0.0296035,0.0270214,0.0565148,0.0591418,0.0327767,0.0293835,0.0272111,0.0594924,0.0257245,0.0381091,0.00709517,0.0194889,0.0543558,0.0497217,0,0,0,0
10,0,0,0,0,0,0.0286537,0.0610054,0,0,0,0.0284193,0,0.0225249,0.0401994,0,0,0.0224954,0,0,0.0425089,0.0581484,0.0399796,0.0306834,0.0171084,0.0640894,0.0427173,0.0665955,0.0857079,0.0535479,0.0308785,0.0603055,0.0622098,0.0357564,0.0414745,0.0270815,0.0310109,0.0133194,0.0200245,0.0103716,0,0.0302697,0.0577434,0.044488,0,0,0.020143,0,0,0.0245944,0.0760208,0.0158603,0.0317975,0.0320781,0.0503499,0.0290687,0.0273393,0.0559795,0.0586601,0.0329654,0.0297149,0.0268316,0.05929,0.0247368,0.0385118,0.00700399,0.0191671,0.0545313,0.0493988,0,0,0,0
11,0,0,0,0,0,0.0288361,0.0611453,0,0,0,0.0316877,0,0.0237693,0.0420611,0,0,0.0221667,0,0,0.0424513,0.0577112,0.0391159,0.0307385,0.0172646,0.063778,0.0422355,0.0652807,0.0831221,0.0533312,0.0315921,0.0603143,0.0625871,0.0367279,0.0407908,0.0206665,0.0312846,0.0132488,0.019919,0.0117024,0,0.0307676,0.0566565,0.0445067,0,0,0.0197234,0,0,0.0244787,0.0767382,0.0155104,0.0315155,0.0325096,0.0502518,0.0284902,0.0274819,0.0554666,0.0582053,0.0333478,0.0300713,0.0265335,0.0593178,0.0235074,0.0389435,0.00690047,0.0188014,0.0546798,0.0490119,0,0,0,0
12,0,0,0,0,0,0.0290079,0.0613188,0,0,0,0.0336606,0,0.0252459,0.0439365,0,0,0.0217145,0,0,0.0424696,0.0567716,0.0390442,0.0310898,0.0189582,0.063457,0.0418227,0.0641813,0.0799923,0.0530612,0.0318578,0.0600432,0.0627212,0.0375183,0.0398503,0.0171319,0.0315644,0.0130772,0.0199934,0.0130398,0,0.0312684,0.0557913,0.0445447,0,0,0.0195877,0,0,0.0241877,0.0775033,0.0150865,0.031351,0.0330886,0.0502046,0.0279469,0.0274923,0.0549327,0.0578408,0.0335816,0.0303068,0.026386,0.0595359,0.0223191,0.0393286,0.00692504,0.0182407,0.0547485,0.0486078,0,0,0,0
13,0,0,0,0,0,0.029136,0.0614583,0,0,0,0.0336204,0,0.0268107,0.0453119,0,0,0.0214915,0,0,0.0424422,0.0557357,0.0397508,0.0314396,0.0219171,0.0630849,0.0414402,0.0632935,0.0768556,0.0527482,0.031086,0.0593577,0.0623743,0.0378446,0.0385949,0.0164032,0.0317781,0.0131043,0.0198806,0.0141928,0,0.0313832,0.055269,0.0445822,0,0,0.01937,0,0,0.0240168,0.0781486,0.0149139,0.0308077,0.0336489,0.0503343,0.0276338,0.027647,0.0543827,0.0575809,0.0336884,0.0303236,0.0264689,0.0594736,0.02137,0.0396441,0.006965,0.0178773,0.0548203,0.0483344,0,0,0,0
14,0,0,0,0,0,0.0291683,0.0615693,0,0,0,0.0326083,0,0.0282044,0.0459984,0,0,0.021354,0,0,0.0424554,0.0551263,0.0407098,0.0314452,0.0250484,0.0626689,0.0411146,0.0624859,0.0743283,0.0523262,0.0292921,0.0584352,0.0616518,0.0376523,0.037265,0.0167879,0.0319247,0.0131294,0.019824,0.0148877,0,0.0312877,0.0550112,0.0446215,0,0,0.0192183,0,0,0.0238776,0.0785534,0.0149612,0.0300944,0.0339673,0.0505499,0.0274878,0.0277646,0.0539636,0.0573097,0.0336382,0.0303535,0.0263959,0.0593585,0.0209114,0.0398564,0.00700524,0.0176121,0.0549068,0.0482186,0,0,0,0
