Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,,x80,LILC
All Timesteps RMSE,0.0328869,0.0532291,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418842,0,0.0181183,0.0572159,0,0,0.0119838,0,0,0.0392045,0.053131,0.0328447,0.0224543,0.0567071,0.0432272,0.0588388,0.0694105,0.05888,0.0212326,0.054909,0.0582386,0.0300166,0.0345962,0.0218354,0.0379802,0.011951,0.0209474,0.0211938,0,0.0261021,0.0494207,0.0434602,0,0,0.0172784,0,0,0.0311915,0.0766623,0.0243959,0.0170662,0.0270418,0.0515557,0.0411978,0.0327163,0.0582107,0.0591605,0.0370928,0.0270772,0.0251306,0.0134161,0.0344479,0.0349243,0.0475957,0.0118351,0.0147524,0.0453059,0.0549773,0,0,0,0,0,0.0332785
0,0.0278514,0.0554612,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416822,0,0.0209069,0.0638791,0,0,0.00804498,0,0,0.0428404,0.0575373,0.0351645,0.0219365,0.0516951,0.0387335,0.0429683,0.0709523,0.0602349,0.0184687,0.0618745,0.0654408,0.0367131,0.0383117,0.0196313,0.0389781,0.00968831,0.0180384,0.0165012,0,0.0279542,0.0484776,0.0448863,0,0,0.00758803,0,0,0.0363791,0.0769847,0.0162641,0.0164216,0.0264362,0.0480748,0.036824,0.0318511,0.0557582,0.0584524,0.0389682,0.0269807,0.0285264,0.0145287,0.0359598,0.0313574,0.0473279,0.00859657,0.0153449,0.0487186,0.0458533,0,0,0,0,0,0
1,0.0279546,0.0554789,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417238,0,0.0209084,0.0638085,0,0,0.00811419,0,0,0.0428898,0.0575564,0.0349823,0.0220014,0.0517313,0.0386534,0.0429535,0.0709027,0.0601356,0.0184255,0.0616908,0.0654954,0.0368278,0.0383979,0.019521,0.0390707,0.00973286,0.0180271,0.0163204,0,0.0279617,0.0483874,0.0448387,0,0,0.00756352,0,0,0.0363895,0.0769995,0.0162113,0.0163158,0.0264859,0.0481308,0.0368813,0.0318363,0.0558003,0.0584312,0.038916,0.0269918,0.0286107,0.0145793,0.0360331,0.031367,0.0473626,0.00924593,0.0152255,0.0486397,0.0458828,0,0,0,0,0,0
2,0.027671,0.0552756,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377942,0,0.0199074,0.0611207,0,0,0.00850974,0,0,0.0423737,0.0594254,0.0279834,0.0252568,0.051417,0.0386955,0.0415331,0.0683109,0.0580136,0.0193449,0,0.0689547,0.0410986,0.0422357,0.0162445,0.0388023,0.0100391,0.0184662,0.0157556,0,0.0281101,0.047448,0.0450451,0,0,0.00755999,0,0,0.0363703,0.0767032,0.0160681,0.0157501,0.026535,0.0486107,0.0375001,0.0314959,0.0558345,0.0580892,0.0381408,0.0271241,0.0287774,0.0148398,0.0361352,0.0317615,0.0469073,0.00910323,0.0158481,0.0484039,0.0461625,0,0,0,0,0,0
3,0.027422,0.05511,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386413,0,0.0193716,0.0603854,0,0,0.00867823,0,0,0.0421466,0.059862,0.0261566,0.0256164,0.0514543,0.0390288,0.0415909,0.0682418,0.057971,0,0,0.0690902,0.041448,0.0428771,0.0139795,0.0384834,0.0101606,0.0188933,0.0153431,0,0.0277824,0.048269,0.0452743,0,0,0.00730805,0,0,0.0363013,0.0763115,0.0157821,0.0157297,0.0262911,0.048519,0.0373912,0.0313452,0.0558628,0.0581124,0.0380081,0.027219,0.028664,0.0149446,0.036326,0.0323212,0.0470964,0.00853448,0.0159386,0.0482977,0.0462869,0,0,0,0,0,0
4,0.0278999,0.055453,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425968,0,0.0200747,0.0630507,0,0,0.00814974,0,0,0.0427189,0.0580683,0.0337509,0.0222099,0.0519484,0.0389452,0.0430574,0.0709767,0.0603609,0,0.0618993,0.0654419,0.036922,0.038814,0.0181067,0.0390047,0.00968239,0.0181944,0.0160163,0,0.0278216,0.0493884,0.0448027,0,0,0.0072911,0,0,0.0363261,0.0765121,0.0163047,0.0161745,0.0261668,0.0478931,0.0364007,0.0316157,0.0559313,0.0585327,0.0387092,0.0268425,0.0287509,0.0147864,0.0359981,0.0313764,0.0473548,0.00884995,0.015275,0.048638,0.0459741,0,0,0,0,0,0
5,0.0279559,0.0554137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418764,0,0.0208571,0.0637795,0,0,0.00813837,0,0,0.0429073,0.0576349,0.0350692,0.0220342,0.0516914,0.0384812,0.0429656,0.0709321,0.0602253,0.0184205,0.061728,0.065481,0.0367098,0.0383234,0.0195361,0.0389957,0.00972536,0.0179371,0.0159897,0,0.0279847,0.0483642,0.0448742,0,0,0.00743112,0,0,0.0362868,0.0770205,0.0163318,0.0163341,0.0264429,0.0480747,0.0367121,0.03191,0.0557494,0.0584658,0.0389653,0.0269417,0.028592,0.0146445,0.0361212,0.0312337,0.0473055,0.00862246,0.0154244,0.0486845,0.0458814,0,0,0,0,0,0
6,0.0279641,0.055428,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041824,0,0.0209031,0.0637838,0,0,0.00823003,0,0,0.0429885,0.0576441,0.0348967,0.0220879,0.0517894,0.0384994,0.0429789,0.0709021,0.0601474,0.0184174,0.0619352,0.0655203,0.0367359,0.0383119,0.0192989,0.0390314,0.00994308,0.0178396,0.0159581,0,0.0279986,0.0483469,0.0448747,0,0,0.00736931,0,0,0.0360614,0.0770181,0.0163265,0.016406,0.0264552,0.0481436,0.0365971,0.0319091,0.0557526,0.0584407,0.0389057,0.0269637,0.0285883,0.0146637,0.03617,0.0312327,0.0473222,0.00846759,0.0156716,0.0486352,0.0458918,0,0,0,0,0,0
7,0.0275381,0.0549543,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383109,0,0.0193175,0.0602303,0,0,0.00884425,0,0,0.042176,0.0600372,0.0258541,0.0257578,0.0516132,0.0388386,0.0413702,0.0681542,0.0580803,0,0,0.0691102,0.0415088,0.0430152,0.0136819,0.0385699,0.010415,0.0188452,0.0150589,0,0.0279275,0.0482816,0.0452701,0,0,0.00747644,0,0,0.0362157,0.0763258,0.0158375,0.0157093,0.0263977,0.0485617,0.0373314,0.0312056,0.0557418,0.0581089,0.0379955,0.0272446,0.0285831,0.014838,0.0364428,0.0321443,0.0470598,0.00865291,0.0160313,0.048128,0.0464872,0,0,0,0,0,0
8,0.0280391,0.0553874,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417188,0,0.0208687,0.0635062,0,0,0.00814061,0,0,0.0429212,0.0576614,0.0349449,0.0220539,0.0517013,0.0384556,0.042883,0.0709083,0.0601838,0.0184137,0.0618021,0.0651764,0.0367475,0.0383142,0.0194315,0.0390611,0.0101033,0.017701,0.0159004,0,0.0280318,0.0484061,0.044811,0,0,0.00740958,0,0,0.0360784,0.0769712,0.0163679,0.0165768,0.0263974,0.0479622,0.0366232,0.0318814,0.0557378,0.0584778,0.0389384,0.0269642,0.0285413,0.0146174,0.0361284,0.0312561,0.0471917,0.00871765,0.0157007,0.0486543,0.0459373,0,0,0,0,0,0
