Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,x97,LILC,x77,,x89
All Timesteps RMSE,0.036302,0.0525639,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376308,0,0.0198186,0.0575604,0,0,0.0121634,0,0,0.0392429,0.0547043,0.0373306,0.0226972,0.0563925,0.038273,0.0523069,0.0771329,0.0623473,0.0205568,0.0581851,0.0613779,0.0323567,0.0364284,0.0261765,0.0110121,0.0212514,0.0199797,0,0.0267589,0.0493698,0.0429067,0,0,0.0165049,0,0,0.0313135,0.0769934,0.03062,0.0170682,0.0273506,0.0522373,0.0397834,0.0320532,0.0580259,0.0607941,0.0379347,0.025628,0.0267953,0.0147298,0.0322272,0.0344286,0.0466376,0.0110102,0.0154835,0.046232,0.0529157,0,0,0,0,0.0408877,0,0,0
0,0.0336977,0.0544818,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308896,0,0.022977,0.0550199,0,0,0.0146984,0,0,0.0396484,0.0544442,0.0216651,0.0289685,0.0605814,0.0344718,0.0534295,0.071131,0.0543275,0.0168371,0.0548904,0.0587787,0.0331838,0.0310692,0.0116334,0.0106741,0.0193017,0.0124925,0,0.02741,0.0502806,0.045054,0,0,0.0106561,0,0,0.0333286,0.0771232,0.0166604,0.0171377,0.0294792,0.0497331,0.0342443,0.0286424,0.0522516,0.0576605,0.0407361,0.0300511,0.0277662,0.0164863,0.038381,0.0289684,0.04439,0.00795286,0.0174936,0.0476131,0.0467552,0,0,0,0,0,0,0,0
1,0.0338443,0.0542744,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324656,0,0.02228,0.0546795,0,0,0.0141838,0,0,0.0394831,0.0545802,0.0205752,0.0290291,0.0609004,0.0346809,0.0538249,0.0716027,0.0545025,0,0.0548404,0.0588692,0.0330605,0.0312938,0.00954769,0.0104903,0.0192319,0.0122254,0,0.0272049,0.0512307,0.0448862,0,0,0.0107185,0,0,0.0331169,0.0765934,0.016534,0.0170807,0.0292206,0.0491944,0.0337318,0.0284068,0.0524892,0.0577579,0.0405044,0.0299152,0.0277774,0.0164309,0.0381975,0.0294379,0.045004,0.00789333,0.0174288,0.0475367,0.0468605,0,0,0,0,0,0,0,0
2,0.0339617,0.0541574,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309889,0,0.0229145,0.054933,0,0,0.0140903,0,0,0.039363,0.0543906,0.0216831,0.0285362,0.0606612,0.0342459,0.0533038,0.0713155,0.0545304,0.0169868,0.0549255,0.0591055,0.0330542,0.0313753,0.0116072,0.0101951,0.0193269,0.0126168,0,0.0273193,0.0503537,0.044816,0,0,0.0107406,0,0,0.0330764,0.0769821,0.0165172,0.0171371,0.0293996,0.0494717,0.0339545,0.0286377,0.0523172,0.0576869,0.0407789,0.0299834,0.0278452,0.016473,0.0385353,0.0290859,0.0450035,0.00791794,0.0173844,0.0474684,0.0469294,0,0,0,0,0,0,0,0
3,0.0338834,0.0541431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316264,0,0.0238405,0.0533019,0,0,0.0136407,0,0,0.0395188,0.0561055,0.0198578,0.0294565,0.058988,0.0344475,0.0523682,0.0695124,0.0525933,0.0169295,0.0571096,0.0614611,0.034919,0.0327923,0.0103645,0.0100704,0.0196387,0.0123131,0,0.0266777,0.0503984,0.0446429,0,0,0.0113032,0,0,0.033206,0.0759148,0.0170569,0.0175913,0.028418,0.0494091,0.0351129,0.0288237,0.0531009,0.0584782,0.0408931,0.0292808,0.0277534,0.0161319,0.0385218,0.0296068,0.0443529,0.0078632,0.0174678,0.0477675,0.0469695,0,0,0,0,0.0328699,0,0,0
4,0.0341029,0.0539706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316738,0,0.0237845,0.053232,0,0,0.0135433,0,0,0.0395112,0.0561475,0.0198077,0.0292457,0.0589209,0.0340939,0.0523664,0.0696512,0.0526306,0.0171912,0.0571658,0.0614508,0.0349136,0.0327436,0.0103493,0.0100413,0.0194511,0.01241,0,0.0266801,0.0505161,0.0444848,0,0,0.0112071,0,0,0.033085,0.0758637,0.0169423,0.0177075,0.0283583,0.0492716,0.0350385,0.0287648,0.0530711,0.0584808,0.0408417,0.0292656,0.0277562,0.0161202,0.0385122,0.0295051,0.0445706,0.00792405,0.0172435,0.0476042,0.0471823,0,0,0,0,0.032822,0,0,0
5,0.0342721,0.0538269,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316601,0,0.0237243,0.0531964,0,0,0.0133906,0,0,0.0392791,0.056171,0.0197789,0.0290486,0.0588,0.0340017,0.052406,0.0697443,0.0526777,0.01751,0.0571273,0.061413,0.0350553,0.0327625,0.0104462,0.0098922,0.0193844,0.0124178,0,0.0266427,0.0505899,0.0443336,0,0,0.0110599,0,0,0.0329335,0.075859,0.016725,0.0178051,0.028389,0.0491892,0.0350111,0.02873,0.0530234,0.0584532,0.0408214,0.0293175,0.0277141,0.0160941,0.0379813,0.0293197,0.044763,0.00799194,0.0170714,0.0474372,0.047375,0,0,0,0,0.0327193,0,0,0
6,0.0345013,0.0536387,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329215,0,0.0229683,0.0525859,0,0,0.0130622,0,0,0.0392089,0.0566272,0.0183362,0.0291019,0.0588789,0.0341617,0.0529844,0.0700064,0.0526092,0,0.0571838,0.0615032,0.0351794,0.0329913,0.00860309,0.00973895,0.0195402,0.0119168,0,0.0264584,0.051599,0.0441201,0,0,0.0109227,0,0,0.0327238,0.0753161,0.0165878,0.0178425,0.0281171,0.0487279,0.034711,0.0284151,0.0531776,0.0585404,0.0405197,0.0291936,0.0276914,0.0160593,0.0375736,0.0294571,0.0450575,0.00815527,0.0167635,0.0472762,0.047627,0,0,0,0,0.0326603,0,0,0
7,0.0345926,0.0531874,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313101,0,0.0235244,0.0528527,0,0,0.0130335,0,0,0.0391313,0.0563885,0.0196387,0.0285987,0.0584401,0.033802,0.0524336,0.069984,0.0527318,0.0172097,0.057183,0.0615131,0.0351611,0.0329987,0.0109925,0.00955581,0.0195883,0.0124232,0,0.0266743,0.0507635,0.0440897,0,0,0.0108434,0,0,0.0326416,0.0757363,0.0164942,0.0180076,0.0283767,0.0490947,0.0350352,0.0286214,0.0528619,0.0584509,0.0408054,0.029314,0.0277076,0.0161323,0.0376452,0.0287984,0.0450219,0.00816006,0.0167928,0.0472396,0.0476773,0,0,0,0,0.0323801,0,0,0
8,0.0354424,0.0526426,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409389,0,0.0195733,0.0587626,0,0,0.0164252,0,0,0.0315551,0.0502621,0.0217761,0.0229017,0.0603749,0.0340154,0.0585229,0,0.0577439,0,0.0516003,0.0556278,0.0293106,0.0303454,0.00727867,0.0193001,0,0.0130078,0,0.027433,0.0511263,0.0441415,0,0,0.0104575,0,0,0.0320205,0.0769269,0.0162512,0.0171816,0.0292343,0.0463148,0.0321377,0.0288207,0.0519774,0.0578219,0.0409567,0.0298783,0.0278644,0.0164582,0.0383831,0.0279692,0.047409,0.00876559,0.01496,0.0473847,0.0472482,0,0,0,0,0,0,0,0
9,0.0348624,0.0525744,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309157,0,0.0232906,0.0524308,0,0,0.013117,0,0,0.0389898,0.0564698,0.0193466,0.02801,0.058047,0.0338158,0.0525541,0.0698852,0.0527552,0.0170322,0.0571991,0.0614837,0.0351231,0.0329969,0.0109674,0.00980557,0.0191206,0.0127181,0,0.0267697,0.0507606,0.0438845,0,0,0.0106184,0,0,0.0324413,0.0756961,0.0165214,0.0181368,0.0283104,0.04878,0.0350995,0.0285441,0.0526885,0.0584581,0.0407715,0.0292496,0.0278704,0.0161931,0.0384553,0.0283433,0.0452907,0.00821771,0.0165425,0.047102,0.0478018,0,0,0,0,0.0320608,0,0,0
10,0.0349599,0.0519444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030437,0,0.0232583,0.0523486,0,0,0.0130466,0,0,0.0390274,0.0566009,0.0193279,0.0278555,0.0579151,0.0337993,0.0526683,0.0702848,0.0527895,0.0171059,0.057177,0.0615154,0.0351233,0.0329315,0.0111146,0.0099265,0.0190079,0.0128706,0,0.0267267,0.0508934,0.0437677,0,0,0.0105406,0,0,0.0323394,0.0756896,0.0164381,0.0182934,0.0282868,0.048552,0.0350458,0.0284632,0.0526131,0.0584477,0.0406475,0.0292355,0.0278337,0.0161654,0.0384452,0.0281792,0.0454101,0.00823327,0.0165143,0.0470452,0.0478288,0,0,0,0,0.0319689,0,0,0
11,0.0351358,0.0515402,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030876,0,0.0226694,0.0517495,0,0,0.0128118,0,0,0.0391298,0.0571215,0.0181162,0.0281207,0.0580452,0.0340604,0.053368,0.0711474,0.0526731,0,0.0571626,0.061761,0.0351296,0.0328838,0.00974671,0.0100808,0.0189669,0.012717,0,0.0264682,0.0519135,0.0435798,0,0,0.0104766,0,0,0.032252,0.0751947,0.0162783,0.0184525,0.0280142,0.0480277,0.0347438,0.0281478,0.0527698,0.0585398,0.0403524,0.0290843,0.027688,0.0160739,0.0378128,0.0283639,0.0456206,0.00833298,0.0163466,0.0469087,0.0479598,0,0,0,0,0.0320077,0,0,0
12,0.0351323,0.0514386,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352725,0,0.0224938,0.0513579,0,0,0.0126987,0,0,0.0389557,0.0565314,0.0181512,0.0259248,0.0578711,0.0341201,0.0531671,0.0733886,0.0531245,0,0.0573387,0.062196,0.0346873,0.0335444,0.00597137,0.0100085,0.0188695,0.0130182,0,0.0265773,0.0514033,0.0435711,0,0,0.0106077,0,0,0.0320813,0.0753244,0.016181,0.0185325,0.0281568,0.04786,0.0349066,0.0281248,0.052635,0.0584013,0.0402703,0.029266,0.0275306,0.0160654,0.0376128,0.0280439,0.0456461,0.00830126,0.0162057,0.0467859,0.0480092,0,0,0,0,0.0312843,0,0,0
13,0.0356554,0.0513509,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342607,0,0.0215867,0.0529701,0,0,0.012782,0,0,0.038798,0.0549092,0.0199941,0.0244113,0.0594182,0.0342405,0.0541033,0.0749752,0.0550306,0,0.0552434,0.0597037,0.0324482,0.0322533,0.00708067,0.00985395,0.018867,0.0136379,0,0.0271343,0.0516766,0.0433755,0,0,0.010226,0,0,0.0319523,0.0762436,0.0157164,0.0180855,0.02892,0.0475368,0.0337187,0.0278849,0.0518677,0.057693,0.0400913,0.0298856,0.0275284,0.0163293,0.0380788,0.0272296,0.0464768,0.00869754,0.0156071,0.0462556,0.0483117,0,0,0,0,0,0,0,0
14,0.0353123,0.0512445,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348159,0,0.0227124,0.051748,0,0,0.0126509,0,0,0.0387561,0.0561934,0.0192264,0.0251036,0.0576337,0.0338096,0.0527687,0.0732489,0.0533501,0.0167067,0.0573712,0.0618146,0.0341793,0.03384,0.00709826,0.00979391,0.0188533,0.0138316,0,0.0267197,0.0508401,0.0434724,0,0,0.0106915,0,0,0.0321244,0.0757283,0.0161911,0.0187213,0.02839,0.0480761,0.0353096,0.0283277,0.0524077,0.0582557,0.040355,0.0294373,0.0272969,0.0159922,0.0377134,0.0271994,0.045476,0.00851873,0.0160235,0.0465092,0.0481866,0,0,0,0,0.030835,0,0,0
15,0.0353037,0.050964,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353045,0,0.0220137,0.0510931,0,0,0.0122533,0,0,0.038887,0.0566917,0.0182966,0.0251217,0.0581763,0.0335006,0.0534128,0.073366,0.0533227,0,0.0572455,0.0616715,0.0341385,0.0337864,0.00627208,0.00978206,0.0190006,0.0136513,0,0.0264797,0.0519749,0.0437868,0,0,0.00746045,0,0,0.0205633,0.0751986,0.0162121,0.0187265,0.0280766,0.0479504,0.0325253,0.02806,0.0526263,0.0583742,0.0400239,0.0291548,0.0272634,0.0159143,0.0376334,0.027473,0.0461616,0,0.0161289,0.0461089,0.0484484,0,0,0,0,0.0310403,0,0,0
16,0.0355754,0.0510226,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344154,0,0.022635,0.0515472,0,0,0.0118581,0,0,0.0389943,0.0562836,0.019471,0.0248528,0.0577148,0.0337307,0.0531157,0.0736158,0.0535522,0.0168377,0.0572331,0.0618882,0.0341514,0.033761,0.00741281,0.0090854,0.0198502,0.0142161,0,0.0266681,0.050993,0.0432109,0,0,0.0108363,0,0,0.0323426,0.0757362,0.0162314,0.0188565,0.028292,0.0483931,0.0355569,0.0282649,0.0523183,0.0582821,0.0403228,0.0292309,0.0272775,0.0159696,0.0379597,0.0268719,0.0454725,0.00854242,0.0159577,0.0462021,0.0483131,0,0,0,0,0.0306841,0,0,0
17,0.0356651,0.0508734,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328921,0,0.0230013,0.0515405,0,0,0.011166,0,0,0.0391611,0.0563057,0.0197867,0.0250282,0.0576459,0.0337457,0.0533663,0.0739175,0.0535343,0.0169025,0.0570866,0.0617749,0.0341062,0.0334552,0.0083327,0.00858661,0.0206681,0.0144518,0,0.02666,0.0510005,0.0430929,0,0,0.0107842,0,0,0.0321827,0.0758201,0.0163793,0.0187625,0.0281577,0.0484027,0.0356792,0.028304,0.0522451,0.058335,0.040487,0.0291731,0.0272935,0.0159764,0.0381947,0.0266701,0.0455597,0.00854434,0.0161314,0.0460995,0.0483873,0,0,0,0,0.0307531,0,0,0
18,0.0355703,0.0507589,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288008,0,0.0224258,0.0509482,0,0,0.0144137,0,0,0.0315508,0.0575398,0.0185137,0.0267218,0.0576464,0.0335203,0.0540159,0.0728894,0.052895,0,0.0570214,0.0616179,0.0345996,0.0330015,0.0118487,0.0194077,0,0.0143944,0,0.0263995,0.0526413,0.0429817,0,0,0.0104703,0,0,0.0321452,0.0753103,0.0160701,0.0184606,0.02788,0.0473047,0.0355602,0.0277627,0.0523636,0.0583308,0.0401211,0.0290948,0.0273076,0.0159884,0.0379192,0.0267039,0.0459343,0.00878458,0.0161979,0.0461355,0.048623,0,0,0,0,0.0313159,0,0,0
