Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LTIB
All Timesteps RMSE,0.0335586,0.054113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327449,0,0.0213924,0.0540735,0,0,0.011281,0,0,0.0410178,0.0551406,0.0316477,0.0284454,0.0250887,0.0567179,0.0434085,0.0536426,0.0759003,0.0559254,0.0196856,0.0606572,0.0326635,0.0341176,0.0235718,0.0388695,0.0119203,0.0215704,0.019163,0,0.025342,0.0482049,0.0431764,0,0,0.0150878,0,0,0.032463,0.0769512,0.0216745,0.0166685,0.0283208,0.0528913,0.0404005,0.0321211,0.0587257,0.0606884,0.0382494,0.0265996,0.0272036,0.0143359,0.033964,0.035102,0.047476,0.0122478,0.0158237,0.0470977,0.0525547,0,0,0,0.0567973
0,0.0298919,0.0572568,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323065,0,0.0234672,0.0591014,0,0,0.00866303,0,0,0.0434762,0.0553649,0.0307225,0.0315655,0.0279997,0.0536732,0.0404469,0.0422501,0.067925,0.0543154,0.0199766,0.0704524,0.0418727,0.042579,0.0223778,0.0389452,0.0101531,0.0189343,0.0166193,0,0.0246087,0.0451007,0.0447051,0,0,0.00904355,0,0,0.0356928,0.0755805,0.014619,0.0160318,0.02716,0.0517201,0.0381296,0.0315637,0.0574606,0.0623084,0.0399308,0.0262258,0.0282651,0.0144505,0.0352773,0.029678,0.0452981,0.00778044,0.017624,0.0513365,0.0466022,0,0,0,0
1,0.030093,0.0572236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323215,0,0.0235876,0.0590278,0,0,0.00736406,0,0,0.0437513,0.0553608,0.0308708,0.0315633,0.0279108,0.0538493,0.0399568,0.0422574,0.0679312,0.0542978,0.0193488,0.070386,0.0417773,0.0424782,0.0223345,0.0394633,0.0102035,0.0188999,0.0166475,0,0.0247828,0.0450532,0.0445515,0,0,0.00939803,0,0,0.0352551,0.0753769,0.014749,0.0160417,0.0270399,0.0515612,0.0379902,0.0315574,0.0574369,0.0623339,0.0399066,0.0261852,0.0284296,0.0145619,0.0358168,0.0296824,0.0453059,0.00773587,0.0180514,0.0512019,0.0466097,0,0,0,0
2,0.0300598,0.0571977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324334,0,0.0235348,0.0589763,0,0,0.00743601,0,0,0.0436776,0.0554223,0.0306598,0.0314991,0.0279652,0.0538472,0.0399654,0.0422267,0.0678967,0.0542468,0.0184146,0.0704448,0.041851,0.042531,0.0221492,0.0393313,0.0103022,0.0188591,0.0165291,0,0.0248543,0.0451276,0.044569,0,0,0.0095222,0,0,0.0351947,0.0753313,0.0147558,0.0161336,0.0269169,0.0515652,0.03795,0.0315659,0.0574378,0.0623273,0.0398918,0.0262143,0.0284499,0.0146135,0.0359562,0.0298386,0.0452324,0.00780948,0.0179752,0.0510853,0.0465985,0,0,0,0
3,0.0297979,0.0573431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336591,0,0.0229618,0.0584198,0,0,0.00768148,0,0,0.0436457,0.0558929,0.0285153,0.0311843,0.0284167,0.0537387,0.0400835,0.0426866,0.0677063,0.0537211,0,0.07057,0.0421225,0.0428604,0.0195592,0.0389502,0.0103818,0.0187773,0.0164555,0,0.0244639,0.0459492,0.0446708,0,0,0.00925905,0,0,0.0354669,0.0748426,0.0148119,0.0165097,0.0265121,0.0514027,0.0376955,0.0315167,0.0577427,0.0623912,0.0396293,0.0262487,0.0286388,0.0149867,0.0359104,0.0300723,0.0452644,0.00767808,0.0174649,0.0511635,0.0464265,0,0,0,0
4,0.0299333,0.0568989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319126,0,0.0220635,0.0598323,0,0,0.00809347,0,0,0.0429192,0.0548731,0.0290615,0.0337293,0.0267798,0.0546841,0.04033,0.0418038,0.069239,0,0,0.0692622,0.0412077,0.0435993,0.0189946,0.0391446,0.0110392,0.0192477,0.0165317,0,0.0243731,0.0472947,0.0448166,0,0,0.00928731,0,0,0.0350284,0.074993,0.0149538,0.0160449,0.0265285,0.0515968,0.0372157,0.03142,0.0575788,0.0627054,0.0403811,0.0260534,0.0283965,0.014492,0.0359814,0.0297889,0.0457478,0.00819192,0.0170933,0.050423,0.046818,0,0,0,0
5,0.030008,0.057146,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323746,0,0.0235969,0.0591262,0,0,0.00767346,0,0,0.0435223,0.0552901,0.0308544,0.0315508,0.0279354,0.0537174,0.0398714,0.0422807,0.0676639,0.0542856,0.0194884,0.0704071,0.0417115,0.0424376,0.0221871,0.0389587,0.0106941,0.0184451,0.0166,0,0.0248133,0.0450221,0.0445599,0,0,0.0097751,0,0,0.03495,0.0754691,0.014795,0.0159811,0.0270326,0.0514849,0.0379958,0.0315941,0.0574343,0.0623511,0.0399494,0.0261495,0.0285841,0.0145047,0.0359216,0.0297847,0.0451123,0.00818688,0.0173446,0.0508765,0.0465235,0,0,0,0
6,0.0299909,0.0571301,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324102,0,0.0235986,0.0591629,0,0,0.00779353,0,0,0.043475,0.0552783,0.0308648,0.0315551,0.0279009,0.0536563,0.0398344,0.0422812,0.0676492,0.0542941,0.0198163,0.0703137,0.0417274,0.0424128,0.0222017,0.0388579,0.0108892,0.0182844,0.0165217,0,0.0248622,0.0450314,0.0445576,0,0,0.0099174,0,0,0.0348892,0.0754319,0.0148047,0.015885,0.0269807,0.0514398,0.0380405,0.0316194,0.0574189,0.0623342,0.0399467,0.0261613,0.0286465,0.0145233,0.0359164,0.0298639,0.0450583,0.00842105,0.0170904,0.0508353,0.0464846,0,0,0,0
7,0.0299924,0.0571024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325005,0,0.0235508,0.0591992,0,0,0.00797707,0,0,0.0433739,0.0552939,0.0307578,0.0315775,0.0279067,0.0536237,0.03976,0.0422842,0.0676566,0.0542898,0.0202807,0.0700901,0.0417326,0.0424187,0.0221095,0.0387401,0.0111652,0.0180492,0.0163952,0,0.024968,0.0450704,0.0445389,0,0,0.0101351,0,0,0.0348265,0.0755023,0.0147879,0.0161705,0.0268979,0.0513828,0.0380503,0.0316212,0.0573895,0.0622814,0.0399125,0.0262229,0.028671,0.0145935,0.0359391,0.0300185,0.0450012,0.00869973,0.0168383,0.0507887,0.0464628,0,0,0,0
8,0.0302991,0.056537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324864,0,0.0229876,0.0593298,0,0,0.00883764,0,0,0.0422718,0.0551595,0.0289628,0.0316111,0.0279896,0.0516986,0.0397204,0.0436059,0.0678861,0.0534532,0.0202253,0.0701056,0.0419102,0.0425358,0.0205821,0.0383943,0.012596,0.0188921,0.0157218,0,0.0251814,0.0466326,0.0450493,0,0,0.0106911,0,0,0.0345842,0.0746937,0.0149569,0,0.0265242,0.0501484,0.0388054,0.0322531,0.0582401,0.0623232,0.0389705,0.0260763,0.028446,0.0144697,0.0356935,0.0314909,0.0450105,0.00878448,0.0166771,0.0513165,0.0457783,0,0,0,0
9,0.0302062,0.0572264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366385,0,0.024503,0.062099,0,0,0.00838978,0,0,0.0435431,0.0531682,0.0376432,0.0344853,0.0246673,0.053524,0.0398898,0.0435394,0.0701758,0.0564066,0.0183026,0.0668094,0.0374745,0.0385075,0.0242977,0.0384351,0.0118891,0.0167318,0.0166832,0,0.0247958,0.0460711,0.0443576,0,0,0.0107496,0,0,0.0343779,0.0759791,0.0150599,0.016434,0.0266021,0.050725,0.0377573,0.03207,0.0574024,0.0626288,0.0406925,0.0259869,0.028477,0.0143852,0.0359224,0.0297267,0.0451891,0.00966276,0.0154441,0.0510065,0.0461057,0,0,0,0.062829
10,0.0301051,0.0573091,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374008,0,0.0237162,0.0613901,0,0,0.00898378,0,0,0.043313,0.0537659,0.0357146,0.034322,0.0250948,0.0536956,0.0402836,0.043579,0.069975,0.0562856,0,0.0670031,0.0378158,0.0389826,0.0223491,0.0382762,0.0125564,0.0163116,0.0165628,0,0.0247345,0.0470577,0.0442712,0,0,0.0110534,0,0,0.0343024,0.0754053,0.0151217,0.0159016,0.0263748,0.0506155,0.0376838,0.031788,0.057565,0.0626705,0.0404413,0.025922,0.0286876,0.0145539,0.03583,0.0298424,0.0451227,0.0103922,0.0147932,0.050967,0.0461323,0,0,0,0.0631012
11,0.0302633,0.0574232,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364653,0,0.0244559,0.0619141,0,0,0.00945321,0,0,0.043293,0.053249,0.0376893,0.034506,0.0247616,0.0536533,0.0400945,0.0434623,0.0699977,0.0563414,0.0169802,0.0669431,0.0375813,0.0385081,0.0246997,0.0382893,0.0129691,0.0156019,0.0168502,0,0.0247275,0.0459715,0.0441318,0,0,0.0116048,0,0,0.0341002,0.0757842,0.0149511,0.0159448,0.0267958,0.0507922,0.0380642,0.0319934,0.0574215,0.0625711,0.0405706,0.0260188,0.0285228,0.0143815,0.0359511,0.0296292,0.0451294,0.0114053,0.0141613,0.0510259,0.0460275,0,0,0,0.0627837
12,0.030293,0.057604,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362611,0,0.0246042,0.0602446,0,0,0.012559,0,0,0.0420448,0.0531653,0.0357887,0.0349228,0.0252142,0.0557375,0.0403303,0.0442863,0.0696963,0.0549697,0.0171735,0.0675168,0.0382876,0.0387937,0.0229461,0.0381879,0.0132385,0.0146325,0.0182032,0,0.0242872,0.0440636,0.0441699,0,0,0.0113697,0,0,0.0338798,0.0762793,0.0138619,0.0158313,0.0286764,0.0518178,0.0377189,0.0313514,0.0573356,0.0618425,0.0397017,0.0264213,0.0285436,0.0142776,0.0364321,0.0281113,0.0458381,0.0139194,0.0125182,0.0503481,0.0462867,0,0,0,0.0632921
