Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LTHIP,LTIB,LILC,
All Timesteps RMSE,0.0318959,0.0544224,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355457,0,0.020999,0.0480756,0,0,0.0123516,0,0,0.0398783,0.055137,0.030658,0.0273878,0.0616187,0.043791,0.0538231,0.076123,0.0562864,0.0633424,0.0346525,0.0358324,0.0212746,0.0367659,0.0119426,0.0232862,0.0238792,0,0.0281918,0.0487917,0.0437499,0,0,0.0199101,0,0,0.0323516,0.0805095,0.0230648,0.0199092,0.0306522,0.0578819,0.0468294,0.0340054,0.0558326,0.0578623,0.0372334,0.0374095,0.0310385,0.161441,0.0427111,0.0341098,0.0432458,0.0124953,0.0177878,0.0458466,0.0551666,0,0,0,0.0206087,0.0593795,0.0898364,0
0,0.0308463,0.0560724,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298178,0,0.0222331,0.0565716,0,0,0.00970303,0,0,0.041254,0.0538313,0.0291573,0.0285443,0.0550054,0.037841,0.0491738,0.071881,0.056307,0.0669289,0.0389391,0.040158,0.0164116,0.0352082,0.0107884,0.0187445,0.0180005,0,0.0273387,0.0473689,0.0451824,0,0,0.00941942,0,0,0.0339109,0.0783136,0.0146548,0.0163124,0.0271065,0.0504582,0.0387304,0.030602,0.0545335,0.0596178,0.0397519,0.0284312,0.0267454,0.0146043,0.0363633,0.0243071,0.0468232,0.0087194,0.0161162,0.0486644,0.0501417,0,0,0,0,0,0,0
1,0.031175,0.0565134,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033076,0,0.0242251,0.0606496,0,0,0.00908257,0,0,0.0421444,0.0502867,0.0394326,0.0244602,0.0547827,0.0366683,0.050525,0.0750725,0.0586289,0.0634705,0.0341307,0.0355778,0.0214172,0.0354067,0.010229,0.0174996,0.0193682,0,0.0273218,0.0465512,0.0450309,0,0,0.00707353,0,0,0.03061,0.0795239,0.0148727,0.0169875,0.0270584,0.0496903,0.0371937,0.0317447,0.0546167,0.0598682,0.040719,0.0282556,0.0268941,0.01477,0.0368417,0.0230078,0.0469464,0,0.0193249,0.0492346,0.0492862,0,0,0,0.0201763,0.0594346,0,0
2,0.031397,0.0566677,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332341,0,0.0242462,0.0608866,0,0,0.00890009,0,0,0.0421953,0.0502598,0.0400433,0.0243164,0.0545365,0.0367262,0.0498262,0.0750725,0.0590959,0.0639376,0.0343854,0.0362065,0.0223248,0.0356444,0.0102218,0.0174751,0.0193237,0,0.0274551,0.0465078,0.0446889,0,0,0.00901983,0,0,0.0341817,0.0800513,0.014668,0.0169605,0.0273139,0.0498356,0.0380974,0.0315625,0.0544912,0.0598888,0.0408988,0.0282603,0.0267033,0.0145658,0.0368534,0.0229827,0.0469713,0.00831466,0.0155758,0.0492409,0.0493638,0,0,0,0.0202724,0.0600269,0,0
3,0.0314745,0.056747,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0338112,0,0.0243024,0.0614181,0,0,0.0086861,0,0,0.0424275,0.0500683,0.040554,0.0242082,0.0543913,0.0370075,0.0496761,0.0752387,0.0594159,0.0640833,0.0344447,0.0364245,0.0227152,0.0357153,0.0102618,0.0174167,0.0191725,0,0.027471,0.0465745,0.0446039,0,0,0.00873652,0,0,0.0339008,0.0799501,0.0145168,0.0171946,0.0273398,0.04993,0.0379281,0.0314879,0.0544764,0.0598817,0.0408862,0.0282937,0.0267693,0.014622,0.0365785,0.0231704,0.0470131,0.00808205,0.0157627,0.0493165,0.0492244,0,0,0,0.0210464,0.060772,0,0
4,0.0315364,0.0568617,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356345,0,0.0233484,0.061157,0,0,0.00853872,0,0,0.042627,0.0505968,0.0384464,0.0247291,0.0544478,0.0375022,0.0501261,0.0754436,0.0595083,0.0641517,0.0346076,0.0370035,0.0203327,0.0357592,0.0103318,0.0175592,0.0189258,0,0.0272517,0.0479362,0.0444882,0,0,0.00834809,0,0,0.0338739,0.0794876,0.014539,0.0174638,0.0268116,0.0494284,0.0373248,0.0311624,0.0547732,0.0599588,0.0404618,0.02819,0.0272602,0.0149975,0.0367944,0.0235179,0.0472318,0.00793766,0.0156003,0.0494095,0.0491043,0,0,0,0,0.0618556,0,0
5,0.0316317,0.0568994,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344156,0,0.0242669,0.0620709,0,0,0.00837638,0,0,0.0428151,0.0497851,0.0411634,0.024278,0.0540622,0.0372946,0.0495095,0.0755716,0.0599092,0.0643355,0.0343894,0.0366225,0.0235999,0.0358077,0.0103177,0.0173121,0.0189456,0,0.0276235,0.0467057,0.0444667,0,0,0.00858493,0,0,0.0337194,0.0798459,0.0143724,0.0174558,0.0272461,0.0497596,0.0375246,0.0313809,0.0544031,0.059903,0.0409878,0.0283742,0.0271603,0.0148262,0.037015,0.0234626,0.047027,0.00769015,0.0160311,0.0494802,0.0490175,0,0,0,0.0223536,0.0609948,0,0
6,0.0318373,0.0569852,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343389,0,0.0233771,0.0641033,0,0,0.00854898,0,0,0.0424964,0.0483962,0.0420505,0.0221954,0.0548445,0.0374133,0.0498907,0.0778822,0,0.0625314,0.0328619,0.0370137,0.0228419,0.0361385,0.0106566,0.0172772,0.0193568,0,0.0271899,0.0483351,0.0444808,0,0,0.00860062,0,0,0.0338975,0.0793732,0.0144209,0.0178923,0.0268274,0.049605,0.0364519,0.0316272,0.0545621,0.0602405,0.0416052,0.0283126,0.0273039,0.015011,0.0364484,0.0230379,0.0476554,0.00818433,0.0150325,0.0493815,0.0488592,0,0,0,0.0221454,0.0597087,0,0
7,0.0316811,0.0570809,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350398,0,0.0242019,0.0618331,0,0,0.00835143,0,0,0.0427842,0.0498295,0.040941,0.0243185,0.0540301,0.0374905,0.0493131,0.0756573,0.06001,0.0647373,0.0346134,0.0367887,0.0237855,0.0360116,0.0105966,0.0169768,0.0189061,0,0.0276804,0.0466614,0.0444081,0,0,0.00917358,0,0,0.0340892,0.0793978,0.0140464,0.0175091,0.0273482,0.0499248,0.0373493,0.0313514,0.0542919,0.0598985,0.0412734,0.0285818,0.0271625,0.0149165,0.0364143,0.0234161,0.0469414,0.00824226,0.0150429,0.049512,0.0489623,0,0,0,0.021074,0.0619319,0,0
8,0.031288,0.0571845,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313226,0,0.0228562,0.0591728,0,0,0.0088012,0,0,0.0424086,0.0520067,0.0339195,0.0273142,0.0534988,0.0376499,0.0484821,0.073263,0.0576918,0.0680676,0.0387857,0.0403499,0.0214829,0.035668,0.0110548,0.0171115,0.0185797,0,0.0276998,0.045872,0.0445997,0,0,0.00931685,0,0,0.0344041,0.0790799,0.0138898,0.017528,0.0271532,0.0500856,0.0378691,0.0311977,0.0543793,0.0595949,0.0405287,0.0288279,0.027525,0.0154793,0.0367706,0.0238317,0.0467043,0.00859095,0.0146108,0.0495896,0.048916,0,0,0,0.0231392,0,0,0
