Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRB,STRN,T10,x74,x75,x76,RWRA,,x77,LILC
All Timesteps RMSE,0.0332353,0.0557375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385401,0,0.020282,0.050114,0,0,0.0292057,0,0,0.0393686,0.0557233,0.0334899,0.0243018,0.0643467,0.0357151,0.0606774,0.0823708,0.0444127,0.0214235,0.0539586,0.0574812,0.029992,0.0317983,0.0195232,0.0523339,0.06478,0.0907109,0.026537,0,0.0249663,0.0554432,0.0451147,0,0,0.015309,0,0,0.0319232,0.0705793,0.0272531,0.021058,0.0238725,0.0561526,0.0401469,0.0356278,0.0634623,0.0658359,0.0403988,0.0245922,0.0254672,0.0133952,0.0311754,0.0334508,0.0472588,0.0155575,0.0475273,0.0500689,0,0,0,0.0140432,0,0,0.0362779
0,0.0296064,0.0553855,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271151,0,0.0258084,0.0525152,0,0,0.0134433,0,0,0.0400245,0.0539224,0.0339157,0.0287721,0.0582062,0.0344662,0.0547921,0.073559,0.0542891,0.0206584,0.0571496,0.0601692,0.033306,0.0312863,0.017328,0.0364836,0.0120496,0.0179374,0.0262178,0,0.025458,0.0517841,0.0492636,0,0,0.00670733,0,0,0.0127663,0.076372,0.0144556,0.0223532,0.0248448,0.0523135,0.0331424,0.0296469,0.0553194,0.0634975,0.0398963,0.0275393,0.030104,0.0162759,0.0361432,0.0174472,0.0588916,0.0346199,0.0475971,0.0466483,0,0,0,0,0,0,0
1,0.0278687,0.0567208,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270376,0,0.0263323,0.0517893,0,0,0.0127927,0,0,0.0402906,0.054965,0.0338885,0.0293601,0.0579883,0.0356697,0.0548372,0.0730277,0.0540998,0.0213288,0.0569371,0.0599829,0.0332018,0.0309079,0.0168119,0.0365457,0.0114259,0.0187055,0.0256068,0,0.0251918,0.0529178,0.048643,0,0,0.00983678,0,0,0.0334202,0.0761468,0.0144046,0.0219133,0.0252183,0.0511875,0.037175,0.0288129,0.0549943,0.0631633,0.0395355,0.0279223,0.0300611,0.0165372,0.0365751,0.0177878,0.0519889,0.0182466,0.0486816,0.0458308,0,0,0,0.0108382,0,0,0
2,0.0276232,0.0564316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314011,0,0.0246791,0.0511777,0,0,0.0133849,0,0,0.0397089,0.0553634,0.0376805,0.0321025,0.0582776,0.0362965,0.0559784,0.0724922,0.0531395,0.021906,0.0551792,0.0601364,0.0318329,0.0261625,0.0217736,0.036798,0.0122412,0.0192563,0.0268022,0,0.0257172,0.0528872,0.0489934,0,0,0.0103443,0,0,0.0328688,0.0760019,0.0141413,0.021891,0.0250441,0.0519523,0.037442,0.0287816,0.0551511,0.063203,0.039466,0.0276686,0.0307279,0.016665,0.0363375,0.0166121,0.0518268,0.0186529,0.0482062,0.0461469,0,0,0,0.0100325,0,0,0
3,0.0276069,0.0564252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287598,0,0.0252246,0.0513193,0,0,0.0133227,0,0,0.0398889,0.0553897,0.0353451,0.0320204,0.0583292,0.0366086,0.0561151,0.0725207,0.053157,0.0218743,0.0554168,0.0598574,0.032182,0.0274237,0.0194889,0.0369856,0.0124937,0.0191316,0.0266645,0,0.0256935,0.0530293,0.0489653,0,0,0.010354,0,0,0.0328536,0.0759138,0.014174,0.021918,0.0250522,0.0519928,0.0374732,0.0287658,0.0551829,0.0632187,0.0394327,0.0276744,0.0307923,0.0167111,0.0363392,0.0167294,0.0517174,0.018713,0.0482095,0.0461872,0,0,0,0.00974634,0,0,0
4,0.027517,0.0561669,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257802,0,0.0263672,0.0511317,0,0,0.0134257,0,0,0.03997,0.0553402,0.0329147,0.031754,0.0588314,0.036298,0.0562378,0.0726883,0.0533666,0.0219747,0.0554697,0.0593501,0.0327028,0.0290729,0.017805,0.036582,0.0123107,0.019338,0.0264623,0,0.0256608,0.0530492,0.0494418,0,0,0.00484231,0,0,0.0207276,0.0757717,0.0142715,0.0217417,0.0250568,0.0522162,0.0320143,0.0287815,0.0552757,0.0632555,0.0393686,0.0276397,0.0308327,0.0167128,0.0363112,0.0169223,0.0525719,0.0192529,0.0478943,0.0464393,0,0,0,0,0,0,0
5,0.0274657,0.0563556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247531,0,0.0270475,0.0510678,0,0,0.0132708,0,0,0.0398162,0.0553015,0.0314523,0.0314438,0.0584713,0.0367194,0.056115,0.0728757,0.053436,0.022004,0.0553391,0.0593108,0.0331328,0.0300722,0.0170392,0.037178,0.0121151,0.0194469,0.0263344,0,0.0256757,0.0531357,0.0488523,0,0,0.010002,0,0,0.0330665,0.0757852,0.014279,0.021764,0.0251134,0.0519908,0.0376442,0.0287703,0.0552543,0.0632448,0.039347,0.0276418,0.0308913,0.0167487,0.03632,0.017029,0.0514869,0.0185799,0.0481724,0.0463443,0,0,0,0.00968573,0,0,0
6,0.0275594,0.0563406,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253696,0,0.0268328,0.0508453,0,0,0.013291,0,0,0.0398201,0.0552474,0.0309052,0.0307466,0.0585653,0.0366132,0.05626,0.0733762,0.0536235,0.0221062,0.055813,0.0595511,0.0330849,0.0302437,0.016426,0.0371281,0.0120076,0.0195621,0.0261257,0,0.0256271,0.0532855,0.0488049,0,0,0.00989783,0,0,0.0333024,0.0757027,0.0143249,0.0216894,0.0250972,0.0519197,0.0377068,0.0287469,0.05531,0.0632523,0.039403,0.0276156,0.0309374,0.0167779,0.0362788,0.0172359,0.0514011,0.0182291,0.0481688,0.0463835,0,0,0,0.00987917,0,0,0
7,0.0276036,0.056256,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259675,0,0.0265644,0.0505522,0,0,0.0133959,0,0,0.0397356,0.0552662,0.0303423,0.0299494,0.058669,0.0362083,0.0565254,0.073874,0.0537934,0.0222162,0.0562843,0.0597859,0.0331338,0.0304391,0.0158487,0.0369773,0.0119526,0.0195347,0.0259252,0,0.0256007,0.0534589,0.0487607,0,0,0.00988878,0,0,0.0335235,0.0755714,0.0143627,0.0216652,0.0250426,0.0518355,0.0376692,0.0286799,0.0553738,0.0632523,0.0395891,0.0275942,0.0309992,0.0168168,0.0362245,0.0174237,0.0512228,0.0177864,0.0481091,0.0464415,0,0,0,0.0101096,0,0,0
8,0.0276147,0.0561917,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263658,0,0.0262146,0.0502097,0,0,0.0134124,0,0,0.0397188,0.055284,0.0297431,0.0291415,0.0587668,0.0360957,0.0568561,0.0743324,0.0539843,0.0222925,0.0565296,0.0598843,0.0331718,0.0307049,0.0155275,0.0369742,0.0119408,0.0195274,0.0257196,0,0.0255741,0.0536052,0.0486932,0,0,0.00952122,0,0,0.033478,0.0753872,0.014402,0.0216002,0.025031,0.0518076,0.0375949,0.0285866,0.0554185,0.0632459,0.0394817,0.0275514,0.031008,0.0168255,0.0361827,0.0176233,0.0510731,0.0179342,0.0480552,0.0465227,0,0,0,0.00973979,0,0,0
