Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,,LILC,LTHII
All Timesteps RMSE,0.0334969,0.0559981,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357653,0,0.0187753,0.0449804,0,0,0.0140349,0,0,0.0401021,0.0574819,0.0327341,0.0233941,0.0635981,0.0447768,0.0820222,0.0884295,0.0572022,0.0607835,0.0325445,0.0364621,0.023854,0.0369132,0.0121874,0.0218603,0.0526112,0,0.028549,0.0550094,0.0441105,0,0,0.0157782,0,0,0.0316291,0.073061,0.0221185,0.0215774,0.0250472,0.056498,0.0404814,0.034727,0.0608972,0.0657426,0.0406461,0.0284679,0.0204723,0.0126183,0.0347561,0.0356777,0.045921,0.0123222,0.0164667,0.0493875,0.0512196,0,0,0,0,0.0426308,0.0622089
0,0.0314854,0.0580305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326564,0,0.0203413,0.0556448,0,0,0.0118618,0,0,0.0403442,0.049219,0.0308889,0.0210837,0.0660126,0.0381178,0.0826705,0.0845557,0.0548095,0.0549947,0.0285222,0.0332504,0.0133997,0.032613,0.0113802,0.0204274,0.0132919,0,0.0271163,0.0522569,0.0463362,0,0,0.0139864,0,0,0.0289852,0.0765728,0.0141125,0.0189156,0.020983,0.0553959,0.0348127,0.0330204,0.0567604,0.0645847,0.0417999,0.0270058,0.0320073,0.0175194,0.0342091,0.0295915,0.0502237,0.0117478,0.0142826,0.0494317,0.0474851,0,0,0,0,0,0
1,0.031191,0.0577351,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264191,0,0.0176466,0.0501708,0,0,0.0117676,0,0,0.0405401,0.0521314,0.0222038,0.0243711,0.0648169,0.0384885,0.0791853,0.0807127,0,0.0631889,0,0.0421884,0.017394,0.0324563,0.0114498,0.0205677,0.0187927,0,0.0252604,0.050586,0.0458108,0,0,0.013723,0,0,0.0303246,0.0747604,0.0135547,0.0173896,0.0248241,0.0560491,0.0351068,0.0311978,0.0578996,0.0646751,0.0413837,0.0255421,0.0306763,0.0156812,0.0339334,0.0228299,0.0497342,0.00924986,0.0187493,0.0491617,0.0482483,0,0,0,0,0,0
2,0.0308861,0.0576358,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262092,0,0.0189775,0.047864,0,0,0.0119014,0,0,0.0406785,0.0544148,0.0202935,0.026759,0.0628975,0.0383233,0.0768283,0.0810361,0,0.0663075,0,0.0434769,0.0168961,0.0319099,0.011391,0.0207099,0.0183137,0,0.024885,0.0500326,0.0459914,0,0,0.0135463,0,0,0.0306727,0.0735664,0.0145854,0.017997,0.0240055,0.0561645,0.0365148,0.0315042,0.0586548,0.0654108,0.041662,0.0250209,0.0305078,0.0154794,0.0334781,0.023581,0.0486324,0.00880031,0.0198203,0.0493584,0.0482006,0,0,0,0,0.0351639,0
3,0.0320345,0.0578605,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352409,0,0.0185247,0.0557837,0,0,0.0115902,0,0,0.0404921,0.0491502,0.0291227,0.0189954,0.0644466,0.0387141,0.0838347,0.0818351,0,0.0576438,0.129391,0.0369056,0.0117116,0.0325936,0.0113904,0.0204877,0.0194905,0,0.0244959,0.0531113,0.0460601,0,0,0.013617,0,0,0.030593,0.0739248,0.0154719,0.0190958,0.0232426,0.0538196,0.0338285,0.0325269,0.0589644,0.0663058,0.0431765,0.0245443,0.0306783,0.0154294,0.0331663,0.0225056,0.050255,0.00921842,0.0186251,0.0497751,0.0474402,0,0,0,0,0.0444253,0
4,0.0322234,0.0578949,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356658,0,0.0186917,0.0561124,0,0,0.0115788,0,0,0.0404761,0.0490562,0.0297396,0.0183717,0.0646127,0.0386457,0.0842795,0.081934,0,0.0571751,0.136925,0.0365901,0.0116268,0.032758,0.0115575,0.0204,0.0195835,0,0.024436,0.0535714,0.0461818,0,0,0.0136696,0,0,0.0307423,0.0737584,0.0155493,0.0187963,0.0231946,0.0535249,0.0336597,0.0325072,0.0589943,0.0663842,0.0432146,0.0244659,0.0304573,0.0154087,0.0331104,0.0224657,0.0503723,0.0092911,0.0184267,0.0497406,0.0474158,0,0,0,0,0.0449248,0
5,0.0315442,0.0577048,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261432,0,0.0188635,0.04733,0,0,0.0120644,0,0,0.04067,0.0549171,0.0203037,0.0264997,0.0630521,0.0381084,0.0771093,0.0812999,0,0.0664047,0,0.0435621,0.0169084,0.0319869,0.0114107,0.0206668,0.0183644,0,0.0248983,0.0516217,0.0462775,0,0,0.0133393,0,0,0.0312204,0.0730786,0.0145436,0.0178598,0.0241529,0.0555912,0.0364123,0.0312341,0.0586407,0.0654151,0.0413043,0.0250027,0.0297668,0.0154497,0.0335062,0.0236256,0.0486345,0.00855311,0.0200878,0.0491856,0.0481895,0,0,0,0,0.0351769,0
6,0,0.0558037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259949,0,0.018738,0.0472578,0,0,0.0111482,0,0,0.0401122,0.05479,0.0205772,0.0264495,0.0633091,0.0383179,0.0775024,0.0815178,0,0.0661509,0,0.0434849,0.0171773,0.034314,0.0115905,0.0198181,0.0183362,0,0.0248081,0.0516584,0.0441661,0,0,0.0134263,0,0,0.0318359,0.0729383,0.0146873,0.0183529,0.0241484,0.0553123,0.0388631,0.0312525,0.0587464,0.0654949,0.0410462,0.0249068,0.0296876,0.0153666,0.0334995,0.0237183,0.0471855,0.0084436,0.0206997,0.0476793,0.0501497,0,0,0,0,0.035449,0
7,0,0.0557941,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257816,0,0.0187605,0.0471539,0,0,0.0110749,0,0,0.0401698,0.0548511,0.0206244,0.0264997,0.0634228,0.0383251,0.0775569,0.08152,0,0.0661515,0,0.0434893,0.0174237,0.0344211,0.0115865,0.019849,0.0183664,0,0.0247999,0.0514325,0.0442099,0,0,0.0131743,0,0,0.0319034,0.0729858,0.0146943,0.0190654,0.0241815,0.055236,0.0388604,0.0312146,0.0586791,0.065492,0.0411368,0.0250018,0.0301325,0.0153661,0.0335892,0.023719,0.0470845,0.00829613,0.0208946,0.0477688,0.0502107,0,0,0,0,0.0354035,0
8,0.0320978,0.0577591,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290783,0,0.0202471,0.0506326,0,0,0.0116173,0,0,0.0407657,0.0527519,0.0256001,0.0237007,0.063806,0.0380226,0.0790876,0.0845752,0.0599985,0.0610841,0,0.0371374,0.0148537,0.0326257,0.0113815,0.0206754,0.0194603,0,0.0248011,0.051966,0.0464756,0,0,0.0127472,0,0,0.0310369,0.073667,0.0148951,0.0191667,0.0239944,0.0547364,0.0355167,0.0316882,0.0585815,0.0657806,0.0422961,0.0248971,0.0301684,0.0153918,0.0335793,0.0225247,0.0489875,0.00848719,0.0197734,0.049791,0.0479592,0,0,0,0,0.0390378,0
