Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,,FTL,LTHIP,x77,LILC,x78
All Timesteps RMSE,0.0323318,0.0554261,0,0,0,0,0,0,0,0,0,0,0,0,0.0349121,0,0.0213631,0.0469101,0,0,0.0129106,0,0,0.0408884,0.0585446,0.0292112,0.0265662,0.0627493,0.0431013,0.0568514,0.0789718,0.060073,0.0617756,0.0646403,0.0337715,0.0313121,0.0220366,0.0383983,0.0120028,0.0221379,0.0210535,0,0.0265731,0.0506023,0.0433535,0,0,0.0181648,0,0,0.0321419,0.0731843,0.0249682,0.0165656,0.0267661,0.0545033,0.0448303,0.034494,0.0624538,0.0643851,0.0391648,0.0268311,0.0255243,0.0136063,0.0335206,0.0355664,0.0446378,0.013244,0.0162192,0.047553,0.0539754,0,0,0,0,0,0.0213132,0,0.030295,0
0,0.0300359,0.0562154,0,0,0,0,0,0,0,0,0,0,0,0,0.0274426,0,0.0213656,0.0557573,0,0,0.0100025,0,0,0.0411051,0.0506359,0.0273975,0.0252564,0.0629878,0.0371314,0.0637691,0.0848518,0.0389879,0.0489672,0.0524716,0.0263922,0.0280203,0.0136143,0.0366481,0.01168,0.0200994,0.0219205,0,0.0262806,0.0553911,0.0447877,0,0,0.0145997,0,0,0.0292874,0.074613,0.0120439,0.0218916,0.025093,0.0497225,0.0337954,0.02951,0.05572,0.0641764,0.0417154,0.0268531,0.0319407,0.0169669,0.035547,0.0188788,0.0513606,0.0121219,0.0140287,0.0469177,0.0480027,0,0,0,0,0,0,0,0,0
1,0.0306666,0.056042,0,0,0,0,0,0,0,0,0,0,0,0,0.0274151,0,0.0214696,0.056147,0,0,0.00968491,0,0,0.0411273,0.0504568,0.0276163,0.0252293,0.0620958,0.0378424,0.0637934,0.0849491,0.0427782,0.0488009,0.0523484,0.0264902,0.0277761,0.0136495,0.0372205,0.0117285,0.0201141,0.0222596,0,0.026105,0.0553986,0.0442007,0,0,0.0138589,0,0,0.0299634,0.0750531,0.0121417,0.0223297,0.0250499,0.0492806,0.0328312,0.0296118,0.0557062,0.0642719,0.0420158,0.0269593,0.0318725,0.016943,0.0354957,0.0186658,0.0512725,0.009923,0.0166209,0.0470516,0.048063,0,0,0,0,0,0,0,0,0
2,0.0304982,0.0561646,0,0,0,0,0,0,0,0,0,0,0,0,0.0264481,0,0.0216296,0.0546638,0,0,0.00961676,0,0,0.041073,0.0514242,0.0266435,0.0256698,0.0616991,0.0382086,0.0631291,0.0837556,0.0299002,0.0501177,0.0539022,0.0278826,0.0285827,0.0146247,0.0372464,0.0117024,0.0201979,0.022231,0,0.0262072,0.0549167,0.0441354,0,0,0.0137147,0,0,0.0302821,0.07466,0.0120196,0.022075,0.0251333,0.0494186,0.0332973,0.0294439,0.0557015,0.0641776,0.0418811,0.0270671,0.0316841,0.0169085,0.0356616,0.0187891,0.0510653,0.00985823,0.0168015,0.047128,0.0480416,0,0,0,0,0,0,0,0,0
3,0.0301581,0.056212,0,0,0,0,0,0,0,0,0,0,0,0,0.0249258,0,0.0222013,0.0510277,0,0,0.00959099,0,0,0.0411218,0.0538443,0.0243883,0.0268895,0.0608912,0.0384471,0.0614121,0.0808891,0.0443995,0.0534737,0.0576573,0.0310282,0.0307159,0.0162951,0.0371198,0.0116571,0.0203559,0.0219111,0,0.0263324,0.0538354,0.044105,0,0,0.0132614,0,0,0.0304979,0.0740489,0.0117921,0.0216648,0.0254745,0.0499898,0.0343236,0.0290071,0.0557203,0.0638759,0.0410645,0.027292,0.0314656,0.0168643,0.0357059,0.0191735,0.0503403,0.00942927,0.0175979,0.0471552,0.0482481,0,0,0,0,0,0,0,0,0
4,0.0297175,0.0559132,0,0,0,0,0,0,0,0,0,0,0,0,0.0220072,0,0.022104,0.0462692,0,0,0.00966282,0,0,0.0413936,0.057535,0.0191193,0.0280935,0.05988,0.0380182,0.058445,0.0771668,0.0580374,0,0.0630945,0.0362218,0.0359527,0.01917,0.0368852,0.0117502,0.0204355,0.0212626,0,0.0264527,0.0525124,0.044284,0,0,0.0130142,0,0,0.0309209,0.0733071,0.0116004,0.0217101,0.0257895,0.050767,0.0356677,0.0283745,0.0558035,0.0635064,0.0400561,0.0275556,0.0312913,0.0168104,0.0358042,0.0198813,0.0491998,0.00889529,0.0185201,0.0469428,0.0487464,0,0,0,0,0,0,0,0,0
5,0.029604,0.055431,0,0,0,0,0,0,0,0,0,0,0,0,0.0208392,0,0.022684,0.0469767,0,0,0.00981834,0,0,0.0415179,0.056708,0.0212928,0.0273833,0.0599966,0.036894,0.0577319,0.077163,0.0577871,0,0.063008,0.0360735,0.0357393,0.0215071,0.0364353,0.0118498,0.0203428,0.0223571,0,0.0265358,0.0509783,0.0449255,0,0,0.00893513,0,0,0.0196345,0.0739482,0.0114905,0.021892,0.0259489,0.0514007,0.028379,0.0286897,0.0556309,0.0634045,0.0400091,0.0276965,0.0311193,0.0166998,0.0359454,0.0188959,0.0512246,0,0.0194689,0.0464457,0.0489004,0,0,0,0,0,0.0213344,0,0,0
6,0.0298341,0.0560113,0,0,0,0,0,0,0,0,0,0,0,0,0.0242528,0,0.0224797,0.049968,0,0,0.00942977,0,0,0.0413567,0.0546098,0.0236764,0.0273129,0.0605065,0.0379551,0.0607119,0.0797258,0.0570846,0.0547428,0.0589233,0.0323714,0.0314119,0.0170969,0.0375128,0.0118113,0.0203758,0.0233213,0,0.0262812,0.0526599,0.0442224,0,0,0.0128115,0,0,0.030511,0.0742008,0.0120991,0.0231189,0.0254896,0.0500135,0.0345526,0.0289557,0.0557756,0.0637782,0.0404478,0.027491,0.0307411,0.016524,0.0358005,0.0181773,0.0499228,0.00941672,0.01736,0.0470112,0.0483324,0,0,0,0,0,0,0,0,0
7,0.0297096,0.0560814,0,0,0,0,0,0,0,0,0,0,0,0,0.0244658,0,0.022535,0.049959,0,0,0.00936975,0,0,0.0411968,0.0544826,0.02385,0.027432,0.0604226,0.0382127,0.0604527,0.0797011,0.0566102,0.0553399,0.0588504,0.0322655,0.0313208,0.0168952,0.0376673,0.0116449,0.0205744,0.0239477,0,0.0262949,0.0524707,0.0442003,0,0,0.0126601,0,0,0.0305491,0.0741926,0.0123125,0.0233007,0.0254016,0.0500112,0.0344534,0.0290243,0.0558307,0.0638832,0.0405552,0.0275268,0.0304023,0.0164197,0.0358458,0.0177645,0.0499348,0.0091179,0.017489,0.0470558,0.0482929,0,0,0,0,0,0,0,0,0
8,0.0295083,0.0561086,0,0,0,0,0,0,0,0,0,0,0,0,0.0237573,0,0.0233664,0.0504962,0,0,0.00936951,0,0,0.04112,0.0539488,0.0258454,0.0269237,0.0600792,0.0380248,0.0593515,0.0793792,0.0570062,0.0567662,0.0591705,0.0321352,0.0313687,0.0187998,0.0377881,0.0116801,0.0205352,0.024933,0,0.0264705,0.0514848,0.0442851,0,0,0.0123449,0,0,0.0306932,0.074508,0.0122304,0.0233236,0.0255531,0.0505889,0.0347995,0.0292664,0.0557339,0.0638431,0.0409919,0.0277244,0.0302327,0.0163999,0.0359869,0.0169755,0.0497268,0.00904992,0.0176888,0.0470678,0.0482497,0,0,0,0,0,0.0214077,0,0,0
