Timestep,C7,CLAV,L5FT,L5HD,LASI,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x55,x56,x57,x58,LANK
All Timesteps RMSE,0.0161636,0.0594975,0.0345558,0,0.0532686,0.0235643,0,0.0446108,0.0592003,0.0336914,0.0293394,0.0205167,0.0515366,0.0327748,0.0386295,0.0627196,0.0630678,0.0309442,0.0581241,0.0623654,0.0343236,0.0371349,0.0328377,0.0307091,0.0142844,0.0138086,0.0250926,0,0.0244721,0.0497669,0.0429636,0.0181123,0,0.0300487,0.074216,0.0229086,0.0192785,0.03066,0.0458659,0.0351245,0.0228805,0.0404468,0.0546539,0.0456679,0.0241068,0.0259552,0.0116702,0.0328184,0.0401413,0.0368105,0.00999347,0.0204963,0.0533787,0.049046,0,0,0,0,0.0201815
0,0.0171943,0.0586349,0.0416171,0,0.0510424,0.0247108,0,0.044516,0.057856,0.0310894,0.016319,0.0186656,0.049656,0.0317832,0.0319115,0.0590556,0.0629079,0.0292306,0.0512302,0.0562614,0.0245352,0.0308793,0.0072765,0.0281821,0.0143425,0.0133951,0.00673055,0,0.0229978,0.0441445,0.0436537,0.0201342,0,0.0300456,0.0721366,0.00860918,0.0177334,0.0336265,0.0496949,0.0384393,0.0176509,0.0452883,0.0540395,0.0407854,0.0217538,0.030801,0.0114982,0.0310363,0.0429026,0.0346622,0.00995442,0.0228412,0.0512569,0.0504319,0,0,0,0,0
1,0.0167708,0.0583567,0,0,0.0483429,0.0247398,0,0.0449046,0.0577021,0.0366104,0.0147963,0.024311,0.0500368,0.0319039,0.0322283,0.0612419,0.0640283,0.0286809,0.0454865,0.0507359,0.0172222,0.0287949,0.0181066,0.0278964,0.0143452,0.013757,0.0067087,0,0.022999,0.0431248,0.044045,0.0210928,0,0.0305692,0.0718949,0.00859496,0.0182368,0.0339801,0.0498623,0.0399238,0.0167003,0.0454185,0.0537517,0.0403603,0.0216052,0.0310239,0.0115097,0.031176,0.0427923,0.0336738,0.0100651,0.0235589,0.0514629,0.0506315,0,0,0,0,0
2,0.0166318,0.0579105,0,0,0.0474002,0.0247027,0,0.0450677,0.0575354,0.035563,0.0149699,0.0241876,0.0503514,0.0317505,0.0333178,0.0621026,0.0647115,0.0288542,0.0450135,0.0499891,0.0172301,0.0289596,0.0238359,0.0278767,0.0143818,0.0137899,0.00628196,0,0.0229385,0.0430988,0.0442034,0.0214527,0,0.0308861,0.0715821,0.00829992,0.0174322,0.0343942,0.0494344,0.0406104,0.0167884,0.0455179,0.0535386,0.0403201,0.0215215,0.0311056,0.011506,0.0309834,0.0420501,0.0333375,0.0101239,0.0237716,0.0515802,0.0506278,0,0,0,0,0
3,0.0166842,0.0582656,0,0,0.0464618,0.0246309,0,0.045233,0.0575644,0.036449,0.0154498,0.0238268,0.0504923,0.0316009,0.0345028,0.0629317,0.0652806,0.0291166,0.0451283,0.0498302,0.0177902,0.029305,0.0304332,0.0279593,0.0144465,0.0137938,0.00599717,0,0.0229765,0.0434256,0.0443509,0.0216209,0,0.0310858,0.0716239,0.00801155,0.0171765,0.0346904,0.0490037,0.0410225,0.0169453,0.0456146,0.0533111,0.0403617,0.0216332,0.0310512,0.0114679,0.0306316,0.0414848,0.0331918,0.0100888,0.0238787,0.0515309,0.0507487,0,0,0,0,0
4,0.0165603,0.0578549,0,0,0.0455131,0.0245373,0,0.0453866,0.0578073,0.0382044,0.0159326,0.0235347,0.050408,0.031591,0.0353598,0.063738,0.0659434,0.0294745,0.0455207,0.0499245,0.0186937,0.0299451,0.0360919,0.0281187,0.0144472,0.0139294,0.00592206,0,0.0232644,0.0440404,0.0443792,0.021619,0,0.0311399,0.0716946,0.00779936,0.0175373,0.0346041,0.0486508,0.0411494,0.0168361,0.0454988,0.0530988,0.0404917,0.0218626,0.0308739,0.0114475,0.0306402,0.0411515,0.0332063,0.00985084,0.0238352,0.0516008,0.0508285,0,0,0,0,0
5,0.0164222,0.0576378,0.0288241,0,0.0444754,0.0244682,0,0.0455407,0.058295,0.0365694,0.0166331,0.022267,0.0505836,0.0316897,0.0372038,0.0653755,0.0670153,0.0301019,0.0487655,0.0528412,0.0232966,0.0318057,0.0328003,0.0284019,0.0143005,0.0142003,0.00591003,0,0.0234699,0.0457984,0.0442361,0.0214386,0,0.0310606,0.071324,0.00721538,0.0180995,0.0343752,0.0485174,0.0409276,0.0163046,0.0454369,0.05313,0.0407185,0.0219596,0.0308864,0.0114875,0.0309204,0.040307,0.0333835,0.00948721,0.023625,0.0515201,0.0510997,0,0,0,0,0.0103747
6,0.0163279,0.0577332,0.0270623,0,0.0434898,0.0243934,0,0.0457123,0.0583806,0.0380011,0.0171439,0.0225096,0.0505701,0.0317609,0.0376678,0.0657066,0.0674952,0.0304372,0.0494776,0.0531797,0.0235504,0.0328149,0.0364195,0.0287182,0.0145701,0.0139833,0.00595301,0,0.0236627,0.0464546,0.0441376,0.0212513,0,0.0309826,0.0711864,0.00670206,0.0189881,0.0341789,0.0482849,0.0406854,0.0161711,0.0451709,0.053112,0.0409229,0.0220652,0.0308139,0.0115442,0.0314842,0.0392103,0.0336414,0.00940752,0.0232589,0.0515706,0.0512085,0,0,0,0,0.0101604
7,0.0162511,0.0578916,0.0272665,0,0.0425563,0.0243118,0,0.0457664,0.0585659,0.0396451,0.0176549,0.0227469,0.0506541,0.0319111,0.0382623,0.0661235,0.0677936,0.0306417,0.0503967,0.0537535,0.0241387,0.033984,0.0392531,0.0289531,0.0147787,0.0137996,0.00605057,0,0.0236865,0.0469604,0.0440484,0.0210487,0,0.0309104,0.071191,0.00627315,0.0197288,0.0339615,0.0480473,0.0403571,0.0162039,0.0446446,0.0531442,0.0411355,0.0221758,0.0309005,0.0116497,0.0318975,0.0378086,0.0339266,0.00959995,0.0228663,0.0516557,0.0513284,0,0,0,0,0.0106237
8,0.0161944,0.0579651,0.0278744,0,0.0420313,0.0242352,0,0.0457906,0.0588473,0.0410291,0.0184732,0.0229425,0.0508248,0.0320659,0.0388462,0.066573,0.0680054,0.0307228,0.0512652,0.0543543,0.0248142,0.0352196,0.041808,0.0291455,0.0147846,0.0137939,0.00623045,0,0.0236788,0.0470584,0.0439652,0.0208855,0,0.0308837,0.0711232,0.00608651,0.0197054,0.0336974,0.0478499,0.0399976,0.0164176,0.0442198,0.0531314,0.0414641,0.0222402,0.0310566,0.0117872,0.0321829,0.0364704,0.0341383,0.0100829,0.022457,0.0519058,0.0514096,0,0,0,0,0.0113285
