Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x55,x56,x57,x58,x59,LWRA
All Timesteps RMSE,0.0175037,0.0567064,0.0352375,0,0.0196312,0.0551621,0.0225759,0,0.0436909,0.0598043,0.0310859,0.0283865,0.0205201,0.049633,0.0322905,0.0377305,0.0614796,0.0618028,0.0310228,0.0587743,0.0634239,0.0349693,0.0368517,0.0262376,0.0324099,0.0139601,0.0275497,0,0.0237588,0.0516881,0.0431077,0.0161159,0,0.0295826,0.0728247,0.0219568,0.019855,0.0298425,0.0448789,0.0323825,0.0211673,0.0374593,0.0496329,0.0421037,0.0242919,0.0239196,0.0104627,0.032595,0.0369922,0.0380675,0.0100231,0.0192638,0.0505614,0.0502916,0,0,0,0,0,0.0142846
0,0.0168771,0.0585588,0.0270182,0,0.015613,0.04427,0.0159801,0,0.0335152,0.0639579,0.0452913,0.0332855,0.016948,0.0538654,0.027032,0.0492432,0.0774355,0.0676828,0.0361472,0.0636238,0.0666776,0.0365826,0.0440821,0.0502028,0.0349012,0.0202301,0.0282805,0,0.0246975,0.0631741,0.0431207,0.0191495,0,0.0299968,0.0692952,0.00865137,0.0234135,0.0299099,0.0421315,0.0348338,0.0201042,0.0311269,0.0457202,0.0446355,0.02534,0.0256681,0.0108195,0.0368788,0.00930067,0.0355498,0.00987539,0.0197871,0.0520972,0.0481381,0,0,0,0,0,0
1,0.0167983,0.0588521,0.0255727,0,0.0158766,0.0448673,0.0157788,0,0.0335381,0.0640383,0.0433541,0.0320533,0.0159744,0.0537127,0.0267915,0.0494227,0.0776432,0.0671795,0.0364065,0.0636842,0.0668358,0.0369624,0.0431943,0.0448337,0.0352259,0.020194,0.0289206,0,0.0249175,0.0630803,0.043193,0.0189307,0,0.0298924,0.0692925,0.00846195,0.023648,0.0305965,0.0422407,0.0346938,0.0202956,0.03068,0.0453206,0.0446402,0.0257741,0.025554,0.0108113,0.036604,0.0087834,0.0356639,0.00986317,0.0196346,0.0523658,0.0478853,0,0,0,0,0,0
2,0.016903,0.0590055,0.0248753,0,0.0164313,0.0457576,0.0155949,0,0.0334783,0.0640624,0.0414635,0.030911,0.0150178,0.0535354,0.0262766,0.0493934,0.0770518,0.0668123,0.0368108,0.0635707,0.0668019,0.0378088,0.0423742,0.0384833,0.0355075,0.0201244,0.0295387,0,0.0250101,0.0629406,0.0433044,0.0188754,0,0.0298468,0.0694031,0.00841286,0.0237515,0.0308074,0.0423943,0.0345484,0.0205527,0.0301217,0.0449679,0.0446139,0.0260826,0.0254823,0.0108198,0.0371983,0.00834383,0.0358685,0.0099057,0.0194444,0.0524167,0.047756,0,0,0,0,0,0
3,0.0170593,0.0590983,0.0258023,0,0.0171613,0.0465829,0.0155116,0,0.0334609,0.0641725,0.0397171,0.0316226,0.0144367,0.0531642,0.0258365,0.0493649,0.0764837,0.0664809,0.0371284,0.0635208,0.0667674,0.0383035,0.0421049,0.0319602,0.0356946,0.0200589,0.0299858,0,0.0251043,0.0622043,0.0434138,0.0188862,0,0.0298554,0.0695284,0.00857309,0.0237126,0.030835,0.0422216,0.0344244,0.0207251,0.0297208,0.0447059,0.0445733,0.0263257,0.0252096,0.0107465,0.0375131,0.00805907,0.0359859,0.00993511,0.0194022,0.052417,0.0476078,0,0,0,0,0,0
4,0.0172892,0.0591621,0.0274011,0,0.0179953,0.0474779,0.0154735,0,0.0333367,0.0639881,0.0378586,0.0320971,0.0141905,0.052791,0.0253987,0.04919,0.0757726,0.0661594,0.0375341,0.0635774,0.0669806,0.0386725,0.0420104,0.0255017,0.0358806,0.01992,0.0304886,0,0.0253539,0.0614105,0.0435153,0.0187043,0,0.0297841,0.0698197,0.00871036,0.0235178,0.0313199,0.0420596,0.0342283,0.0209263,0.0293954,0.0444924,0.0445275,0.0265333,0.0250071,0.0106846,0.0376766,0.00763474,0.0361476,0.00998823,0.0192947,0.0524234,0.0473702,0,0,0,0,0,0
5,0.0175623,0.0592701,0.0290547,0,0.0190357,0.0487888,0.015423,0,0.0331868,0.0633462,0.0361508,0.0321497,0.0146963,0.0524868,0.024974,0.0488553,0.0745489,0.0658335,0.0379183,0.0636652,0.0674125,0.0391871,0.0412355,0.0196962,0.0361375,0.0197524,0.031137,0,0.0255106,0.0604892,0.0436022,0.0184173,0,0.0297112,0.0703898,0.00866288,0.0234253,0.0317817,0.0420069,0.0339396,0.0212906,0.0290545,0.0441614,0.0445594,0.0268463,0.0249339,0.0106361,0.0379866,0.00716113,0.0363994,0.0100236,0.0190942,0.0524733,0.0470929,0,0,0,0,0,0
6,0.0178423,0.0594356,0.0307719,0,0.0202631,0.0501842,0.0153149,0,0.0330038,0.0625751,0.034891,0.0321522,0.0160518,0.0521827,0.0246008,0.0483606,0.0728097,0.0655051,0.0381865,0.0635437,0.0676082,0.0397004,0.0402714,0.0149936,0.0364684,0.01959,0.0319257,0,0.0255877,0.0595222,0.0436982,0.0181917,0,0.0296661,0.0710716,0.00852887,0.0233709,0.0321255,0.0420049,0.0335572,0.0216989,0.0287605,0.0438016,0.04458,0.0271902,0.0249269,0.0105673,0.0382479,0.00683066,0.0367744,0.00997333,0.0189716,0.0524901,0.0468277,0,0,0,0,0,0
7,0.0181137,0.0595392,0.0315314,0,0.0217759,0.0516284,0.0151881,0,0.0328014,0.0616019,0.0342887,0.0324082,0.0178423,0.0518361,0.0241957,0.0477925,0.0702459,0.0652509,0.0384361,0.062789,0.0674439,0.039979,0.0392952,0.0120504,0.0368622,0.0194375,0.0329471,0,0.0258066,0.0584708,0.0437717,0.0180252,0,0.0296563,0.071814,0.00828674,0.0233924,0.0328358,0.0419856,0.0331532,0.0221646,0.0284981,0.0434373,0.044647,0.027438,0.0250428,0.0105356,0.0381974,0.00655575,0.0372926,0.0099186,0.0189023,0.052474,0.0466002,0,0,0,0,0,0
8,0.0183274,0.0592693,0.0302845,0,0.0236009,0.0529858,0.0149927,0,0.0325655,0.0605434,0.0347256,0.0328482,0.0201704,0.0514531,0.0237665,0.0471941,0.0674971,0.0651317,0.0383278,0.0617503,0.0669235,0.0400732,0.0380846,0.0113935,0.0371821,0.0193327,0.0340254,0,0.0259639,0.0576667,0.0438395,0.0178139,0,0.0295984,0.0725351,0.00804499,0.0233284,0.0334016,0.0419455,0.0328009,0.0225677,0.0280905,0.0431533,0.044758,0.0276402,0.0250761,0.0105088,0.0380345,0.00655133,0.0376159,0.00990447,0.0188158,0.0524482,0.0464781,0,0,0,0,0,0
