Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RELB,RFIN,RFRM,RGTR,RHEE,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x55,x56,x57,x58,RILC
All Timesteps RMSE,0.0251503,0.0715832,0.0347815,0,0.0206765,0.0580453,0.0238013,0,0.040105,0.0552837,0.0330231,0.0318927,0.0204907,0.0545582,0.0375658,0.0348063,0.060052,0.0618758,0.0298008,0.058382,0.0636388,0.0352709,0.0358758,0.0304834,0.0442099,0.0155441,0.0109829,0.0284544,0,0.024575,0.0431896,0.0213195,0.0251412,0,0.0336757,0.0796709,0.0218377,0.0305233,0.0547716,0.0399943,0.0260242,0.0354609,0.0503719,0.0458488,0.0244033,0.0263154,0.0125374,0.0325083,0.0357743,0.0288437,0.0101401,0.0251239,0.0612812,0.0552788,0,0,0,0,0.0201948
0,0.0243175,0.06972,0.0301306,0,0.0134229,0.049454,0.023503,0,0.0413861,0.0556025,0.0370929,0.0168759,0.0199849,0.0510161,0.0368358,0.032316,0.0600411,0.0635383,0.0290652,0.0542087,0.058636,0.0280365,0.0343463,0.0365105,0.0435724,0.0173545,0.00985981,0.0172099,0,0.023704,0.0436882,0.0230444,0.0285907,0,0.0350029,0.0726881,0.0130937,0.0310051,0.0589361,0.0462955,0.0230914,0.0382001,0.049201,0.0444188,0.0237168,0.026211,0.010109,0.033329,0.0212633,0.0259712,0.0109865,0.0295076,0.0600785,0.055112,0,0,0,0,0
1,0.0246069,0.0701526,0.0293399,0,0.013554,0.049312,0.0232742,0,0.0414175,0.0550794,0.039346,0.0176046,0.0200966,0.0519009,0.0376806,0.0325074,0.0607686,0.0643088,0.0295818,0.0548054,0.0589412,0.0282516,0.0354397,0.0417517,0.0434981,0.0169633,0.0101462,0.0183087,0,0.0245595,0.0425991,0.0224565,0.027648,0,0.0345487,0.074008,0.0120879,0.032114,0.0571668,0.0451037,0.0223566,0.036851,0.0475928,0.0435868,0.0249142,0.0265114,0.0105242,0.0342343,0.0198606,0.0267569,0.0108629,0.0286005,0.0600902,0.0557968,0,0,0,0,0.0231928
2,0.0246724,0.0703449,0.0286191,0,0.013372,0.0489401,0.0233119,0,0.0414403,0.0551109,0.0411309,0.0182003,0.0205685,0.0516809,0.0376288,0.0323631,0.0611887,0.064641,0.0296456,0.0556395,0.0594578,0.0287231,0.0366998,0.0459376,0.0435645,0.0168814,0.0102245,0.0189326,0,0.0246363,0.0428606,0.0223795,0.0272112,0,0.0345423,0.0739517,0.0116275,0.0319136,0.0567983,0.0447836,0.0223437,0.0363216,0.0475486,0.0436004,0.0249264,0.0265739,0.0106848,0.0343013,0.0191115,0.0270663,0.0107994,0.0282718,0.060254,0.0557615,0,0,0,0,0.0230098
3,0.0247155,0.0704493,0.0287067,0,0.0135501,0.0487408,0.0232962,0,0.0414836,0.0552851,0.0426176,0.0189253,0.02096,0.0515718,0.0375126,0.033782,0.0615885,0.0649655,0.0298175,0.0564342,0.0599555,0.029166,0.038006,0.0489643,0.0436221,0.0168743,0.0102097,0.0195881,0,0.0247733,0.043384,0.0223022,0.0269046,0,0.0344973,0.0738914,0.0111704,0.0316025,0.0565369,0.0444011,0.0223521,0.0356736,0.0475061,0.0436768,0.0249665,0.0267365,0.010941,0.0344791,0.0182339,0.0273328,0.0109414,0.0279031,0.0603416,0.0556936,0,0,0,0,0.0230648
4,0.0247424,0.0705175,0.0293577,0,0.0139753,0.0483778,0.0233165,0,0.0415296,0.0555391,0.0435202,0.0194741,0.0212483,0.0516232,0.0373979,0.0348268,0.062073,0.0651955,0.02991,0.0571757,0.06043,0.0295674,0.0390934,0.0510862,0.0436714,0.0168622,0.0103058,0.020317,0,0.0248658,0.0437411,0.0221937,0.0266842,0,0.0344953,0.0737773,0.0108044,0.0314069,0.0562686,0.0441392,0.0223804,0.0350439,0.0474787,0.04376,0.02499,0.0269106,0.0112344,0.0347299,0.0172759,0.0274948,0.0111274,0.0276391,0.0604629,0.0556431,0,0,0,0,0.0231711
5,0.0247634,0.0705648,0.0297311,0,0.0142663,0.0480336,0.0233757,0,0.0414363,0.0557719,0.0440562,0.0199669,0.0214119,0.0518031,0.0372411,0.0350336,0.0624624,0.0653346,0.0300387,0.0575385,0.0607614,0.0298872,0.0398719,0.05285,0.0436407,0.0167097,0.0104568,0.021063,0,0.0248992,0.0438191,0.0220663,0.0266912,0,0.034533,0.073595,0.0105493,0.031219,0.0560523,0.04403,0.0225035,0.0346949,0.0474143,0.0439076,0.0250322,0.0270571,0.0114545,0.035028,0.0164523,0.0275333,0.0109977,0.0275447,0.0606743,0.0555784,0,0,0,0,0.0229211
6,0.0248216,0.0705708,0.0298229,0,0.01433,0.0478259,0.0233503,0,0.0412896,0.0559225,0.0445646,0.0205155,0.0214801,0.0521561,0.0371094,0.0352858,0.0628121,0.0654245,0.0301056,0.0577367,0.0609012,0.0300509,0.0404322,0.0541406,0.0435678,0.0164721,0.0106552,0.0218587,0,0.0249432,0.0438648,0.0219417,0.026784,0,0.0345793,0.0732929,0.010344,0.0309536,0.0559038,0.0439517,0.0227215,0.0340369,0.0473094,0.0441418,0.0251169,0.0271328,0.0115854,0.0352192,0.015379,0.0274615,0.010872,0.0275237,0.0608633,0.0555143,0,0,0,0,0.0227534
7,0.0248714,0.0706135,0.0299567,0,0.0145351,0.0477376,0.0233322,0,0.0412783,0.0560088,0.045094,0.0211745,0.0214959,0.0526273,0.0369772,0.0358771,0.0632438,0.0655434,0.0300152,0.058039,0.0610059,0.0301489,0.0408596,0.0552777,0.0435421,0.0164627,0.0104906,0.0227795,0,0.0250479,0.0441963,0.0218344,0.0270085,0,0.0346835,0.0730114,0.0102181,0.0307351,0.0558136,0.0440317,0.0230046,0.0333328,0.0472274,0.0444211,0.0251916,0.0271482,0.0117004,0.0353665,0.0141302,0.0272905,0.0108079,0.0275259,0.0609874,0.0553948,0,0,0,0,0.022729
8,0.0249241,0.0706666,0.030349,0,0.0148136,0.0476443,0.023357,0,0.0412211,0.0559137,0.0459243,0.0219152,0.0213892,0.0531768,0.0367953,0.0365011,0.0636786,0.0655978,0.0298728,0.0583241,0.0611018,0.0302932,0.0413006,0.0567756,0.0435317,0.0164045,0.0104114,0.0237127,0,0.0252375,0.0449683,0.0217333,0.0273315,0,0.0347788,0.0730489,0.0100598,0.0306468,0.0556809,0.0441137,0.0232453,0.0330681,0.047175,0.044667,0.0252679,0.027071,0.0117856,0.0355055,0.0129843,0.0270488,0.0107966,0.0275472,0.0611485,0.0552145,0,0,0,0,0.0227872
