Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x55,x56,x57,x58,x59
All Timesteps RMSE,0.0161837,0.0581164,0.0364294,0,0.0200932,0.0542545,0.0236891,0,0.0440862,0.0591369,0.033933,0.028286,0.0195719,0.0503001,0.0317187,0.0385736,0.0635345,0.0632014,0.0309954,0.0579649,0.0624692,0.0336681,0.0373096,0.0329348,0.0312245,0.0142466,0.0134824,0.0240768,0,0.0237719,0.0515204,0.0434036,0.0181711,0,0.0299206,0.073126,0.0221739,0.0188947,0.0316576,0.0456478,0.0349451,0.0210702,0.0403011,0.0524744,0.0437574,0.0238751,0.0261388,0.0114964,0.0324896,0.0387022,0.0368356,0.00999651,0.0205544,0.05145,0.048707,0,0,0,0,0
0,0.0178642,0.0590759,0.0393103,0,0.0106614,0.0518136,0.023394,0,0.0447886,0.0608619,0.0308642,0.017752,0.0174863,0.0493778,0.0296082,0.0305333,0.0562227,0.0608837,0.0289189,0.0512168,0.0567644,0.0240939,0.0312766,0.0122598,0.0279311,0.0140391,0.0140765,0.013048,0,0.0224454,0.0468681,0.0433958,0.0191338,0,0.0294879,0.0708965,0.00944679,0.0178714,0.0339255,0.0473713,0.0372173,0.0187518,0.0410281,0.0507367,0.0409087,0.0239309,0.0259184,0.00828122,0.0334607,0.0267547,0.0353292,0.0097207,0.022442,0.0536107,0.0496597,0,0,0,0,0
1,0.0175301,0.0590423,0.0367346,0,0.0100208,0.050566,0.0237778,0,0.0451595,0.0605054,0.0307615,0.0175442,0.0174321,0.0499527,0.0302217,0.0317358,0.0574681,0.0619636,0.0294114,0.0505203,0.0559231,0.0236135,0.0312463,0.0154688,0.0276693,0.0140508,0.0144981,0.0122594,0,0.0226262,0.0466025,0.0433888,0.0198383,0,0.0295627,0.0703268,0.00941502,0.0186159,0.034021,0.0477092,0.0378452,0.0182248,0.0411835,0.0507758,0.0404919,0.0240778,0.0256908,0.00853748,0.0334223,0.0272331,0.0345867,0.00978497,0.0229824,0.0536106,0.0497502,0,0,0,0,0
2,0.0173749,0.0589242,0.0336425,0,0.00968594,0.0492933,0.0241888,0,0.0452487,0.0603088,0.0315083,0.0174058,0.0174521,0.0504028,0.0307139,0.0329765,0.0588841,0.0630415,0.029886,0.0502624,0.0554566,0.0234238,0.0313307,0.0208544,0.0274532,0.0141563,0.0144399,0.0117387,0,0.0226566,0.046674,0.0433845,0.0204622,0,0.0296735,0.0698925,0.0094979,0.0188366,0.0338365,0.0480739,0.0386112,0.0177294,0.0412044,0.0507429,0.0400997,0.0241342,0.0255805,0.00841654,0.0334381,0.0277106,0.0340749,0.00987117,0.0234172,0.053442,0.0499403,0,0,0,0,0
3,0.0173008,0.058741,0.0302998,0,0.00960335,0.0481703,0.024275,0,0.0453702,0.0602001,0.0332335,0.0174707,0.0173832,0.0508968,0.031093,0.0342545,0.0602299,0.0640553,0.0301828,0.0504272,0.0554541,0.0237313,0.0317455,0.027147,0.0274216,0.0142148,0.0145246,0.0114662,0,0.0226377,0.0469562,0.0433915,0.0206448,0,0.0297949,0.0695898,0.00964257,0.0190407,0.0334652,0.048287,0.0391334,0.0172534,0.0411208,0.0505974,0.0398731,0.0241229,0.0255219,0.00830952,0.033541,0.0279388,0.0338477,0.00973663,0.02388,0.0530352,0.0501582,0,0,0,0,0
4,0.017242,0.0586308,0.0278582,0,0.0105078,0.0471486,0.024303,0,0.0452857,0.0602411,0.035648,0.0177235,0.0173189,0.0514793,0.0314365,0.0353526,0.0612315,0.0647446,0.0301882,0.051027,0.0558209,0.0246362,0.0326605,0.0339235,0.027659,0.0140915,0.0147867,0.0112606,0,0.0226608,0.0474263,0.0432168,0.0207731,0,0.0297675,0.0693151,0.00989945,0.0193049,0.0330423,0.0482901,0.0393658,0.0169452,0.0410148,0.0504469,0.0397802,0.0241531,0.025436,0.0082682,0.0336817,0.0281062,0.0337138,0.00949632,0.0240746,0.0528375,0.0504179,0,0,0,0,0
5,0.0177434,0.0582673,0.0273986,0,0.0120476,0.0462093,0.0248521,0,0.0450665,0.060223,0.0381136,0.0180766,0.017377,0.0521744,0.0315254,0.0360851,0.0617315,0.0651443,0.0303362,0.052051,0.0564487,0.0258303,0.0338645,0.0399197,0.0271478,0.0139003,0.0149092,0.0113739,0,0.0226846,0.0479465,0.0435491,0.0184624,0,0.0240204,0.0690558,0.0102434,0.0196809,0.0327241,0.0482797,0.0356594,0.0170563,0.0409535,0.0503851,0.0399156,0.0241658,0.0253231,0.00828325,0.0337698,0.0280066,0.0349373,0,0.0265665,0.0525672,0.0508993,0,0,0,0,0
6,0.0174014,0.0585344,0.0285142,0,0.0129712,0.0453175,0.0245497,0,0.0448607,0.0600691,0.0395964,0.0184344,0.0178168,0.0522524,0.0319955,0.0364547,0.0619805,0.0654992,0.0304836,0.0531447,0.057147,0.02678,0.0354441,0.0441298,0.0278667,0.0139941,0.0146859,0.0118027,0,0.0226729,0.0484721,0.0433191,0.0198258,0,0.0299836,0.0688713,0.0104323,0.0196796,0.0326233,0.0477902,0.0388865,0.0170923,0.0411113,0.0502965,0.0401219,0.0242209,0.0251917,0.00830771,0.0339073,0.0275382,0.0342862,0.00951359,0.024002,0.0530316,0.0508825,0,0,0,0,0
7,0.0173645,0.0585838,0.0286451,0,0.0127966,0.0446203,0.0243884,0,0.0448293,0.0598075,0.0404936,0.0188467,0.0183037,0.0522127,0.0320794,0.03674,0.0622995,0.0658275,0.0305184,0.0539358,0.0577584,0.0273696,0.0367656,0.046708,0.0281462,0.014025,0.0145546,0.0123229,0,0.0227031,0.0489716,0.0432803,0.0194616,0,0.0300263,0.0687073,0.0105948,0.0195873,0.0324964,0.0473897,0.0386194,0.0170902,0.0411621,0.0502684,0.0403416,0.0242723,0.0249639,0.00831919,0.0340483,0.0267856,0.0345643,0.00950355,0.0238238,0.0528665,0.05096,0,0,0,0,0
8,0.0173108,0.0587008,0.0283077,0,0.0123709,0.0439416,0.0241687,0,0.0447184,0.0598269,0.0410662,0.019235,0.0189049,0.0521245,0.0321792,0.0371038,0.0625797,0.0660492,0.0305531,0.0545942,0.0583525,0.0278649,0.0377937,0.0482621,0.0284287,0.0140314,0.0144686,0.0130129,0,0.0228014,0.049447,0.0432332,0.0191024,0,0.0300377,0.0686158,0.0105708,0.0199059,0.0323976,0.0470991,0.0382858,0.0171199,0.0410047,0.0502403,0.0405705,0.024401,0.0247477,0.00832797,0.0341946,0.0258193,0.034843,0.00951953,0.0235124,0.0528384,0.0510122,0,0,0,0,0
