Trajectories
100
,,Subject:LFHD,,,Subject:RFHD,,,Subject:LBHD,,,Subject:RBHD,,,Subject:LEAR,,,Subject:REAR,,,Subject:C7,,,Subject:T10,,,Subject:CLAV,,,Subject:STRN,,,Subject:RBAK,,,Subject:LSHO,,,Subject:LUPA,,,Subject:LELB,,,Subject:LELBM,,,Subject:LFRM,,,Subject:LWRA,,,Subject:LWRB,,,Subject:LFIN,,,Subject:L5HD,,,Subject:RSHO,,,Subject:RUPA,,,Subject:RELB,,,Subject:RELBM,,,Subject:RFRM,,,Subject:RWRA,,,Subject:RWRB,,,Subject:RFIN,,,Subject:R5HD,,,Subject:LASI,,,Subject:RASI,,,Subject:LPSI,,,Subject:RPSI,,,Subject:LILC,,,Subject:RILC,,,Subject:LGTR,,,Subject:LTHI,,,Subject:LTHIA,,,Subject:LTHII,,,Subject:LTHIP,,,Subject:LKNE,,,Subject:LKNEM,,,Subject:LTIB,,,Subject:LTIBA,,,Subject:LTIBI,,,Subject:LTIBP,,,Subject:LANK,,,Subject:LANKM,,,Subject:LHEE,,,Subject:LTOE,,,Subject:RGTR,,,Subject:L5FT,,,Subject:RTHI,,,Subject:RTHIA,,,Subject:RTHII,,,Subject:RTHIP,,,Subject:RKNE,,,Subject:RKNEM,,,Subject:RTIB,,,Subject:RTIBA,,,Subject:RTIBI,,,Subject:RTIBP,,,Subject:RANK,,,Subject:RANKM,,,Subject:RHEE,,,Subject:RTOE,,,Subject:R5FT,,,Luggage:LBR,,,Luggage:LMR,,,Luggage:LML,,,Luggage:LBL,,,Luggage:LTL,,,Luggage:LTR,,,Luggage:IMU_M,,,Luggage:IMU_L,,,Luggage:IMU_R,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
16519,0,991.889954,1661.475342,1617.489746,879.924988,1641.254517,1604.687988,983.861633,1814.775513,1606.021240,860.723022,1817.236328,1591.848022,1002.330078,1731.712769,1468.631226,839.412903,1716.676758,1482.397949,916.665833,1907.822998,1399.906616,913.415344,1956.821045,1296.156616,887.389160,1691.751709,1314.685547,885.985779,1664.710327,1246.782959,800.704346,1938.146118,1346.926147,1097.833618,1787.463379,1376.744751,1166.965088,1835.460571,1190.351196,1170.712891,1866.111694,1068.640503,,,,1176.927612,1808.896362,922.126404,1124.926880,1780.465576,809.731140,1161.457642,1840.845093,803.722351,1129.547241,1770.468872,689.116211,1161.902954,1844.390747,722.730347,693.963928,1812.589966,1402.380005,627.140015,1880.083130,1215.943237,614.561096,1901.786133,1106.573120,,,,584.665344,1874.307373,971.962158,576.100220,1795.776611,875.427979,623.255188,1839.527954,860.532776,530.573914,1828.597900,777.785217,617.843811,1836.361206,783.026489,996.669800,1712.417236,902.854919,782.965332,1701.895630,893.244080,953.601807,1953.640869,890.850525,780.866272,1941.156616,912.276794,1067.558350,1825.552612,901.591492,693.402771,1805.925659,912.077942,1081.687134,1802.229858,848.379883,1062.698120,1688.637817,676.724792,1045.794678,1622.163818,626.740356,1058.514038,1674.371826,560.018860,1060.567383,1743.855469,608.516296,1056.283813,1664.222656,510.315430,,,,1063.611328,1663.670654,380.401001,1074.865356,1599.813965,373.877258,1062.012939,1612.282349,286.598053,1038.470581,1667.122681,295.621368,1038.228027,1531.405884,128.257462,,,,961.826721,1546.227783,44.855831,1051.167236,1324.487061,192.032684,681.198730,1805.711548,857.262146,1103.321411,1378.033691,129.314178,720.127563,1844.392456,629.696411,751.822571,1844.330688,511.585938,726.930786,1906.326538,572.038635,752.140442,1784.039185,572.806763,745.814148,1886.017700,489.638824,,,,743.857422,1918.421265,336.436829,782.324951,1880.790894,264.038727,764.536133,1931.087402,237.605713,737.400330,1971.852661,310.013489,794.012817,1994.513550,111.025200,,,,835.297546,2086.921631,47.336662,807.242310,1800.215088,52.096691,748.593689,1870.311523,44.104012,377.565094,2269.207275,144.135056,386.913940,2097.621094,349.270599,719.547852,2099.307617,344.328339,,,,646.506409,1801.713989,770.339294,488.144684,1796.749756,774.883057,533.436951,2015.727539,491.255249,573.262207,2013.340698,488.351410,499.970001,1996.318726,480.028015
16520,0,993.876953,1651.004761,1615.189331,881.970276,1630.668945,1602.333496,985.664368,1804.313721,1603.678589,862.611328,1806.445190,1589.333374,1003.806091,1720.980713,1466.236816,841.408630,1706.072144,1479.900269,918.615051,1897.404175,1397.529541,915.091736,1946.369385,1293.797363,889.077576,1681.215088,1312.243164,887.483582,1654.186646,1244.307251,802.512573,1927.751221,1344.788940,1099.722046,1777.034912,1373.880249,1168.409424,1825.204712,1187.504517,1172.051025,1856.264648,1065.854614,,,,1178.119629,1799.487061,919.071411,1126.234131,1771.830566,806.655823,1163.086792,1832.111084,800.941223,1130.632446,1762.414185,685.791077,1163.734253,1836.088135,719.961426,695.767029,1802.191040,1399.926025,628.624451,1869.494141,1213.998413,615.775757,1891.142822,1104.578613,,,,585.651855,1863.411621,970.069641,577.174133,1784.636963,873.618713,624.172180,1828.510864,858.552856,531.537781,1817.411377,775.938354,618.814392,1825.290649,781.296143,996.682861,1700.789429,900.622742,783.193970,1691.488159,891.237061,954.915833,1942.682373,888.499634,782.227905,1930.811279,910.666992,1067.724121,1812.794312,898.852600,693.837463,1796.056152,910.506531,1082.098633,1791.234619,845.883545,1062.868774,1679.571533,672.748474,1046.313843,1613.782593,622.380249,1058.554077,1666.705322,556.220886,1060.375244,1735.858276,605.478394,1055.517944,1654.514771,507.707642,,,,1064.973022,1650.167847,378.653076,1075.079590,1586.006470,374.331390,1063.176392,1595.782104,286.185272,1041.297485,1651.817871,293.578857,1039.693481,1510.685913,129.887726,,,,964.029053,1524.157227,45.332066,1048.552246,1305.431396,199.728317,681.940491,1795.989380,855.669495,1101.849609,1355.885498,135.337051,720.831543,1836.202759,628.637695,752.231262,1776.049194,571.145874,752.609131,1837.071167,510.170746,728.073364,1898.362549,571.414795,746.162109,1878.997192,488.870026,,,,744.361328,1913.540649,336.265045,782.487000,1877.000732,263.142456,765.697510,1928.666138,236.916183,738.113586,1967.739380,310.751678,795.027649,1993.657715,112.277954,,,,835.764832,2086.339844,48.613968,807.434326,1799.780640,51.706329,748.635193,1870.122070,43.953976,377.633606,2259.802490,144.101868,387.331390,2087.244873,348.383789,720.062866,2089.890869,343.656616,714.124573,2262.409668,141.454727,647.551697,1790.773438,768.484375,489.164520,1785.483276,772.954712,534.097290,2005.059448,490.058167,574.061157,2002.885376,487.146332,500.574707,1985.472656,478.525238
16521,0,995.932617,1640.466064,1612.964844,884.055298,1620.110962,1600.115112,987.615662,1793.807373,1601.390259,864.773132,1795.718506,1586.972412,1005.906128,1710.387817,1463.776001,843.606567,1695.349731,1477.502686,920.647766,1886.959473,1395.264771,916.899292,1935.889038,1291.525391,890.968445,1670.536621,1309.877075,889.242554,1643.579712,1241.984619,804.413940,1917.291138,1342.721313,1101.769043,1766.307129,1371.045044,1170.125244,1814.929810,1184.661865,1173.518311,1846.308350,1063.022827,,,,1179.958618,1790.324341,916.102539,1128.480591,1764.441284,803.324341,1164.760376,1823.122803,798.071838,1132.728394,1754.524658,682.647400,1165.824951,1827.630859,717.239075,697.640320,1791.519897,1397.641479,630.327515,1858.902954,1212.130371,617.048462,1880.462646,1102.642700,,,,586.685791,1852.472290,968.216553,578.331543,1773.757568,871.809265,625.108704,1817.559570,856.745911,532.536743,1806.346802,774.100891,619.776978,1814.396240,779.454102,997.151917,1689.465820,898.724304,783.448181,1680.951294,889.306580,956.316101,1931.646362,886.053040,783.716431,1920.564575,909.033752,1068.939087,1802.598511,896.826050,694.732117,1785.972656,908.921387,1082.635376,1779.815674,843.554199,1063.586548,1669.703125,670.075256,1046.022339,1603.938843,618.904419,1058.449829,1657.194092,553.035217,1060.807861,1726.220703,602.801575,1056.057861,1643.545288,506.029114,,,,1066.524048,1636.955200,377.206268,1075.245605,1572.336060,374.079651,1064.609253,1580.946655,285.860046,1043.073975,1637.055176,291.646027,1040.577148,1493.004272,130.652832,,,,965.329041,1506.095825,45.551960,1045.751099,1288.957642,204.512573,682.546570,1786.183472,854.220398,1100.346069,1337.326538,139.244019,721.405029,1827.682861,627.481384,752.288391,1767.711182,569.554626,752.551880,1829.137451,509.370087,729.143127,1890.270874,570.655273,747.304871,1871.360352,488.043701,,,,744.340759,1908.353149,335.824646,782.902954,1873.111206,262.022308,767.096191,1926.268677,236.596817,738.433350,1962.896973,311.376129,795.208130,1992.226196,113.018349,,,,836.374268,2085.696045,50.251640,806.960510,1799.417236,51.254585,748.611755,1869.942017,43.754803,377.718719,2250.511963,144.256348,387.884491,2076.780273,347.584534,720.549622,2080.206299,342.813751,714.295715,2253.997803,141.658997,648.788025,1780.452026,766.713013,490.312744,1774.483521,771.108093,534.625061,1994.315796,488.492462,574.603027,1992.212036,485.669067,501.262726,1974.812012,477.150848
16522,0,998.166260,1629.973511,1610.947021,886.069092,1609.540405,1597.992920,989.816528,1783.361084,1599.250610,866.745544,1785.116577,1584.695435,1007.921814,1699.778442,1461.739258,845.866516,1684.754883,1475.302124,922.755127,1876.352783,1393.098755,918.801331,1925.363525,1289.342041,893.023987,1659.797241,1307.655762,891.134094,1632.918091,1239.719360,806.514648,1906.855225,1340.792114,1103.924072,1755.697388,1368.188599,1171.896851,1804.678345,1181.851196,1175.061646,1836.268677,1060.256470,,,,1181.709229,1780.849243,913.095886,1129.639648,1753.595459,800.577698,1166.698608,1814.016235,795.315979,1134.662720,1746.155518,679.514038,1167.771851,1818.771484,714.397705,699.942383,1781.045654,1395.442993,632.154358,1848.252808,1210.306030,618.387939,1869.714478,1100.803711,,,,587.736938,1841.497559,966.403015,579.160400,1762.828613,870.066528,626.036865,1806.777832,854.926819,533.464661,1795.459229,772.304443,620.970337,1803.869873,777.715942,997.659790,1678.185303,897.059387,783.830872,1670.267700,887.285706,957.814636,1920.593750,883.625183,785.184082,1909.865234,907.147522,1069.826172,1790.995972,894.770630,696.007202,1775.780762,907.438843,1083.427979,1768.084351,841.582031,1063.772827,1658.236450,667.951172,1046.211182,1592.922852,617.125122,1058.945435,1645.934814,551.150696,1061.944702,1714.790161,600.751221,1056.750488,1631.193604,504.747925,,,,1067.601807,1623.835205,375.782227,1075.721313,1559.239380,373.167969,1065.277100,1567.162842,284.713959,1044.577148,1623.744995,290.189850,1041.100220,1478.379028,130.278076,,,,966.443481,1491.924683,44.822350,1042.469971,1274.870605,205.913162,683.240356,1776.213989,852.899170,1098.213135,1321.984985,140.747955,721.738770,1818.912231,626.499512,752.524353,1758.963745,567.860291,752.935669,1820.552612,508.039062,730.494324,1881.318359,569.747742,747.737061,1863.311523,487.104034,,,,745.469849,1902.876465,335.618835,783.371216,1868.902710,260.813019,766.548340,1921.387573,236.764725,739.656616,1957.854858,311.911835,795.668213,1990.893921,114.195610,,,,836.960510,2084.969238,52.192738,807.035278,1799.155151,50.982964,748.594116,1869.737305,43.595215,377.978729,2241.299072,144.422974,388.426147,2066.403809,346.691925,721.169189,2070.564697,341.949280,714.474243,2245.471436,141.759018,649.555664,1769.153809,764.875854,491.331085,1763.517822,769.206848,535.632141,1983.803589,487.206085,575.433899,1981.682373,484.266205,502.152679,1964.244263,475.630920
16523,0,1000.529785,1619.316406,1608.993042,888.318542,1598.945190,1596.001221,992.041260,1772.787231,1597.197021,869.106628,1774.500854,1582.613770,1010.294556,1689.221191,1459.722046,848.245789,1674.083496,1473.241699,924.956482,1865.758301,1391.076050,920.794250,1914.805908,1287.319458,895.216003,1649.136719,1305.549194,893.333984,1622.389771,1237.571777,808.706360,1896.323242,1338.949829,1106.187500,1745.186768,1365.462769,1173.638550,1794.430664,1179.211670,1176.749268,1826.127197,1057.570190,,,,1183.606079,1771.164307,910.211731,1131.292969,1743.491333,797.571594,1168.724976,1804.841187,792.651917,1136.783691,1737.477539,676.534363,1170.025757,1809.899292,711.828491,702.153870,1770.411743,1393.505127,634.113220,1837.548462,1208.631226,619.808044,1858.752075,1099.104980,,,,588.895813,1830.658081,964.756836,580.171936,1752.139648,868.326843,626.979919,1796.150269,853.153015,534.442749,1784.824829,770.577759,621.954041,1793.383057,776.055542,998.719849,1667.026245,895.786743,784.487061,1659.503540,885.299683,959.264893,1909.317627,881.282410,786.632812,1899.289551,905.263733,1070.587524,1778.419434,892.932068,696.859985,1765.523315,905.724182,1084.428101,1756.201538,839.985901,1064.217163,1645.564331,667.088684,1045.819214,1580.164551,616.646606,1059.761475,1632.451904,550.444702,1063.398438,1701.506348,599.398071,1057.552856,1617.376953,503.887878,,,,1068.634277,1610.910767,374.662689,1076.220459,1546.244873,371.799591,1066.124023,1554.848511,283.515137,1045.766235,1611.364136,289.033997,1041.271851,1466.655884,128.545532,,,,967.410767,1481.800171,42.896381,1038.797241,1262.876587,203.822983,684.268066,1765.861328,851.062195,1095.730957,1309.087280,138.815948,723.376587,1809.511719,624.970947,752.866699,1749.803223,566.139771,753.597412,1811.548218,506.378815,731.575745,1872.592529,568.800171,748.875488,1854.649414,485.860596,,,,746.071533,1896.831177,335.282928,783.149597,1863.670776,260.102356,767.143982,1917.361328,236.720413,739.956909,1952.415894,312.650330,796.137451,1989.359863,115.508186,,,,837.693787,2084.088379,54.478413,806.592590,1798.659424,50.617771,748.591736,1869.575806,43.464157,378.166260,2232.126953,144.732391,389.144012,2056.038818,345.907257,721.851807,2060.847900,341.004578,714.794800,2236.879395,141.858307,650.346924,1757.086060,762.989014,492.397675,1752.888428,767.446167,536.479736,1973.218506,485.673126,576.230469,1971.044678,482.680695,503.021057,1953.447998,474.061157
16524,0,1002.106995,1608.518433,1607.101685,890.851562,1588.290771,1594.157593,994.344238,1762.273560,1595.259399,871.402100,1763.905640,1580.623901,1013.110291,1678.855225,1457.849365,850.679932,1663.346802,1471.311523,927.203125,1855.038574,1389.151611,922.814697,1904.141724,1285.371094,897.515869,1638.286987,1303.657715,895.557922,1611.724487,1235.600464,810.846191,1885.568115,1337.214966,1108.497803,1734.808838,1362.956787,1175.498779,1784.115967,1176.597168,1178.493774,1815.811890,1055.029175,,,,1185.643921,1761.253052,907.482422,1133.192993,1733.812866,794.713257,1170.884033,1795.265625,790.073547,1138.887329,1728.369629,673.575195,1172.432861,1800.782837,709.489441,704.294678,1760.020630,1391.924316,636.085632,1826.643188,1207.075317,621.367737,1847.895752,1097.659790,,,,590.110596,1819.895874,963.286499,581.250732,1741.600098,866.675781,628.042725,1785.735229,851.504639,535.458008,1774.406982,768.932312,622.619202,1782.631104,774.285095,999.497620,1655.520264,894.870911,785.302368,1648.516479,883.396851,960.710815,1898.014404,879.139038,788.164124,1888.363647,903.331177,1072.023926,1767.818115,891.546997,697.977539,1754.730591,903.962402,1085.451904,1744.318970,838.620239,1064.889526,1631.792847,667.099243,1045.244263,1565.967651,617.111633,1060.245850,1617.455688,550.455200,1064.765991,1686.805786,598.721069,1058.852661,1602.998413,503.717651,,,,1069.632935,1597.764771,373.848785,1076.727051,1533.187012,370.137726,1066.529663,1542.976685,281.708618,1047.023682,1599.812256,288.256683,1041.200317,1457.694824,125.763847,,,,968.290771,1475.026855,39.853569,1035.323242,1253.002563,198.550018,685.423462,1755.244995,849.345215,1093.305908,1299.261597,134.543945,724.426758,1799.875854,623.620300,753.354248,1740.322632,564.470276,754.472351,1802.456299,505.013824,732.877563,1863.307983,567.727051,749.699402,1845.693726,484.560913,,,,746.696167,1890.665161,334.721527,785.814148,1861.255981,258.025635,769.405884,1914.942749,236.101379,740.804688,1946.497925,313.410431,796.666077,1987.735718,117.153282,,,,838.310547,2083.182617,57.250515,806.423828,1798.302246,50.330818,748.459534,1869.397583,43.412525,378.559753,2222.890137,144.987228,389.887573,2045.673096,345.097198,722.588745,2051.077881,340.006012,715.038696,2228.271484,141.871490,651.498230,1746.766113,761.370972,493.418182,1742.315308,765.730408,537.383179,1962.463501,484.230621,577.227966,1960.491211,481.253845,504.036652,1942.772095,472.568909
16525,0,1004.695435,1597.744019,1605.428711,893.515747,1577.748535,1592.450928,996.801819,1751.790161,1593.433105,873.963623,1753.299561,1578.789917,1015.300293,1667.930298,1456.059570,853.313965,1652.621216,1469.481567,929.449951,1844.372681,1387.321533,924.771423,1893.347778,1283.477173,899.939270,1627.603394,1301.839233,897.632202,1600.136475,1234.143188,813.028320,1874.730103,1335.574097,1110.948486,1724.625366,1360.576416,1177.422363,1773.816162,1174.167236,1180.301880,1805.450928,1052.660400,,,,1187.823975,1751.307251,904.984802,1135.862671,1724.522949,791.892029,1173.161865,1785.616211,787.704895,1141.610474,1719.138672,670.944824,1174.965332,1791.304321,707.134521,706.721741,1749.084961,1390.371948,638.072632,1815.562988,1205.718628,623.055420,1836.864380,1096.396606,,,,591.518127,1809.234741,961.971802,582.396423,1731.364746,865.135132,629.142639,1775.403931,850.003479,536.565674,1764.172607,767.367981,623.719360,1772.427002,772.710144,999.901917,1643.262085,894.051453,786.418518,1637.453247,881.546814,962.155090,1886.464600,877.201294,789.577515,1877.410522,901.514282,1073.187256,1756.194702,890.197876,699.417480,1743.848877,902.242310,1086.632446,1732.290771,837.399170,1065.256592,1616.922607,667.415100,1044.670288,1550.923462,618.068054,1060.658325,1601.485352,550.946350,1066.003296,1671.236572,598.476379,1059.792236,1587.809082,503.726410,,,,1070.708008,1584.527710,373.349701,1076.803833,1519.927246,368.095795,1067.348999,1532.177002,280.078583,1048.482056,1589.001953,287.711548,1040.973022,1451.269775,122.072571,,,,969.128845,1471.017944,35.790321,1032.178955,1245.131348,190.684143,686.547363,1744.502197,847.830566,1090.985352,1292.018066,128.257889,725.555664,1790.075806,622.286194,753.895935,1730.588623,562.807800,755.184143,1792.826538,503.427460,734.237061,1853.552979,566.550293,750.707214,1836.522949,483.422394,,,,747.414917,1884.090820,334.665131,785.845459,1855.863770,257.224518,768.495850,1908.910034,236.952789,741.506836,1940.581665,313.751892,797.101257,1986.003296,119.099304,,,,838.645325,2082.168457,60.493134,806.288452,1797.973389,50.065556,748.293091,1869.140381,43.489433,378.835602,2213.610840,145.085190,390.644592,2035.428101,344.294556,723.323547,2041.440918,339.074219,715.389832,2219.701416,141.941254,652.611145,1738.354248,759.550415,494.446350,1731.872681,764.102417,538.225403,1951.859619,482.667908,578.352966,1949.979614,479.800903,505.018250,1932.268799,471.098785
16526,0,1008.091309,1588.151001,1603.833252,896.229248,1567.222046,1590.876709,999.362854,1741.319092,1591.794312,876.452209,1742.690430,1577.106934,1017.966858,1657.324097,1454.470947,856.005615,1641.956787,1467.822388,931.718140,1833.696411,1385.512817,926.746826,1882.458984,1281.546875,902.480286,1616.645630,1300.290283,900.073425,1589.240479,1232.548828,815.188049,1863.740356,1333.994385,1113.364502,1714.125977,1358.287109,1179.464111,1763.496826,1171.907715,1182.256592,1794.951050,1050.397583,,,,1189.817627,1740.876709,902.619995,1137.909302,1714.086182,789.523987,1175.542969,1775.624268,785.502319,1144.753784,1709.784912,668.464233,1177.593994,1781.659546,704.976562,709.339844,1737.477173,1388.857788,640.041565,1804.314575,1204.561157,624.871643,1825.853760,1095.346191,,,,592.977539,1798.638306,960.865967,583.780396,1721.270996,863.640930,630.408264,1765.248291,848.669739,537.722717,1754.108154,766.037598,624.893127,1762.459351,771.327454,1001.098755,1631.184692,893.439697,787.659241,1626.163086,879.835022,963.707825,1874.613892,875.549194,791.065674,1866.279175,899.888550,1074.405029,1744.338379,888.820679,701.321960,1732.441772,900.671997,1087.696289,1719.808838,836.163818,1065.306030,1601.432495,667.794556,1044.212524,1535.335449,619.224976,1060.991699,1584.909302,551.608643,1067.157471,1655.127197,598.399536,1060.311523,1571.644043,503.838348,,,,1071.706909,1571.435669,372.903503,1076.291138,1506.868896,365.549408,1067.707275,1521.871582,277.960327,1050.043823,1578.937622,287.373993,1040.472168,1447.133545,117.783638,,,,968.814331,1469.587158,34.056099,1029.582031,1239.258789,180.963547,688.009521,1733.350708,846.031189,1089.503784,1287.992432,120.851067,726.738953,1779.917603,621.002502,754.645447,1720.452881,561.270874,756.017639,1782.932617,502.163696,735.632324,1843.510620,565.447021,751.578003,1826.877686,482.317322,,,,748.481689,1877.378662,334.419373,785.429077,1849.696167,256.925720,768.924133,1904.231323,237.410309,742.303284,1934.550659,315.259766,797.325134,1983.904541,121.244110,,,,838.926453,2081.034424,64.278786,806.168030,1797.679810,49.865292,747.935120,1868.937378,43.419098,379.080902,2204.249023,145.212753,391.338104,2025.054443,343.436981,724.034973,2031.862305,338.238098,715.674988,2211.127686,141.937241,653.862122,1728.311035,758.079895,495.716309,1721.899292,762.640625,539.202148,1941.570679,481.217957,579.095764,1939.783325,478.262573,506.036804,1921.854492,469.546112
16527,0,1010.178894,1577.171387,1602.395630,899.292542,1556.873779,1589.533691,1001.906616,1730.957642,1590.322998,879.001648,1732.144043,1575.673340,1020.690430,1646.829712,1453.017334,858.725220,1631.300049,1466.377930,934.079590,1823.082764,1383.756714,928.651062,1871.502930,1279.641724,905.091980,1605.674805,1298.906616,902.262817,1578.007080,1231.235352,817.306946,1852.663696,1332.475342,1115.854614,1703.842896,1356.313965,1181.528687,1753.165039,1169.869751,1184.307373,1784.467041,1048.432129,,,,1192.201294,1730.498047,900.591248,1140.525757,1703.711304,787.394592,1178.023193,1765.479980,783.548401,1147.789307,1699.823608,666.206848,1180.269897,1771.791138,703.274780,711.694824,1726.607300,1387.941040,642.116882,1792.992188,1203.626465,626.799255,1814.697144,1094.475830,,,,594.635620,1788.134888,959.932434,585.101379,1710.872803,862.338623,631.819336,1755.058838,847.476135,538.997437,1744.236816,764.828247,626.178528,1752.639038,770.083496,1002.448792,1618.871460,892.834900,788.981140,1614.525391,878.367188,965.331177,1862.382935,874.127502,792.690491,1855.077515,898.641846,1075.388916,1730.606079,887.139526,701.960449,1720.600586,899.328430,1088.748779,1706.726196,835.016052,1065.909668,1585.924194,668.170593,1043.567261,1519.464966,620.263306,1061.316406,1568.225708,552.183472,1068.205444,1638.872070,598.223389,1060.541870,1554.719849,504.060730,,,,1072.516235,1558.958252,372.377472,1076.076904,1494.564087,362.953705,1068.134277,1512.770142,275.961365,1051.289795,1569.684814,287.065277,1040.028687,1444.532471,113.735847,,,,967.790283,1468.229980,31.599440,1028.498413,1234.769653,171.062820,689.523132,1722.114868,844.607788,1089.644531,1285.325073,113.738304,727.920532,1769.497559,619.943604,755.325623,1710.024902,559.954590,756.842712,1772.559692,500.982635,737.064331,1833.161987,564.485229,752.594055,1816.680786,481.281982,,,,749.204895,1870.262085,334.647003,785.195862,1843.665894,256.690918,769.320496,1899.146606,238.128311,743.199097,1927.748901,316.708466,797.564392,1981.672363,123.821861,,,,839.217651,2079.667969,68.548737,805.808167,1797.303101,49.497887,748.113342,1868.963501,43.626316,379.387756,2194.777344,145.173767,392.103394,2014.657227,342.602905,724.757568,2022.446655,337.471130,715.941467,2202.639160,142.120285,655.023071,1718.590820,756.730713,497.105438,1711.871826,761.329651,540.222412,1931.300537,479.958496,580.039490,1929.607544,476.920410,506.956879,1911.455566,468.175262
