Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x74,x75,x76,x78,x73,x77
All Timesteps RMSE,0.0330709,0.0597119,0,0,0,0.0398929,0,0.0202985,0.0527173,0,0,0,0,0.0190902,0,0,0.0425322,0.0588627,0.0367731,0.0357712,0.0287929,0,0,0.0579801,0.0415533,0.0393104,0.0621427,0.0602311,0.0270071,0.0634109,0.0671094,0.0375158,0.040274,0,0.0338294,0,0.0374889,0.0140791,0.0140332,0.0227642,0,0.0292466,0.0488645,0.0395858,0,0,0.0224357,0,0,0.0218277,0.0763913,0.0196631,0.022686,0.0347501,0.0544416,0.0322928,0.0338097,0.0436956,0.0662431,0.0583228,0.0308607,0.0265934,0.0145429,0.0368219,0.0376275,0.0344006,0.00997983,0.0110562,0.0561515,0.0511622,0,0,0,0,0,0,0,0,0
0,0.0341353,0.056643,0,0,0,0.0485521,0,0.0219131,0.068013,0,0,0,0,0.0199801,0,0,0.0416195,0.0606244,0.0226335,0.0363898,0.0313876,0,0,0.0502148,0.0418437,0.0224872,0.0439805,0.0540744,0.0267255,0.0651315,0.0699228,0.0426864,0.0386134,0,0.0120417,0,0.034555,0.0125402,0.0127655,0.0305463,0,0.0311928,0.0474691,0.0390949,0,0,0.0208692,0,0,0.0215286,0.0771561,0.014455,0.0216604,0.0350668,0.0572704,0.026064,0.0401472,0.0482763,0.0697464,0.0636552,0.0361021,0.0261262,0.0151805,0.0429211,0.0181874,0.0351779,0.0085149,0.00966668,0.051588,0.051036,0,0,0,0,0,0,0,0,0
1,0.0338509,0.0570216,0,0,0,0.0487193,0,0.0220473,0.0682815,0,0,0,0,0.0196547,0,0,0.041726,0.0609295,0.0231538,0.0362812,0.0317217,0,0,0.0495126,0.0412058,0.0222649,0.0436315,0.0537758,0.0264822,0.0651695,0.0699609,0.0428039,0.0385247,0,0.0121578,0,0.0347212,0.0126092,0.0125203,0.0312043,0,0.031984,0.0477274,0.0390994,0,0,0.0206412,0,0,0.0215061,0.076694,0.0139039,0.0224783,0.0353892,0.0571226,0.0254972,0.0408271,0.0471884,0.0695669,0.0642992,0.0371132,0.0265334,0.0162314,0.0439235,0.0175545,0.0355431,0.00840954,0.0094655,0.0519404,0.0507822,0,0,0,0,0,0,0,0,0
2,0.0338096,0.0571581,0,0,0,0.0489087,0,0.0221886,0.0682172,0,0,0,0,0.0195165,0,0,0.0416836,0.0614208,0.0231441,0.0359915,0.0320088,0,0,0.0488662,0.0409706,0.0221629,0.0431504,0.0535389,0.0264425,0.0651783,0.0699288,0.0427703,0.0384638,0,0.0125822,0,0.0348293,0.0127156,0.0124048,0.0316525,0,0.03287,0.0482397,0.0392046,0,0,0.0205411,0,0,0.0216224,0.0763129,0.0148172,0.0230594,0.0352966,0.0568896,0.0249941,0.0413355,0.0463761,0.0693792,0.0648181,0.037699,0.0269176,0.0170083,0.0445513,0.0175786,0.0358066,0.00843739,0.00930831,0.0520976,0.0506809,0,0,0,0,0,0,0,0,0
3,0.0337628,0.0572687,0,0,0,0.0491907,0,0.0222756,0.0681207,0,0,0,0,0.0194529,0,0,0.0415996,0.0619566,0.0228046,0.0355752,0.0322372,0,0,0.0482522,0.040687,0.0222136,0.0427332,0.0533691,0.0264714,0.0650155,0.0698025,0.0426725,0.0383521,0,0.0130426,0,0.0348489,0.012838,0.0123798,0.0319277,0,0.0336537,0.0486144,0.0393445,0,0,0.0204199,0,0,0.0218062,0.0761596,0.0164221,0.0234852,0.0351165,0.0567483,0.0247593,0.0416394,0.0457903,0.0691616,0.0652676,0.0381214,0.0270949,0.0174924,0.0450039,0.0182519,0.0360144,0.00853401,0.00916771,0.0521471,0.0505888,0,0,0,0,0,0,0,0,0
4,0.0337117,0.0573521,0,0,0,0.0495058,0,0.0223361,0.0682275,0,0,0,0,0.0194814,0,0,0.0415352,0.0625423,0.0222596,0.035093,0.0325052,0,0,0.0477533,0.0403598,0.0223673,0.0424556,0.0532889,0.0265695,0.0647918,0.0695552,0.0425075,0.0382144,0,0.0134452,0,0.0348234,0.0129747,0.0124748,0.0321651,0,0.0342351,0.0489336,0.0394709,0,0,0.020231,0,0,0.0218914,0.0762133,0.0180042,0.0237525,0.0350723,0.056733,0.0247581,0.0416169,0.0454308,0.0688474,0.0655055,0.0384376,0.0270818,0.0177246,0.0452779,0.0191188,0.0361516,0.00860212,0.00909568,0.0521537,0.0505292,0,0,0,0,0,0,0,0,0
5,0.0338557,0.0572684,0,0,0,0.057916,0,0.024712,0.0684102,0,0,0,0,0.019374,0,0,0.0414119,0.0621199,0.0267844,0.0349551,0.0325939,0,0,0.0479653,0.0400474,0.0239858,0.0442264,0.0538435,0.0262635,0.0615855,0.0673562,0.0392662,0.0336981,0,0.0217865,0,0.0349516,0.0133444,0.0127207,0.0328442,0,0.0350979,0.0489969,0.0393899,0,0,0.0204173,0,0,0.0214411,0.0764848,0.0193055,0.0230886,0.0351168,0.0566968,0.0246279,0.0410597,0.0450202,0.0682835,0.0651941,0.0386244,0.0273808,0.0179811,0.0452766,0.0190635,0.0364426,0.00892123,0.00898228,0.0518803,0.0507848,0,0,0,0,0,0,0,0,0
6,0.0337556,0.0573687,0,0,0,0.0563584,0,0.0253231,0.0685787,0,0,0,0,0.0192861,0,0,0.0415037,0.0623946,0.0237597,0.0344175,0.032406,0,0,0.047497,0.0397776,0.0239102,0.0441263,0.0539335,0.0264735,0.0619727,0.066965,0.0396248,0.0352529,0,0.0219009,0,0.0349196,0.0133595,0.0127208,0.0324785,0,0.0351451,0.0491618,0.0394339,0,0,0.0204797,0,0,0.0214174,0.0765766,0.0187473,0.0231723,0.0349598,0.0566963,0.0247074,0.0406511,0.0451792,0.0681291,0.0648685,0.0385022,0.0270219,0.0176766,0.0450099,0.0194396,0.0364375,0.00880288,0.00905047,0.0520128,0.0506315,0,0,0,0,0,0,0,0,0
7,0.03362,0.0574991,0,0,0,0.0564881,0,0.0251345,0.0689353,0,0,0,0,0.0192049,0,0,0.0415847,0.0624247,0.0230687,0.0339088,0.0320231,0,0,0.0471033,0.0394746,0.0238678,0.0443529,0.0540681,0.0266793,0.0620023,0.0668594,0.0395709,0.0355895,0,0.0225191,0,0.0348848,0.0133623,0.0127312,0.0313891,0,0.0350261,0.0492073,0.0394877,0,0,0.0204889,0,0,0.0214195,0.0766423,0.0171817,0.0230253,0.0348125,0.0568302,0.0249448,0.040089,0.0453905,0.0680028,0.0642931,0.0379978,0.0267033,0.0171093,0.0445578,0.019356,0.0363514,0.00881993,0.00907058,0.0521847,0.0504537,0,0,0,0,0,0,0,0,0
8,0.0334562,0.0576217,0,0,0,0.057394,0,0.0244619,0.0693931,0,0,0,0,0.019143,0,0,0.0416836,0.0622632,0.0225764,0.0334831,0.031386,0,0,0.0468205,0.0392608,0.0237808,0.0447398,0.0541818,0.0268531,0.061984,0.0668402,0.0394119,0.0356513,0,0.0234161,0,0.0348315,0.0133479,0.0127914,0.0300778,0,0.0344593,0.0491485,0.039501,0,0,0.0205144,0,0,0.0214284,0.0767172,0.0156587,0.0224781,0.0346882,0.056982,0.0252952,0.0394492,0.0455523,0.0678196,0.0635588,0.0373212,0.0265181,0.0163733,0.0441408,0.0190653,0.0362049,0.00883898,0.00917264,0.0523414,0.0503503,0,0,0,0,0,0,0,0,0
