Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x76,x77,x78,LBL,x75
All Timesteps RMSE,0.0296116,0.0625577,0,0,0,0.0477887,0,0.0176067,0.0527828,0,0,0,0.0205657,0,0,0.042632,0.0582454,0.0353579,0.0377421,0.0277189,0,0,0.0617522,0.0361299,0.040554,0.0644302,0.0622711,0.0277157,0.062667,0.065902,0.0362239,0.0411658,0,0.0312059,0,0.0352342,0.0132071,0.0143798,0.028155,0,0.0273625,0.0496919,0.0413154,0,0,0.0226128,0,0,0.0227925,0.0749039,0.0208604,0.0231112,0.0335499,0.0562235,0.0341253,0.0352654,0.0464624,0.0686136,0.0597763,0.0297766,0.0246058,0.0120326,0.0369247,0.0298367,0.0330268,0.0102036,0.0123476,0.0584445,0.0457409,0,0,0,0,0,0,0,0,0,0
0,0.0304511,0.0625494,0,0,0,0.0385813,0,0.0114253,0.0409081,0,0,0,0.02131,0,0,0.0426088,0.0581782,0.0442117,0.0283621,0.026053,0,0,0.0624719,0.0330907,0.0440911,0.0683634,0.0667588,0.0289576,0.0575037,0.0588092,0.0274355,0.0412959,0,0.036794,0,0.0325932,0.0134092,0.0141963,0.0148883,0,0.0280072,0.0490986,0.0438505,0,0,0.0270258,0,0,0.0231817,0.073284,0.00733148,0.0265195,0.0341082,0.0584156,0.037654,0.0306155,0.0445513,0.0654093,0.0559428,0.0306697,0.0256831,0.0124187,0.0391465,0.0246006,0.0285465,0.0111093,0.0150865,0.0595264,0.0470565,0,0,0,0,0,0,0,0,0,0
1,0.0300031,0.0634076,0,0,0,0.0369557,0,0.0121604,0.0397383,0,0,0,0.0212393,0,0,0.0429459,0.0582198,0.0465979,0.0286346,0.0262025,0,0,0.0622508,0.0331477,0.0447932,0.0690125,0.0674939,0.0290538,0.057585,0.0587275,0.0275276,0.041781,0,0.0421627,0,0.0327495,0.0135268,0.0142287,0.0147912,0,0.0279997,0.0494913,0.0435355,0,0,0.0271288,0,0,0.0231411,0.0732561,0.00772057,0.0262133,0.0337795,0.0582125,0.0379679,0.0307291,0.0445444,0.0654095,0.0560805,0.0305698,0.0261954,0.0125283,0.0390335,0.0245658,0.0284873,0.011155,0.0150926,0.0596759,0.0467245,0,0,0,0,0,0,0,0,0,0
2,0.029788,0.0633426,0,0,0,0.036414,0,0.0124701,0.0389004,0,0,0,0.0212149,0,0,0.0432899,0.0584276,0.0482902,0.0288521,0.0260316,0,0,0.0622856,0.0332922,0.0454456,0.0696469,0.0678989,0.0291584,0.0579304,0.0590421,0.0280247,0.0425015,0,0.0459707,0,0.0329189,0.0137178,0.0141816,0.0152232,0,0.0276212,0.0502861,0.0433863,0,0,0.0270444,0,0,0.0231362,0.0727808,0,0.0267352,0.0331948,0.0582568,0.0383556,0.0313565,0.0448759,0.0659931,0.0568165,0.0299355,0.0259556,0.0121059,0.0385064,0.0242102,0.0285866,0.0110904,0.0149559,0.0597481,0.0463591,0,0,0,0,0,0,0,0,0,0
3,0.029657,0.0630452,0,0,0,0.0366784,0,0.0124333,0.0383172,0,0,0,0.0212473,0,0,0.0434437,0.058482,0.0493302,0.0293382,0.0260042,0,0,0.0626447,0.0339443,0.0461096,0.0702631,0.0681393,0.0293244,0.0589829,0.0598102,0.0289797,0.0436862,0,0.0481759,0,0.0329857,0.0138128,0.0141382,0.0155262,0,0.0275292,0.0507787,0.04323,0,0,0.0268825,0,0,0.023108,0.0726216,0,0.0267975,0.0326069,0.0582606,0.0386169,0.0317322,0.0447382,0.0661946,0.0571695,0.0298519,0.025475,0.0124059,0.0385984,0.0237696,0.0286318,0.0110349,0.0148004,0.0597889,0.046174,0,0,0,0,0,0,0,0,0,0
4,0.0295669,0.0629089,0,0,0,0.0374448,0,0.0121568,0.03793,0,0,0,0.0213563,0,0,0.0434582,0.0584728,0.0495076,0.0299476,0.0261022,0,0,0.0631447,0.0344284,0.0469229,0.0707746,0.0683492,0.0295895,0.0603566,0.0608745,0.0302441,0.0451245,0,0.0486522,0,0.0330594,0.0139769,0.0138951,0.0159052,0,0.0274192,0.0512864,0.0431077,0,0,0.0267479,0,0,0.0230843,0.0723907,0,0.0270144,0.0321917,0.0583115,0.038629,0.0321262,0.0445831,0.0664011,0.0575616,0.0297488,0.0257695,0.0124919,0.0387293,0.0233359,0.0287441,0.0110876,0.0147152,0.0597794,0.0460067,0,0,0,0,0,0,0,0,0,0
5,0.0295531,0.0628012,0,0,0,0.0381265,0,0.0117846,0.037603,0,0,0,0.0213053,0,0,0.0434707,0.0584168,0.0493685,0.0306231,0.0263467,0,0,0.0637531,0.0346033,0.0475649,0.0712044,0.0685167,0.0298562,0.0617358,0.0620643,0.0315998,0.0466163,0,0.0481735,0,0.033268,0.0139294,0.0140142,0.0164686,0,0.0272765,0.0518086,0.0430561,0,0,0.0265593,0,0,0.0230614,0.0722072,0,0.0273352,0.0319719,0.0583325,0.0385288,0.0324142,0.044602,0.0666364,0.0579842,0.0296631,0.0262051,0.0125087,0.0388477,0.0225601,0.0288978,0.0111355,0.0145689,0.0598961,0.0458959,0,0,0,0,0,0,0,0,0,0
6,0.029519,0.0627625,0,0,0,0.0385105,0,0.0115597,0.0373405,0,0,0,0.0212465,0,0,0.0433816,0.0582422,0.0493512,0.0313255,0.026695,0,0,0.0642717,0.0346541,0.0482885,0.071617,0.0685933,0.029824,0.0629515,0.0630813,0.0326877,0.0478424,0,0.0477122,0,0.0334621,0.0137801,0.0141375,0.0168257,0,0.0272724,0.0525043,0.0430112,0,0,0.0264015,0,0,0.0230296,0.0721365,0,0.0271095,0.0317756,0.058306,0.0384009,0.0326085,0.0445217,0.0667992,0.0582899,0.0295912,0.0263729,0.0126157,0.0388968,0.0218778,0.0290345,0.0110569,0.014423,0.059837,0.0457543,0,0,0,0,0,0,0,0,0,0
7,0.0293976,0.0627556,0,0,0,0.0387491,0,0.011547,0.0370944,0,0,0,0.0211466,0,0,0.0432128,0.0582126,0.0496569,0.0319396,0.0271782,0,0,0.0648733,0.0350457,0.0492962,0.0721999,0.0685655,0.0297174,0.0638357,0.0637843,0.0334176,0.0486169,0,0.0478429,0,0.0335896,0.0135445,0.0143171,0.0171642,0,0.0272945,0.05332,0.0429051,0,0,0.0262061,0,0,0.0229529,0.0721422,0,0.027176,0.0315,0.0582342,0.0383119,0.032812,0.0443546,0.0667106,0.0585674,0.0295408,0.0263971,0.0126986,0.0389309,0.0212168,0.029252,0.0109725,0.0142676,0.0597727,0.0456775,0,0,0,0,0,0,0,0,0,0
8,0.0292845,0.0626851,0,0,0,0.0386345,0,0.0117206,0.0367265,0,0,0,0.0211457,0,0,0.0431154,0.0582793,0.0503424,0.032522,0.0276292,0,0,0.0654309,0.0354058,0.0499574,0.072902,0.0684856,0.0296184,0.0643892,0.0642308,0.0338291,0.0490013,0,0.0489053,0,0.0337071,0.0134365,0.0144069,0.0174135,0,0.0273382,0.0540693,0.0428143,0,0,0.0260122,0,0,0.0228662,0.0721857,0,0.0270945,0.0312473,0.0580831,0.0382642,0.0329419,0.0441518,0.0666421,0.0587931,0.0294942,0.0265267,0.0127574,0.0389037,0.0206926,0.0294505,0.0109166,0.0141081,0.0599393,0.0456477,0,0,0,0,0,0,0,0,0,0
