Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,x76,x77
All Timesteps RMSE,0.0338924,0.0617627,0,0,0,0.0379895,0,0.0210205,0.0527953,0,0,0,0,0.0178462,0,0,0.0417216,0.0561223,0.0369865,0.0371818,0.0278254,0,0,0.0633001,0.0407702,0.0395508,0.063055,0.0613377,0.0270014,0.0628386,0.0669435,0.0371216,0.0394297,0,0.0363883,0,0.0437909,0.0145147,0.0144424,0.023646,0,0.0281181,0.0461038,0.0384768,0,0,0.028062,0,0,0.024704,0.0765839,0.0203403,0.0241108,0.033761,0.060575,0.0365149,0.0361694,0.0453707,0.0681333,0.0602032,0.029979,0.0257132,0.013741,0.035962,0.0386276,0.0260567,0.0120699,0.0132019,0.0591223,0.0458925,0,0,0,0,0,0,0,0
0,0.0319543,0.0631776,0,0,0,0.0352964,0,0.0227583,0.0497446,0,0,0,0,0.0186439,0,0,0.0420546,0.0544409,0.0380125,0.0383421,0.026824,0,0,0.0638953,0.0375874,0.0451163,0.06659,0.0650831,0.0310712,0.0652965,0.0697592,0.0425746,0.03939,0,0.0173016,0,0.0469099,0.015616,0.0144065,0.0267356,0,0.030546,0.0511446,0.0393232,0,0,0.0272353,0,0,0.023716,0.0792869,0.0066677,0.02658,0.0365046,0.0547939,0.0355585,0.0350188,0.0349306,0.0606621,0.0590153,0.0312553,0.0311136,0.016451,0.0404372,0.0102102,0.0265944,0.0115124,0.0108572,0.0599444,0.0409371,0,0,0,0,0,0,0,0
1,0.0317101,0.0636517,0,0,0,0.0356139,0,0.0225234,0.049813,0,0,0,0,0.0184282,0,0,0.0419569,0.0540823,0.0390611,0.0380153,0.0267781,0,0,0.0637066,0.0369889,0.0445322,0.0658973,0.0650769,0.0311,0.0653111,0.070027,0.042435,0.0393201,0,0.0181833,0,0.0467507,0.0149435,0.0143622,0.0263266,0,0.030509,0.0511514,0.0390798,0,0,0.0270338,0,0,0.0237303,0.0795716,0.00663693,0.0266903,0.0365853,0.0542653,0.0351371,0.0346856,0.0348451,0.0605191,0.0583828,0.0310379,0.0311,0.0172612,0.0399353,0.0107471,0.0266748,0.0113297,0.0107925,0.0603668,0.040713,0,0,0,0,0,0,0,0
2,0.0316035,0.0638166,0,0,0,0.0354905,0,0.0225632,0.0495015,0,0,0,0,0.0184876,0,0,0.041815,0.0539571,0.0384841,0.0380299,0.0272227,0,0,0.0638613,0.0369318,0.0444456,0.0655784,0.0648643,0.0311632,0.0651126,0.0699435,0.0424902,0.0392021,0,0.01794,0,0.0467051,0.0149087,0.0144624,0.0261752,0,0.0301069,0.0511111,0.0389976,0,0,0.0267251,0,0,0.0237619,0.0796242,0.00716581,0.0265785,0.0364911,0.0540983,0.0348112,0.0343055,0.0348175,0.0605652,0.0582216,0.0308815,0.0309545,0.0167954,0.0398774,0.0111224,0.0268293,0.0112836,0.0107251,0.0603454,0.0408273,0,0,0,0,0,0,0,0
3,0.0315916,0.0638218,0,0,0,0.0345467,0,0.0230226,0.0491569,0,0,0,0,0.0187504,0,0,0.041582,0.0539943,0.0368081,0.0382444,0.0283812,0,0,0.0642456,0.0371715,0.045149,0.0657782,0.0646667,0.0312731,0.0645112,0.0693593,0.0423206,0.0389366,0,0.0170611,0,0.0467871,0.0153021,0.0147048,0.025856,0,0.0295664,0.0510761,0.0389811,0,0,0.0263579,0,0,0.0237821,0.0796778,0.00796217,0.0263277,0.0362557,0.0541715,0.0345978,0.0340741,0.0348011,0.0606349,0.058189,0.0306632,0.0306747,0.0159335,0.0397041,0.0116367,0.0270597,0.0113295,0.0106459,0.0602719,0.0410979,0,0,0,0,0,0,0,0
4,0.0316938,0.0636733,0,0,0,0.0336004,0,0.0241361,0.0488523,0,0,0,0,0.0191533,0,0,0.0412442,0.0540384,0.0354174,0.0385818,0.0295667,0,0,0.0647066,0.0374434,0.0464728,0.0665818,0.0647198,0.0315308,0.0637052,0.0683302,0.0420325,0.0386296,0,0.0158177,0,0.0469484,0.0159064,0.015112,0.0271184,0,0.029629,0.051285,0.0390626,0,0,0.0259192,0,0,0.0237806,0.0793761,0.00790196,0.0260252,0.0355533,0.0545507,0.034225,0.033886,0.0354736,0.061166,0.0582362,0.0296567,0.0314752,0.0164799,0.0384546,0.0106128,0.0274385,0.0114045,0.0104946,0.0603291,0.0413648,0,0,0,0,0,0,0,0
5,0.031762,0.0636652,0,0,0,0.0328346,0,0.0235127,0.0483061,0,0,0,0,0.018994,0,0,0.0413762,0.053775,0.0354006,0.0388077,0.0281286,0,0,0.0646723,0.0375987,0.0471602,0.0678186,0.0648876,0.0313785,0.0640241,0.0683623,0.042036,0.039356,0,0.0160714,0,0.0468922,0.0158463,0.0151604,0.0266447,0,0.0290763,0.0516004,0.0389199,0,0,0.0257713,0,0,0.0237801,0.0790181,0.00862032,0.0258244,0.0353768,0.0544106,0.0339439,0.0337457,0.0357427,0.0613291,0.0581777,0.0290033,0.0314515,0.0165827,0.0379031,0.0113742,0.0275765,0.011409,0.0104588,0.0604398,0.0415251,0,0,0,0,0,0,0,0
6,0.0317835,0.0637397,0,0,0,0.0320713,0,0.0227695,0.0470785,0,0,0,0,0.0188417,0,0,0.0414737,0.0536178,0.0359947,0.0388266,0.0266076,0,0,0.0645678,0.0377792,0.0478884,0.0693589,0.0651275,0.03118,0.0644546,0.0685076,0.0420162,0.0403581,0,0.0167954,0,0.0468311,0.0157887,0.0152521,0.0259064,0,0.0284679,0.051964,0.0388125,0,0,0.0257041,0,0,0.0237257,0.0785625,0.0093543,0.0259109,0.0350444,0.0543348,0.0339435,0.0335381,0.03591,0.0614644,0.0580328,0.0286927,0.0313474,0.01646,0.0373116,0.0126163,0.0276269,0.0113338,0.0104461,0.0604461,0.0416293,0,0,0,0,0,0,0,0
7,0.0317607,0.063875,0,0,0,0.0309362,0,0.0224293,0.0458521,0,0,0,0,0.0187197,0,0,0.0415391,0.053397,0.0367751,0.0388957,0.0256286,0,0,0.064321,0.0378832,0.0485359,0.0706906,0.0655139,0.0310407,0.0648179,0.0686702,0.041722,0.0412816,0,0.0189377,0,0.0467676,0.0157694,0.0153162,0.0254234,0,0.0277905,0.0522488,0.0387496,0,0,0.0256988,0,0,0.0236836,0.0782767,0.0101848,0.0255475,0.0347498,0.0542247,0.034021,0.0335036,0.0358938,0.0615898,0.057879,0.0288106,0.0312082,0.0162878,0.0366279,0.0139515,0.0276182,0.0113124,0.0104323,0.0603894,0.0416311,0,0,0,0,0,0,0,0
8,0.0317689,0.0641089,0,0,0,0.0293385,0,0.0226201,0.0450355,0,0,0,0,0.0186753,0,0,0.0416018,0.0530744,0.0368905,0.0391867,0.0251374,0,0,0.0641394,0.0378187,0.0489718,0.0714689,0.0658377,0.0309501,0.0650779,0.0689008,0.041312,0.0417796,0,0.0216042,0,0.0467578,0.015701,0.0153885,0.0253791,0,0.0271826,0.0524259,0.0387098,0,0,0.0256164,0,0,0.0236849,0.0781254,0.0110165,0.0248383,0.0345677,0.0539973,0.033995,0.0336219,0.0358139,0.0616718,0.0577219,0.0288443,0.0310957,0.0161664,0.0359716,0.0153858,0.0276673,0.0113414,0.0103894,0.0602899,0.0415824,0,0,0,0,0,0,0,0
