Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x76,x77,LTHI,RANK,x75,LBL,
All Timesteps RMSE,0.0307065,0.0605308,0,0,0,0.0429704,0,0.0193809,0.0558538,0,0,0,0.0208701,0,0,0.0424112,0.0570389,0.0352465,0.0371904,0.0274769,0,0,0.0596115,0.0366773,0.0638782,0.0617548,0.0279892,0.0621502,0.0659499,0.0359529,0.0396649,0,0.0282763,0,0.0349223,0.0129302,0.014765,0.0241646,0,0.0514093,0.0424834,0,0,0.0204452,0,0,0.0226528,0.0738697,0.0222337,0.0241044,0.0336286,0.0549281,0.0337206,0.0310062,0.0438393,0.0638615,0.0553904,0.0320771,0.023213,0.012466,0.0346785,0.0373281,0.0103761,0.00777377,0.0539365,0.050461,0,0,0,0,0,0,0,0.0397352,0.0253458,0,0,0
0,0.0297687,0.0614547,0,0,0,0.0307684,0,0.0198548,0.0474985,0,0,0,0.0181994,0,0,0.0422603,0.0612484,0.0392082,0.0388593,0.0195137,0,0,0.0647897,0.0343386,0.0827779,0.0710687,0.0397975,0.0620903,0.0664623,0.0369433,0.0387558,0,0.0256296,0,0.0384861,0.0127178,0.0151701,0.0245864,0,0.0576403,0.0418522,0,0,0.0198791,0,0,0.0228202,0.073641,0.0144402,0.0277019,0.0343393,0.0515853,0.0342147,0.0285474,0.032482,0.0565478,0.0534583,0.0363888,0.0231495,0.0143322,0.0144938,0.0368655,0.0111566,0.00704441,0.055255,0.0466857,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0294005,0.0618818,0,0,0,0.02875,0,0.0220934,0.0494659,0,0,0,0.0187614,0,0,0.0417562,0.0595915,0.0424248,0.0390404,0.0215504,0,0,0.0635058,0.0340081,0.0755503,0.0680091,0.0374914,0.063758,0.0684694,0.0388628,0.0396664,0,0.0304733,0,0.0378514,0.0124404,0.0153648,0.0288377,0,0.0592071,0.0421143,0,0,0.0201412,0,0,0.0227387,0.0734303,0.00935748,0.028258,0.0348749,0.0521058,0.034634,0.0300438,0.033817,0.0573371,0.0555044,0.0363763,0.0228747,0.015366,0.00906169,0.0365136,0.0111336,0.00719008,0.0557558,0.0465139,0,0,0,0,0,0,0,0.0533586,0.0268933,0,0,0
2,0.0294627,0.062045,0,0,0,0.0278422,0,0.0234004,0.0502466,0,0,0,0.0180199,0,0,0.0422109,0.0588461,0.042423,0.039348,0.0231592,0,0,0.0635545,0.0333062,0.0738214,0.0679349,0.0373415,0.0631592,0.0682088,0.0392711,0.0385754,0,0.0302263,0,0.038644,0.0124237,0.0153188,0.0290902,0,0.0588882,0.0420374,0,0,0.0200721,0,0,0.0227122,0.0737298,0.00892109,0.0283588,0.0349604,0.0519237,0.0342608,0.0299787,0.0331494,0.0570127,0.055298,0.0365336,0.0224251,0.0152208,0.00888614,0.0366045,0.0110462,0.00708087,0.0559108,0.0463284,0,0,0,0,0,0,0,0.0520134,0.0271073,0,0,0
3,0.0294529,0.0621412,0,0,0,0.0261005,0,0.0246983,0.0508975,0,0,0,0.0182704,0,0,0.0420309,0.0580748,0.042941,0.0395541,0.0251545,0,0,0.0634188,0.0332915,0.0719293,0.0677741,0.0367739,0.0624842,0.0677849,0.0396597,0.0374243,0,0.0311399,0,0.0385782,0.0127135,0.0149292,0.0297995,0,0.0587214,0.0420933,0,0,0.0199628,0,0,0.0226684,0.0738555,0.00916883,0.0284949,0.0352876,0.0517014,0.0339377,0.0298789,0.0327748,0.0567188,0.055166,0.0366197,0.0231906,0.0148825,0.00870111,0.0368456,0.0109696,0.00696126,0.0560938,0.0462059,0,0,0,0,0,0,0,0.0521436,0.0270561,0,0,0
4,0.0293867,0.0622513,0,0,0,0.0243192,0,0.0257326,0.0511637,0,0,0,0.0191007,0,0,0.0414683,0.0574535,0.0436449,0.0397695,0.0275386,0,0,0.0632359,0.033571,0.0700625,0.0673717,0.0360741,0.0616801,0.0671775,0.0398352,0.0363363,0,0.0329179,0,0.0382206,0.0132449,0.0139075,0.0306297,0,0.058581,0.0421833,0,0,0.0197394,0,0,0.022733,0.0740288,0.00909026,0.028604,0.035563,0.0514907,0.0336858,0.0298533,0.0327246,0.0564102,0.0550434,0.0366384,0.0238316,0.0146395,0.00873288,0.0370865,0.0110713,0.00687751,0.056412,0.0462181,0,0,0,0,0,0,0,0.0525397,0.0270254,0,0,0
5,0.0294102,0.0623281,0,0,0,0.0249683,0,0.0257636,0.050809,0,0,0,0.0189509,0,0,0.0415424,0.057252,0.0432191,0.0395713,0.0287996,0,0,0.0631178,0.033305,0.0690623,0.0668049,0.035351,0.061352,0.0669511,0.0397612,0.0358589,0,0.0317948,0,0.0384135,0.0132004,0.0140812,0.0305725,0,0.0585237,0.0422702,0,0,0.0196378,0,0,0.0227429,0.0749551,0.00908566,0.0283589,0.0355001,0.0511697,0.0333953,0.0300392,0.0327138,0.0562181,0.0547887,0.036505,0.0238134,0.0145112,0.00868434,0.0372415,0.0111057,0.00672186,0.0565767,0.0463405,0,0,0,0,0,0,0,0.0516825,0.0272767,0,0,0
6,0.0293561,0.0626803,0,0,0,0.027015,0,0.0258841,0.0511241,0,0,0,0.0181116,0,0,0.0424944,0.0566785,0.0457556,0.0396378,0.0270025,0,0,0.0626262,0.0334056,0.068873,0.0668964,0.0346105,0.0611318,0.0669295,0.0388956,0.0357229,0,0.0300093,0,0.0385266,0.0124991,0.0133954,0.0287238,0,0.0586408,0.041695,0,0,0.0201126,0,0,0.0223957,0.0749978,0.00902883,0.0275019,0.0364957,0.0498366,0.0332732,0.0303963,0.0318555,0.055747,0.0544684,0.0370846,0.0231796,0.0148785,0.00879403,0.037113,0.0111118,0.00677894,0.057265,0.0463737,0,0,0,0,0,0,0,0.0499743,0.0273532,0,0,0
7,0.0293003,0.0630036,0,0,0,0.0283393,0,0.0252555,0.0509876,0,0,0,0.0177047,0,0,0.042895,0.0563555,0.0463659,0.0394778,0.025904,0,0,0.0621763,0.0334827,0.0683643,0.0668678,0.0341,0.0617045,0.067619,0.0390405,0.0360979,0,0.0299149,0,0.0386752,0.0121228,0.0131231,0.0288494,0,0.058669,0.041522,0,0,0.020145,0,0,0.0223842,0.0754312,0.00906093,0.0273156,0.0367656,0.0492787,0.0331581,0.0300458,0.0317654,0.0555909,0.0539804,0.0367895,0.023417,0.0148205,0.0088812,0.0370809,0.0109125,0.00681759,0.057568,0.0463607,0,0,0,0,0,0,0,0.048551,0.0271913,0,0,0
8,0.0292733,0.0632823,0,0,0,0.0291248,0,0.0249818,0.050936,0,0,0,0.0175632,0,0,0.0431143,0.0560447,0.0466713,0.0394626,0.0255511,0,0,0.0618521,0.0336326,0.0681125,0.0667082,0.0339511,0.0620598,0.0680429,0.0391929,0.0363337,0,0.0297911,0,0.0386854,0.0118088,0.0133258,0.0287554,0,0.0584893,0.0414602,0,0,0.0201157,0,0,0.0224147,0.0754466,0.00938454,0.0271351,0.0367703,0.0490546,0.0329961,0.0296101,0.03175,0.0552677,0.0535514,0.0365521,0.0230504,0.0144764,0.0093498,0.0371925,0.0108893,0.00681603,0.0576973,0.0464546,0,0,0,0,0,0,0,0.0477773,0.0265136,0,0,0
